2017.11.08_16:14:50,61.87,83.17,103.43,13.41,13.92,17.86,22.91,8.80,973.57,68.56,86.67,108.92,14.70,18.46,21.14,23.84,56.20,980.63,56.75,N; Tset = 18.00; Ttrue = 018.7; T1 = 22.29; RH1 = 57.74; T2 = 23.61; RH2 = 58.06
2017.11.08_16:15:50,60.65,85.64,111.58,13.27,14.17,18.18,23.69,9.14,1007.13,71.74,93.74,118.15,15.89,19.15,21.50,24.64,53.66,1014.47,52.89,N; Tset = 18.00; Ttrue = 018.8; T1 = 23.05; RH1 = 57.87; T2 = 24.43; RH2 = 53.87
2017.11.08_16:16:50,63.48,86.87,109.42,12.98,13.60,17.21,23.68,9.18,1007.15,72.02,92.69,116.67,15.98,20.18,20.20,24.63,51.95,1014.46,51.97,N; Tset = 18.00; Ttrue = 018.9; T1 = 23.06; RH1 = 56.76; T2 = 24.43; RH2 = 52.89
2017.11.08_16:17:50,65.77,91.31,114.51,13.92,13.71,18.72,23.68,9.19,1007.13,75.80,101.53,122.31,14.38,19.68,21.31,24.63,50.88,1014.46,51.49,N; Tset = 18.00; Ttrue = 019.0; T1 = 23.07; RH1 = 56.19; T2 = 24.43; RH2 = 52.41
2017.11.08_16:18:50,63.69,88.37,115.01,12.76,15.31,17.99,23.68,9.23,1007.10,76.60,97.08,117.85,14.31,17.81,20.88,24.63,50.19,1014.43,51.32,N; Tset = 18.00; Ttrue = 018.3; T1 = 23.07; RH1 = 56.03; T2 = 24.44; RH2 = 52.19
2017.11.08_16:19:52,65.32,87.25,111.58,15.26,16.91,17.20,23.68,9.24,1007.07,75.44,94.96,118.17,15.16,18.60,20.36,24.63,49.15,1014.42,50.35,N; Tset = 18.20; Ttrue = 017.9; T1 = 23.08; RH1 = 54.76; T2 = 24.44; RH2 = 51.38
2017.11.08_16:20:58,66.98,92.43,115.91,13.10,14.64,17.67,23.68,9.25,1007.06,76.83,98.43,122.52,16.58,18.89,21.31,24.63,47.60,1014.42,48.78,N; Tset = 18.80; Ttrue = 018.6; T1 = 23.07; RH1 = 53.15; T2 = 24.44; RH2 = 49.68
2017.11.08_16:22:02,70.56,92.91,117.88,12.49,13.70,18.56,23.68,9.25,1007.06,73.66,95.95,119.44,14.93,20.51,21.72,24.63,47.13,1014.44,48.92,N; Tset = 19.20; Ttrue = 019.2; T1 = 23.06; RH1 = 53.69; T2 = 24.45; RH2 = 49.48
2017.11.08_16:23:08,67.38,88.41,113.70,15.10,14.83,17.99,23.70,9.26,1007.05,74.90,99.26,123.84,14.87,18.53,20.77,24.63,47.60,1014.43,50.20,N; Tset = 19.80; Ttrue = 019.5; T1 = 23.06; RH1 = 55.34; T2 = 24.46; RH2 = 50.59
2017.11.08_16:24:12,64.94,90.08,113.28,15.99,15.97,19.29,23.70,9.27,1007.04,77.47,96.37,123.61,15.71,18.12,21.25,24.65,48.12,1014.41,51.29,N; Tset = 20.20; Ttrue = 020.0; T1 = 23.07; RH1 = 56.61; T2 = 24.47; RH2 = 51.65
2017.11.08_16:25:16,64.42,88.35,116.06,15.35,15.52,18.45,23.71,9.25,1007.03,74.22,99.03,125.27,15.09,19.53,21.00,24.65,48.65,1014.43,52.32,N; Tset = 20.60; Ttrue = 020.4; T1 = 23.07; RH1 = 57.80; T2 = 24.48; RH2 = 52.60
