2017.11.25_03:26:13,68.39,95.50,123.92,14.81,17.32,20.65,23.58,9.13,969.29,98.37,127.60,158.73,22.11,24.09,27.87,24.51,60.48,976.60,69.37,N; Tset = 11.80; Ttrue = 016.6; T1 = 25.11; RH1 = 60.40; T2 = 24.66; RH2 = 70.77
2017.11.25_03:27:13,70.07,98.16,126.53,15.55,16.91,20.62,24.40,9.49,1002.73,93.17,114.51,145.17,21.66,24.08,27.76,25.34,49.85,1010.27,51.49,N; Tset = 11.80; Ttrue = 016.8; T1 = 25.95; RH1 = 47.74; T2 = 25.47; RH2 = 53.06
2017.11.25_03:28:19,70.93,97.64,124.70,15.91,17.06,20.78,24.40,9.55,1002.73,88.24,114.12,139.93,21.43,23.87,25.80,25.34,46.51,1010.26,48.73,N; Tset = 12.40; Ttrue = 017.0; T1 = 25.93; RH1 = 46.40; T2 = 25.46; RH2 = 49.05
2017.11.25_03:29:29,69.46,97.16,123.42,15.51,16.78,21.35,24.40,9.59,1002.71,87.49,115.18,141.56,21.22,24.88,27.95,25.32,45.03,1010.25,48.26,N; Tset = 13.40; Ttrue = 017.1; T1 = 25.91; RH1 = 46.33; T2 = 25.45; RH2 = 48.17
2017.11.25_03:30:39,68.60,95.29,121.75,14.88,16.41,20.23,24.40,9.64,1002.70,83.12,108.83,131.75,20.09,22.47,25.72,25.32,44.27,1010.26,48.27,N; Tset = 14.40; Ttrue = 017.3; T1 = 25.88; RH1 = 46.58; T2 = 25.45; RH2 = 48.00
2017.11.25_03:31:49,65.72,92.75,118.69,14.92,17.76,20.69,24.40,9.70,1002.71,84.49,110.70,137.42,20.35,24.31,25.54,25.32,43.80,1010.27,48.28,N; Tset = 15.40; Ttrue = 016.3; T1 = 25.84; RH1 = 46.75; T2 = 25.44; RH2 = 47.98
2017.11.25_03:32:59,65.23,91.23,119.62,15.01,15.86,19.80,24.39,9.73,1002.74,84.44,107.20,134.49,21.89,22.80,25.75,25.32,42.44,1010.29,46.63,N; Tset = 16.40; Ttrue = 015.7; T1 = 25.80; RH1 = 45.00; T2 = 25.43; RH2 = 46.62
2017.11.25_03:34:09,65.63,91.14,115.52,14.34,15.86,19.05,24.38,9.78,1002.76,83.96,109.82,138.01,21.31,22.31,25.28,25.32,40.99,1010.31,45.02,N; Tset = 17.40; Ttrue = 017.0; T1 = 25.76; RH1 = 43.71; T2 = 25.42; RH2 = 44.89
2017.11.25_03:35:17,63.22,88.94,115.20,14.43,14.73,19.60,24.38,9.84,1002.78,79.55,105.63,129.32,20.26,23.28,24.10,25.30,41.31,1010.30,46.43,N; Tset = 18.20; Ttrue = 018.1; T1 = 25.72; RH1 = 45.70; T2 = 25.41; RH2 = 45.69
2017.11.25_03:36:27,62.50,87.15,115.25,14.25,14.69,18.69,24.38,9.89,1002.77,74.67,99.35,122.22,19.82,20.78,22.36,25.30,42.86,1010.29,49.15,N; Tset = 19.20; Ttrue = 018.8; T1 = 25.69; RH1 = 48.56; T2 = 25.40; RH2 = 48.27
2017.11.25_03:37:35,62.93,85.93,111.18,13.92,14.54,18.35,24.37,9.97,1002.77,77.81,101.47,122.83,19.78,22.23,22.41,25.29,44.18,1010.29,51.15,N; Tset = 20.00; Ttrue = 019.7; T1 = 25.68; RH1 = 50.57; T2 = 25.40; RH2 = 50.24
