2017.11.03_05:44:21,28.70,36.55,41.55,5.04,6.65,9.12,23.98,5.38,980.06,36.22,46.43,58.81,16.72,18.53,19.93,25.04,72.91,987.35,79.97,N; Tset = 17.40; Ttrue = 0017.8; T1 = 24.16; RH1 = 77.26; T2 = 24.92; RH2 = 81.97
2017.11.03_05:45:21,27.73,37.97,42.65,5.21,5.15,9.05,24.80,5.56,1013.89,29.31,36.96,41.60,5.52,8.57,10.98,25.90,58.53,1021.40,54.86,N; Tset = 17.40; Ttrue = 0018.3; T1 = 24.91; RH1 = 55.36; T2 = 25.75; RH2 = 58.02
2017.11.03_05:46:21,26.71,34.81,44.73,5.15,6.44,8.13,24.82,5.55,1013.89,29.82,37.86,46.61,5.07,8.87,10.48,25.88,52.72,1021.41,49.34,N; Tset = 17.40; Ttrue = 0018.5; T1 = 24.87; RH1 = 51.67; T2 = 25.75; RH2 = 50.41
2017.11.03_05:47:21,30.21,39.17,45.44,5.91,8.12,8.74,24.83,5.54,1013.90,33.77,36.08,45.36,5.04,9.63,10.76,25.88,50.19,1021.42,47.56,N; Tset = 17.40; Ttrue = 0018.6; T1 = 24.83; RH1 = 49.91; T2 = 25.76; RH2 = 48.59
2017.11.03_05:48:23,30.87,36.87,43.58,5.93,6.52,8.70,24.83,5.54,1013.92,31.39,36.66,45.02,5.37,9.51,11.63,25.88,48.64,1021.42,46.82,N; Tset = 17.60; Ttrue = 0018.0; T1 = 24.79; RH1 = 49.32; T2 = 25.76; RH2 = 47.76
2017.11.03_05:49:29,30.52,36.95,43.82,6.88,6.10,10.29,24.83,5.52,1013.94,30.20,36.51,46.38,5.04,9.62,12.22,25.88,46.83,1021.45,45.32,N; Tset = 18.20; Ttrue = 0017.7; T1 = 24.73; RH1 = 47.75; T2 = 25.77; RH2 = 46.37
2017.11.03_05:50:35,28.09,35.22,44.91,6.55,6.84,8.88,24.83,5.52,1013.95,30.86,36.17,44.85,4.68,9.45,10.78,25.88,45.09,1021.46,43.94,N; Tset = 18.80; Ttrue = 0018.8; T1 = 24.66; RH1 = 46.74; T2 = 25.76; RH2 = 44.75
2017.11.03_05:51:41,26.43,35.89,42.09,5.21,6.92,9.43,24.83,5.51,1013.95,27.68,36.37,45.26,5.58,8.45,10.10,25.88,45.02,1021.47,45.07,N; Tset = 19.40; Ttrue = 0019.3; T1 = 24.59; RH1 = 48.58; T2 = 25.76; RH2 = 45.47
2017.11.03_05:52:47,29.47,34.36,42.42,6.63,5.51,7.85,24.82,5.49,1013.95,28.95,35.62,46.65,4.67,8.50,11.79,25.88,45.48,1021.49,46.44,N; Tset = 20.00; Ttrue = 0019.7; T1 = 24.55; RH1 = 50.21; T2 = 25.76; RH2 = 46.85
2017.11.03_05:53:51,30.53,37.53,43.76,6.20,6.34,10.41,24.83,5.50,1013.96,29.28,37.57,46.44,4.13,8.54,10.39,25.88,45.67,1021.49,47.20,N; Tset = 20.40; Ttrue = 0020.3; T1 = 24.49; RH1 = 51.25; T2 = 25.76; RH2 = 47.57
2017.11.03_05:54:57,27.40,33.66,41.73,6.83,5.44,7.65,24.83,5.50,1013.97,31.76,36.66,44.26,5.35,8.53,10.88,25.88,46.25,1021.51,48.46,N; Tset = 21.00; Ttrue = 0020.8; T1 = 24.42; RH1 = 52.97; T2 = 25.76; RH2 = 48.71
2017.11.03_05:56:01,26.93,35.96,41.89,5.13,6.00,8.31,24.82,5.49,1014.02,31.13,36.95,42.49,5.11,8.17,10.33,25.88,46.96,1021.53,49.71,N; Tset = 21.40; Ttrue = 0021.3; T1 = 24.37; RH1 = 54.54; T2 = 25.76; RH2 = 49.93
2017.11.03_05:57:07,28.98,36.07,42.78,5.37,6.75,7.75,24.82,5.49,1014.03,28.80,38.31,46.73,4.66,8.62,11.00,25.88,47.59,1021.53,50.79,N; Tset = 22.00; Ttrue = 0021.8; T1 = 24.32; RH1 = 55.94; T2 = 25.76; RH2 = 50.99
2017.11.03_05:58:11,29.00,37.08,41.03,5.20,7.62,9.51,24.83,5.49,1014.04,30.27,37.70,45.34,4.96,8.29,10.64,25.88,48.39,1021.56,52.05,N; Tset = 22.40; Ttrue = 0022.2; T1 = 24.28; RH1 = 57.54; T2 = 25.75; RH2 = 52.19
2017.11.03_05:59:15,26.51,32.79,39.99,4.74,5.76,8.67,24.83,5.48,1014.03,29.04,35.84,42.22,4.59,8.16,10.26,25.88,49.24,1021.57,53.29,N; Tset = 22.80; Ttrue = 0022.7; T1 = 24.23; RH1 = 59.08; T2 = 25.75; RH2 = 53.44
2017.11.03_06:00:19,28.02,34.33,38.78,6.00,5.12,8.54,24.82,5.49,1014.08,31.60,34.82,43.13,7.16,8.50,9.78,25.88,50.09,1021.59,54.49,N; Tset = 23.20; Ttrue = 0023.1; T1 = 24.19; RH1 = 60.56; T2 = 25.75; RH2 = 54.63
2017.11.03_06:01:25,25.89,32.43,38.77,5.05,5.58,7.19,24.83,5.50,1014.12,27.85,32.95,43.29,4.51,8.62,10.09,25.88,50.98,1021.64,55.73,N; Tset = 23.80; Ttrue = 0023.6; T1 = 24.17; RH1 = 62.05; T2 = 25.75; RH2 = 55.87
2017.11.03_06:02:29,26.97,34.39,41.18,5.21,6.27,7.90,24.83,5.51,1014.15,30.63,34.99,41.92,4.42,9.30,10.87,25.88,51.88,1021.65,56.94,N; Tset = 24.20; Ttrue = 0024.0; T1 = 24.14; RH1 = 63.50; T2 = 25.74; RH2 = 57.08
2017.11.03_06:03:33,29.98,33.32,39.72,5.20,5.51,7.14,24.83,5.53,1014.14,29.96,35.49,43.96,5.56,8.84,9.78,25.86,52.81,1021.67,58.24,N; Tset = 24.60; Ttrue = 0024.4; T1 = 24.12; RH1 = 64.96; T2 = 25.74; RH2 = 58.34
2017.11.03_06:04:37,28.65,33.93,40.58,4.38,5.63,7.54,24.82,5.53,1014.17,26.70,34.36,41.71,6.75,8.67,10.73,25.86,53.77,1021.69,59.45,N; Tset = 25.00; Ttrue = 0024.8; T1 = 24.10; RH1 = 66.40; T2 = 25.74; RH2 = 59.58
2017.11.03_06:05:41,26.88,30.95,40.65,4.38,5.45,8.22,24.82,5.52,1014.17,29.23,34.36,41.02,5.69,8.71,10.42,25.86,54.72,1021.68,60.67,N; Tset = 25.40; Ttrue = 0025.2; T1 = 24.09; RH1 = 67.78; T2 = 25.74; RH2 = 60.79
2017.11.03_06:06:43,26.86,32.07,39.85,5.34,10.43,7.21,24.82,5.52,1014.15,28.07,34.49,42.12,5.61,14.78,11.07,25.86,55.66,1021.67,61.84,N; Tset = 25.60; Ttrue = 0025.5; T1 = 24.08; RH1 = 69.10; T2 = 25.74; RH2 = 61.98
2017.11.03_06:07:47,30.48,33.57,39.51,5.73,5.38,8.50,24.80,5.51,1014.17,30.34,36.33,46.38,6.24,11.64,10.73,25.86,56.63,1021.67,63.05,N; Tset = 26.00; Ttrue = 0025.9; T1 = 24.07; RH1 = 70.46; T2 = 25.74; RH2 = 63.20
2017.11.03_06:08:51,26.76,33.45,41.52,5.85,6.05,8.46,24.80,5.52,1014.17,28.86,36.37,45.50,4.44,9.00,10.15,25.86,57.66,1021.67,64.33,N; Tset = 26.40; Ttrue = 0026.3; T1 = 24.07; RH1 = 71.88; T2 = 25.74; RH2 = 64.49
2017.11.03_06:09:55,25.32,32.70,40.66,4.86,4.67,9.41,24.80,5.51,1014.14,30.98,36.55,46.13,5.25,9.39,10.90,25.86,58.64,1021.66,65.53,N; Tset = 26.80; Ttrue = 0026.6; T1 = 24.08; RH1 = 73.17; T2 = 25.74; RH2 = 65.73
2017.11.03_06:10:59,27.34,33.96,41.05,5.34,5.03,8.55,24.80,5.52,1014.17,34.79,43.53,46.80,5.65,9.76,10.98,25.86,59.58,1021.67,66.64,N; Tset = 27.20; Ttrue = 0027.0; T1 = 24.09; RH1 = 74.38; T2 = 25.73; RH2 = 66.85
2017.11.03_06:12:01,27.71,35.67,43.54,6.12,5.03,8.63,24.80,5.51,1014.15,32.33,39.12,46.38,5.78,10.13,11.09,25.86,60.63,1021.65,67.93,N; Tset = 27.40; Ttrue = 0027.3; T1 = 24.10; RH1 = 75.76; T2 = 25.73; RH2 = 68.14
2017.11.03_06:13:05,28.63,35.24,41.35,6.50,5.78,7.16,24.80,5.49,1014.15,28.69,37.24,46.30,5.52,11.51,10.99,25.85,61.61,1021.64,69.09,N; Tset = 27.80; Ttrue = 0027.6; T1 = 24.11; RH1 = 76.91; T2 = 25.73; RH2 = 69.35
2017.11.03_06:14:07,31.58,39.90,46.56,9.44,9.54,9.22,24.80,5.49,1014.11,44.56,46.48,52.51,7.64,11.16,12.67,25.86,62.52,1021.64,70.13,N; Tset = 28.00; Ttrue = 0028.0; T1 = 24.13; RH1 = 78.00; T2 = 25.73; RH2 = 70.41
2017.11.03_06:15:11,34.73,37.73,47.54,7.19,8.64,9.81,24.80,5.49,1014.11,40.96,51.93,57.64,7.25,11.03,13.56,25.84,63.59,1021.63,71.52,N; Tset = 28.40; Ttrue = 0028.3; T1 = 24.15; RH1 = 79.37; T2 = 25.73; RH2 = 71.74
2017.11.03_06:16:15,29.97,36.52,45.85,8.64,7.26,9.50,24.80,5.49,1014.10,38.86,43.15,54.59,6.49,9.98,13.13,25.84,64.62,1021.63,72.75,N; Tset = 28.80; Ttrue = 0028.6; T1 = 24.18; RH1 = 80.55; T2 = 25.72; RH2 = 73.03
2017.11.03_06:17:17,27.22,33.01,41.49,5.77,6.00,7.42,24.80,5.48,1014.11,33.31,41.86,50.12,6.07,9.63,12.30,25.84,65.55,1021.63,73.81,N; Tset = 29.00; Ttrue = 0028.9; T1 = 24.21; RH1 = 81.55; T2 = 25.72; RH2 = 74.12
2017.11.03_06:18:21,25.24,33.06,40.17,4.91,5.83,6.84,24.78,5.46,1014.15,34.41,40.03,50.50,5.67,9.88,11.43,25.84,66.50,1021.66,74.96,N; Tset = 29.40; Ttrue = 0029.2; T1 = 24.25; RH1 = 82.63; T2 = 25.73; RH2 = 75.25
2017.11.03_06:19:23,28.63,36.32,42.85,5.13,5.90,8.13,24.78,5.46,1014.17,35.96,42.12,55.62,6.25,9.66,11.32,25.84,67.47,1021.68,76.10,N; Tset = 29.60; Ttrue = 0029.5; T1 = 24.28; RH1 = 83.71; T2 = 25.73; RH2 = 76.42
2017.11.03_06:20:27,30.68,41.24,45.77,6.25,6.86,8.89,24.78,5.46,1014.20,39.77,49.53,59.12,7.55,10.62,12.60,25.84,68.46,1021.70,77.25,N; Tset = 30.00; Ttrue = 0029.8; T1 = 24.32; RH1 = 84.78; T2 = 25.73; RH2 = 77.58
2017.11.03_06:21:29,36.06,43.45,49.70,7.08,7.07,8.88,24.78,5.46,1014.24,42.20,52.36,65.05,8.43,11.80,13.20,25.84,69.43,1021.73,78.40,N; Tset = 30.20; Ttrue = 0030.1; T1 = 24.35; RH1 = 85.83; T2 = 25.73; RH2 = 78.74
2017.11.03_06:22:31,43.04,55.07,61.53,7.83,7.36,10.90,24.78,5.46,1014.24,54.81,62.75,76.71,9.86,13.81,15.25,25.84,70.37,1021.75,79.52,N; Tset = 30.40; Ttrue = 0030.4; T1 = 24.39; RH1 = 86.82; T2 = 25.73; RH2 = 79.90
2017.11.03_06:23:35,44.64,52.84,60.21,7.54,7.48,11.13,24.78,5.46,1014.25,54.91,60.93,75.28,9.17,13.62,14.49,25.84,71.37,1021.78,80.69,N; Tset = 30.80; Ttrue = 0030.6; T1 = 24.44; RH1 = 87.89; T2 = 25.73; RH2 = 81.07
2017.11.03_06:24:37,33.99,44.28,47.60,6.51,6.39,9.14,24.78,5.46,1014.29,41.39,53.44,62.25,8.04,11.70,14.80,25.84,72.38,1021.79,81.91,N; Tset = 31.00; Ttrue = 0030.9; T1 = 24.49; RH1 = 88.93; T2 = 25.73; RH2 = 82.30
2017.11.03_06:25:39,28.48,36.77,41.77,4.97,6.71,8.65,24.78,5.44,1014.31,38.52,49.32,61.80,8.18,12.26,13.28,25.84,73.35,1021.82,83.04,N; Tset = 31.20; Ttrue = 0031.2; T1 = 24.54; RH1 = 89.89; T2 = 25.73; RH2 = 83.44
2017.11.03_06:26:43,25.90,32.33,37.54,6.52,6.61,7.19,24.77,5.43,1014.37,35.57,50.48,60.91,7.99,11.71,14.10,25.84,74.26,1021.86,84.09,N; Tset = 31.60; Ttrue = 0031.4; T1 = 24.58; RH1 = 90.71; T2 = 25.73; RH2 = 84.55
2017.11.03_06:27:45,26.01,33.26,39.43,5.84,6.59,7.71,24.77,5.42,1014.39,38.43,46.54,60.55,9.49,12.92,15.72,25.84,75.15,1021.91,85.13,N; Tset = 31.80; Ttrue = 0031.7; T1 = 24.64; RH1 = 91.55; T2 = 25.73; RH2 = 85.60
2017.11.03_06:28:47,27.91,33.03,43.32,6.07,5.38,7.01,24.76,5.42,1014.45,38.57,50.14,63.93,12.33,14.44,16.96,25.84,76.10,1021.95,86.26,N; Tset = 32.00; Ttrue = 0031.9; T1 = 24.69; RH1 = 92.47; T2 = 25.73; RH2 = 86.75
2017.11.03_06:29:49,29.60,33.45,39.69,5.28,5.36,7.81,24.76,5.42,1014.50,40.81,51.51,65.18,12.93,16.67,18.50,25.84,77.05,1021.97,87.40,N; Tset = 32.20; Ttrue = 0032.2; T1 = 24.75; RH1 = 93.35; T2 = 25.73; RH2 = 87.87
2017.11.03_06:30:53,29.47,38.11,44.04,5.67,5.51,8.41,24.76,5.44,1014.50,47.42,56.70,70.91,16.94,18.39,21.45,25.85,77.99,1022.02,88.44,N; Tset = 32.60; Ttrue = 0032.4; T1 = 24.81; RH1 = 94.19; T2 = 25.73; RH2 = 89.00
2017.11.03_06:31:55,31.23,38.21,47.68,6.09,5.49,8.84,24.76,5.44,1014.54,49.65,58.29,74.41,21.05,20.68,23.79,25.85,78.92,1022.05,89.52,N; Tset = 32.80; Ttrue = 0032.7; T1 = 24.87; RH1 = 94.99; T2 = 25.73; RH2 = 90.11
