2017.11.17_20:45:11,20.92,24.57,28.56,4.29,4.52,6.65,21.52,0.90,984.96,24.74,27.27,33.15,7.82,9.11,12.17,22.17,60.08,992.19,73.08,N; Tset = 10.00; Ttrue = 017.8; T1 = 23.08; RH1 = 64.41; T2 = 22.31; RH2 = 72.42
2017.11.17_20:46:11,23.29,24.73,28.83,5.77,4.24,5.90,22.25,0.94,1018.91,22.59,30.37,32.31,8.08,9.15,9.34,22.92,53.79,1026.38,60.50,N; Tset = 10.00; Ttrue = 017.9; T1 = 23.85; RH1 = 56.00; T2 = 23.04; RH2 = 61.29
2017.11.17_20:47:19,21.69,24.48,27.90,3.94,3.72,5.60,22.25,0.93,1018.98,23.18,28.43,30.68,7.71,8.71,8.90,22.90,51.61,1026.43,58.28,N; Tset = 10.80; Ttrue = 018.1; T1 = 23.83; RH1 = 54.94; T2 = 23.02; RH2 = 58.04
2017.11.17_20:48:31,20.46,24.16,29.57,3.96,3.67,5.48,22.23,0.94,1019.01,25.38,26.46,31.74,7.71,8.74,9.49,22.88,50.78,1026.46,57.96,N; Tset = 12.00; Ttrue = 018.2; T1 = 23.80; RH1 = 54.96; T2 = 23.01; RH2 = 57.39
2017.11.17_20:49:41,19.15,24.30,27.64,5.11,4.18,5.74,22.22,0.94,1018.99,23.59,26.06,32.00,8.29,9.85,8.72,22.87,50.51,1026.48,58.18,N; Tset = 13.00; Ttrue = 018.2; T1 = 23.78; RH1 = 55.33; T2 = 23.02; RH2 = 57.38
2017.11.17_20:50:51,19.77,25.33,28.38,4.76,4.43,5.71,22.19,0.95,1019.03,22.75,25.55,30.10,7.31,8.81,8.65,22.85,50.29,1026.51,58.10,N; Tset = 14.00; Ttrue = 017.0; T1 = 23.76; RH1 = 55.13; T2 = 23.03; RH2 = 57.34
2017.11.17_20:52:01,21.25,23.95,29.80,4.93,3.92,5.88,22.19,0.96,1019.04,21.44,25.43,31.27,7.76,9.81,9.68,22.85,48.80,1026.54,55.91,N; Tset = 15.00; Ttrue = 016.3; T1 = 23.75; RH1 = 52.76; T2 = 23.04; RH2 = 55.43
2017.11.17_20:53:11,20.16,27.40,28.21,5.10,3.72,6.02,22.17,0.97,1019.08,23.82,22.81,30.85,7.29,8.50,9.03,22.85,47.16,1026.55,53.70,N; Tset = 16.00; Ttrue = 015.7; T1 = 23.76; RH1 = 50.63; T2 = 23.07; RH2 = 53.21
2017.11.17_20:54:21,20.60,26.83,28.56,3.84,3.58,5.67,22.16,0.98,1019.11,19.29,24.34,30.43,7.05,8.11,8.59,22.84,45.71,1026.58,52.03,N; Tset = 17.00; Ttrue = 016.5; T1 = 23.77; RH1 = 49.05; T2 = 23.09; RH2 = 51.38
2017.11.17_20:55:31,20.85,25.51,28.46,5.27,3.76,6.60,22.15,0.99,1019.12,23.32,24.01,31.93,7.50,8.90,10.14,22.84,45.42,1026.62,52.30,N; Tset = 18.00; Ttrue = 017.8; T1 = 23.79; RH1 = 49.73; T2 = 23.10; RH2 = 51.13
2017.11.17_20:56:39,20.49,23.94,28.89,5.28,3.59,6.69,22.14,1.00,1019.13,23.84,25.15,31.34,7.16,8.18,9.29,22.85,46.99,1026.62,55.24,N; Tset = 18.80; Ttrue = 018.6; T1 = 23.81; RH1 = 52.80; T2 = 23.11; RH2 = 53.65
2017.11.17_20:57:49,19.32,24.13,29.00,4.86,3.53,5.84,22.13,1.01,1019.13,20.69,26.46,34.92,7.52,9.12,8.92,22.85,48.73,1026.61,58.00,N; Tset = 19.80; Ttrue = 019.4; T1 = 23.83; RH1 = 55.36; T2 = 23.10; RH2 = 56.36
2017.11.17_20:58:57,19.32,26.09,27.02,4.15,5.30,5.79,22.13,1.01,1019.13,21.17,24.31,33.40,7.43,8.43,8.92,22.85,50.39,1026.60,60.48,N; Tset = 20.60; Ttrue = 020.3; T1 = 23.85; RH1 = 57.70; T2 = 23.10; RH2 = 58.74
2017.11.17_21:00:05,20.09,25.46,28.93,4.66,4.48,5.76,22.12,1.04,1019.16,21.65,28.75,33.14,6.96,8.62,9.75,22.84,52.30,1026.65,63.28,N; Tset = 21.40; Ttrue = 021.2; T1 = 23.88; RH1 = 60.35; T2 = 23.10; RH2 = 61.39
2017.11.17_21:01:13,21.42,25.11,29.82,4.90,4.00,6.51,22.12,1.03,1019.19,21.83,27.12,32.03,7.90,9.22,9.30,22.86,54.37,1026.68,66.10,N; Tset = 22.20; Ttrue = 022.0; T1 = 23.91; RH1 = 63.04; T2 = 23.09; RH2 = 64.17
2017.11.17_21:02:21,20.94,25.86,30.58,4.97,4.40,6.12,22.11,1.03,1019.24,21.33,26.47,33.64,7.95,10.18,9.41,22.87,56.55,1026.70,69.10,N; Tset = 23.00; Ttrue = 022.9; T1 = 23.94; RH1 = 65.84; T2 = 23.09; RH2 = 67.05
2017.11.17_21:03:29,21.13,25.10,28.51,4.60,3.61,7.30,22.11,1.03,1019.25,22.58,28.23,33.49,7.73,9.88,9.83,22.87,58.84,1026.71,72.16,N; Tset = 23.80; Ttrue = 023.6; T1 = 23.97; RH1 = 68.66; T2 = 23.07; RH2 = 70.05
2017.11.17_21:04:37,18.05,25.65,27.56,4.48,4.27,6.55,22.11,1.03,1019.29,21.66,27.43,35.54,8.22,9.28,10.56,22.87,61.12,1026.74,75.18,N; Tset = 24.60; Ttrue = 024.4; T1 = 24.01; RH1 = 71.35; T2 = 23.07; RH2 = 73.01
2017.11.17_21:05:45,20.39,23.91,29.22,4.47,5.11,5.78,22.11,1.03,1019.31,21.82,28.07,35.12,8.25,10.11,11.36,22.87,63.38,1026.77,78.15,N; Tset = 25.40; Ttrue = 025.1; T1 = 24.05; RH1 = 74.00; T2 = 23.07; RH2 = 75.91
2017.11.17_21:06:51,21.36,24.25,30.14,4.20,4.59,7.48,22.10,1.04,1019.38,26.67,29.45,38.27,7.79,10.64,10.73,22.87,65.73,1026.81,81.27,N; Tset = 26.00; Ttrue = 025.8; T1 = 24.09; RH1 = 76.78; T2 = 23.06; RH2 = 78.93
2017.11.17_21:07:59,19.50,25.40,31.70,4.68,4.13,6.33,22.09,1.05,1019.38,24.63,32.53,40.05,9.48,11.53,11.78,22.87,68.13,1026.83,84.42,N; Tset = 26.80; Ttrue = 026.6; T1 = 24.14; RH1 = 79.58; T2 = 23.05; RH2 = 82.00
2017.11.17_21:09:07,20.43,27.80,32.34,5.66,4.20,6.04,22.09,1.03,1019.38,28.08,35.12,46.13,10.27,11.58,12.58,22.87,70.58,1026.84,87.67,N; Tset = 27.60; Ttrue = 027.3; T1 = 24.19; RH1 = 82.43; T2 = 23.04; RH2 = 85.14
2017.11.17_21:10:13,21.07,26.13,32.59,3.83,3.97,6.62,22.09,1.03,1019.38,32.14,39.67,46.91,12.51,13.63,14.21,22.87,73.05,1026.85,90.95,N; Tset = 28.20; Ttrue = 028.0; T1 = 24.25; RH1 = 85.27; T2 = 23.04; RH2 = 88.30
