2017.11.08_10:01:54,38.33,51.26,62.71,8.17,7.87,11.32,22.79,8.58,977.72,59.23,80.13,98.18,21.01,23.27,22.84,23.80,73.10,984.84,82.95,P; Tset = 16.80; Ttrue = NaN; T1 = 22.41; RH1 = 85.95; T2 = 23.61; RH2 = 82.46
2017.11.08_10:02:54,37.17,52.44,63.43,9.77,9.07,11.46,23.58,8.87,1011.40,44.19,56.63,74.80,10.26,13.19,15.77,24.61,68.06,1018.80,70.18,P; Tset = 16.80; Ttrue = NaN; T1 = 23.21; RH1 = 73.74; T2 = 24.41; RH2 = 73.40
2017.11.08_10:03:54,39.15,51.66,63.88,9.19,8.53,11.80,23.58,8.82,1011.41,39.89,55.58,67.46,9.93,13.47,15.29,24.61,59.90,1018.80,58.74,P; Tset = 16.80; Ttrue = NaN; T1 = 23.28; RH1 = 61.68; T2 = 24.41; RH2 = 61.22
2017.11.08_10:04:54,38.85,51.70,66.51,8.58,8.33,10.86,23.58,8.81,1011.44,38.97,53.32,66.51,10.08,14.35,15.78,24.61,54.14,1018.83,51.63,P; Tset = 16.80; Ttrue = NaN; T1 = 23.34; RH1 = 54.30; T2 = 24.42; RH2 = 53.54
2017.11.08_10:05:54,38.89,51.44,66.57,8.09,9.35,12.60,23.58,8.78,1011.42,42.12,52.10,67.35,10.99,13.09,15.25,24.61,49.69,1018.84,46.43,P; Tset = 17.00; Ttrue = NaN; T1 = 23.41; RH1 = 48.41; T2 = 24.43; RH2 = 48.30
2017.11.08_10:06:54,41.26,55.33,67.39,8.65,9.33,14.76,23.60,8.77,1011.44,38.98,52.28,64.80,10.97,13.95,15.72,24.61,46.05,1018.84,42.38,P; Tset = 17.60; Ttrue = NaN; T1 = 23.46; RH1 = 44.00; T2 = 24.44; RH2 = 44.13
2017.11.08_10:07:54,39.34,56.81,69.36,7.92,9.53,12.20,23.60,8.75,1011.44,38.22,52.22,66.90,10.44,13.95,17.36,24.62,42.96,1018.84,39.17,P; Tset = 18.00; Ttrue = NaN; T1 = 23.51; RH1 = 40.60; T2 = 24.45; RH2 = 40.78
2017.11.08_10:08:54,37.80,54.10,67.00,7.53,8.52,11.45,23.62,8.70,1011.42,38.72,53.62,68.03,10.75,13.36,15.03,24.63,40.25,1018.84,36.48,P; Tset = 18.60; Ttrue = NaN; T1 = 23.55; RH1 = 37.74; T2 = 24.46; RH2 = 37.96
2017.11.08_10:09:54,41.58,53.45,67.31,9.08,10.72,12.20,23.63,8.69,1011.37,40.48,52.54,69.07,9.45,13.31,15.31,24.63,38.01,1018.82,34.40,P; Tset = 19.20; Ttrue = NaN; T1 = 23.59; RH1 = 35.56; T2 = 24.47; RH2 = 35.72
2017.11.08_10:10:54,45.98,54.06,70.34,8.80,10.09,12.46,23.64,8.67,1011.38,41.55,54.14,75.73,9.58,13.04,15.74,24.64,36.08,1018.81,32.63,P; Tset = 19.60; Ttrue = NaN; T1 = 23.63; RH1 = 33.72; T2 = 24.48; RH2 = 33.85
2017.11.08_10:11:54,40.85,53.08,67.69,9.08,8.78,12.09,23.66,8.67,1011.34,41.67,60.02,68.50,11.46,13.38,15.25,24.65,34.42,1018.78,31.17,P; Tset = 20.20; Ttrue = NaN; T1 = 23.67; RH1 = 32.19; T2 = 24.50; RH2 = 32.28
