2017.11.15_20:00:45,67.97,87.86,108.40,13.03,14.49,16.60,22.28,3.10,975.44,79.89,101.65,119.18,16.74,17.95,18.74,23.49,60.54,982.88,68.81,N; Tset = 14.00; Ttrue = 014.5; T1 = 23.33; RH1 = 62.62; T2 = 23.40; RH2 = 71.45
2017.11.15_20:01:45,76.67,96.60,113.34,13.73,14.71,18.38,23.05,3.19,1009.08,72.34,92.53,109.73,15.97,17.79,20.65,24.30,48.88,1016.79,49.51,N; Tset = 14.00; Ttrue = 014.7; T1 = 24.09; RH1 = 47.99; T2 = 24.18; RH2 = 51.98
2017.11.15_20:02:45,75.22,97.11,116.11,14.14,14.90,18.93,23.03,3.17,1009.08,77.59,91.60,115.68,14.23,16.32,20.51,24.28,45.09,1016.80,46.02,N; Tset = 14.00; Ttrue = 014.9; T1 = 24.06; RH1 = 45.83; T2 = 24.18; RH2 = 47.13
2017.11.15_20:03:49,75.15,96.35,114.85,14.80,15.51,18.66,23.02,3.13,1009.08,79.02,93.53,117.28,15.10,16.97,18.67,24.28,43.39,1016.80,45.24,N; Tset = 14.40; Ttrue = 015.0; T1 = 24.04; RH1 = 45.47; T2 = 24.18; RH2 = 45.93
2017.11.15_20:04:55,70.34,91.41,112.13,15.13,15.65,18.74,23.01,3.09,1009.09,79.10,93.08,111.97,15.47,18.59,18.50,24.30,42.36,1016.81,44.98,N; Tset = 15.00; Ttrue = 015.0; T1 = 24.01; RH1 = 45.54; T2 = 24.18; RH2 = 45.54
2017.11.15_20:06:03,70.04,91.27,114.23,13.99,15.78,18.66,22.98,3.10,1009.08,78.60,95.57,114.09,15.56,17.63,19.64,24.31,41.53,1016.80,44.71,N; Tset = 15.80; Ttrue = 015.3; T1 = 23.98; RH1 = 45.39; T2 = 24.18; RH2 = 45.28
2017.11.15_20:07:09,68.86,94.10,117.83,14.55,16.28,19.49,22.96,3.11,1009.08,78.66,93.44,113.13,14.16,16.76,19.63,24.32,40.83,1016.78,44.48,N; Tset = 16.40; Ttrue = 016.4; T1 = 23.93; RH1 = 45.58; T2 = 24.17; RH2 = 44.86
2017.11.15_20:08:17,70.91,96.84,118.90,13.30,14.89,19.89,22.94,3.11,1009.08,76.40,92.63,114.01,15.52,16.65,18.19,24.32,41.67,1016.77,46.47,N; Tset = 17.20; Ttrue = 016.9; T1 = 23.91; RH1 = 48.02; T2 = 24.17; RH2 = 46.55
2017.11.15_20:09:23,75.95,96.96,118.55,15.96,17.34,20.09,22.92,3.10,1009.09,75.45,95.23,116.84,14.46,16.61,19.40,24.32,42.58,1016.77,48.12,N; Tset = 17.80; Ttrue = 017.6; T1 = 23.87; RH1 = 49.79; T2 = 24.17; RH2 = 48.23
2017.11.15_20:10:29,78.65,95.46,116.60,17.37,17.49,18.91,22.90,3.08,1009.08,73.21,97.04,117.31,15.03,18.27,18.17,24.31,43.47,1016.79,49.65,N; Tset = 18.40; Ttrue = 018.2; T1 = 23.84; RH1 = 51.50; T2 = 24.16; RH2 = 49.66
2017.11.15_20:11:35,74.96,96.22,117.94,14.08,15.30,20.44,22.89,3.06,1009.10,80.37,101.39,120.59,15.41,17.43,19.98,24.30,44.61,1016.80,51.45,N; Tset = 19.00; Ttrue = 018.8; T1 = 23.82; RH1 = 53.49; T2 = 24.16; RH2 = 51.38
2017.11.15_20:12:41,77.38,97.31,119.96,14.50,15.22,20.57,22.87,3.05,1009.13,83.68,99.65,120.07,15.82,17.35,19.43,24.30,45.80,1016.81,53.18,N; Tset = 19.60; Ttrue = 019.4; T1 = 23.79; RH1 = 55.38; T2 = 24.14; RH2 = 53.16
2017.11.15_20:13:47,73.79,97.49,121.48,16.14,15.98,20.21,22.87,3.05,1009.12,79.23,101.29,124.34,15.14,18.28,19.63,24.30,46.99,1016.82,54.84,N; Tset = 20.20; Ttrue = 020.0; T1 = 23.77; RH1 = 57.19; T2 = 24.14; RH2 = 54.83
2017.11.15_20:14:53,77.46,105.81,119.44,14.26,16.98,20.30,22.87,3.05,1009.14,77.80,102.41,124.01,15.50,17.93,20.91,24.29,48.27,1016.83,56.63,N; Tset = 20.80; Ttrue = 020.6; T1 = 23.75; RH1 = 59.10; T2 = 24.12; RH2 = 56.62
