2017.11.03_22:16:34,43.35,54.93,68.34,7.76,8.82,11.93,23.46,4.08,985.53,54.89,70.41,86.03,19.22,20.97,23.53,24.54,72.76,992.81,79.84,N; Tset = 17.60; Ttrue = 0018.0; T1 = 23.64; RH1 = 77.14; T2 = 24.42; RH2 = 81.91
2017.11.03_22:17:34,46.22,57.47,71.04,8.55,9.15,12.36,24.27,4.25,1019.51,44.44,54.95,72.80,8.96,11.98,15.19,25.38,58.70,1027.05,55.25,N; Tset = 17.60; Ttrue = 0018.4; T1 = 24.37; RH1 = 55.80; T2 = 25.23; RH2 = 58.45
2017.11.03_22:18:34,43.02,57.44,69.08,8.45,8.68,12.51,24.27,4.26,1019.52,43.39,57.02,67.63,8.61,11.82,13.78,25.38,53.06,1027.05,49.86,N; Tset = 17.60; Ttrue = 0018.5; T1 = 24.33; RH1 = 52.29; T2 = 25.23; RH2 = 51.03
2017.11.03_22:19:34,46.68,57.05,68.66,8.59,10.46,11.75,24.27,4.27,1019.52,47.50,55.39,66.32,7.43,11.35,14.79,25.38,50.55,1027.05,48.09,N; Tset = 17.60; Ttrue = 0018.7; T1 = 24.31; RH1 = 50.53; T2 = 25.24; RH2 = 49.17
2017.11.03_22:20:36,44.24,59.86,70.50,8.34,9.46,11.80,24.27,4.30,1019.51,48.49,58.02,69.92,7.90,12.50,14.97,25.38,49.01,1027.05,47.29,N; Tset = 17.80; Ttrue = 0017.9; T1 = 24.26; RH1 = 49.82; T2 = 25.25; RH2 = 48.33
2017.11.03_22:21:42,43.16,55.76,70.17,7.77,8.42,11.76,24.27,4.30,1019.52,47.35,58.07,70.29,7.83,11.79,13.91,25.38,47.00,1027.06,45.48,N; Tset = 18.40; Ttrue = 0017.9; T1 = 24.20; RH1 = 47.94; T2 = 25.25; RH2 = 46.62
2017.11.03_22:22:48,44.66,60.37,74.12,9.09,9.50,12.72,24.27,4.34,1019.53,48.57,61.75,74.96,8.39,12.02,14.95,25.38,45.49,1027.06,44.50,N; Tset = 19.00; Ttrue = 0019.0; T1 = 24.13; RH1 = 47.46; T2 = 25.25; RH2 = 45.28
2017.11.03_22:23:54,46.07,59.83,75.70,9.02,10.07,12.43,24.27,4.38,1019.53,52.54,63.98,75.48,8.38,11.79,13.99,25.38,45.68,1027.07,45.97,N; Tset = 19.60; Ttrue = 0019.4; T1 = 24.08; RH1 = 49.57; T2 = 25.25; RH2 = 46.41
2017.11.03_22:25:00,41.76,57.47,70.67,8.28,8.69,11.44,24.27,4.38,1019.54,45.99,58.12,70.04,8.82,12.19,13.54,25.38,46.09,1027.07,47.20,N; Tset = 20.20; Ttrue = 0019.8; T1 = 24.02; RH1 = 51.03; T2 = 25.25; RH2 = 47.69
2017.11.03_22:26:04,46.76,57.10,69.85,8.64,9.35,11.32,24.27,4.41,1019.56,49.94,59.58,67.96,8.48,13.68,14.56,25.38,46.34,1027.08,48.02,N; Tset = 20.60; Ttrue = 0020.5; T1 = 23.97; RH1 = 52.21; T2 = 25.25; RH2 = 48.44
2017.11.03_22:27:10,47.20,60.06,73.67,9.10,10.72,14.83,24.27,4.46,1019.54,50.18,60.55,72.38,10.09,14.08,15.45,25.38,47.01,1027.06,49.40,N; Tset = 21.20; Ttrue = 0021.0; T1 = 23.92; RH1 = 54.00; T2 = 25.25; RH2 = 49.69
2017.11.03_22:28:14,43.84,58.19,70.43,7.75,8.23,14.36,24.27,4.48,1019.52,45.55,60.81,72.13,8.93,12.58,14.09,25.38,47.72,1027.06,50.65,N; Tset = 21.60; Ttrue = 0021.4; T1 = 23.87; RH1 = 55.55; T2 = 25.25; RH2 = 50.92
2017.11.03_22:29:18,45.52,59.70,71.15,8.84,9.50,12.98,24.27,4.51,1019.52,47.07,62.52,75.40,8.44,13.24,14.27,25.38,48.41,1027.05,51.78,N; Tset = 22.00; Ttrue = 0021.9; T1 = 23.82; RH1 = 57.00; T2 = 25.24; RH2 = 52.03
2017.11.03_22:30:24,45.46,60.56,71.67,8.75,11.02,14.07,24.27,4.54,1019.52,46.18,59.91,73.62,7.55,12.35,14.35,25.37,49.26,1027.03,53.12,N; Tset = 22.60; Ttrue = 0022.4; T1 = 23.78; RH1 = 58.65; T2 = 25.24; RH2 = 53.32
2017.11.03_22:31:28,47.33,57.74,69.53,9.94,8.95,12.36,24.27,4.56,1019.50,48.60,59.77,73.15,9.88,12.44,15.09,25.36,50.12,1027.03,54.40,N; Tset = 23.00; Ttrue = 0022.8; T1 = 23.74; RH1 = 60.17; T2 = 25.23; RH2 = 54.58
