2017.11.22_17:41:41,11.79,13.07,14.03,3.62,2.15,4.11,25.88,2.48,975.14,17.67,20.47,23.57,7.67,9.94,9.81,26.92,47.62,982.63,65.84,P; Tset = 15.80; Ttrue = NaN; T1 = 28.34; RH1 = 58.60; T2 = 28.70; RH2 = 57.13
2017.11.22_17:42:41,12.42,12.35,12.74,1.90,2.15,4.38,26.75,2.56,1008.79,20.08,18.32,22.79,9.35,10.03,10.74,27.80,49.09,1016.49,65.44,P; Tset = 15.80; Ttrue = NaN; T1 = 29.21; RH1 = 60.42; T2 = 29.62; RH2 = 58.80
2017.11.22_17:43:41,9.99,12.31,13.45,3.01,2.14,4.03,26.72,2.56,1008.79,17.53,18.11,24.11,9.51,9.35,10.66,27.76,48.90,1016.48,65.12,P; Tset = 16.00; Ttrue = NaN; T1 = 29.13; RH1 = 60.25; T2 = 29.56; RH2 = 58.56
2017.11.22_17:44:41,11.01,13.19,14.05,3.40,1.97,3.94,26.69,2.56,1008.89,16.79,21.38,26.30,8.56,9.29,10.55,27.72,48.72,1016.61,64.78,P; Tset = 17.00; Ttrue = NaN; T1 = 29.04; RH1 = 60.10; T2 = 29.49; RH2 = 58.33
2017.11.22_17:45:41,11.69,12.77,14.12,2.71,2.47,4.46,26.64,2.56,1008.91,24.03,21.15,24.82,8.48,10.17,10.45,27.68,48.55,1016.65,64.48,P; Tset = 17.80; Ttrue = NaN; T1 = 28.97; RH1 = 59.97; T2 = 29.44; RH2 = 58.11
2017.11.22_17:46:41,9.78,14.33,14.58,2.79,2.69,4.64,26.60,2.56,1008.83,17.47,21.93,21.64,9.50,10.80,10.23,27.65,48.40,1016.52,64.21,P; Tset = 18.80; Ttrue = NaN; T1 = 28.90; RH1 = 59.86; T2 = 29.37; RH2 = 57.93
2017.11.22_17:47:41,11.46,12.74,12.83,2.67,1.90,4.34,26.56,2.57,1008.83,19.82,22.27,23.48,8.36,9.69,9.47,27.61,48.26,1016.58,64.00,P; Tset = 19.60; Ttrue = NaN; T1 = 28.83; RH1 = 59.79; T2 = 29.33; RH2 = 57.78
2017.11.22_17:48:41,10.90,12.01,15.02,2.88,2.11,5.04,26.53,2.58,1008.98,19.12,23.11,24.77,8.16,9.76,10.19,27.55,48.14,1016.67,63.90,P; Tset = 20.40; Ttrue = NaN; T1 = 28.75; RH1 = 59.73; T2 = 29.29; RH2 = 57.66
2017.11.22_17:49:41,11.81,13.57,15.11,2.82,2.52,4.46,26.50,2.58,1008.96,18.05,21.43,23.75,8.25,10.14,10.13,27.49,47.99,1016.65,63.76,P; Tset = 21.40; Ttrue = NaN; T1 = 28.68; RH1 = 59.63; T2 = 29.24; RH2 = 57.48
2017.11.22_17:50:41,10.47,13.12,14.22,3.07,1.78,4.57,26.48,2.56,1008.89,21.59,16.82,22.53,8.81,9.10,8.47,27.45,47.84,1016.59,63.57,P; Tset = 22.00; Ttrue = NaN; T1 = 28.61; RH1 = 59.52; T2 = 29.20; RH2 = 57.30
2017.11.22_17:51:41,11.67,13.62,13.01,2.99,2.04,3.87,26.44,2.58,1008.98,19.57,16.99,21.96,7.97,9.69,9.23,27.42,47.69,1016.66,63.35,P; Tset = 22.80; Ttrue = NaN; T1 = 28.55; RH1 = 59.44; T2 = 29.15; RH2 = 57.15
