2017.11.17_13:28:39,31.78,34.67,37.76,5.93,6.66,7.93,21.29,2.58,978.42,33.35,38.97,42.42,9.31,11.28,12.52,22.67,60.03,985.65,72.43,N; Tset = 10.00; Ttrue = 017.4; T1 = 23.08; RH1 = 65.56; T2 = 23.09; RH2 = 70.90
2017.11.17_13:29:39,28.06,34.69,40.43,6.50,5.80,8.91,22.03,2.66,1012.20,28.03,36.31,39.01,8.16,9.11,10.31,23.45,52.89,1019.61,58.62,N; Tset = 10.00; Ttrue = 017.6; T1 = 23.83; RH1 = 55.92; T2 = 23.84; RH2 = 58.66
2017.11.17_13:30:47,34.90,42.65,47.99,7.42,5.99,9.31,22.03,2.66,1012.12,39.45,48.97,46.82,8.90,10.20,10.27,23.44,50.39,1019.59,56.14,N; Tset = 10.80; Ttrue = 017.7; T1 = 23.78; RH1 = 54.65; T2 = 23.82; RH2 = 55.26
2017.11.17_13:31:59,27.02,35.35,39.61,7.63,5.47,7.69,22.03,2.68,1012.18,36.11,36.01,40.20,8.81,9.51,10.50,23.43,49.40,1019.67,55.74,N; Tset = 12.00; Ttrue = 017.8; T1 = 23.76; RH1 = 54.58; T2 = 23.80; RH2 = 54.61
2017.11.17_13:33:09,34.20,36.76,42.89,10.11,5.82,7.88,22.03,2.72,1012.22,32.05,33.48,42.36,7.52,11.05,11.12,23.43,49.05,1019.69,55.89,N; Tset = 13.00; Ttrue = 017.8; T1 = 23.75; RH1 = 54.94; T2 = 23.79; RH2 = 54.60
2017.11.17_13:34:19,30.00,34.14,42.30,8.24,6.12,8.57,22.03,2.76,1012.22,32.29,36.40,44.49,7.74,11.40,12.78,23.43,48.77,1019.70,55.78,N; Tset = 14.00; Ttrue = 016.8; T1 = 23.76; RH1 = 54.67; T2 = 23.80; RH2 = 54.58
2017.11.17_13:35:29,28.49,34.76,41.79,7.80,6.78,8.23,22.03,2.81,1012.27,36.36,36.24,42.22,8.64,10.31,10.80,23.43,47.30,1019.74,53.78,N; Tset = 15.00; Ttrue = 016.1; T1 = 23.79; RH1 = 52.40; T2 = 23.82; RH2 = 52.81
2017.11.17_13:36:39,29.19,33.62,41.45,5.98,5.92,8.03,22.03,2.82,1012.24,33.86,33.56,42.64,9.02,9.74,11.08,23.43,45.75,1019.73,51.78,N; Tset = 16.00; Ttrue = 015.6; T1 = 23.80; RH1 = 50.40; T2 = 23.83; RH2 = 50.80
2017.11.17_13:37:49,32.35,35.30,45.96,8.19,6.35,8.05,22.03,2.77,1012.20,37.93,35.55,46.58,10.27,9.67,9.92,23.43,44.32,1019.70,50.18,N; Tset = 17.00; Ttrue = 016.5; T1 = 23.81; RH1 = 48.91; T2 = 23.85; RH2 = 49.10
2017.11.17_13:38:59,29.89,34.67,41.72,6.60,6.61,8.91,22.04,2.73,1012.23,44.41,34.49,38.97,8.00,9.35,9.72,23.45,44.19,1019.73,50.78,N; Tset = 18.00; Ttrue = 017.8; T1 = 23.78; RH1 = 50.16; T2 = 23.86; RH2 = 49.16
2017.11.17_13:40:07,26.92,33.18,40.03,9.05,7.16,7.39,22.05,2.73,1012.31,32.06,33.51,39.56,8.14,9.44,10.19,23.45,45.81,1019.81,53.74,N; Tset = 18.80; Ttrue = 018.6; T1 = 23.73; RH1 = 53.53; T2 = 23.85; RH2 = 51.79
