2017.11.07_00:21:10,648.22,880.95,1074.26,95.74,105.52,121.41,22.12,13.90,968.14,681.87,873.30,1023.76,91.33,102.88,119.17,22.97,15.93,975.11,19.01,P; Tset = 14.80; Ttrue = NaN; T1 = 20.99; RH1 = 20.88; T2 = 22.76; RH2 = 18.55
2017.11.07_00:22:10,669.41,913.39,1113.83,97.67,106.87,126.09,22.88,14.39,1001.54,707.56,907.11,1062.36,93.25,106.94,122.94,23.76,16.50,1008.73,19.06,P; Tset = 14.80; Ttrue = NaN; T1 = 21.70; RH1 = 21.69; T2 = 23.54; RH2 = 19.22
2017.11.07_00:23:10,678.33,916.84,1116.38,98.14,109.34,124.38,22.86,14.39,1001.50,705.14,908.32,1066.75,95.89,108.97,124.88,23.74,16.52,1008.70,19.09,P; Tset = 14.80; Ttrue = NaN; T1 = 21.69; RH1 = 21.71; T2 = 23.53; RH2 = 19.25
2017.11.07_00:24:10,680.94,917.65,1120.61,98.07,107.12,125.47,22.86,14.40,1001.48,707.33,914.01,1064.69,94.84,109.39,124.79,23.74,16.52,1008.69,19.07,P; Tset = 14.80; Ttrue = NaN; T1 = 21.68; RH1 = 21.69; T2 = 23.52; RH2 = 19.25
2017.11.07_00:25:10,665.55,909.54,1115.59,98.27,108.38,124.75,22.86,14.38,1001.48,715.16,913.53,1059.97,94.35,107.21,124.67,23.74,16.51,1008.67,19.05,P; Tset = 15.20; Ttrue = NaN; T1 = 21.67; RH1 = 21.68; T2 = 23.51; RH2 = 19.23
2017.11.07_00:26:10,670.50,916.99,1112.23,97.35,108.62,124.14,22.86,14.37,1001.44,711.96,910.35,1067.22,94.59,106.16,124.37,23.72,16.49,1008.63,19.03,P; Tset = 15.80; Ttrue = NaN; T1 = 21.66; RH1 = 21.64; T2 = 23.51; RH2 = 19.20
2017.11.07_00:27:10,670.93,915.74,1111.89,97.52,108.18,123.86,22.86,14.34,1001.39,709.02,907.62,1059.39,93.76,106.00,122.30,23.72,16.45,1008.60,18.99,P; Tset = 16.40; Ttrue = NaN; T1 = 21.66; RH1 = 21.59; T2 = 23.50; RH2 = 19.17
2017.11.07_00:28:10,674.80,906.91,1109.27,97.90,107.71,122.65,22.86,14.31,1001.39,711.53,905.69,1057.72,94.87,105.83,121.61,23.72,16.43,1008.59,18.96,P; Tset = 16.80; Ttrue = NaN; T1 = 21.64; RH1 = 21.57; T2 = 23.49; RH2 = 19.15
2017.11.07_00:29:10,679.64,901.62,1110.76,98.20,110.11,124.10,22.84,14.31,1001.37,704.54,898.77,1051.16,92.36,104.16,121.86,23.70,16.42,1008.57,18.97,P; Tset = 17.40; Ttrue = NaN; T1 = 21.64; RH1 = 21.58; T2 = 23.49; RH2 = 19.15
2017.11.07_00:30:10,671.43,907.88,1103.49,98.45,108.23,124.96,22.84,14.33,1001.35,710.56,906.99,1055.63,95.31,105.65,121.74,23.70,16.42,1008.56,18.99,P; Tset = 18.00; Ttrue = NaN; T1 = 21.63; RH1 = 21.61; T2 = 23.48; RH2 = 19.16
2017.11.07_00:31:10,675.12,902.97,1105.78,96.83,107.86,123.12,22.84,14.34,1001.36,706.02,902.76,1059.39,96.45,106.73,126.16,23.70,16.44,1008.57,19.01,P; Tset = 18.40; Ttrue = NaN; T1 = 21.62; RH1 = 21.64; T2 = 23.48; RH2 = 19.18
2017.11.07_00:32:10,677.82,907.91,1112.02,98.26,107.12,124.45,22.83,14.39,1001.36,705.71,901.63,1060.39,95.79,107.17,121.94,23.68,16.45,1008.59,19.05,P; Tset = 19.00; Ttrue = NaN; T1 = 21.61; RH1 = 21.68; T2 = 23.48; RH2 = 19.20
2017.11.07_00:33:10,669.05,902.28,1113.96,95.97,105.82,122.94,22.82,14.39,1001.37,707.61,907.05,1060.48,94.06,108.07,121.63,23.68,16.46,1008.60,19.06,P; Tset = 19.40; Ttrue = NaN; T1 = 21.60; RH1 = 21.70; T2 = 23.47; RH2 = 19.22
2017.11.07_00:34:10,674.90,911.15,1107.59,96.60,106.41,122.75,22.82,14.40,1001.40,704.68,903.39,1064.87,92.97,106.38,122.11,23.67,16.46,1008.60,19.06,P; Tset = 19.80; Ttrue = NaN; T1 = 21.59; RH1 = 21.71; T2 = 23.47; RH2 = 19.21
2017.11.07_00:35:10,668.73,901.93,1104.00,98.30,105.20,122.15,22.82,14.39,1001.41,700.49,896.43,1053.89,92.48,105.32,123.56,23.66,16.46,1008.61,19.08,P; Tset = 20.40; Ttrue = NaN; T1 = 21.58; RH1 = 21.73; T2 = 23.46; RH2 = 19.21
2017.11.07_00:36:10,670.31,906.79,1108.31,97.07,105.68,122.40,22.82,14.39,1001.42,703.05,901.33,1051.20,94.29,107.10,123.12,23.66,16.45,1008.60,19.06,P; Tset = 20.80; Ttrue = NaN; T1 = 21.57; RH1 = 21.71; T2 = 23.46; RH2 = 19.21
