2017.10.31_23:01:30,328.61,468.39,591.65,58.37,64.37,75.38,27.11,7.68,967.97,375.15,501.87,609.43,55.50,64.96,75.30,27.64,56.60,975.67,56.22,N; Tset = 18.80; Ttrue = 0019.6; T1 = 26.47; RH1 = 54.20; T2 = 27.26; RH2 = 59.52
2017.10.31_23:02:30,337.27,477.66,610.76,61.55,69.28,79.31,28.05,7.94,1001.38,386.40,505.54,626.09,54.80,66.01,80.65,28.59,50.58,1009.33,47.77,N; Tset = 18.80; Ttrue = 0019.8; T1 = 27.36; RH1 = 50.31; T2 = 28.20; RH2 = 49.86
2017.10.31_23:03:30,350.57,482.87,616.18,62.27,67.72,76.37,28.07,7.93,1001.40,384.94,510.27,627.29,57.94,67.30,76.62,28.58,47.52,1009.34,45.62,N; Tset = 18.80; Ttrue = 0020.0; T1 = 27.32; RH1 = 48.24; T2 = 28.21; RH2 = 47.42
2017.10.31_23:04:30,347.67,487.26,619.04,67.45,69.25,77.44,28.07,7.93,1001.42,383.62,515.88,631.98,61.77,68.66,75.82,28.58,45.78,1009.36,44.82,N; Tset = 18.80; Ttrue = 0020.0; T1 = 27.29; RH1 = 47.62; T2 = 28.22; RH2 = 46.39
2017.10.31_23:05:34,343.50,499.17,619.02,69.51,70.91,78.27,28.08,7.91,1001.36,394.71,520.18,633.49,58.23,72.18,81.28,28.59,44.53,1009.32,44.24,N; Tset = 19.20; Ttrue = 0019.1; T1 = 27.26; RH1 = 47.21; T2 = 28.22; RH2 = 45.74
2017.10.31_23:06:40,338.74,485.27,618.83,61.63,70.88,79.00,28.09,7.91,1001.28,378.07,507.67,625.61,58.37,66.71,78.30,28.59,42.66,1009.24,42.52,N; Tset = 19.80; Ttrue = 0019.3; T1 = 27.21; RH1 = 45.48; T2 = 28.23; RH2 = 44.02
2017.10.31_23:07:46,343.65,482.18,616.20,61.50,67.49,76.88,28.09,7.91,1001.32,392.04,510.89,620.99,59.18,65.54,75.51,28.59,41.43,1009.25,41.89,N; Tset = 20.40; Ttrue = 0020.4; T1 = 27.14; RH1 = 45.33; T2 = 28.24; RH2 = 43.01
2017.10.31_23:08:52,346.45,482.86,625.27,64.40,68.13,78.07,28.11,7.91,1001.33,393.45,511.91,635.81,56.24,63.04,77.24,28.60,41.76,1009.27,43.38,N; Tset = 21.00; Ttrue = 0020.9; T1 = 27.08; RH1 = 47.48; T2 = 28.24; RH2 = 44.21
2017.10.31_23:09:58,342.43,484.78,615.93,60.95,66.13,77.69,28.11,7.89,1001.26,388.73,516.88,638.17,58.30,65.62,74.67,28.62,42.28,1009.21,44.54,N; Tset = 21.60; Ttrue = 0021.3; T1 = 27.03; RH1 = 48.95; T2 = 28.24; RH2 = 45.45
2017.10.31_23:11:04,338.12,481.28,613.60,61.91,66.64,76.55,28.11,7.90,1001.22,390.02,523.81,635.25,58.49,66.32,76.46,28.62,42.64,1009.18,45.42,N; Tset = 22.20; Ttrue = 0022.0; T1 = 26.98; RH1 = 50.12; T2 = 28.24; RH2 = 46.27
2017.10.31_23:12:08,340.26,483.40,611.06,61.52,67.23,77.40,28.12,7.91,1001.27,391.72,520.35,638.51,59.27,67.97,74.30,28.61,43.34,1009.23,46.71,N; Tset = 22.60; Ttrue = 0022.5; T1 = 26.93; RH1 = 51.80; T2 = 28.24; RH2 = 47.49
2017.10.31_23:13:14,341.87,502.74,617.54,60.38,68.72,77.90,28.13,7.91,1001.28,399.51,521.91,640.94,59.55,66.08,77.15,28.61,44.11,1009.25,47.97,N; Tset = 23.20; Ttrue = 0023.0; T1 = 26.88; RH1 = 53.35; T2 = 28.24; RH2 = 48.75
