2017.11.03_06:33:27,33.46,39.92,49.50,7.31,6.89,9.98,23.94,5.25,980.76,39.86,50.06,58.67,14.77,17.40,19.56,24.99,71.44,988.01,76.71,N; Tset = 17.80; Ttrue = 018.1; T1 = 23.85; RH1 = 74.95; T2 = 24.73; RH2 = 79.69
2017.11.03_06:34:27,34.05,37.08,44.39,7.92,7.49,9.10,24.76,5.42,1014.61,35.38,40.27,47.23,7.17,9.19,10.19,25.83,57.07,1022.10,52.44,N; Tset = 17.80; Ttrue = 018.4; T1 = 24.59; RH1 = 53.87; T2 = 25.57; RH2 = 55.71
2017.11.03_06:35:27,29.67,35.87,43.67,5.63,5.25,8.64,24.76,5.42,1014.63,30.02,36.92,47.41,5.76,9.24,10.85,25.81,51.68,1022.12,47.60,N; Tset = 17.80; Ttrue = 018.5; T1 = 24.54; RH1 = 50.53; T2 = 25.57; RH2 = 49.05
2017.11.03_06:36:27,28.33,37.16,43.45,6.02,5.14,9.33,24.76,5.42,1014.65,29.65,37.57,44.15,6.24,8.93,11.33,25.80,49.32,1022.17,46.10,N; Tset = 17.80; Ttrue = 018.6; T1 = 24.50; RH1 = 49.10; T2 = 25.57; RH2 = 47.41
2017.11.03_06:37:29,27.66,36.68,43.66,5.98,5.69,8.81,24.76,5.44,1014.67,30.46,35.99,45.04,5.10,10.15,11.04,25.80,47.89,1022.19,45.53,N; Tset = 18.00; Ttrue = 018.7; T1 = 24.46; RH1 = 48.71; T2 = 25.57; RH2 = 46.73
2017.11.03_06:38:35,24.64,30.23,38.24,5.77,5.08,8.25,24.74,5.44,1014.71,27.97,33.32,39.10,4.97,8.73,10.54,25.79,46.86,1022.19,45.32,N; Tset = 18.60; Ttrue = 018.2; T1 = 24.41; RH1 = 48.69; T2 = 25.57; RH2 = 46.39
2017.11.03_06:39:41,26.89,32.29,42.88,5.73,5.04,7.39,24.74,5.44,1014.71,26.26,34.33,42.73,4.88,9.29,10.15,25.79,45.61,1022.20,44.45,N; Tset = 19.20; Ttrue = 019.0; T1 = 24.36; RH1 = 47.87; T2 = 25.56; RH2 = 45.54
2017.11.03_06:40:47,28.49,34.86,40.19,5.94,5.38,8.09,24.74,5.45,1014.71,31.68,37.49,44.66,4.92,9.70,10.77,25.79,45.05,1022.22,44.62,N; Tset = 19.80; Ttrue = 019.8; T1 = 24.28; RH1 = 48.65; T2 = 25.56; RH2 = 45.39
2017.11.03_06:41:53,28.55,33.57,41.60,4.91,5.28,7.90,24.74,5.47,1014.72,31.73,35.58,41.34,5.33,9.19,9.96,25.78,45.57,1022.23,46.17,N; Tset = 20.40; Ttrue = 020.2; T1 = 24.22; RH1 = 50.66; T2 = 25.56; RH2 = 46.79
2017.11.03_06:42:57,27.51,30.91,39.26,6.01,5.60,7.01,24.74,5.49,1014.73,26.73,31.10,38.77,4.38,8.38,8.72,25.78,46.09,1022.25,47.37,N; Tset = 20.80; Ttrue = 020.7; T1 = 24.18; RH1 = 52.15; T2 = 25.56; RH2 = 47.98
2017.11.03_06:44:03,26.89,32.77,38.11,5.12,4.69,6.91,24.73,5.50,1014.74,27.19,33.81,37.52,4.93,7.73,8.84,25.78,46.66,1022.23,48.53,N; Tset = 21.40; Ttrue = 021.2; T1 = 24.12; RH1 = 53.68; T2 = 25.55; RH2 = 49.08
