2017.11.21_15:12:41,376.73,531.38,667.31,64.47,71.51,82.22,28.10,12.50,967.47,729.72,927.54,1093.02,101.74,110.68,124.78,29.37,64.23,975.26,76.43,N; Tset = 11.40; Ttrue = 0012.4; T1 = 33.62; RH1 = 50.33; T2 = 31.20; RH2 = 74.83
2017.11.21_15:13:41,411.78,575.61,715.49,71.10,76.91,88.24,29.09,12.22,1000.87,615.10,803.27,954.43,94.74,104.10,117.93,30.40,45.09,1008.93,45.93,N; Tset = 11.40; Ttrue = 0013.0; T1 = 34.69; RH1 = 32.70; T2 = 32.24; RH2 = 45.24
2017.11.21_15:14:41,408.87,574.59,723.86,71.94,77.17,88.33,29.11,11.68,1000.91,621.32,801.69,955.76,91.85,102.21,117.93,30.41,39.12,1008.95,41.48,N; Tset = 11.40; Ttrue = 0013.4; T1 = 34.59; RH1 = 31.47; T2 = 32.24; RH2 = 38.87
2017.11.21_15:15:45,408.28,581.03,727.28,71.78,79.54,88.66,29.14,11.46,1000.91,618.42,804.56,955.21,93.92,102.35,118.28,30.43,36.32,1008.96,40.40,N; Tset = 11.80; Ttrue = 0013.7; T1 = 34.50; RH1 = 31.40; T2 = 32.24; RH2 = 37.29
2017.11.21_15:16:53,412.52,577.96,725.83,70.38,76.48,89.54,29.16,11.48,1000.94,619.67,812.24,962.75,93.12,105.56,116.53,30.46,34.49,1009.00,40.02,N; Tset = 12.60; Ttrue = 0014.0; T1 = 34.42; RH1 = 31.64; T2 = 32.25; RH2 = 36.63
2017.11.21_15:17:59,412.40,581.66,730.00,69.26,77.11,90.11,29.20,11.67,1000.99,625.14,816.13,964.39,94.84,104.65,117.18,30.49,33.30,1009.05,39.95,N; Tset = 13.20; Ttrue = 0014.2; T1 = 34.33; RH1 = 32.00; T2 = 32.25; RH2 = 36.36
2017.11.21_15:19:07,411.65,579.40,718.62,69.93,76.18,87.82,29.22,11.82,1001.00,614.22,795.98,944.31,90.93,102.43,115.32,30.51,32.52,1009.07,40.00,N; Tset = 14.00; Ttrue = 0014.5; T1 = 34.21; RH1 = 32.44; T2 = 32.26; RH2 = 36.28
2017.11.21_15:20:13,402.61,572.01,711.80,68.70,75.22,88.05,29.25,12.07,1000.97,608.67,797.25,943.72,92.12,101.54,116.21,30.54,32.02,1009.02,40.25,N; Tset = 14.60; Ttrue = 0014.8; T1 = 34.10; RH1 = 33.05; T2 = 32.26; RH2 = 36.38
2017.11.21_15:21:19,404.88,568.27,718.08,68.82,76.03,87.32,29.27,12.20,1000.91,591.00,781.96,932.56,90.97,97.43,111.43,30.56,31.83,1008.96,40.73,N; Tset = 15.20; Ttrue = 0015.0; T1 = 33.95; RH1 = 33.80; T2 = 32.28; RH2 = 36.77
2017.11.21_15:22:27,405.87,572.45,713.44,68.02,78.33,89.64,29.30,12.11,1000.88,612.91,798.61,948.15,92.54,105.31,115.49,30.58,31.56,1008.94,40.88,N; Tset = 16.00; Ttrue = 0015.3; T1 = 33.83; RH1 = 34.22; T2 = 32.29; RH2 = 36.90
2017.11.21_15:23:33,405.91,566.29,705.59,68.69,76.04,87.34,29.32,12.27,1000.89,605.45,782.24,929.29,93.04,100.73,112.00,30.60,31.49,1008.96,41.31,N; Tset = 16.60; Ttrue = 0016.6; T1 = 33.71; RH1 = 34.96; T2 = 32.29; RH2 = 37.21
2017.11.21_15:24:39,399.37,563.92,701.59,69.02,75.45,86.32,29.33,12.30,1000.93,597.08,785.56,928.03,91.91,98.92,111.69,30.62,32.29,1009.00,43.09,N; Tset = 17.20; Ttrue = 0017.0; T1 = 33.60; RH1 = 36.91; T2 = 32.30; RH2 = 38.62
2017.11.21_15:25:45,400.01,560.83,702.80,69.30,75.05,85.14,29.36,12.26,1000.97,639.02,828.17,985.97,95.59,103.31,119.25,30.64,32.73,1009.04,43.84,N; Tset = 17.80; Ttrue = 0017.4; T1 = 33.50; RH1 = 37.66; T2 = 32.32; RH2 = 39.47
2017.11.21_15:26:51,400.13,565.79,707.09,67.92,77.14,88.11,29.37,12.15,1001.02,643.85,851.57,1006.29,95.43,106.62,122.07,30.67,32.92,1009.07,44.26,N; Tset = 18.40; Ttrue = 0018.2; T1 = 33.41; RH1 = 38.34; T2 = 32.34; RH2 = 39.84
