2017.11.14_07:31:44,16.31,18.55,22.75,3.38,2.96,5.01,24.27,2.77,976.86,17.63,22.13,27.14,15.23,15.36,15.77,25.14,71.72,984.17,77.61,N; Tset = 18.20; Ttrue = 018.5; T1 = 23.89; RH1 = 76.69; T2 = 24.81; RH2 = 80.53
2017.11.14_07:32:44,15.44,18.71,21.43,3.08,2.64,4.91,25.11,2.88,1010.57,16.25,18.90,23.32,6.01,8.98,9.66,25.99,58.08,1018.11,54.20,N; Tset = 18.20; Ttrue = 018.8; T1 = 24.66; RH1 = 55.95; T2 = 25.63; RH2 = 57.90
2017.11.14_07:33:44,16.08,19.24,20.42,3.29,2.93,4.85,25.11,2.86,1010.59,18.59,18.81,23.61,5.70,8.58,9.17,25.98,52.72,1018.12,49.01,N; Tset = 18.20; Ttrue = 018.9; T1 = 24.62; RH1 = 52.46; T2 = 25.63; RH2 = 50.69
2017.11.14_07:34:44,14.01,17.14,19.18,2.75,2.76,4.48,25.11,2.86,1010.59,14.37,20.37,21.46,5.73,9.00,9.29,25.96,50.36,1018.13,47.49,N; Tset = 18.20; Ttrue = 019.0; T1 = 24.58; RH1 = 50.91; T2 = 25.63; RH2 = 49.05
2017.11.14_07:35:44,16.32,19.49,25.57,2.77,2.90,5.49,25.11,2.87,1010.56,16.03,18.72,23.17,6.42,8.74,9.87,25.96,48.99,1018.10,46.88,N; Tset = 18.20; Ttrue = 019.1; T1 = 24.55; RH1 = 50.42; T2 = 25.63; RH2 = 48.34
2017.11.14_07:36:50,16.61,18.46,21.39,3.76,2.49,5.10,25.11,2.88,1010.56,15.24,19.63,22.16,5.75,8.81,9.73,25.96,47.99,1018.08,46.61,N; Tset = 18.80; Ttrue = 018.5; T1 = 24.51; RH1 = 50.32; T2 = 25.63; RH2 = 47.97
2017.11.14_07:37:56,16.40,18.04,20.61,3.30,3.02,5.64,25.11,2.86,1010.57,17.37,21.13,25.47,6.54,9.34,9.69,25.96,46.69,1018.11,45.59,N; Tset = 19.40; Ttrue = 019.0; T1 = 24.46; RH1 = 49.30; T2 = 25.63; RH2 = 47.01
2017.11.14_07:39:02,15.37,18.44,19.96,3.63,2.15,4.30,25.10,2.85,1010.62,15.34,19.56,25.63,6.47,8.42,10.18,25.96,45.80,1018.15,45.25,N; Tset = 20.00; Ttrue = 019.8; T1 = 24.40; RH1 = 49.43; T2 = 25.63; RH2 = 46.36
2017.11.14_07:40:06,15.20,23.51,21.50,3.07,2.73,5.34,25.09,2.85,1010.64,15.60,19.61,25.00,6.11,8.32,10.41,25.96,46.13,1018.17,46.58,N; Tset = 20.40; Ttrue = 020.2; T1 = 24.35; RH1 = 51.31; T2 = 25.62; RH2 = 47.47
2017.11.14_07:41:12,13.87,18.91,22.11,2.87,3.01,5.18,25.09,2.86,1010.63,16.65,18.72,22.98,5.89,8.20,10.23,25.96,46.71,1018.17,47.87,N; Tset = 21.00; Ttrue = 020.7; T1 = 24.31; RH1 = 52.93; T2 = 25.62; RH2 = 48.76
2017.11.14_07:42:16,13.76,17.41,22.27,2.61,2.67,4.49,25.09,2.86,1010.64,15.61,19.06,24.99,6.14,8.56,10.21,25.96,47.23,1018.19,48.94,N; Tset = 21.40; Ttrue = 021.2; T1 = 24.26; RH1 = 54.33; T2 = 25.62; RH2 = 49.77
2017.11.14_07:43:20,15.12,18.61,21.74,3.57,3.18,5.11,25.09,2.86,1010.65,18.24,20.31,25.32,6.87,8.59,9.74,25.95,47.90,1018.22,50.15,N; Tset = 21.80; Ttrue = 021.7; T1 = 24.21; RH1 = 55.89; T2 = 25.61; RH2 = 50.92
2017.11.14_07:44:24,13.56,17.93,21.46,3.60,2.86,5.53,25.09,2.86,1010.62,18.18,19.39,23.76,5.76,8.54,9.65,25.94,48.70,1018.19,51.44,N; Tset = 22.20; Ttrue = 022.1; T1 = 24.18; RH1 = 57.48; T2 = 25.61; RH2 = 52.17
2017.11.14_07:45:30,14.15,17.68,20.26,2.36,2.56,5.41,25.09,2.83,1010.60,14.90,18.36,23.26,6.06,8.39,9.30,25.94,49.49,1018.18,52.65,N; Tset = 22.80; Ttrue = 022.6; T1 = 24.15; RH1 = 58.97; T2 = 25.61; RH2 = 53.36
2017.11.14_07:46:34,13.88,18.54,21.67,3.47,2.27,6.29,25.08,2.80,1010.64,16.03,18.72,23.97,6.15,8.91,9.57,25.94,50.34,1018.19,53.87,N; Tset = 23.20; Ttrue = 023.0; T1 = 24.12; RH1 = 60.50; T2 = 25.60; RH2 = 54.58
2017.11.14_07:47:38,15.85,18.39,19.79,3.03,2.25,4.36,25.07,2.79,1010.69,16.19,20.75,24.51,6.54,9.00,9.35,25.94,51.21,1018.23,55.08,N; Tset = 23.60; Ttrue = 023.4; T1 = 24.09; RH1 = 61.95; T2 = 25.59; RH2 = 55.81
2017.11.14_07:48:42,14.23,19.84,21.57,3.07,3.00,4.74,25.07,2.78,1010.72,17.48,20.27,23.82,6.93,9.28,10.14,25.92,52.11,1018.24,56.35,N; Tset = 24.00; Ttrue = 023.8; T1 = 24.06; RH1 = 63.43; T2 = 25.60; RH2 = 57.04
