2017.11.23_21:00:07,9.25,12.34,13.38,2.62,2.26,4.21,21.37,4.52,977.12,14.44,18.67,24.42,8.24,9.42,10.85,22.49,61.86,984.25,72.57,N; Tset = 10.00; Ttrue = 016.7; T1 = 22.91; RH1 = 64.80; T2 = 22.82; RH2 = 72.34
2017.11.23_21:01:07,9.95,12.90,12.97,2.27,1.71,4.36,22.09,4.68,1010.81,12.02,15.60,20.52,8.06,8.95,9.51,23.25,52.86,1018.15,56.34,N; Tset = 10.00; Ttrue = 016.9; T1 = 23.67; RH1 = 53.08; T2 = 23.58; RH2 = 57.10
2017.11.23_21:02:15,9.47,11.45,13.26,2.11,2.79,4.05,22.07,4.69,1010.82,14.66,16.55,21.35,7.73,9.30,9.04,23.25,49.85,1018.16,53.53,N; Tset = 10.80; Ttrue = 017.1; T1 = 23.66; RH1 = 51.58; T2 = 23.57; RH2 = 53.17
2017.11.23_21:03:27,10.36,12.27,14.18,2.39,2.21,4.49,22.07,4.69,1010.85,13.69,16.98,21.72,7.63,9.27,9.06,23.23,48.52,1018.20,53.01,N; Tset = 12.00; Ttrue = 017.2; T1 = 23.65; RH1 = 51.40; T2 = 23.55; RH2 = 52.31
2017.11.23_21:04:37,10.10,12.36,13.98,3.26,2.21,4.28,22.05,4.70,1010.83,15.75,17.39,20.49,8.03,9.00,9.95,23.23,47.88,1018.19,52.98,N; Tset = 13.00; Ttrue = 016.7; T1 = 23.63; RH1 = 51.59; T2 = 23.54; RH2 = 52.15
2017.11.23_21:05:47,9.50,12.21,14.87,2.94,2.03,4.20,22.05,4.70,1010.86,14.45,17.97,21.79,8.24,8.95,9.93,23.23,46.96,1018.23,52.07,N; Tset = 14.00; Ttrue = 015.8; T1 = 23.60; RH1 = 50.57; T2 = 23.53; RH2 = 51.51
2017.11.23_21:06:57,10.18,12.60,14.41,2.59,1.84,4.15,22.03,4.71,1010.84,13.69,17.15,23.15,8.08,9.10,10.19,23.23,45.08,1018.21,49.69,N; Tset = 15.00; Ttrue = 015.0; T1 = 23.58; RH1 = 48.23; T2 = 23.51; RH2 = 49.27
2017.11.23_21:08:07,13.80,11.94,14.59,2.92,1.76,4.36,22.03,4.72,1010.84,14.55,17.18,23.00,8.40,9.00,9.03,23.23,43.35,1018.22,47.62,N; Tset = 16.00; Ttrue = 015.4; T1 = 23.54; RH1 = 46.36; T2 = 23.51; RH2 = 47.22
2017.11.23_21:09:17,11.24,13.30,15.07,3.09,2.06,4.24,22.03,4.72,1010.79,14.70,17.00,23.03,9.41,9.16,9.49,23.22,42.61,1018.18,47.32,N; Tset = 17.00; Ttrue = 016.8; T1 = 23.51; RH1 = 46.52; T2 = 23.50; RH2 = 46.49
2017.11.23_21:10:27,10.50,12.80,15.72,2.70,2.46,3.91,22.02,4.74,1010.88,14.71,18.02,22.58,8.11,9.23,9.29,23.21,43.91,1018.25,49.98,N; Tset = 18.00; Ttrue = 017.7; T1 = 23.49; RH1 = 49.60; T2 = 23.50; RH2 = 48.69
2017.11.23_21:11:35,10.31,12.72,14.70,2.90,2.86,4.48,22.01,4.74,1010.82,14.35,16.46,22.38,8.45,9.01,9.08,23.21,45.52,1018.20,52.59,N; Tset = 18.80; Ttrue = 018.6; T1 = 23.47; RH1 = 52.25; T2 = 23.49; RH2 = 51.22
2017.11.23_21:12:45,11.05,12.31,15.39,3.11,1.79,4.64,22.01,4.75,1010.86,13.71,17.54,22.48,11.33,9.66,9.35,23.21,47.16,1018.23,55.09,N; Tset = 19.80; Ttrue = 019.5; T1 = 23.46; RH1 = 54.82; T2 = 23.50; RH2 = 53.59
2017.11.23_21:13:53,10.56,13.00,14.87,2.86,2.19,4.78,22.01,4.76,1010.90,14.66,18.44,23.47,8.14,9.57,9.31,23.21,48.97,1018.25,57.71,N; Tset = 20.60; Ttrue = 020.3; T1 = 23.46; RH1 = 57.47; T2 = 23.50; RH2 = 56.08
2017.11.23_21:15:01,11.17,12.79,15.04,2.95,2.31,4.15,21.99,4.76,1010.83,15.96,18.77,24.46,8.22,9.96,9.51,23.21,50.88,1018.21,60.36,N; Tset = 21.40; Ttrue = 021.2; T1 = 23.47; RH1 = 60.12; T2 = 23.51; RH2 = 58.60
2017.11.23_21:16:09,11.09,13.51,15.83,3.30,2.42,4.03,21.99,4.77,1010.89,17.35,20.40,25.77,7.97,11.01,9.99,23.21,52.92,1018.26,63.13,N; Tset = 22.20; Ttrue = 022.0; T1 = 23.48; RH1 = 62.85; T2 = 23.51; RH2 = 61.27
2017.11.23_21:17:17,11.29,14.48,15.83,3.09,2.36,4.44,21.99,4.78,1010.85,17.26,19.76,25.77,9.10,10.14,12.21,23.21,55.06,1018.18,66.02,N; Tset = 23.00; Ttrue = 022.8; T1 = 23.50; RH1 = 65.67; T2 = 23.52; RH2 = 64.01
2017.11.23_21:18:25,10.91,13.80,15.79,2.87,2.22,4.62,21.97,4.78,1010.88,16.19,21.27,25.61,8.29,9.90,10.76,23.21,57.31,1018.24,69.00,N; Tset = 23.80; Ttrue = 023.6; T1 = 23.53; RH1 = 68.52; T2 = 23.52; RH2 = 66.84
2017.11.23_21:19:33,10.76,13.46,15.24,2.92,1.99,4.64,21.97,4.80,1010.84,16.64,21.12,26.29,8.55,10.43,10.48,23.20,59.57,1018.24,71.96,N; Tset = 24.60; Ttrue = 024.4; T1 = 23.57; RH1 = 71.27; T2 = 23.53; RH2 = 69.68
2017.11.23_21:20:41,11.36,13.51,15.64,2.81,2.28,4.87,21.96,4.80,1010.79,18.95,19.91,26.01,8.27,9.92,10.64,23.20,61.85,1018.14,74.92,N; Tset = 25.40; Ttrue = 025.1; T1 = 23.61; RH1 = 74.00; T2 = 23.53; RH2 = 72.48
2017.11.23_21:21:47,11.60,14.53,16.39,2.99,2.46,3.96,21.94,4.80,1010.85,16.28,21.21,27.62,8.18,10.07,10.14,23.20,64.16,1018.20,77.92,N; Tset = 26.00; Ttrue = 025.8; T1 = 23.65; RH1 = 76.79; T2 = 23.54; RH2 = 75.37
2017.11.23_21:22:55,11.08,13.55,16.20,3.09,2.47,4.52,21.94,4.80,1010.89,16.22,24.55,30.29,8.85,10.37,10.75,23.20,66.52,1018.24,80.93,N; Tset = 26.80; Ttrue = 026.6; T1 = 23.69; RH1 = 79.57; T2 = 23.54; RH2 = 78.30
2017.11.23_21:24:03,11.89,13.68,15.73,3.31,2.46,4.12,21.94,4.81,1010.79,19.26,27.27,34.05,9.81,11.56,12.04,23.19,68.92,1018.13,84.12,N; Tset = 27.60; Ttrue = 027.3; T1 = 23.75; RH1 = 82.38; T2 = 23.55; RH2 = 81.28
2017.11.23_21:25:09,11.08,13.89,15.84,3.14,2.18,4.46,21.94,4.80,1010.81,22.10,30.51,37.78,11.64,13.36,13.53,23.19,71.37,1018.17,87.34,N; Tset = 28.20; Ttrue = 028.0; T1 = 23.81; RH1 = 85.25; T2 = 23.55; RH2 = 84.32
2017.11.23_21:26:15,11.40,13.28,15.86,3.46,1.94,4.69,21.94,4.81,1010.87,24.05,32.98,41.56,14.55,14.71,15.82,23.21,73.76,1018.22,90.30,N; Tset = 28.80; Ttrue = 028.6; T1 = 23.87; RH1 = 87.90; T2 = 23.56; RH2 = 87.26
