2017.11.22_23:18:59,8.77,9.59,11.23,2.37,1.66,3.93,22.30,3.01,977.04,12.36,15.10,19.02,8.93,9.84,9.61,23.76,59.69,984.26,69.27,N; Tset = 10.60; Ttrue = 016.0; T1 = 24.44; RH1 = 60.11; T2 = 24.24; RH2 = 69.14
2017.11.22_23:19:59,9.72,10.55,11.59,2.50,1.98,4.29,23.06,3.11,1010.83,14.06,16.87,18.13,8.41,9.10,9.53,24.56,49.17,1018.31,51.42,N; Tset = 10.60; Ttrue = 016.2; T1 = 25.24; RH1 = 47.39; T2 = 25.04; RH2 = 52.00
2017.11.22_23:21:07,9.75,10.54,10.71,2.68,2.18,4.21,23.05,3.09,1010.82,11.76,13.59,16.70,7.72,10.54,8.59,24.55,45.90,1018.30,48.65,N; Tset = 11.40; Ttrue = 016.4; T1 = 25.22; RH1 = 46.01; T2 = 25.03; RH2 = 48.02
2017.11.22_23:22:17,8.38,10.62,11.66,3.27,2.17,4.17,23.05,3.08,1010.82,11.00,14.73,17.42,7.32,8.61,8.23,24.55,44.43,1018.31,48.11,N; Tset = 12.40; Ttrue = 016.5; T1 = 25.19; RH1 = 45.93; T2 = 25.01; RH2 = 47.18
2017.11.22_23:23:27,8.52,10.71,11.56,2.30,2.26,3.89,23.05,3.07,1010.82,11.86,14.74,17.64,7.10,8.77,8.71,24.54,43.69,1018.30,48.08,N; Tset = 13.40; Ttrue = 016.7; T1 = 25.15; RH1 = 46.18; T2 = 24.98; RH2 = 47.04
2017.11.22_23:24:37,9.11,11.30,11.01,3.35,2.04,3.89,23.05,3.07,1010.70,11.99,13.21,18.23,7.96,8.36,7.81,24.54,43.23,1018.18,48.10,N; Tset = 14.40; Ttrue = 015.7; T1 = 25.12; RH1 = 46.32; T2 = 24.95; RH2 = 47.08
2017.11.22_23:25:47,8.68,10.01,10.89,2.64,1.72,3.58,23.05,3.07,1010.75,14.09,13.58,16.65,7.10,8.12,8.19,24.53,41.91,1018.23,46.48,N; Tset = 15.40; Ttrue = 015.0; T1 = 25.08; RH1 = 44.60; T2 = 24.92; RH2 = 45.78
2017.11.22_23:26:57,8.50,9.33,10.52,2.54,2.20,4.19,23.03,3.07,1010.78,11.98,12.08,15.88,6.95,8.46,8.19,24.53,40.36,1018.27,44.68,N; Tset = 16.40; Ttrue = 016.0; T1 = 25.04; RH1 = 43.06; T2 = 24.91; RH2 = 43.93
2017.11.22_23:28:07,8.67,11.04,11.28,2.78,1.88,4.09,23.03,3.07,1010.79,11.99,14.17,18.31,7.58,8.03,9.23,24.53,40.26,1018.25,45.33,N; Tset = 17.40; Ttrue = 017.3; T1 = 25.00; RH1 = 44.31; T2 = 24.90; RH2 = 44.07
2017.11.22_23:29:17,8.25,10.37,10.26,2.84,1.64,3.82,23.03,3.07,1010.80,12.15,15.34,17.34,7.35,7.97,8.55,24.53,41.79,1018.27,48.16,N; Tset = 18.40; Ttrue = 018.1; T1 = 24.98; RH1 = 47.38; T2 = 24.90; RH2 = 46.59
2017.11.22_23:30:25,8.35,9.76,10.32,2.24,2.21,3.96,23.01,3.07,1010.67,12.96,14.18,18.80,7.39,8.55,7.89,24.52,43.28,1018.17,50.52,N; Tset = 19.20; Ttrue = 018.9; T1 = 24.96; RH1 = 49.72; T2 = 24.90; RH2 = 48.88
2017.11.22_23:31:33,8.58,9.89,10.96,2.37,1.41,3.68,23.01,3.07,1010.66,10.16,13.29,19.51,8.31,9.20,8.38,24.51,44.81,1018.15,52.81,N; Tset = 20.00; Ttrue = 019.8; T1 = 24.95; RH1 = 52.04; T2 = 24.90; RH2 = 50.97
2017.11.22_23:32:43,8.69,9.48,10.06,2.37,2.05,3.40,23.01,3.07,1010.56,11.01,13.22,17.56,7.02,8.57,8.09,24.51,46.58,1018.03,55.31,N; Tset = 21.00; Ttrue = 020.7; T1 = 24.94; RH1 = 54.58; T2 = 24.90; RH2 = 53.34
