2017.11.12_03:09:22,122.29,172.06,206.69,27.33,29.78,35.37,24.31,5.76,969.13,176.57,231.13,283.06,40.77,45.71,48.85,25.13,73.97,976.40,83.62,P; Tset = 16.80; Ttrue = NaN; T1 = 24.06; RH1 = 84.55; T2 = 24.90; RH2 = 83.63
2017.11.12_03:10:22,122.71,174.36,215.70,26.47,30.14,36.95,25.16,5.90,1002.55,151.53,189.49,232.51,32.85,35.10,42.66,26.00,68.00,1010.06,69.26,P; Tset = 16.80; Ttrue = NaN; T1 = 24.89; RH1 = 71.23; T2 = 25.73; RH2 = 73.01
2017.11.12_03:11:22,124.82,174.42,218.12,27.89,32.06,35.13,25.17,5.82,1002.53,139.16,175.83,217.88,27.50,33.20,40.56,26.00,59.62,1010.06,58.00,P; Tset = 16.80; Ttrue = NaN; T1 = 24.93; RH1 = 60.05; T2 = 25.74; RH2 = 60.60
2017.11.12_03:12:22,129.12,177.49,217.40,27.55,30.51,34.15,25.17,5.76,1002.51,139.05,174.84,211.16,31.05,34.94,38.34,26.00,53.57,1010.05,50.56,P; Tset = 16.80; Ttrue = NaN; T1 = 24.96; RH1 = 52.18; T2 = 25.75; RH2 = 52.85
2017.11.12_03:13:22,134.29,180.09,223.04,26.64,30.61,35.02,25.19,5.70,1002.54,136.26,181.84,217.37,30.06,35.95,38.53,26.01,48.56,1010.06,44.59,P; Tset = 17.00; Ttrue = NaN; T1 = 24.98; RH1 = 45.72; T2 = 25.77; RH2 = 46.81
2017.11.12_03:14:22,127.70,180.93,220.75,27.55,29.67,35.48,25.19,5.65,1002.55,134.11,179.77,217.89,27.88,33.47,39.62,26.01,44.41,1010.06,39.99,P; Tset = 17.60; Ttrue = NaN; T1 = 25.00; RH1 = 40.88; T2 = 25.78; RH2 = 42.04
2017.11.12_03:15:22,136.47,178.66,221.44,34.04,31.08,37.90,25.19,5.61,1002.54,144.14,176.88,218.22,31.70,36.35,38.87,26.01,40.80,1010.05,36.26,P; Tset = 18.20; Ttrue = NaN; T1 = 25.01; RH1 = 36.99; T2 = 25.78; RH2 = 38.16
2017.11.12_03:16:22,134.16,176.77,221.71,27.87,31.00,37.41,25.19,5.60,1002.51,140.21,176.45,213.61,31.46,33.46,38.90,26.01,37.71,1010.05,33.16,P; Tset = 18.80; Ttrue = NaN; T1 = 25.02; RH1 = 33.77; T2 = 25.79; RH2 = 34.90
2017.11.12_03:17:22,130.17,179.04,224.12,27.13,30.48,35.71,25.19,5.57,1002.55,142.81,179.68,219.69,30.93,34.85,39.69,26.01,35.16,1010.07,30.72,P; Tset = 19.20; Ttrue = NaN; T1 = 25.03; RH1 = 31.36; T2 = 25.80; RH2 = 32.27
2017.11.12_03:18:22,135.59,173.89,228.07,31.12,31.14,35.62,25.19,5.55,1002.53,141.04,179.43,217.05,28.26,33.78,39.29,26.03,32.98,1010.08,28.78,P; Tset = 19.80; Ttrue = NaN; T1 = 25.03; RH1 = 29.43; T2 = 25.80; RH2 = 30.22
2017.11.12_03:19:22,137.69,178.65,225.74,28.61,31.78,36.46,25.19,5.52,1002.58,144.15,181.75,219.27,28.18,33.95,39.15,26.02,31.10,1010.08,27.11,P; Tset = 20.20; Ttrue = NaN; T1 = 25.01; RH1 = 27.75; T2 = 25.80; RH2 = 28.46
2017.11.12_03:20:22,135.56,178.43,226.60,25.62,30.42,35.34,25.19,5.50,1002.57,144.39,176.06,212.98,27.00,32.70,38.26,26.02,29.36,1010.08,25.54,P; Tset = 20.80; Ttrue = NaN; T1 = 25.00; RH1 = 26.15; T2 = 25.80; RH2 = 26.82
