2017.11.11_04:47:02,10.55,11.71,13.52,2.51,1.80,3.49,24.23,3.74,979.11,12.54,15.23,21.08,16.59,15.50,268.03,25.06,72.74,986.45,82.03,N; Tset = 17.20; Ttrue = 0018.0; T1 = 24.32; RH1 = 78.88; T2 = 25.14; RH2 = 82.74
2017.11.11_04:48:02,9.62,12.84,14.94,1.90,2.34,4.47,25.07,3.86,1012.91,11.28,13.31,16.61,5.29,7.87,6.74,25.92,58.92,1020.49,57.36,N; Tset = 17.20; Ttrue = 0018.4; T1 = 25.09; RH1 = 57.42; T2 = 25.98; RH2 = 59.88
2017.11.11_04:49:02,10.11,12.13,14.35,2.13,2.47,3.71,25.07,3.86,1012.93,13.33,12.89,17.57,5.04,8.61,8.66,25.91,53.21,1020.50,51.68,N; Tset = 17.20; Ttrue = 0018.6; T1 = 25.05; RH1 = 53.67; T2 = 25.98; RH2 = 52.18
2017.11.11_04:50:02,11.00,12.62,13.71,2.78,2.48,3.64,25.07,3.82,1012.94,10.28,13.00,17.60,5.21,10.70,8.84,25.90,50.71,1020.52,49.86,N; Tset = 17.20; Ttrue = 0018.7; T1 = 25.01; RH1 = 51.89; T2 = 25.98; RH2 = 50.26
2017.11.11_04:51:04,13.22,15.68,13.68,2.64,2.35,3.63,25.07,3.84,1012.96,10.66,13.45,15.93,5.48,8.37,8.95,25.91,49.21,1020.52,49.08,N; Tset = 17.40; Ttrue = 0018.1; T1 = 24.98; RH1 = 51.23; T2 = 25.99; RH2 = 49.45
2017.11.11_04:52:10,13.00,12.46,13.61,1.55,1.93,3.99,25.08,3.88,1012.95,9.43,12.93,16.46,5.07,7.55,8.57,25.92,47.39,1020.51,47.45,N; Tset = 18.00; Ttrue = 0017.5; T1 = 24.93; RH1 = 49.51; T2 = 25.99; RH2 = 48.01
2017.11.11_04:53:14,11.21,14.81,15.36,2.13,1.67,4.42,25.08,3.94,1012.96,10.72,14.48,16.34,5.52,7.70,8.14,25.92,45.44,1020.52,45.60,N; Tset = 18.40; Ttrue = 0018.2; T1 = 24.87; RH1 = 47.89; T2 = 25.99; RH2 = 46.03
2017.11.11_04:54:20,11.30,13.50,15.16,2.10,2.32,4.25,25.09,4.01,1012.96,13.18,13.53,16.28,5.38,7.58,8.09,25.92,44.77,1020.54,45.82,N; Tset = 19.00; Ttrue = 0019.0; T1 = 24.81; RH1 = 48.79; T2 = 25.99; RH2 = 45.82
2017.11.11_04:55:26,11.25,14.28,14.85,2.58,2.87,4.11,25.09,4.06,1012.95,11.61,12.63,16.15,4.83,7.32,8.57,25.92,45.24,1020.51,47.40,N; Tset = 19.60; Ttrue = 0019.3; T1 = 24.76; RH1 = 50.77; T2 = 25.99; RH2 = 47.23
2017.11.11_04:56:30,10.82,12.51,13.43,2.48,2.64,4.14,25.09,4.08,1012.94,10.08,12.91,15.88,4.52,7.68,9.08,25.92,45.53,1020.50,48.32,N; Tset = 20.00; Ttrue = 0019.8; T1 = 24.70; RH1 = 51.93; T2 = 25.99; RH2 = 48.16
2017.11.11_04:57:36,10.21,12.12,13.00,2.21,1.66,4.00,25.09,4.11,1012.92,11.73,12.01,15.67,5.20,7.90,8.58,25.92,45.91,1020.48,49.31,N; Tset = 20.60; Ttrue = 0020.4; T1 = 24.64; RH1 = 53.30; T2 = 25.99; RH2 = 49.04
