2017.11.03_07:21:19,24.38,30.92,37.70,4.77,4.49,7.31,23.81,5.53,981.75,36.18,41.91,54.74,15.58,17.36,19.66,24.86,72.78,988.99,80.48,N; Tset = 18.00; Ttrue = 0018.4; T1 = 23.95; RH1 = 78.17; T2 = 24.79; RH2 = 82.01
2017.11.03_07:22:19,25.19,35.49,38.48,5.06,5.55,7.57,24.63,5.73,1015.65,28.05,34.60,42.24,4.83,9.29,10.96,25.72,59.19,1023.11,56.25,N; Tset = 18.00; Ttrue = 0018.8; T1 = 24.70; RH1 = 57.04; T2 = 25.60; RH2 = 59.24
2017.11.03_07:23:19,31.60,33.38,40.47,6.49,5.14,7.70,24.64,5.76,1015.63,30.41,35.24,42.79,6.28,10.93,9.98,25.71,53.68,1023.13,50.97,N; Tset = 18.00; Ttrue = 0019.0; T1 = 24.65; RH1 = 53.52; T2 = 25.61; RH2 = 51.95
2017.11.03_07:24:19,28.40,34.97,39.92,5.53,5.99,10.40,24.64,5.76,1015.66,30.39,39.04,41.88,4.78,11.21,9.80,25.70,51.22,1023.16,49.22,N; Tset = 18.00; Ttrue = 0019.1; T1 = 24.61; RH1 = 51.79; T2 = 25.62; RH2 = 50.13
2017.11.03_07:25:21,25.87,33.15,37.00,6.18,5.82,8.58,24.64,5.76,1015.68,31.02,41.25,43.96,5.02,8.37,10.47,25.70,49.75,1023.18,48.52,N; Tset = 18.20; Ttrue = 0018.5; T1 = 24.58; RH1 = 51.15; T2 = 25.63; RH2 = 49.38
2017.11.03_07:26:27,27.22,32.17,36.48,6.08,4.53,7.34,24.64,5.74,1015.70,30.61,41.28,41.79,4.33,7.52,10.64,25.70,47.94,1023.20,46.93,N; Tset = 18.80; Ttrue = 0018.2; T1 = 24.54; RH1 = 49.46; T2 = 25.62; RH2 = 47.93
2017.11.03_07:27:33,27.48,33.59,39.88,5.84,5.00,8.50,24.64,5.76,1015.73,35.83,34.84,42.02,5.07,7.98,9.74,25.70,46.26,1023.23,45.61,N; Tset = 19.40; Ttrue = 0019.3; T1 = 24.48; RH1 = 48.52; T2 = 25.62; RH2 = 46.32
2017.11.03_07:28:39,27.80,34.20,42.03,6.46,8.51,9.20,24.64,5.76,1015.77,27.65,33.05,44.76,5.32,7.83,9.62,25.70,46.30,1023.26,46.83,N; Tset = 20.00; Ttrue = 0019.8; T1 = 24.42; RH1 = 50.42; T2 = 25.62; RH2 = 47.18
2017.11.03_07:29:43,29.42,35.33,40.40,6.29,6.59,7.61,24.64,5.78,1015.79,27.83,33.64,41.29,6.15,8.02,10.63,25.70,46.81,1023.28,48.23,N; Tset = 20.40; Ttrue = 0020.2; T1 = 24.37; RH1 = 52.09; T2 = 25.62; RH2 = 48.59
2017.11.03_07:30:49,28.58,35.93,42.71,6.69,5.84,8.85,24.64,5.81,1015.80,32.85,39.66,41.86,6.22,8.91,10.90,25.70,47.05,1023.33,49.03,N; Tset = 21.00; Ttrue = 0020.8; T1 = 24.32; RH1 = 53.18; T2 = 25.61; RH2 = 49.34
2017.11.03_07:31:53,28.55,34.92,44.12,5.41,7.39,10.03,24.64,5.82,1015.81,34.04,34.82,42.27,5.07,9.11,10.32,25.70,47.67,1023.33,50.29,N; Tset = 21.40; Ttrue = 0021.3; T1 = 24.27; RH1 = 54.86; T2 = 25.61; RH2 = 50.46
