2017.11.23_23:37:41,10.40,13.59,14.84,3.56,2.35,4.13,21.31,4.21,977.29,15.70,19.10,24.68,8.52,10.12,10.43,22.75,61.06,984.43,71.15,N; Tset = 10.00; Ttrue = 015.9; T1 = 23.49; RH1 = 61.84; T2 = 23.15; RH2 = 71.02
2017.11.23_23:38:41,10.66,12.79,14.86,2.96,2.38,3.92,22.03,4.34,1011.00,14.70,20.12,22.06,7.78,8.88,8.92,23.53,51.02,1018.36,53.62,N; Tset = 10.00; Ttrue = 016.2; T1 = 24.28; RH1 = 49.36; T2 = 23.93; RH2 = 54.34
2017.11.23_23:39:49,11.21,13.35,14.86,3.09,2.48,4.62,22.05,4.33,1010.96,16.04,17.62,21.96,7.60,9.08,8.35,23.53,47.76,1018.31,50.72,N; Tset = 10.80; Ttrue = 016.3; T1 = 24.26; RH1 = 47.93; T2 = 23.91; RH2 = 50.22
2017.11.23_23:41:01,10.35,12.25,14.71,2.62,2.29,4.59,22.05,4.32,1010.96,19.22,17.53,23.57,7.46,9.08,9.01,23.53,46.32,1018.32,50.18,N; Tset = 12.00; Ttrue = 016.5; T1 = 24.24; RH1 = 47.80; T2 = 23.90; RH2 = 49.40
2017.11.23_23:42:11,10.19,13.99,15.43,2.84,2.35,4.78,22.05,4.32,1010.83,15.76,17.92,21.65,7.52,9.00,9.11,23.53,45.63,1018.23,50.21,N; Tset = 13.00; Ttrue = 016.5; T1 = 24.21; RH1 = 48.09; T2 = 23.89; RH2 = 49.27
2017.11.23_23:43:21,9.82,13.39,14.71,3.41,2.34,3.93,22.05,4.31,1010.92,15.99,17.37,21.96,7.62,8.91,8.89,23.53,45.09,1018.32,50.01,N; Tset = 14.00; Ttrue = 015.4; T1 = 24.18; RH1 = 47.92; T2 = 23.87; RH2 = 49.19
2017.11.23_23:44:31,10.52,12.73,15.21,3.16,2.11,4.41,22.05,4.31,1010.97,15.70,16.15,22.68,8.29,9.08,10.48,23.53,43.45,1018.34,47.91,N; Tset = 15.00; Ttrue = 014.6; T1 = 24.15; RH1 = 45.78; T2 = 23.86; RH2 = 47.39
2017.11.23_23:45:41,11.36,12.93,15.98,2.93,2.11,4.06,22.05,4.30,1010.96,14.87,17.03,23.88,8.55,8.65,9.08,23.53,41.78,1018.30,45.93,N; Tset = 16.00; Ttrue = 015.5; T1 = 24.11; RH1 = 44.05; T2 = 23.86; RH2 = 45.37
2017.11.23_23:46:51,9.74,13.60,14.88,2.99,2.30,4.15,22.05,4.30,1010.86,18.41,16.74,22.09,7.98,8.56,8.65,23.54,41.47,1018.25,46.35,N; Tset = 17.00; Ttrue = 016.9; T1 = 24.08; RH1 = 45.06; T2 = 23.86; RH2 = 45.24
2017.11.23_23:48:01,10.75,13.83,14.62,3.00,2.31,4.12,22.05,4.29,1010.90,14.96,16.69,22.50,7.29,8.66,9.76,23.53,43.02,1018.27,49.30,N; Tset = 18.00; Ttrue = 017.7; T1 = 24.06; RH1 = 48.28; T2 = 23.86; RH2 = 47.83
2017.11.23_23:49:09,10.49,13.08,14.69,3.16,2.04,4.06,22.05,4.29,1010.97,14.59,17.54,24.54,8.21,8.82,9.77,23.53,44.62,1018.34,51.79,N; Tset = 18.80; Ttrue = 018.6; T1 = 24.05; RH1 = 50.76; T2 = 23.87; RH2 = 50.23
2017.11.23_23:50:19,9.97,12.90,15.23,3.19,2.23,4.07,22.05,4.28,1010.97,14.85,17.13,22.07,7.82,8.85,8.88,23.53,46.25,1018.32,54.27,N; Tset = 19.80; Ttrue = 019.5; T1 = 24.04; RH1 = 53.29; T2 = 23.87; RH2 = 52.54
2017.11.23_23:51:27,10.23,12.57,15.26,2.92,2.47,4.65,22.05,4.27,1010.92,17.01,18.03,26.15,8.64,9.48,9.06,23.53,48.04,1018.27,56.82,N; Tset = 20.60; Ttrue = 020.3; T1 = 24.03; RH1 = 55.84; T2 = 23.87; RH2 = 54.97
2017.11.23_23:52:35,11.06,12.35,15.94,2.50,2.13,4.55,22.05,4.27,1010.93,13.84,18.23,24.05,8.19,9.21,9.39,23.53,49.93,1018.30,59.44,N; Tset = 21.40; Ttrue = 021.2; T1 = 24.03; RH1 = 58.44; T2 = 23.88; RH2 = 57.44
2017.11.23_23:53:43,10.38,12.78,14.58,2.63,2.95,4.66,22.05,4.27,1010.96,15.63,18.41,23.84,7.21,8.73,9.34,23.54,51.95,1018.31,62.15,N; Tset = 22.20; Ttrue = 022.0; T1 = 24.04; RH1 = 61.13; T2 = 23.88; RH2 = 60.07
2017.11.23_23:54:51,10.99,13.12,14.69,2.69,2.80,4.23,22.05,4.25,1010.96,13.88,17.32,24.66,11.45,9.07,9.89,23.53,54.07,1018.31,65.00,N; Tset = 23.00; Ttrue = 022.9; T1 = 24.05; RH1 = 63.86; T2 = 23.88; RH2 = 62.77
