2017.11.07_13:20:18,65.43,69.27,75.61,17.73,14.06,17.29,22.64,5.90,969.26,79.02,73.29,75.85,25.01,24.36,25.99,23.57,71.58,976.32,79.49,N; Tset = 16.00; Ttrue = 0016.4; T1 = 22.57; RH1 = 77.65; T2 = 23.57; RH2 = 80.65
2017.11.07_13:21:18,72.43,70.70,77.31,14.92,16.31,14.83,23.43,6.06,1002.71,74.69,65.58,69.66,14.25,16.26,18.88,24.38,58.07,1010.02,55.74,N; Tset = 16.00; Ttrue = 0016.8; T1 = 23.25; RH1 = 57.15; T2 = 24.36; RH2 = 58.17
2017.11.07_13:22:18,65.52,70.23,68.86,14.84,16.19,14.13,23.43,6.05,1002.75,68.59,69.72,66.18,12.47,16.72,19.63,24.38,52.60,1010.04,50.42,N; Tset = 16.00; Ttrue = 0017.0; T1 = 23.16; RH1 = 53.76; T2 = 24.36; RH2 = 50.99
2017.11.07_13:23:18,65.25,67.49,68.16,14.85,12.79,15.15,23.43,6.04,1002.76,76.22,67.43,71.30,12.63,18.09,20.98,24.38,50.19,1010.02,48.63,N; Tset = 16.00; Ttrue = 0017.1; T1 = 23.05; RH1 = 52.16; T2 = 24.35; RH2 = 49.22
2017.11.07_13:24:20,65.50,68.14,65.47,14.26,14.46,15.75,23.43,6.05,1002.76,66.98,66.37,70.35,14.61,17.57,18.01,24.37,48.78,1010.02,47.90,N; Tset = 16.20; Ttrue = 0016.5; T1 = 22.95; RH1 = 51.58; T2 = 24.34; RH2 = 48.52
2017.11.07_13:25:26,63.40,71.25,70.15,15.15,12.06,15.49,23.42,6.05,1002.76,69.74,67.68,68.01,14.17,16.90,17.83,24.36,47.02,1009.98,46.33,N; Tset = 16.80; Ttrue = 0016.2; T1 = 22.85; RH1 = 49.93; T2 = 24.34; RH2 = 47.14
2017.11.07_13:26:30,64.46,66.06,71.86,12.50,11.04,14.28,23.40,6.06,1002.71,72.27,71.77,69.88,14.58,18.54,18.94,24.34,45.38,1009.94,45.01,N; Tset = 17.20; Ttrue = 0017.2; T1 = 22.77; RH1 = 48.94; T2 = 24.33; RH2 = 45.55
2017.11.07_13:27:36,62.43,65.18,67.15,12.16,14.73,13.39,23.38,6.10,1002.76,75.62,74.78,68.94,13.93,17.50,17.20,24.33,45.40,1009.99,46.16,N; Tset = 17.80; Ttrue = 0017.7; T1 = 22.71; RH1 = 50.78; T2 = 24.31; RH2 = 46.34
2017.11.07_13:28:42,66.31,68.21,70.23,18.41,14.24,14.43,23.36,6.17,1002.77,81.87,74.80,67.24,12.80,19.45,19.37,24.32,45.94,1010.00,47.60,N; Tset = 18.40; Ttrue = 0018.1; T1 = 22.66; RH1 = 52.50; T2 = 24.30; RH2 = 47.78
2017.11.07_13:29:46,74.86,72.50,67.95,11.89,13.97,15.39,23.35,6.23,1002.75,71.04,67.90,69.11,13.78,16.82,19.82,24.31,46.24,1010.02,48.48,N; Tset = 18.80; Ttrue = 0018.7; T1 = 22.62; RH1 = 53.59; T2 = 24.29; RH2 = 48.59
2017.11.07_13:30:52,72.48,74.84,73.22,12.99,15.36,13.96,23.35,6.28,1002.77,83.25,83.24,70.74,13.90,17.88,18.17,24.30,46.90,1010.03,49.77,N; Tset = 19.40; Ttrue = 0019.2; T1 = 22.59; RH1 = 55.24; T2 = 24.28; RH2 = 49.77
2017.11.07_13:31:56,71.63,71.93,79.55,16.56,13.54,13.17,23.34,6.33,1002.76,72.33,84.24,89.03,14.28,18.06,19.38,24.28,47.66,1010.06,51.12,N; Tset = 19.80; Ttrue = 0019.6; T1 = 22.58; RH1 = 56.77; T2 = 24.28; RH2 = 51.04
2017.11.07_13:33:00,65.34,65.78,70.61,14.16,13.29,14.80,23.33,6.39,1002.69,71.25,67.12,76.56,14.75,16.44,20.77,24.28,48.36,1009.99,52.25,N; Tset = 20.20; Ttrue = 0020.1; T1 = 22.57; RH1 = 58.08; T2 = 24.27; RH2 = 52.13
