2017.11.24_07:30:51,15.16,18.12,20.90,4.49,2.92,5.00,21.21,4.17,977.53,29.81,33.83,43.82,11.04,11.93,12.19,22.36,61.39,984.57,72.08,N; Tset = 10.00; Ttrue = 016.3; T1 = 23.11; RH1 = 63.00; T2 = 22.60; RH2 = 72.21
2017.11.24_07:31:51,16.44,19.49,22.81,4.26,2.97,5.60,21.94,4.31,1011.22,26.13,29.31,35.96,9.90,11.22,12.21,23.11,52.15,1018.53,55.41,N; Tset = 10.00; Ttrue = 016.5; T1 = 23.88; RH1 = 51.12; T2 = 23.36; RH2 = 56.44
2017.11.24_07:32:59,15.62,18.51,21.94,4.02,3.54,5.89,21.94,4.31,1011.20,24.57,27.30,35.59,9.67,10.64,11.46,23.11,49.06,1018.51,52.57,N; Tset = 10.80; Ttrue = 016.6; T1 = 23.85; RH1 = 49.71; T2 = 23.35; RH2 = 52.37
2017.11.24_07:34:11,16.04,18.48,23.10,4.21,3.57,5.85,21.94,4.32,1011.17,25.53,29.59,37.33,10.01,11.25,11.49,23.11,47.71,1018.47,52.04,N; Tset = 12.00; Ttrue = 016.8; T1 = 23.83; RH1 = 49.63; T2 = 23.35; RH2 = 51.53
2017.11.24_07:35:21,15.81,19.53,24.09,4.16,3.42,5.69,21.94,4.32,1011.15,27.03,31.84,40.79,9.91,11.46,11.98,23.09,47.09,1018.46,52.11,N; Tset = 13.00; Ttrue = 016.7; T1 = 23.80; RH1 = 49.89; T2 = 23.34; RH2 = 51.43
2017.11.24_07:36:31,16.18,20.90,24.49,4.49,2.74,5.61,21.94,4.33,1011.14,26.29,31.27,36.54,10.00,10.83,10.75,23.09,46.47,1018.46,51.74,N; Tset = 14.00; Ttrue = 015.6; T1 = 23.77; RH1 = 49.50; T2 = 23.33; RH2 = 51.19
2017.11.24_07:37:41,16.31,20.61,24.62,4.50,3.80,5.72,21.92,4.34,1011.14,28.33,33.83,39.66,9.69,11.17,11.79,23.09,44.75,1018.46,49.52,N; Tset = 15.00; Ttrue = 014.8; T1 = 23.73; RH1 = 47.29; T2 = 23.32; RH2 = 49.22
2017.11.24_07:38:51,17.01,20.76,25.13,4.33,3.42,5.76,21.92,4.35,1011.18,25.71,31.02,38.75,10.33,11.37,12.04,23.09,43.12,1018.46,47.58,N; Tset = 16.00; Ttrue = 015.4; T1 = 23.70; RH1 = 45.57; T2 = 23.31; RH2 = 47.24
2017.11.24_07:40:01,16.49,21.26,24.58,4.21,3.45,5.49,21.92,4.35,1011.19,24.50,32.06,38.47,10.21,11.06,12.07,23.08,42.60,1018.49,47.61,N; Tset = 17.00; Ttrue = 016.8; T1 = 23.67; RH1 = 46.12; T2 = 23.31; RH2 = 46.80
2017.11.24_07:41:11,17.56,20.29,25.23,4.45,3.29,5.75,21.92,4.36,1011.18,25.73,31.01,37.53,9.95,11.09,11.94,23.07,44.04,1018.50,50.46,N; Tset = 18.00; Ttrue = 017.7; T1 = 23.65; RH1 = 49.27; T2 = 23.30; RH2 = 49.20
2017.11.24_07:42:19,16.34,20.97,24.71,5.37,3.68,6.11,21.92,4.37,1011.20,25.89,29.56,37.82,9.79,10.62,10.99,23.07,45.70,1018.47,53.12,N; Tset = 18.80; Ttrue = 018.6; T1 = 23.64; RH1 = 51.91; T2 = 23.30; RH2 = 51.78
2017.11.24_07:43:29,16.44,20.36,25.52,4.08,3.79,5.78,21.92,4.37,1011.19,30.85,33.22,40.38,10.68,11.77,11.71,23.07,47.38,1018.48,55.64,N; Tset = 19.80; Ttrue = 019.5; T1 = 23.63; RH1 = 54.47; T2 = 23.30; RH2 = 54.18
2017.11.24_07:44:37,17.43,20.54,25.93,4.47,3.70,5.72,21.90,4.37,1011.18,26.59,31.77,40.69,10.56,10.93,12.34,23.07,49.21,1018.48,58.26,N; Tset = 20.60; Ttrue = 020.3; T1 = 23.63; RH1 = 57.09; T2 = 23.29; RH2 = 56.70
2017.11.24_07:45:45,18.51,21.14,24.10,4.95,3.51,5.99,21.90,4.36,1011.17,23.34,29.41,36.73,9.39,10.75,11.48,23.07,51.14,1018.44,60.95,N; Tset = 21.40; Ttrue = 021.2; T1 = 23.63; RH1 = 59.76; T2 = 23.29; RH2 = 59.29
2017.11.24_07:46:53,16.87,20.97,25.27,4.63,3.74,6.40,21.91,4.35,1011.12,21.61,27.86,35.25,9.09,10.07,11.09,23.07,53.22,1018.41,63.78,N; Tset = 22.20; Ttrue = 022.0; T1 = 23.63; RH1 = 62.54; T2 = 23.30; RH2 = 62.01
2017.11.24_07:48:01,17.14,20.74,26.10,4.14,3.43,5.41,21.90,4.34,1011.12,22.67,28.53,35.41,9.64,11.33,12.21,23.07,55.43,1018.40,66.70,N; Tset = 23.00; Ttrue = 022.9; T1 = 23.64; RH1 = 65.36; T2 = 23.30; RH2 = 64.85
2017.11.24_07:49:09,15.95,20.44,25.88,4.07,3.69,5.81,21.90,4.33,1011.12,22.96,27.27,35.45,8.51,10.37,11.04,23.07,57.72,1018.41,69.71,N; Tset = 23.80; Ttrue = 023.6; T1 = 23.66; RH1 = 68.23; T2 = 23.30; RH2 = 67.75
2017.11.24_07:50:17,16.48,21.18,24.52,3.91,3.66,6.04,21.90,4.31,1011.12,24.22,29.53,36.01,9.30,10.75,11.43,23.07,59.96,1018.42,72.58,N; Tset = 24.60; Ttrue = 024.3; T1 = 23.68; RH1 = 70.91; T2 = 23.30; RH2 = 70.58
2017.11.24_07:51:25,15.63,21.36,24.11,4.11,3.30,5.32,21.91,4.31,1011.18,21.82,27.69,35.74,8.58,10.52,11.73,23.07,62.19,1018.44,75.43,N; Tset = 25.40; Ttrue = 025.1; T1 = 23.72; RH1 = 73.53; T2 = 23.31; RH2 = 73.32
2017.11.24_07:52:31,15.52,20.99,24.84,4.51,3.43,5.50,21.91,4.29,1011.18,23.45,31.06,37.60,9.94,10.85,10.90,23.07,64.49,1018.47,78.43,N; Tset = 26.00; Ttrue = 025.8; T1 = 23.76; RH1 = 76.29; T2 = 23.31; RH2 = 76.19
2017.11.24_07:53:39,15.21,19.02,23.84,3.84,3.41,5.92,21.90,4.28,1011.18,25.58,33.53,42.06,10.12,12.19,12.32,23.07,66.91,1018.47,81.56,N; Tset = 26.80; Ttrue = 026.6; T1 = 23.80; RH1 = 79.15; T2 = 23.31; RH2 = 79.20
2017.11.24_07:54:47,15.91,19.97,24.65,4.08,3.57,5.94,21.91,4.26,1011.21,29.91,38.20,49.74,11.03,13.00,13.90,23.07,69.36,1018.50,84.76,N; Tset = 27.60; Ttrue = 027.3; T1 = 23.85; RH1 = 82.03; T2 = 23.32; RH2 = 82.27
2017.11.24_07:55:53,15.71,19.78,23.09,4.55,3.75,6.52,21.91,4.24,1011.24,33.18,43.28,56.06,13.82,15.04,15.69,23.07,71.81,1018.54,87.94,N; Tset = 28.20; Ttrue = 028.0; T1 = 23.91; RH1 = 84.83; T2 = 23.32; RH2 = 85.30
2017.11.24_07:56:59,15.14,20.14,23.69,4.05,3.12,5.80,21.91,4.23,1011.28,37.90,49.39,61.35,17.07,17.93,18.45,23.07,74.19,1018.57,91.00,N; Tset = 28.80; Ttrue = 028.6; T1 = 23.98; RH1 = 87.47; T2 = 23.33; RH2 = 88.19
