2017.11.17_10:04:05,29.41,41.47,42.53,5.09,5.92,10.60,21.58,3.60,977.96,40.67,43.91,45.87,9.19,11.93,12.58,22.87,59.14,985.20,70.17,N; Tset = 10.00; Ttrue = 015.3; T1 = 23.15; RH1 = 63.15; T2 = 23.27; RH2 = 69.66
2017.11.17_10:05:05,33.26,38.55,43.12,6.74,6.92,9.50,22.31,3.74,1011.78,38.26,37.73,42.20,8.48,10.88,11.62,23.66,49.82,1019.18,53.50,N; Tset = 10.00; Ttrue = 015.5; T1 = 23.86; RH1 = 50.94; T2 = 24.04; RH2 = 54.14
2017.11.17_10:06:13,33.54,39.10,47.15,6.08,6.00,7.50,22.31,3.73,1011.72,34.47,38.31,46.46,8.37,10.31,10.15,23.64,46.75,1019.22,50.57,N; Tset = 10.80; Ttrue = 015.6; T1 = 23.81; RH1 = 49.43; T2 = 24.01; RH2 = 50.08
2017.11.17_10:07:25,30.57,38.28,44.60,8.00,5.58,8.82,22.29,3.71,1011.72,29.92,33.94,44.12,8.21,10.80,11.01,23.63,45.42,1019.24,50.00,N; Tset = 12.00; Ttrue = 015.8; T1 = 23.75; RH1 = 49.35; T2 = 23.96; RH2 = 49.29
2017.11.17_10:08:35,33.37,40.08,44.28,8.14,6.99,8.78,22.29,3.71,1011.70,32.55,41.75,44.93,10.80,10.22,13.63,23.61,44.82,1019.18,50.04,N; Tset = 13.00; Ttrue = 015.9; T1 = 23.70; RH1 = 49.67; T2 = 23.93; RH2 = 49.20
2017.11.17_10:09:45,29.37,39.01,48.12,6.19,6.11,8.56,22.27,3.76,1011.79,33.99,39.15,44.25,9.23,10.44,10.95,23.60,44.56,1019.27,50.31,N; Tset = 14.00; Ttrue = 016.0; T1 = 23.67; RH1 = 50.09; T2 = 23.91; RH2 = 49.38
2017.11.17_10:10:55,32.48,37.98,44.07,6.48,6.58,7.95,22.27,3.78,1011.81,39.05,40.33,45.52,8.36,10.09,11.60,23.60,44.51,1019.31,50.66,N; Tset = 15.00; Ttrue = 016.2; T1 = 23.67; RH1 = 50.51; T2 = 23.91; RH2 = 49.64
2017.11.17_10:12:05,32.69,38.82,47.82,7.46,6.43,8.98,22.25,3.75,1011.79,37.25,42.31,50.20,9.48,9.97,10.34,23.60,44.51,1019.31,50.97,N; Tset = 16.00; Ttrue = 016.3; T1 = 23.68; RH1 = 50.83; T2 = 23.93; RH2 = 49.87
2017.11.17_10:13:15,37.19,40.00,50.19,8.23,9.73,9.39,22.27,3.71,1011.83,33.98,40.70,46.10,9.79,11.45,11.74,23.60,44.55,1019.33,51.27,N; Tset = 17.00; Ttrue = 016.2; T1 = 23.69; RH1 = 51.09; T2 = 23.94; RH2 = 50.11
2017.11.17_10:14:25,33.81,41.37,47.76,7.32,6.99,7.90,22.26,3.66,1011.83,33.57,43.51,47.11,9.45,10.51,11.75,23.59,44.23,1019.33,51.03,N; Tset = 18.00; Ttrue = 017.8; T1 = 23.70; RH1 = 50.77; T2 = 23.96; RH2 = 49.82
2017.11.17_10:15:33,32.99,40.35,45.97,8.38,6.81,8.57,22.27,3.63,1011.86,37.79,42.53,45.45,8.72,10.22,10.85,23.59,45.35,1019.36,53.30,N; Tset = 18.80; Ttrue = 018.7; T1 = 23.68; RH1 = 53.70; T2 = 23.96; RH2 = 51.41
2017.11.17_10:16:43,35.28,40.32,47.93,8.59,6.93,9.06,22.26,3.63,1011.91,42.00,41.16,46.88,8.72,10.84,13.70,23.58,47.38,1019.40,56.48,N; Tset = 19.80; Ttrue = 019.4; T1 = 23.64; RH1 = 56.95; T2 = 23.96; RH2 = 54.52
2017.11.17_10:17:51,32.18,37.14,46.92,7.42,8.28,9.50,22.25,3.65,1011.97,35.35,40.01,47.43,10.02,12.22,12.13,23.57,48.92,1019.46,58.61,N; Tset = 20.60; Ttrue = 020.3; T1 = 23.60; RH1 = 59.19; T2 = 23.93; RH2 = 56.70
2017.11.17_10:18:59,29.56,38.36,45.63,6.90,6.79,9.18,22.25,3.68,1011.99,35.69,43.75,50.64,8.80,10.89,11.33,23.57,50.80,1019.43,61.25,N; Tset = 21.40; Ttrue = 021.2; T1 = 23.58; RH1 = 62.02; T2 = 23.88; RH2 = 59.26
2017.11.17_10:20:07,30.79,39.79,44.58,7.34,6.24,9.72,22.25,3.70,1011.92,33.38,40.96,46.42,8.75,11.20,11.12,23.55,52.94,1019.38,64.15,N; Tset = 22.20; Ttrue = 022.0; T1 = 23.58; RH1 = 65.00; T2 = 23.85; RH2 = 62.11
2017.11.17_10:21:15,32.53,37.96,44.88,7.41,7.21,9.27,22.23,3.76,1011.95,35.16,39.39,47.43,10.65,9.83,10.62,23.53,55.17,1019.45,67.15,N; Tset = 23.00; Ttrue = 022.8; T1 = 23.58; RH1 = 67.93; T2 = 23.83; RH2 = 65.00
2017.11.17_10:22:23,39.14,41.59,49.82,8.18,8.01,9.09,22.23,3.85,1011.96,43.88,49.17,52.17,9.14,11.30,12.26,23.53,57.49,1019.43,70.21,N; Tset = 23.80; Ttrue = 023.6; T1 = 23.63; RH1 = 70.85; T2 = 23.83; RH2 = 67.92
2017.11.17_10:23:31,37.17,41.85,49.37,10.03,9.02,10.51,22.23,3.93,1011.90,46.22,48.93,57.45,10.17,14.47,13.32,23.53,59.91,1019.39,73.36,N; Tset = 24.60; Ttrue = 024.4; T1 = 23.71; RH1 = 73.68; T2 = 23.85; RH2 = 70.90
2017.11.17_10:24:39,34.33,39.33,52.08,7.15,6.99,8.48,22.23,3.98,1011.93,40.46,43.89,52.06,10.82,12.25,11.69,23.53,62.17,1019.38,76.28,N; Tset = 25.40; Ttrue = 025.1; T1 = 23.78; RH1 = 76.21; T2 = 23.87; RH2 = 73.68
