2017.11.03_20:35:50,43.96,55.72,65.36,10.28,10.27,11.74,23.39,3.89,984.60,50.06,63.15,74.85,19.17,21.81,25.34,24.41,73.43,991.85,80.50,N; Tset = 16.80; Ttrue = 0017.3; T1 = 23.65; RH1 = 76.96; T2 = 24.30; RH2 = 82.68
2017.11.03_20:36:50,44.83,59.52,70.50,11.01,11.11,12.97,24.19,4.07,1018.56,47.68,56.85,69.11,8.01,11.53,14.06,25.25,58.70,1026.06,54.71,N; Tset = 16.80; Ttrue = 0017.8; T1 = 24.39; RH1 = 54.64; T2 = 25.12; RH2 = 57.94
2017.11.03_20:37:50,42.40,53.41,67.92,8.07,7.65,12.16,24.19,4.08,1018.54,43.72,57.15,68.48,7.64,11.46,13.76,25.24,52.71,1026.06,49.05,N; Tset = 16.80; Ttrue = 0018.0; T1 = 24.35; RH1 = 50.88; T2 = 25.12; RH2 = 50.20
2017.11.03_20:38:50,42.85,53.81,66.02,8.57,8.86,11.36,24.21,4.09,1018.56,44.46,57.33,68.18,7.87,11.85,14.34,25.24,50.10,1026.06,47.19,N; Tset = 16.80; Ttrue = 0018.1; T1 = 24.31; RH1 = 49.12; T2 = 25.12; RH2 = 48.23
2017.11.03_20:39:52,43.92,53.62,66.01,8.80,9.37,12.28,24.21,4.10,1018.55,42.85,54.77,69.06,7.65,11.40,13.99,25.24,48.44,1026.07,46.33,N; Tset = 17.00; Ttrue = 0017.4; T1 = 24.28; RH1 = 48.36; T2 = 25.13; RH2 = 47.34
2017.11.03_20:40:58,43.06,57.17,66.29,8.06,8.78,11.70,24.21,4.12,1018.57,42.39,55.61,65.53,7.28,10.81,12.58,25.25,46.39,1026.10,44.49,N; Tset = 17.60; Ttrue = 0017.1; T1 = 24.22; RH1 = 46.48; T2 = 25.13; RH2 = 45.61
2017.11.03_20:42:04,42.39,53.70,65.85,7.38,8.42,10.67,24.22,4.15,1018.58,43.70,54.23,63.49,8.18,10.84,13.62,25.26,44.63,1026.11,43.15,N; Tset = 18.20; Ttrue = 0018.2; T1 = 24.15; RH1 = 45.55; T2 = 25.14; RH2 = 43.97
2017.11.03_20:43:10,43.47,55.96,66.57,7.74,7.90,10.58,24.23,4.19,1018.58,43.04,55.73,66.52,8.90,12.70,13.44,25.27,44.53,1026.13,44.27,N; Tset = 18.80; Ttrue = 0018.7; T1 = 24.09; RH1 = 47.39; T2 = 25.14; RH2 = 44.72
2017.11.03_20:44:16,44.47,55.82,64.91,8.36,7.66,11.52,24.23,4.21,1018.61,44.65,53.53,64.57,7.67,11.13,13.39,25.28,44.96,1026.14,45.64,N; Tset = 19.40; Ttrue = 0019.1; T1 = 24.03; RH1 = 49.07; T2 = 25.14; RH2 = 46.08
2017.11.03_20:45:20,40.18,51.46,63.73,7.90,9.14,10.63,24.23,4.20,1018.63,40.16,51.35,62.52,6.36,11.59,13.06,25.28,45.12,1026.16,46.39,N; Tset = 19.80; Ttrue = 0019.7; T1 = 23.97; RH1 = 50.10; T2 = 25.14; RH2 = 46.80
2017.11.03_20:46:26,36.86,52.29,60.45,7.31,7.54,10.88,24.23,4.20,1018.63,39.75,55.92,61.06,6.66,10.52,13.34,25.28,45.66,1026.16,47.63,N; Tset = 20.40; Ttrue = 0020.2; T1 = 23.91; RH1 = 51.78; T2 = 25.15; RH2 = 47.93
