2017.11.18_05:46:25,14.11,17.39,21.04,3.33,2.74,5.25,17.34,1.71,986.44,16.89,19.93,25.28,6.36,8.41,8.12,18.05,62.34,993.23,76.93,N; Tset = 10.00; Ttrue = 015.7; T1 = 19.42; RH1 = 66.62; T2 = 18.41; RH2 = 74.23
2017.11.18_05:47:25,14.76,18.58,21.88,3.38,3.62,4.77,17.96,1.75,1020.45,16.74,18.41,24.43,6.96,8.06,7.46,18.68,58.30,1027.49,66.99,N; Tset = 10.00; Ttrue = 015.8; T1 = 20.09; RH1 = 60.34; T2 = 19.03; RH2 = 66.65
2017.11.18_05:48:33,15.59,19.15,22.12,3.74,3.04,5.18,18.00,1.75,1020.45,15.74,20.77,24.57,6.93,8.10,7.96,18.69,56.59,1027.48,64.90,N; Tset = 10.80; Ttrue = 015.9; T1 = 20.10; RH1 = 59.37; T2 = 19.03; RH2 = 63.70
2017.11.18_05:49:45,15.41,18.02,21.76,3.93,2.94,5.06,18.02,1.74,1020.42,15.81,20.25,24.56,7.52,7.90,7.91,18.71,55.95,1027.48,64.54,N; Tset = 12.00; Ttrue = 016.0; T1 = 20.11; RH1 = 59.27; T2 = 19.02; RH2 = 63.13
2017.11.18_05:50:55,15.99,20.59,23.24,3.68,3.43,5.33,18.05,1.73,1020.43,16.95,20.81,24.35,6.97,8.81,7.62,18.72,55.65,1027.48,64.47,N; Tset = 13.00; Ttrue = 015.2; T1 = 20.13; RH1 = 59.23; T2 = 19.02; RH2 = 63.07
2017.11.18_05:52:05,17.21,19.60,22.36,3.25,3.20,5.44,18.06,1.73,1020.44,16.02,19.66,25.07,7.32,8.72,8.01,18.74,54.43,1027.50,62.66,N; Tset = 14.00; Ttrue = 014.4; T1 = 20.14; RH1 = 57.27; T2 = 19.02; RH2 = 61.72
2017.11.18_05:53:15,15.82,19.13,22.97,3.16,3.77,5.04,18.07,1.71,1020.45,17.55,21.15,25.88,6.79,7.19,7.72,18.75,52.69,1027.48,60.23,N; Tset = 15.00; Ttrue = 014.3; T1 = 20.15; RH1 = 55.02; T2 = 19.02; RH2 = 59.41
2017.11.18_05:54:25,16.29,20.41,24.63,4.26,2.97,5.12,18.08,1.71,1020.42,17.87,21.52,27.28,6.80,7.62,7.99,18.76,51.46,1027.46,58.85,N; Tset = 16.00; Ttrue = 015.8; T1 = 20.15; RH1 = 54.06; T2 = 19.02; RH2 = 57.78
2017.11.18_05:55:35,16.36,20.11,23.52,4.05,3.02,5.73,18.09,1.70,1020.41,16.79,22.02,26.34,7.18,8.23,7.87,18.76,52.42,1027.46,61.06,N; Tset = 17.00; Ttrue = 016.8; T1 = 20.15; RH1 = 56.77; T2 = 19.02; RH2 = 59.27
2017.11.18_05:56:45,15.14,20.39,22.75,3.56,3.61,5.32,18.10,1.69,1020.41,15.47,19.20,25.70,6.75,8.00,7.56,18.78,54.53,1027.46,64.65,N; Tset = 18.00; Ttrue = 017.7; T1 = 20.17; RH1 = 60.25; T2 = 19.02; RH2 = 62.67
2017.11.18_05:57:53,19.89,24.79,28.56,4.59,3.39,6.08,18.12,1.69,1020.40,19.32,23.78,28.27,6.77,8.19,8.50,18.77,56.55,1027.45,67.83,N; Tset = 18.80; Ttrue = 018.6; T1 = 20.18; RH1 = 63.20; T2 = 19.02; RH2 = 65.68
2017.11.18_05:59:03,15.77,19.96,22.75,4.02,3.47,5.13,18.13,1.68,1020.39,17.27,23.14,27.32,6.56,7.83,7.85,18.78,58.82,1027.44,71.22,N; Tset = 19.80; Ttrue = 019.5; T1 = 20.20; RH1 = 66.39; T2 = 19.02; RH2 = 68.89
2017.11.18_06:00:11,14.94,17.56,21.44,3.83,2.41,5.14,18.15,1.67,1020.35,17.75,21.05,25.66,6.56,8.13,8.10,18.80,61.14,1027.43,74.50,N; Tset = 20.60; Ttrue = 020.3; T1 = 20.22; RH1 = 69.46; T2 = 19.02; RH2 = 72.11
2017.11.18_06:01:19,15.91,18.15,22.03,3.54,2.76,5.35,18.15,1.66,1020.34,17.89,21.78,26.61,6.98,8.48,8.28,18.80,63.53,1027.40,77.87,N; Tset = 21.40; Ttrue = 021.2; T1 = 20.23; RH1 = 72.55; T2 = 19.02; RH2 = 75.35
2017.11.18_06:02:27,15.22,18.98,21.68,4.08,2.77,4.66,18.17,1.65,1020.33,17.87,20.89,28.86,6.50,8.05,8.13,18.80,66.05,1027.40,81.37,N; Tset = 22.20; Ttrue = 022.0; T1 = 20.26; RH1 = 75.78; T2 = 19.02; RH2 = 78.73
2017.11.18_06:03:35,17.00,21.59,24.92,4.49,3.42,5.37,18.17,1.66,1020.34,20.12,26.17,32.93,7.20,9.24,9.55,18.82,68.68,1027.39,85.00,N; Tset = 23.00; Ttrue = 022.8; T1 = 20.30; RH1 = 79.11; T2 = 19.02; RH2 = 82.23
2017.11.18_06:04:43,18.29,21.34,25.51,4.09,3.14,4.91,18.20,1.67,1020.34,24.35,31.60,38.91,9.19,10.29,10.14,18.82,71.36,1027.39,88.75,N; Tset = 23.80; Ttrue = 023.6; T1 = 20.35; RH1 = 82.45; T2 = 19.02; RH2 = 85.74
