2017.11.04_06:58:10,33.53,44.35,50.47,5.38,6.93,9.35,20.99,6.37,984.00,40.70,52.90,63.78,15.82,17.04,19.40,22.14,72.21,990.94,79.35,N; Tset = 15.80; Ttrue = 016.3; T1 = 21.05; RH1 = 78.23; T2 = 21.91; RH2 = 81.50
2017.11.04_06:59:10,34.85,47.61,52.79,6.90,7.18,10.30,21.72,6.56,1017.94,32.67,44.98,53.72,6.65,11.15,11.37,22.90,59.27,1025.12,55.88,N; Tset = 15.80; Ttrue = 016.6; T1 = 21.69; RH1 = 57.34; T2 = 22.60; RH2 = 59.52
2017.11.04_07:00:10,33.09,44.54,51.61,7.89,7.10,10.45,21.72,6.55,1017.95,37.16,43.68,54.47,6.84,10.29,14.52,22.88,53.88,1025.13,50.49,N; Tset = 15.80; Ttrue = 016.7; T1 = 21.63; RH1 = 53.89; T2 = 22.61; RH2 = 51.90
2017.11.04_07:01:10,34.21,45.17,51.07,7.42,6.76,10.22,21.72,6.54,1017.92,36.25,45.38,54.59,6.52,11.38,12.97,22.87,51.52,1025.12,48.87,N; Tset = 15.80; Ttrue = 016.7; T1 = 21.59; RH1 = 52.33; T2 = 22.62; RH2 = 50.05
2017.11.04_07:02:10,34.51,44.50,53.03,6.97,7.04,10.15,21.71,6.52,1017.93,35.46,44.12,54.37,6.90,10.96,13.06,22.87,50.11,1025.11,48.13,N; Tset = 15.80; Ttrue = 016.5; T1 = 21.55; RH1 = 51.64; T2 = 22.61; RH2 = 49.35
2017.11.04_07:03:16,34.36,42.26,53.12,6.37,6.21,10.44,21.70,6.50,1017.93,35.87,44.67,54.51,6.92,10.51,11.87,22.85,48.95,1025.11,47.52,N; Tset = 16.40; Ttrue = 015.9; T1 = 21.50; RH1 = 51.04; T2 = 22.60; RH2 = 48.79
2017.11.04_07:04:22,35.01,43.01,55.48,6.11,6.76,10.45,21.70,6.50,1017.94,38.01,44.83,55.06,7.92,12.52,13.60,22.84,47.34,1025.12,46.06,N; Tset = 17.00; Ttrue = 016.7; T1 = 21.44; RH1 = 49.63; T2 = 22.58; RH2 = 47.32
2017.11.04_07:05:26,40.20,46.18,56.92,7.88,7.55,10.17,21.70,6.53,1017.97,36.40,45.34,57.37,7.03,11.50,12.21,22.84,46.65,1025.14,45.99,N; Tset = 17.40; Ttrue = 017.3; T1 = 21.36; RH1 = 50.13; T2 = 22.57; RH2 = 46.94
2017.11.04_07:06:32,35.69,47.46,58.91,7.72,7.13,9.96,21.69,6.54,1018.01,36.51,45.43,60.04,7.25,11.24,12.35,22.83,47.00,1025.17,47.37,N; Tset = 18.00; Ttrue = 017.7; T1 = 21.31; RH1 = 51.97; T2 = 22.56; RH2 = 48.15
2017.11.04_07:07:36,39.65,51.80,58.73,8.70,7.93,10.72,21.68,6.55,1018.01,38.84,46.75,59.58,6.77,10.98,15.49,22.82,47.45,1025.18,48.53,N; Tset = 18.40; Ttrue = 018.2; T1 = 21.25; RH1 = 53.48; T2 = 22.55; RH2 = 49.30
2017.11.04_07:08:40,37.96,48.94,60.80,7.29,7.94,12.08,21.68,6.56,1018.03,39.67,48.22,60.39,7.06,10.47,13.65,22.82,47.96,1025.20,49.62,N; Tset = 18.80; Ttrue = 018.7; T1 = 21.20; RH1 = 54.93; T2 = 22.55; RH2 = 50.32
