2017.11.08_12:05:54,53.87,75.58,98.35,11.87,12.01,16.12,24.39,7.34,976.07,55.15,74.25,95.97,12.62,17.09,19.43,25.14,9.58,983.39,11.45,P; Tset = 16.60; Ttrue = NaN; T1 = 23.50; RH1 = 12.19; T2 = 25.14; RH2 = 11.12
2017.11.08_12:06:54,55.61,76.89,99.33,10.87,12.22,16.31,25.25,7.56,1009.72,58.83,77.99,99.91,13.37,17.04,19.99,26.02,9.90,1017.28,11.44,P; Tset = 16.60; Ttrue = NaN; T1 = 24.32; RH1 = 12.66; T2 = 26.01; RH2 = 11.45
2017.11.08_12:07:54,55.19,77.86,98.16,11.22,12.03,17.52,25.25,7.53,1009.66,57.29,76.30,97.77,12.87,17.04,19.30,26.02,9.88,1017.25,11.43,P; Tset = 16.60; Ttrue = NaN; T1 = 24.32; RH1 = 12.63; T2 = 26.02; RH2 = 11.45
2017.11.08_12:08:54,50.57,73.52,96.73,10.44,12.59,16.04,25.27,7.47,1009.67,53.96,72.44,96.22,12.88,17.31,18.48,26.02,9.82,1017.23,11.37,P; Tset = 16.60; Ttrue = NaN; T1 = 24.33; RH1 = 12.55; T2 = 26.02; RH2 = 11.39
2017.11.08_12:09:54,53.23,76.11,100.48,12.18,13.73,17.09,25.28,7.44,1009.63,59.59,78.12,101.80,13.33,17.02,20.12,26.04,9.78,1017.21,11.32,P; Tset = 16.60; Ttrue = NaN; T1 = 24.33; RH1 = 12.51; T2 = 26.03; RH2 = 11.35
2017.11.08_12:10:54,52.19,77.62,101.74,10.95,13.31,16.49,25.29,7.43,1009.62,62.52,77.80,100.68,12.92,17.04,19.75,26.04,9.76,1017.20,11.32,P; Tset = 17.20; Ttrue = NaN; T1 = 24.33; RH1 = 12.51; T2 = 26.03; RH2 = 11.34
2017.11.08_12:11:54,54.73,76.68,101.58,12.49,13.06,16.76,25.31,7.43,1009.61,58.47,77.44,99.10,13.55,18.03,20.62,26.04,9.75,1017.15,11.32,P; Tset = 17.60; Ttrue = NaN; T1 = 24.34; RH1 = 12.52; T2 = 26.04; RH2 = 11.34
2017.11.08_12:12:54,55.35,77.98,100.40,10.59,12.79,16.54,25.32,7.43,1009.57,56.64,80.98,102.82,12.60,16.90,20.27,26.05,9.74,1017.14,11.32,P; Tset = 18.20; Ttrue = NaN; T1 = 24.35; RH1 = 12.51; T2 = 26.05; RH2 = 11.34
2017.11.08_12:13:54,57.49,79.68,102.06,11.55,13.29,17.59,25.32,7.42,1009.56,58.37,79.95,101.60,13.41,17.14,20.42,26.07,9.72,1017.12,11.31,P; Tset = 18.60; Ttrue = NaN; T1 = 24.35; RH1 = 12.51; T2 = 26.05; RH2 = 11.32
2017.11.08_12:14:54,59.64,80.93,107.09,12.13,13.46,17.84,25.33,7.43,1009.52,62.09,81.74,107.89,14.54,17.03,20.40,26.07,9.71,1017.07,11.31,P; Tset = 19.20; Ttrue = NaN; T1 = 24.35; RH1 = 12.51; T2 = 26.06; RH2 = 11.32
2017.11.08_12:15:54,57.06,84.69,109.15,13.75,13.81,18.64,25.34,7.44,1009.48,61.03,83.23,106.23,16.97,18.40,20.60,26.08,9.71,1017.06,11.31,P; Tset = 19.60; Ttrue = NaN; T1 = 24.36; RH1 = 12.53; T2 = 26.07; RH2 = 11.34
2017.11.08_12:16:54,61.81,86.49,113.54,12.85,15.73,19.64,25.34,7.47,1009.44,65.73,88.52,111.34,14.55,19.75,21.13,26.09,9.73,1017.05,11.35,P; Tset = 20.00; Ttrue = NaN; T1 = 24.37; RH1 = 12.58; T2 = 26.07; RH2 = 11.36
2017.11.08_12:17:54,60.00,88.50,111.59,13.01,14.03,18.04,25.35,7.50,1009.43,63.91,86.75,110.60,14.12,18.70,21.57,26.11,9.74,1017.04,11.38,P; Tset = 20.40; Ttrue = NaN; T1 = 24.37; RH1 = 12.61; T2 = 26.07; RH2 = 11.40
2017.11.08_12:18:54,61.57,89.12,116.48,13.66,14.23,18.24,25.36,7.53,1009.41,65.84,87.80,114.21,15.35,19.54,21.26,26.12,9.76,1017.01,11.41,P; Tset = 20.80; Ttrue = NaN; T1 = 24.38; RH1 = 12.66; T2 = 26.08; RH2 = 11.43
2017.11.08_12:19:54,62.68,90.98,115.75,13.09,16.39,19.38,25.36,7.58,1009.36,64.39,90.52,114.63,13.96,19.19,21.98,26.13,9.79,1016.98,11.46,P; Tset = 21.20; Ttrue = NaN; T1 = 24.38; RH1 = 12.72; T2 = 26.09; RH2 = 11.48
2017.11.08_12:20:54,63.02,92.69,116.72,12.91,16.87,19.66,25.37,7.61,1009.36,67.35,91.85,115.63,15.32,19.42,23.06,26.14,9.82,1016.96,11.51,P; Tset = 21.60; Ttrue = NaN; T1 = 24.39; RH1 = 12.77; T2 = 26.10; RH2 = 11.53
2017.11.08_12:21:54,63.49,89.90,118.85,12.62,14.37,19.55,25.38,7.65,1009.35,66.38,94.59,114.55,15.73,18.87,21.99,26.15,9.84,1016.94,11.55,P; Tset = 22.00; Ttrue = NaN; T1 = 24.40; RH1 = 12.81; T2 = 26.11; RH2 = 11.57
2017.11.08_12:22:54,63.10,90.02,120.27,12.44,15.09,19.28,25.38,7.67,1009.38,68.97,92.29,115.82,14.96,19.58,21.86,26.16,9.86,1016.96,11.57,P; Tset = 22.40; Ttrue = NaN; T1 = 24.40; RH1 = 12.83; T2 = 26.11; RH2 = 11.60
2017.11.08_12:23:54,61.92,91.87,119.89,13.81,17.32,20.35,25.39,7.70,1009.35,68.35,91.59,115.78,18.70,19.90,23.22,26.17,9.88,1016.94,11.60,P; Tset = 22.80; Ttrue = NaN; T1 = 24.41; RH1 = 12.88; T2 = 26.12; RH2 = 11.63
2017.11.08_12:24:54,63.93,92.60,120.87,13.49,15.69,19.74,25.39,7.74,1009.34,67.67,91.75,117.95,15.40,20.38,22.71,26.18,9.90,1016.93,11.64,P; Tset = 23.20; Ttrue = NaN; T1 = 24.42; RH1 = 12.93; T2 = 26.13; RH2 = 11.67
2017.11.08_12:25:54,65.58,93.80,120.50,13.90,15.26,19.69,25.39,7.79,1009.34,67.33,93.05,121.22,15.92,21.85,24.48,26.19,9.93,1016.93,11.69,P; Tset = 23.60; Ttrue = NaN; T1 = 24.43; RH1 = 12.99; T2 = 26.14; RH2 = 11.72
