2017.11.23_01:08:09,8.01,10.76,10.64,2.96,1.65,4.55,21.82,2.89,976.94,11.81,14.84,19.58,7.85,9.00,9.89,23.19,60.12,984.09,70.77,N; Tset = 10.00; Ttrue = 016.6; T1 = 23.87; RH1 = 61.93; T2 = 23.62; RH2 = 70.32
2017.11.23_01:09:09,8.23,10.17,11.44,2.32,2.29,3.52,22.58,2.99,1010.60,10.02,12.55,16.42,7.25,8.23,9.14,23.98,50.70,1018.00,53.98,N; Tset = 10.00; Ttrue = 016.9; T1 = 24.66; RH1 = 50.02; T2 = 24.39; RH2 = 54.49
2017.11.23_01:10:17,8.80,10.36,10.48,2.24,1.79,3.39,22.58,2.99,1010.57,11.33,12.40,15.01,7.27,8.22,8.46,23.96,47.67,1017.97,51.29,N; Tset = 10.80; Ttrue = 017.0; T1 = 24.64; RH1 = 48.70; T2 = 24.37; RH2 = 50.61
2017.11.23_01:11:29,8.43,9.79,10.78,2.17,1.53,4.05,22.57,2.97,1010.54,9.78,12.00,15.71,7.23,9.10,9.88,23.95,46.35,1017.95,50.81,N; Tset = 12.00; Ttrue = 017.1; T1 = 24.62; RH1 = 48.63; T2 = 24.35; RH2 = 49.83
2017.11.23_01:12:39,9.22,8.86,10.16,2.59,1.65,3.99,22.56,2.97,1010.55,10.21,14.46,16.63,7.32,8.55,8.77,23.94,45.73,1017.95,50.86,N; Tset = 13.00; Ttrue = 017.2; T1 = 24.58; RH1 = 48.90; T2 = 24.31; RH2 = 49.76
2017.11.23_01:13:49,7.87,9.38,10.46,2.69,1.86,3.02,22.56,2.97,1010.52,10.91,13.04,16.51,7.24,8.21,8.45,23.94,45.25,1017.95,50.69,N; Tset = 14.00; Ttrue = 016.1; T1 = 24.55; RH1 = 48.78; T2 = 24.28; RH2 = 49.72
2017.11.23_01:14:59,7.98,9.16,9.87,3.01,1.84,4.36,22.56,2.97,1010.56,10.66,13.47,15.45,7.54,8.37,8.26,23.94,43.66,1017.97,48.64,N; Tset = 15.00; Ttrue = 015.3; T1 = 24.51; RH1 = 46.64; T2 = 24.27; RH2 = 48.04
2017.11.23_01:16:09,7.96,9.65,9.82,2.45,2.44,3.50,22.56,2.96,1010.58,9.69,12.53,15.17,6.82,8.41,8.53,23.92,41.98,1017.99,46.58,N; Tset = 16.00; Ttrue = 015.3; T1 = 24.47; RH1 = 44.77; T2 = 24.25; RH2 = 45.98
2017.11.23_01:17:19,8.17,9.50,10.91,2.50,2.11,3.99,22.54,2.95,1010.59,11.58,15.21,15.10,7.98,8.37,8.08,23.91,40.99,1017.99,45.79,N; Tset = 17.00; Ttrue = 016.8; T1 = 24.43; RH1 = 44.38; T2 = 24.24; RH2 = 44.87
2017.11.23_01:18:29,8.67,9.56,10.19,2.18,1.51,3.83,22.54,2.95,1010.63,10.60,11.39,15.56,8.51,7.92,8.29,23.90,41.99,1017.99,48.06,N; Tset = 18.00; Ttrue = 017.8; T1 = 24.40; RH1 = 47.14; T2 = 24.24; RH2 = 46.60
2017.11.23_01:19:37,8.38,9.90,10.41,2.60,1.76,3.83,22.54,2.95,1010.63,10.03,12.46,15.35,7.07,7.92,8.79,23.88,43.66,1017.98,50.88,N; Tset = 18.80; Ttrue = 018.6; T1 = 24.37; RH1 = 49.93; T2 = 24.23; RH2 = 49.25
