2017.11.11_03:05:56,11.17,14.10,16.52,2.83,2.56,4.59,23.96,4.06,979.39,14.28,17.85,25.29,18.46,16.96,24.18,24.78,73.12,986.71,82.41,N; Tset = 17.60; Ttrue = 0018.1; T1 = 24.11; RH1 = 78.84; T2 = 24.89; RH2 = 83.06
2017.11.11_03:06:56,13.36,13.70,15.72,1.76,2.14,4.55,24.78,4.19,1013.15,13.07,13.45,17.71,5.48,7.94,8.45,25.64,59.41,1020.73,58.23,N; Tset = 17.60; Ttrue = 0018.5; T1 = 24.88; RH1 = 58.11; T2 = 25.72; RH2 = 60.62
2017.11.11_03:07:56,12.85,14.95,16.74,2.08,2.12,4.67,24.80,4.17,1013.15,17.23,16.81,18.57,6.87,8.53,9.06,25.64,53.88,1020.71,52.71,N; Tset = 17.60; Ttrue = 0018.7; T1 = 24.85; RH1 = 54.52; T2 = 25.73; RH2 = 53.13
2017.11.11_03:08:56,12.92,15.44,16.25,1.89,1.62,4.66,24.80,4.16,1013.15,11.06,16.09,18.35,5.89,9.00,9.42,25.64,51.45,1020.71,50.88,N; Tset = 17.60; Ttrue = 0018.8; T1 = 24.82; RH1 = 52.77; T2 = 25.74; RH2 = 51.20
2017.11.11_03:09:56,12.18,14.76,15.91,2.77,1.86,3.98,24.80,4.13,1013.15,11.64,15.61,17.75,6.32,8.20,9.14,25.65,49.95,1020.70,50.04,N; Tset = 17.60; Ttrue = 0018.1; T1 = 24.80; RH1 = 52.02; T2 = 25.74; RH2 = 50.34
2017.11.11_03:11:02,11.25,16.12,16.85,2.49,1.80,4.08,24.81,4.11,1013.15,11.14,14.61,17.86,5.85,8.22,9.07,25.66,48.11,1020.70,48.33,N; Tset = 18.20; Ttrue = 0017.7; T1 = 24.76; RH1 = 50.16; T2 = 25.75; RH2 = 48.85
2017.11.11_03:12:08,10.88,18.03,16.11,2.29,2.46,4.75,24.83,4.10,1013.13,13.51,17.61,18.81,5.74,9.07,9.56,25.66,46.19,1020.69,46.60,N; Tset = 18.80; Ttrue = 0018.6; T1 = 24.70; RH1 = 48.71; T2 = 25.75; RH2 = 46.92
2017.11.11_03:13:12,13.82,15.87,15.40,2.41,2.54,5.00,24.83,4.08,1013.10,13.06,14.45,18.16,5.84,7.97,9.16,25.68,45.76,1020.66,47.15,N; Tset = 19.20; Ttrue = 0019.2; T1 = 24.65; RH1 = 49.97; T2 = 25.76; RH2 = 47.05
2017.11.11_03:14:18,11.85,13.56,15.93,2.44,1.88,4.76,24.83,4.02,1013.08,11.80,14.30,17.34,5.83,8.53,9.17,25.68,46.23,1020.65,48.65,N; Tset = 19.80; Ttrue = 0019.5; T1 = 24.60; RH1 = 51.82; T2 = 25.76; RH2 = 48.46
2017.11.11_03:15:22,12.16,12.82,14.76,2.23,2.15,4.53,24.84,3.96,1013.09,11.32,14.54,17.81,5.59,8.27,8.34,25.68,46.45,1020.64,49.47,N; Tset = 20.20; Ttrue = 0020.1; T1 = 24.56; RH1 = 52.84; T2 = 25.77; RH2 = 49.25
2017.11.11_03:16:28,10.02,13.37,16.89,2.32,2.16,4.32,24.84,3.95,1013.08,10.62,13.04,17.32,6.00,8.60,8.93,25.68,46.85,1020.64,50.48,N; Tset = 20.80; Ttrue = 0020.6; T1 = 24.51; RH1 = 54.25; T2 = 25.77; RH2 = 50.10
2017.11.11_03:17:32,10.63,14.23,15.25,2.13,1.87,4.38,24.85,3.99,1013.07,11.11,14.00,18.08,6.03,8.43,8.56,25.68,47.55,1020.63,51.80,N; Tset = 21.20; Ttrue = 0021.0; T1 = 24.46; RH1 = 55.89; T2 = 25.77; RH2 = 51.34
2017.11.11_03:18:36,11.47,13.97,16.64,2.02,3.28,4.28,24.85,4.02,1013.02,13.16,15.03,19.30,6.16,8.65,8.69,25.70,48.19,1020.59,52.85,N; Tset = 21.60; Ttrue = 0021.4; T1 = 24.42; RH1 = 57.26; T2 = 25.78; RH2 = 52.42
2017.11.11_03:19:40,11.35,13.49,15.74,2.69,4.30,3.74,24.85,4.04,1013.03,12.35,14.81,19.57,6.33,9.16,9.14,25.70,48.89,1020.59,54.00,N; Tset = 22.00; Ttrue = 0021.9; T1 = 24.38; RH1 = 58.69; T2 = 25.78; RH2 = 53.50
2017.11.11_03:20:44,12.75,15.59,16.93,2.43,2.23,4.47,24.85,4.06,1013.06,12.10,15.02,18.74,5.74,8.42,9.43,25.70,49.69,1020.61,55.24,N; Tset = 22.40; Ttrue = 0022.3; T1 = 24.35; RH1 = 60.18; T2 = 25.78; RH2 = 54.69
2017.11.11_03:21:48,12.60,17.29,16.16,2.83,2.28,4.08,24.87,4.07,1013.08,11.83,17.66,22.55,6.19,8.81,9.45,25.70,50.49,1020.62,56.41,N; Tset = 22.80; Ttrue = 0022.7; T1 = 24.32; RH1 = 61.57; T2 = 25.79; RH2 = 55.83
2017.11.11_03:22:52,11.22,14.77,16.99,2.40,2.15,4.62,24.87,4.08,1013.05,12.28,14.94,21.02,6.95,8.67,9.15,25.70,51.31,1020.59,57.58,N; Tset = 23.20; Ttrue = 0023.1; T1 = 24.29; RH1 = 62.97; T2 = 25.79; RH2 = 56.97
2017.11.11_03:23:56,10.14,13.03,16.17,2.17,2.49,5.16,24.87,4.04,1012.97,11.73,15.19,19.91,6.03,8.35,8.92,25.71,52.13,1020.51,58.68,N; Tset = 23.60; Ttrue = 0023.5; T1 = 24.27; RH1 = 64.29; T2 = 25.79; RH2 = 58.06
2017.11.11_03:25:00,11.32,14.16,14.75,3.13,2.25,5.05,24.87,3.93,1012.98,11.12,15.39,18.20,6.20,8.65,8.69,25.71,52.97,1020.52,59.82,N; Tset = 24.00; Ttrue = 0023.9; T1 = 24.25; RH1 = 65.62; T2 = 25.80; RH2 = 59.18
2017.11.11_03:26:04,10.22,12.43,14.64,1.94,1.97,4.89,24.87,3.90,1012.94,10.99,12.75,17.48,7.22,8.81,8.87,25.72,53.84,1020.50,60.94,N; Tset = 24.40; Ttrue = 0024.2; T1 = 24.24; RH1 = 66.94; T2 = 25.80; RH2 = 60.32
2017.11.11_03:27:08,10.03,14.21,15.04,4.33,2.36,4.15,24.87,3.88,1012.94,14.01,13.21,18.95,7.46,8.64,9.44,25.72,54.71,1020.51,62.10,N; Tset = 24.80; Ttrue = 0024.6; T1 = 24.22; RH1 = 68.25; T2 = 25.80; RH2 = 61.46
2017.11.11_03:28:10,10.40,13.27,14.89,2.65,2.09,5.09,24.87,3.86,1012.95,10.56,14.34,19.34,5.98,8.47,9.72,25.72,55.63,1020.53,63.27,N; Tset = 25.00; Ttrue = 0024.9; T1 = 24.22; RH1 = 69.58; T2 = 25.81; RH2 = 62.61
2017.11.11_03:29:14,11.61,12.64,14.12,2.55,1.71,4.89,24.88,3.86,1012.96,11.50,13.66,18.37,6.90,9.61,10.13,25.72,56.52,1020.52,64.41,N; Tset = 25.40; Ttrue = 0025.3; T1 = 24.22; RH1 = 70.81; T2 = 25.81; RH2 = 63.74
2017.11.11_03:30:18,10.40,12.99,14.92,2.58,1.77,4.02,24.88,3.85,1012.96,11.44,15.39,19.22,6.22,9.32,9.66,25.72,57.44,1020.52,65.61,N; Tset = 25.80; Ttrue = 0025.6; T1 = 24.22; RH1 = 72.12; T2 = 25.81; RH2 = 64.91
