2017.11.11_06:27:32,15.77,17.00,20.13,3.69,3.05,4.56,24.23,4.47,978.66,16.94,20.41,25.63,17.70,15.54,16.43,25.08,72.10,985.95,81.36,N; Tset = 17.20; Ttrue = 0017.7; T1 = 24.25; RH1 = 78.61; T2 = 25.15; RH2 = 82.20
2017.11.11_06:28:32,14.06,16.28,18.65,2.63,3.33,4.77,25.07,4.63,1012.41,14.25,15.86,19.82,6.46,8.95,10.30,25.92,58.27,1019.95,56.82,N; Tset = 17.20; Ttrue = 0018.1; T1 = 25.00; RH1 = 57.17; T2 = 25.99; RH2 = 59.29
2017.11.11_06:29:32,13.79,16.99,17.72,3.24,3.55,5.14,25.07,4.63,1012.40,16.55,16.88,20.97,6.02,9.51,9.94,25.92,52.75,1019.96,51.24,N; Tset = 17.20; Ttrue = 0018.3; T1 = 24.97; RH1 = 53.49; T2 = 25.98; RH2 = 51.74
2017.11.11_06:30:32,14.05,16.63,19.16,3.00,3.13,5.57,25.07,4.64,1012.40,17.06,15.65,21.26,5.68,8.50,9.41,25.92,50.32,1019.97,49.45,N; Tset = 17.20; Ttrue = 0018.5; T1 = 24.94; RH1 = 51.77; T2 = 25.99; RH2 = 49.87
2017.11.11_06:31:34,14.84,17.47,18.94,2.00,3.19,5.67,25.07,4.63,1012.41,14.87,17.30,20.48,5.03,8.24,9.11,25.92,48.83,1019.98,48.72,N; Tset = 17.40; Ttrue = 0017.9; T1 = 24.91; RH1 = 51.13; T2 = 25.99; RH2 = 49.10
2017.11.11_06:32:40,14.38,15.96,18.04,3.20,2.38,4.96,25.07,4.60,1012.43,14.25,17.79,21.55,6.13,9.39,9.68,25.92,47.12,1020.00,47.24,N; Tset = 18.00; Ttrue = 0017.4; T1 = 24.86; RH1 = 49.53; T2 = 25.99; RH2 = 47.80
2017.11.11_06:33:44,14.24,18.29,18.84,3.16,2.40,4.77,25.07,4.56,1012.45,15.50,18.33,20.81,6.10,8.78,8.84,25.92,45.19,1020.00,45.49,N; Tset = 18.40; Ttrue = 0018.3; T1 = 24.80; RH1 = 48.02; T2 = 25.99; RH2 = 45.87
2017.11.11_06:34:50,12.86,15.20,18.90,2.57,1.96,6.05,25.07,4.54,1012.42,13.94,17.39,19.18,5.40,8.07,8.66,25.92,44.80,1020.01,46.10,N; Tset = 19.00; Ttrue = 0019.0; T1 = 24.74; RH1 = 49.35; T2 = 25.99; RH2 = 46.04
2017.11.11_06:35:56,14.98,16.49,18.92,2.46,3.19,5.17,25.07,4.53,1012.43,17.11,17.69,20.92,5.37,9.29,10.74,25.92,45.29,1020.00,47.62,N; Tset = 19.60; Ttrue = 0019.3; T1 = 24.69; RH1 = 51.21; T2 = 25.99; RH2 = 47.46
2017.11.11_06:37:00,13.32,18.14,18.93,2.71,2.54,5.75,25.07,4.53,1012.45,14.96,18.96,21.39,5.42,8.36,8.71,25.92,45.54,1020.00,48.46,N; Tset = 20.00; Ttrue = 0019.8; T1 = 24.63; RH1 = 52.30; T2 = 25.99; RH2 = 48.30
2017.11.11_06:38:06,14.58,17.99,21.07,3.81,2.89,5.15,25.07,4.52,1012.45,13.92,18.72,22.51,6.09,8.38,9.69,25.92,45.98,1020.00,49.51,N; Tset = 20.60; Ttrue = 0020.4; T1 = 24.59; RH1 = 53.73; T2 = 25.98; RH2 = 49.23
