2017.11.23_02:01:53,7.79,9.13,9.97,2.21,1.65,3.66,21.65,2.93,976.76,11.98,12.32,17.27,8.48,9.30,9.46,23.00,59.96,983.87,70.26,N; Tset = 10.00; Ttrue = 015.9; T1 = 23.93; RH1 = 60.37; T2 = 23.48; RH2 = 69.78
2017.11.23_02:02:53,8.02,10.29,10.26,2.22,1.56,3.94,22.39,3.03,1010.43,10.31,12.29,15.44,7.81,8.44,8.35,23.80,50.08,1017.79,52.90,N; Tset = 10.00; Ttrue = 016.1; T1 = 24.73; RH1 = 48.18; T2 = 24.27; RH2 = 53.32
2017.11.23_02:04:01,8.83,9.89,11.05,2.33,1.74,3.65,22.40,3.03,1010.34,9.97,12.62,15.96,7.52,8.27,8.26,23.80,46.88,1017.72,50.11,N; Tset = 10.80; Ttrue = 016.3; T1 = 24.71; RH1 = 46.84; T2 = 24.27; RH2 = 49.36
2017.11.23_02:05:13,8.07,9.63,10.51,2.00,2.02,3.51,22.41,3.01,1010.26,10.55,12.31,16.01,7.59,8.58,8.08,23.80,45.47,1017.67,49.61,N; Tset = 12.00; Ttrue = 016.5; T1 = 24.68; RH1 = 46.77; T2 = 24.26; RH2 = 48.54
2017.11.23_02:06:23,8.09,10.16,9.98,3.10,2.10,3.32,22.41,3.01,1010.13,11.43,13.67,16.68,7.27,8.74,8.08,23.81,44.81,1017.54,49.63,N; Tset = 13.00; Ttrue = 016.6; T1 = 24.66; RH1 = 47.08; T2 = 24.25; RH2 = 48.46
2017.11.23_02:07:33,8.35,10.42,9.92,2.38,1.82,3.66,22.41,3.01,1010.21,12.79,13.45,17.39,6.84,10.11,10.07,23.82,44.44,1017.62,49.74,N; Tset = 14.00; Ttrue = 015.6; T1 = 24.64; RH1 = 47.28; T2 = 24.23; RH2 = 48.59
2017.11.23_02:08:43,8.26,9.78,10.56,2.22,1.88,3.74,22.41,3.01,1010.27,11.31,12.75,16.75,7.28,8.65,8.57,23.82,43.10,1017.67,48.06,N; Tset = 15.00; Ttrue = 014.8; T1 = 24.61; RH1 = 45.50; T2 = 24.22; RH2 = 47.25
2017.11.23_02:09:53,8.06,9.15,10.20,2.21,1.93,3.87,22.41,3.01,1010.31,9.00,11.30,16.66,7.04,8.44,8.83,23.82,41.49,1017.69,46.10,N; Tset = 16.00; Ttrue = 015.4; T1 = 24.57; RH1 = 43.77; T2 = 24.22; RH2 = 45.29
2017.11.23_02:11:03,8.28,9.14,9.47,2.51,1.83,3.47,22.41,3.00,1010.35,10.24,12.16,16.57,7.33,8.28,8.03,23.82,40.96,1017.73,46.09,N; Tset = 17.00; Ttrue = 016.8; T1 = 24.54; RH1 = 44.30; T2 = 24.22; RH2 = 44.82
2017.11.23_02:12:13,8.38,9.69,10.68,2.60,1.65,3.68,22.41,3.01,1010.36,8.92,12.04,16.77,7.04,8.48,8.45,23.82,42.34,1017.72,48.78,N; Tset = 18.00; Ttrue = 017.7; T1 = 24.51; RH1 = 47.32; T2 = 24.23; RH2 = 47.09
2017.11.23_02:13:21,8.02,10.07,10.10,2.20,1.49,3.99,22.41,3.00,1010.35,11.42,12.46,16.44,7.39,8.42,7.66,23.82,43.90,1017.73,51.30,N; Tset = 18.80; Ttrue = 018.6; T1 = 24.48; RH1 = 49.84; T2 = 24.23; RH2 = 49.51
