2017.11.17_07:06:59,35.47,39.58,46.13,7.71,7.05,9.60,22.40,3.67,974.19,43.64,45.64,48.05,9.51,11.61,13.07,23.55,60.00,981.54,71.79,N; Tset = 10.00; Ttrue = 017.6; T1 = 24.07; RH1 = 64.14; T2 = 23.93; RH2 = 70.86
2017.11.17_07:07:59,41.14,43.92,50.33,7.64,8.34,9.25,23.19,3.75,1007.81,44.59,44.82,53.19,10.68,11.67,11.59,24.36,52.28,1015.40,57.18,N; Tset = 10.00; Ttrue = 017.8; T1 = 24.87; RH1 = 53.91; T2 = 24.73; RH2 = 57.50
2017.11.17_07:09:07,41.19,46.92,54.61,9.45,10.36,12.69,23.19,3.74,1007.88,44.60,46.21,51.13,10.56,13.96,14.98,24.37,49.58,1015.46,54.64,N; Tset = 10.80; Ttrue = 017.9; T1 = 24.86; RH1 = 52.59; T2 = 24.73; RH2 = 53.92
2017.11.17_07:10:19,37.36,45.06,54.59,9.79,8.51,10.20,23.19,3.74,1007.94,34.95,42.89,48.23,9.65,11.79,11.12,24.36,48.45,1015.52,54.16,N; Tset = 12.00; Ttrue = 018.0; T1 = 24.85; RH1 = 52.45; T2 = 24.72; RH2 = 53.18
2017.11.17_07:11:29,38.92,45.02,50.82,7.98,7.91,10.43,23.19,3.71,1007.99,38.20,44.78,48.14,10.17,13.51,13.91,24.36,47.91,1015.56,54.16,N; Tset = 13.00; Ttrue = 017.9; T1 = 24.84; RH1 = 52.64; T2 = 24.72; RH2 = 53.02
2017.11.17_07:12:39,38.34,46.94,51.62,8.93,9.50,11.23,23.19,3.66,1008.02,42.01,46.98,51.98,9.62,13.71,12.38,24.36,47.37,1015.57,53.77,N; Tset = 14.00; Ttrue = 016.9; T1 = 24.83; RH1 = 52.17; T2 = 24.72; RH2 = 52.77
2017.11.17_07:13:49,34.47,42.01,48.57,7.81,7.20,10.05,23.19,3.66,1008.12,40.13,45.66,48.44,8.10,14.20,11.83,24.36,45.79,1015.69,51.69,N; Tset = 15.00; Ttrue = 016.1; T1 = 24.82; RH1 = 50.02; T2 = 24.72; RH2 = 50.89
2017.11.17_07:14:59,35.20,41.50,48.19,8.58,7.80,9.85,23.19,3.64,1008.16,39.29,42.05,46.32,9.06,13.18,12.13,24.36,44.17,1015.73,49.71,N; Tset = 16.00; Ttrue = 015.6; T1 = 24.79; RH1 = 48.19; T2 = 24.72; RH2 = 48.95
2017.11.17_07:16:09,32.59,39.35,46.60,9.22,7.50,9.37,23.19,3.60,1008.21,37.11,43.46,46.07,11.52,10.32,14.27,24.36,42.78,1015.78,48.10,N; Tset = 17.00; Ttrue = 016.5; T1 = 24.76; RH1 = 46.79; T2 = 24.72; RH2 = 47.29
2017.11.17_07:17:19,37.38,42.70,45.77,7.31,7.13,8.93,23.20,3.55,1008.19,43.26,39.04,45.41,10.28,12.02,13.59,24.36,42.66,1015.74,48.73,N; Tset = 18.00; Ttrue = 017.8; T1 = 24.74; RH1 = 47.98; T2 = 24.72; RH2 = 47.38
2017.11.17_07:18:27,35.58,44.27,45.88,8.68,7.80,9.64,23.21,3.49,1008.17,41.89,39.72,47.03,9.54,12.30,14.42,24.37,44.22,1015.79,51.56,N; Tset = 18.80; Ttrue = 018.6; T1 = 24.72; RH1 = 51.05; T2 = 24.73; RH2 = 49.87
2017.11.17_07:19:37,32.45,39.58,44.75,9.39,5.93,9.21,23.21,3.51,1008.28,34.63,40.93,44.82,7.67,9.80,12.83,24.37,45.80,1015.86,54.05,N; Tset = 19.80; Ttrue = 019.4; T1 = 24.72; RH1 = 53.51; T2 = 24.74; RH2 = 52.25
2017.11.17_07:20:45,34.25,38.48,42.90,10.38,6.88,11.21,23.21,3.53,1008.33,37.18,41.49,44.75,7.99,9.76,10.29,24.37,47.39,1015.91,56.39,N; Tset = 20.60; Ttrue = 020.3; T1 = 24.71; RH1 = 55.89; T2 = 24.75; RH2 = 54.46
2017.11.17_07:21:53,37.90,47.02,47.46,9.19,6.79,10.27,23.21,3.48,1008.36,39.93,46.11,48.37,8.52,11.21,10.78,24.37,49.18,1015.94,58.95,N; Tset = 21.40; Ttrue = 021.2; T1 = 24.72; RH1 = 58.47; T2 = 24.75; RH2 = 56.87
2017.11.17_07:23:01,31.60,40.52,40.33,7.93,7.59,10.33,23.22,3.45,1008.41,36.76,40.41,42.56,8.14,11.84,12.68,24.37,51.09,1016.00,61.62,N; Tset = 22.20; Ttrue = 022.0; T1 = 24.73; RH1 = 61.10; T2 = 24.76; RH2 = 59.39
2017.11.17_07:24:09,31.62,36.15,39.87,6.00,5.93,8.26,23.23,3.42,1008.51,30.81,41.86,40.13,9.36,10.91,10.90,24.36,53.14,1016.08,64.40,N; Tset = 23.00; Ttrue = 022.8; T1 = 24.74; RH1 = 63.81; T2 = 24.76; RH2 = 62.03
2017.11.17_07:25:17,30.72,34.72,39.61,6.51,6.62,8.21,23.23,3.40,1008.57,35.04,47.33,44.30,9.93,11.72,10.75,24.37,55.25,1016.18,67.23,N; Tset = 23.80; Ttrue = 023.6; T1 = 24.77; RH1 = 66.53; T2 = 24.77; RH2 = 64.75
2017.11.17_07:26:25,28.30,34.56,39.58,7.14,5.65,8.67,23.23,3.37,1008.62,32.32,37.85,42.90,7.52,10.28,12.40,24.38,57.38,1016.21,69.97,N; Tset = 24.60; Ttrue = 024.3; T1 = 24.80; RH1 = 69.15; T2 = 24.77; RH2 = 67.40
2017.11.17_07:27:33,30.63,33.35,39.61,10.46,6.24,8.29,23.24,3.31,1008.67,32.99,39.60,40.48,8.16,10.51,13.02,24.38,59.49,1016.25,72.67,N; Tset = 25.40; Ttrue = 025.1; T1 = 24.83; RH1 = 71.68; T2 = 24.78; RH2 = 70.01
2017.11.17_07:28:39,27.29,36.75,37.01,6.30,6.00,7.77,23.25,3.26,1008.69,30.82,37.71,40.67,9.95,10.66,10.81,24.38,61.65,1016.31,75.48,N; Tset = 26.00; Ttrue = 025.8; T1 = 24.87; RH1 = 74.30; T2 = 24.80; RH2 = 72.66
2017.11.17_07:29:47,27.13,35.44,36.50,8.55,5.57,9.15,23.25,3.21,1008.75,35.68,34.79,40.99,8.57,12.27,13.80,24.38,63.94,1016.30,78.45,N; Tset = 26.80; Ttrue = 026.6; T1 = 24.91; RH1 = 77.03; T2 = 24.80; RH2 = 75.49
2017.11.17_07:30:55,29.42,33.71,35.44,7.21,6.74,9.49,23.26,3.17,1008.78,34.84,37.84,43.98,8.68,12.28,12.79,24.38,66.24,1016.34,81.51,N; Tset = 27.60; Ttrue = 027.3; T1 = 24.97; RH1 = 79.79; T2 = 24.81; RH2 = 78.38
2017.11.17_07:32:01,31.89,33.83,36.48,6.42,5.79,8.32,23.27,3.16,1008.80,33.61,42.69,50.85,10.75,11.94,13.05,24.38,68.59,1016.38,84.58,N; Tset = 28.20; Ttrue = 028.0; T1 = 25.03; RH1 = 82.52; T2 = 24.81; RH2 = 81.30
2017.11.17_07:33:07,26.97,28.56,33.38,5.77,5.48,6.71,23.27,3.12,1008.84,34.22,38.53,47.81,12.53,12.62,13.75,24.40,70.90,1016.41,87.45,N; Tset = 28.80; Ttrue = 028.7; T1 = 25.08; RH1 = 85.07; T2 = 24.83; RH2 = 84.13
2017.11.17_07:34:15,27.83,31.48,33.72,5.21,5.06,7.59,23.27,3.11,1008.86,34.41,47.75,52.78,16.95,15.02,16.91,24.40,73.16,1016.45,90.36,N; Tset = 29.60; Ttrue = 029.3; T1 = 25.15; RH1 = 87.57; T2 = 24.83; RH2 = 86.90
