2017.11.09_22:04:26,228.22,292.46,348.58,37.12,40.03,48.87,22.87,15.20,967.53,385.58,451.28,510.93,54.21,59.67,66.63,23.79,72.47,974.54,82.69,P; Tset = 14.60; Ttrue = NaN; T1 = 22.13; RH1 = 87.70; T2 = 23.38; RH2 = 82.81
2017.11.09_22:05:26,235.07,305.07,356.96,38.22,40.54,48.07,23.64,15.76,1000.86,321.30,385.26,446.75,48.54,50.67,56.89,24.58,68.88,1008.12,72.32,P; Tset = 14.60; Ttrue = NaN; T1 = 22.88; RH1 = 78.23; T2 = 24.16; RH2 = 75.92
2017.11.09_22:06:26,234.02,305.78,361.33,40.28,41.64,47.52,23.62,15.79,1000.84,294.87,354.24,406.91,41.86,47.30,53.83,24.56,62.67,1008.08,63.43,P; Tset = 14.60; Ttrue = NaN; T1 = 22.89; RH1 = 68.41; T2 = 24.15; RH2 = 66.56
2017.11.09_22:07:26,229.87,298.34,357.64,38.52,40.27,47.27,23.60,15.83,1000.81,271.72,334.39,383.46,39.87,46.30,51.66,24.54,57.26,1008.07,56.46,P; Tset = 14.60; Ttrue = NaN; T1 = 22.93; RH1 = 60.93; T2 = 24.15; RH2 = 58.98
2017.11.09_22:08:26,233.56,297.65,360.36,39.09,41.79,48.33,23.59,15.86,1000.81,271.51,328.34,375.49,38.38,45.08,52.13,24.51,52.96,1008.06,51.23,P; Tset = 14.80; Ttrue = NaN; T1 = 22.96; RH1 = 55.03; T2 = 24.14; RH2 = 53.51
2017.11.09_22:09:26,237.05,300.34,361.50,42.20,41.81,47.65,23.57,15.88,1000.80,266.64,325.18,366.23,39.35,44.57,50.84,24.50,49.52,1008.07,47.39,P; Tset = 15.40; Ttrue = NaN; T1 = 22.99; RH1 = 50.73; T2 = 24.14; RH2 = 49.47
2017.11.09_22:10:26,239.21,305.39,362.32,39.12,41.85,48.94,23.55,15.92,1000.80,262.93,320.46,366.11,38.67,45.30,50.71,24.49,46.88,1008.06,44.67,P; Tset = 16.00; Ttrue = NaN; T1 = 23.02; RH1 = 47.75; T2 = 24.14; RH2 = 46.57
2017.11.09_22:11:26,234.57,306.34,364.56,42.14,42.62,51.62,23.53,15.97,1000.79,265.07,324.73,375.96,40.76,46.03,54.50,24.47,44.66,1008.08,42.51,P; Tset = 16.60; Ttrue = NaN; T1 = 23.04; RH1 = 45.36; T2 = 24.14; RH2 = 44.25
2017.11.09_22:12:26,247.78,313.24,365.32,40.33,43.38,50.41,23.53,16.03,1000.80,261.67,320.01,370.04,40.70,44.90,50.40,24.47,42.82,1008.07,40.80,P; Tset = 17.00; Ttrue = NaN; T1 = 23.06; RH1 = 43.55; T2 = 24.14; RH2 = 42.39
2017.11.09_22:13:26,240.97,307.00,368.37,40.13,44.42,52.05,23.51,16.08,1000.80,263.28,314.25,362.74,39.14,45.07,51.72,24.46,41.20,1008.06,39.34,P; Tset = 17.60; Ttrue = NaN; T1 = 23.08; RH1 = 41.96; T2 = 24.14; RH2 = 40.81
2017.11.09_22:14:26,235.05,304.20,366.18,39.39,44.64,51.83,23.50,16.10,1000.80,260.97,314.03,360.24,41.48,44.19,52.68,24.45,39.76,1008.06,38.05,P; Tset = 18.00; Ttrue = NaN; T1 = 23.09; RH1 = 40.55; T2 = 24.15; RH2 = 39.41
2017.11.09_22:15:26,229.14,300.41,362.75,39.20,43.69,47.48,23.50,16.07,1000.81,254.42,307.79,352.65,38.49,43.68,49.77,24.45,38.36,1008.08,36.71,P; Tset = 18.60; Ttrue = NaN; T1 = 23.11; RH1 = 39.07; T2 = 24.15; RH2 = 38.03
2017.11.09_22:16:26,228.99,299.68,359.18,38.27,41.78,48.02,23.50,16.02,1000.79,254.50,305.55,350.92,37.36,44.50,53.16,24.45,37.06,1008.09,35.47,P; Tset = 19.00; Ttrue = NaN; T1 = 23.12; RH1 = 37.73; T2 = 24.16; RH2 = 36.72
2017.11.09_22:17:26,235.89,301.78,359.37,41.05,41.41,48.31,23.50,15.99,1000.83,254.58,304.82,348.82,40.22,44.87,50.46,24.45,35.89,1008.11,34.40,P; Tset = 19.40; Ttrue = NaN; T1 = 23.13; RH1 = 36.61; T2 = 24.16; RH2 = 35.58
2017.11.09_22:18:26,232.43,300.88,355.94,41.26,41.19,47.05,23.48,16.00,1000.81,258.51,303.64,349.22,36.99,42.94,50.77,24.45,34.85,1008.11,33.46,P; Tset = 19.80; Ttrue = NaN; T1 = 23.14; RH1 = 35.60; T2 = 24.17; RH2 = 34.58
2017.11.09_22:19:26,228.53,299.16,358.15,41.98,41.83,47.11,23.48,16.02,1000.79,249.11,302.93,351.03,41.19,42.92,50.76,24.45,33.88,1008.07,32.59,P; Tset = 20.40; Ttrue = NaN; T1 = 23.14; RH1 = 34.69; T2 = 24.17; RH2 = 33.65
2017.11.09_22:20:26,232.19,295.10,353.17,39.47,41.22,48.82,23.48,16.04,1000.75,248.04,302.37,350.62,37.72,43.82,49.83,24.45,33.05,1008.07,31.89,P; Tset = 20.80; Ttrue = NaN; T1 = 23.15; RH1 = 33.97; T2 = 24.18; RH2 = 32.89
2017.11.09_22:21:26,234.31,295.89,351.97,39.25,42.15,47.63,23.48,16.06,1000.77,246.71,304.73,351.29,37.92,44.34,49.05,24.45,32.29,1008.08,31.25,P; Tset = 21.20; Ttrue = NaN; T1 = 23.16; RH1 = 33.33; T2 = 24.18; RH2 = 32.20
2017.11.09_22:22:26,229.83,300.90,357.61,38.96,42.48,48.22,23.48,16.06,1000.79,246.34,299.25,351.82,36.69,42.85,50.84,24.46,31.58,1008.10,30.64,P; Tset = 21.60; Ttrue = NaN; T1 = 23.16; RH1 = 32.70; T2 = 24.19; RH2 = 31.54
2017.11.09_22:23:26,227.51,295.36,351.62,39.14,40.13,47.38,23.48,16.06,1000.81,243.85,305.14,345.44,37.36,42.12,49.56,24.47,30.90,1008.12,30.03,P; Tset = 22.00; Ttrue = NaN; T1 = 23.16; RH1 = 32.07; T2 = 24.19; RH2 = 30.92
2017.11.09_22:24:26,229.70,297.76,359.31,37.65,41.73,49.96,23.49,16.04,1000.83,251.18,308.65,354.54,37.90,42.50,50.00,24.47,30.26,1008.13,29.48,P; Tset = 22.20; Ttrue = NaN; T1 = 23.17; RH1 = 31.50; T2 = 24.20; RH2 = 30.30
2017.11.09_22:25:26,230.67,300.20,362.10,38.53,40.93,50.22,23.49,16.06,1000.88,248.86,310.33,351.53,38.49,44.84,49.95,24.47,29.70,1008.16,29.04,P; Tset = 22.60; Ttrue = NaN; T1 = 23.17; RH1 = 31.07; T2 = 24.21; RH2 = 29.81
2017.11.09_22:26:26,232.98,300.66,363.03,39.00,41.59,48.45,23.50,16.06,1000.88,249.16,308.56,351.34,39.99,44.35,48.37,24.49,29.19,1008.18,28.62,P; Tset = 23.00; Ttrue = NaN; T1 = 23.17; RH1 = 30.65; T2 = 24.22; RH2 = 29.38
2017.11.09_22:27:26,231.68,305.38,367.10,39.42,41.85,48.79,23.51,16.06,1000.89,249.87,308.48,351.43,39.70,42.21,50.57,24.49,28.70,1008.19,28.21,P; Tset = 23.40; Ttrue = NaN; T1 = 23.17; RH1 = 30.21; T2 = 24.22; RH2 = 28.96
2017.11.09_22:28:26,231.64,304.82,361.12,37.96,43.18,51.73,23.52,16.06,1000.87,246.01,300.72,349.04,37.60,43.09,50.45,24.49,28.15,1008.19,27.71,P; Tset = 23.80; Ttrue = NaN; T1 = 23.17; RH1 = 29.69; T2 = 24.23; RH2 = 28.42
2017.11.09_22:29:26,236.61,301.05,359.86,39.27,43.03,49.14,23.52,16.06,1000.82,247.41,307.66,349.14,39.26,44.48,50.25,24.49,27.64,1008.14,27.23,P; Tset = 24.00; Ttrue = NaN; T1 = 23.17; RH1 = 29.21; T2 = 24.23; RH2 = 27.92
