2017.11.14_04:17:22,11.27,14.71,16.25,2.95,1.77,3.94,24.61,3.16,975.05,14.49,19.36,24.79,17.23,15.94,16.68,25.43,72.32,982.39,77.33,N; Tset = 17.80; Ttrue = 018.1; T1 = 24.27; RH1 = 75.66; T2 = 25.11; RH2 = 80.54
2017.11.14_04:18:22,12.15,14.57,16.87,2.86,1.83,4.88,25.47,3.23,1008.76,11.93,15.93,18.34,6.65,9.19,9.41,26.30,57.76,1016.37,52.91,N; Tset = 17.80; Ttrue = 018.4; T1 = 25.03; RH1 = 54.23; T2 = 25.95; RH2 = 56.70
2017.11.14_04:19:22,12.24,17.32,19.33,2.81,2.07,3.86,25.48,3.20,1008.77,13.60,14.68,19.04,7.20,9.11,9.69,26.29,51.96,1016.37,47.62,N; Tset = 17.80; Ttrue = 018.5; T1 = 24.99; RH1 = 50.62; T2 = 25.96; RH2 = 49.30
2017.11.14_04:20:22,12.98,15.29,17.13,3.02,2.32,6.06,25.48,3.15,1008.79,13.82,15.83,21.00,6.32,9.36,9.66,26.29,49.45,1016.40,46.02,N; Tset = 17.80; Ttrue = 018.6; T1 = 24.96; RH1 = 49.06; T2 = 25.98; RH2 = 47.54
2017.11.14_04:21:24,12.66,14.09,16.03,2.40,2.08,5.36,25.48,3.13,1008.82,11.57,14.98,18.64,5.96,8.95,9.56,26.29,47.94,1016.41,45.40,N; Tset = 18.00; Ttrue = 018.7; T1 = 24.94; RH1 = 48.58; T2 = 25.99; RH2 = 46.76
2017.11.14_04:22:30,12.30,14.58,16.35,2.80,2.23,4.36,25.48,3.12,1008.81,11.60,15.90,20.16,5.91,8.42,8.79,26.29,46.89,1016.41,45.16,N; Tset = 18.60; Ttrue = 018.2; T1 = 24.89; RH1 = 48.57; T2 = 25.99; RH2 = 46.41
2017.11.14_04:23:34,12.94,15.48,16.55,3.58,2.20,4.08,25.48,3.13,1008.83,12.94,14.64,22.00,6.33,9.08,9.32,26.31,45.72,1016.43,44.32,N; Tset = 19.00; Ttrue = 018.7; T1 = 24.84; RH1 = 47.79; T2 = 26.00; RH2 = 45.65
2017.11.14_04:24:40,13.78,13.68,17.02,3.21,2.28,4.30,25.49,3.14,1008.83,13.19,15.19,21.16,5.90,8.82,10.55,26.31,44.77,1016.43,43.99,N; Tset = 19.60; Ttrue = 019.5; T1 = 24.79; RH1 = 47.90; T2 = 26.01; RH2 = 44.98
2017.11.14_04:25:46,11.51,14.36,16.24,5.90,3.13,3.85,25.50,3.14,1008.89,12.53,14.14,19.52,5.86,8.32,9.64,26.31,45.06,1016.49,45.33,N; Tset = 20.20; Ttrue = 020.0; T1 = 24.73; RH1 = 49.81; T2 = 26.01; RH2 = 46.11
2017.11.14_04:26:50,12.06,14.61,16.87,5.21,2.24,4.90,25.50,3.16,1008.88,11.25,15.74,18.59,5.81,8.09,9.04,26.31,45.62,1016.50,46.62,N; Tset = 20.60; Ttrue = 020.4; T1 = 24.69; RH1 = 51.42; T2 = 26.01; RH2 = 47.38
2017.11.14_04:27:56,12.15,15.72,17.17,2.64,3.34,5.54,25.50,3.18,1008.88,13.75,15.77,19.97,6.10,8.22,9.99,26.31,46.11,1016.48,47.70,N; Tset = 21.20; Ttrue = 021.0; T1 = 24.63; RH1 = 52.83; T2 = 26.01; RH2 = 48.42
2017.11.14_04:29:00,11.67,14.57,15.62,2.18,2.47,4.37,25.50,3.23,1008.86,13.46,15.45,20.13,6.05,8.76,9.94,26.31,46.77,1016.47,48.89,N; Tset = 21.60; Ttrue = 021.4; T1 = 24.58; RH1 = 54.39; T2 = 26.00; RH2 = 49.57
2017.11.14_04:30:04,11.66,15.83,17.64,2.06,2.11,4.14,25.50,3.24,1008.91,13.77,14.58,19.15,6.17,9.37,9.31,26.31,47.53,1016.49,50.10,N; Tset = 22.00; Ttrue = 021.9; T1 = 24.54; RH1 = 55.95; T2 = 26.00; RH2 = 50.76
2017.11.14_04:31:08,14.35,13.98,15.86,2.40,2.11,4.16,25.50,3.24,1008.87,11.69,14.62,19.13,5.61,8.42,9.90,26.31,48.29,1016.49,51.25,N; Tset = 22.40; Ttrue = 022.3; T1 = 24.49; RH1 = 57.41; T2 = 26.00; RH2 = 51.89
2017.11.14_04:32:12,12.87,15.44,16.48,2.95,2.83,5.06,25.50,3.21,1008.84,10.79,14.46,17.29,5.51,8.03,9.58,26.31,49.11,1016.46,52.47,N; Tset = 22.80; Ttrue = 022.7; T1 = 24.46; RH1 = 58.92; T2 = 26.00; RH2 = 53.11
