2017.11.20_23:48:48,228.06,327.79,417.25,42.15,46.37,54.70,25.10,6.19,975.08,356.68,478.02,580.49,60.96,65.71,72.32,25.78,57.22,982.41,61.87,N; Tset = 11.00; Ttrue = 011.9; T1 = 27.46; RH1 = 48.53; T2 = 26.14; RH2 = 64.43
2017.11.20_23:49:48,232.95,340.01,426.48,42.54,47.55,55.33,25.99,6.38,1008.73,325.54,437.87,529.93,56.45,62.44,70.96,26.65,43.48,1016.28,40.66,N; Tset = 11.00; Ttrue = 012.3; T1 = 28.34; RH1 = 34.23; T2 = 27.02; RH2 = 42.62
2017.11.20_23:50:48,238.17,337.19,426.03,43.50,47.67,54.22,25.99,6.36,1008.73,333.73,439.80,528.51,54.93,59.71,67.50,26.65,39.26,1016.30,37.58,N; Tset = 11.00; Ttrue = 012.5; T1 = 28.27; RH1 = 33.10; T2 = 27.01; RH2 = 37.98
2017.11.20_23:51:48,236.36,337.70,426.19,43.00,47.65,55.58,26.00,6.35,1008.74,331.21,435.69,528.67,55.10,61.56,69.64,26.66,37.31,1016.31,36.96,N; Tset = 11.00; Ttrue = 012.7; T1 = 28.23; RH1 = 33.08; T2 = 27.02; RH2 = 36.89
2017.11.20_23:52:54,235.86,336.16,428.91,43.56,48.20,55.70,26.01,6.34,1008.74,329.51,440.32,530.28,55.39,61.24,68.58,26.67,36.11,1016.31,36.82,N; Tset = 11.60; Ttrue = 012.8; T1 = 28.18; RH1 = 33.31; T2 = 27.03; RH2 = 36.50
2017.11.20_23:54:00,236.18,338.25,427.10,43.19,47.42,56.39,26.01,6.32,1008.76,334.67,440.73,537.51,58.13,62.04,69.77,26.69,35.29,1016.32,36.86,N; Tset = 12.20; Ttrue = 013.0; T1 = 28.11; RH1 = 33.68; T2 = 27.03; RH2 = 36.37
2017.11.20_23:55:06,234.04,336.60,428.83,43.06,48.20,55.89,26.01,6.32,1008.74,340.90,445.27,538.03,55.66,61.17,68.77,26.70,34.69,1016.31,36.84,N; Tset = 12.80; Ttrue = 012.3; T1 = 28.03; RH1 = 33.90; T2 = 27.04; RH2 = 36.31
2017.11.20_23:56:12,233.84,336.32,430.26,43.49,48.12,56.55,26.03,6.32,1008.73,337.92,444.95,530.96,56.51,60.45,68.00,26.73,33.66,1016.31,35.90,N; Tset = 13.40; Ttrue = 013.1; T1 = 27.95; RH1 = 33.18; T2 = 27.05; RH2 = 35.47
2017.11.20_23:57:18,235.83,340.27,427.20,43.62,49.84,55.84,26.03,6.32,1008.71,334.68,441.07,545.76,59.10,63.33,71.14,26.73,33.35,1016.30,36.25,N; Tset = 14.00; Ttrue = 013.9; T1 = 27.88; RH1 = 34.00; T2 = 27.06; RH2 = 35.47
2017.11.20_23:58:24,236.80,335.66,427.80,43.24,47.68,56.10,26.03,6.31,1008.70,344.93,447.39,543.80,58.97,61.47,72.74,26.74,33.83,1016.27,37.57,N; Tset = 14.60; Ttrue = 014.3; T1 = 27.82; RH1 = 35.50; T2 = 27.06; RH2 = 36.63
2017.11.20_23:59:28,236.36,337.43,427.87,42.95,46.69,55.60,26.03,6.32,1008.67,340.08,446.20,548.39,59.10,63.24,70.90,26.75,34.26,1016.26,38.51,N; Tset = 15.00; Ttrue = 014.9; T1 = 27.76; RH1 = 36.56; T2 = 27.06; RH2 = 37.54
