2017.11.24_01:24:07,9.69,11.05,13.17,2.68,2.10,3.92,21.06,3.91,977.28,14.86,16.21,22.90,8.11,9.60,9.56,22.51,61.37,984.39,72.00,N; Tset = 10.00; Ttrue = 016.3; T1 = 23.02; RH1 = 63.75; T2 = 22.84; RH2 = 71.86
2017.11.24_01:25:07,9.20,11.30,13.48,2.74,1.76,3.97,21.80,4.04,1010.99,12.53,14.28,21.47,7.99,9.28,8.57,23.26,51.92,1018.32,55.18,N; Tset = 10.00; Ttrue = 016.5; T1 = 23.79; RH1 = 51.59; T2 = 23.61; RH2 = 55.95
2017.11.24_01:26:15,9.61,12.65,14.26,3.11,1.90,3.87,21.78,4.03,1010.92,11.50,15.10,19.91,7.90,8.27,8.56,23.25,48.87,1018.24,52.37,N; Tset = 10.80; Ttrue = 016.7; T1 = 23.76; RH1 = 50.13; T2 = 23.60; RH2 = 51.94
2017.11.24_01:27:27,9.24,10.99,12.81,2.98,1.76,3.93,21.78,4.03,1011.03,11.93,14.75,18.48,7.16,8.14,8.59,23.24,47.53,1018.38,51.84,N; Tset = 12.00; Ttrue = 016.8; T1 = 23.74; RH1 = 49.99; T2 = 23.58; RH2 = 51.13
2017.11.24_01:28:37,9.20,10.77,12.41,1.98,1.44,3.94,21.78,4.03,1011.05,11.34,14.61,19.74,7.11,8.18,8.45,23.23,46.86,1018.37,51.84,N; Tset = 13.00; Ttrue = 016.6; T1 = 23.71; RH1 = 50.21; T2 = 23.56; RH2 = 50.98
2017.11.24_01:29:47,9.06,11.48,13.18,2.55,2.21,3.90,21.77,4.01,1011.05,11.73,13.97,18.51,7.60,8.40,8.12,23.23,46.14,1018.38,51.29,N; Tset = 14.00; Ttrue = 015.5; T1 = 23.69; RH1 = 49.63; T2 = 23.54; RH2 = 50.60
2017.11.24_01:30:57,9.02,10.73,13.11,2.13,2.00,3.90,21.76,4.02,1011.06,12.39,13.46,18.50,7.44,8.66,8.01,23.23,44.35,1018.38,49.01,N; Tset = 15.00; Ttrue = 014.8; T1 = 23.66; RH1 = 47.34; T2 = 23.52; RH2 = 48.57
2017.11.24_01:32:07,8.84,11.40,12.49,2.26,2.12,3.91,21.76,4.01,1011.08,10.97,13.81,18.42,6.91,8.27,42.85,23.23,42.68,1018.38,47.02,N; Tset = 16.00; Ttrue = 015.4; T1 = 23.64; RH1 = 45.57; T2 = 23.51; RH2 = 46.55
2017.11.24_01:33:17,8.69,11.32,12.60,2.36,1.99,4.01,21.76,4.02,1010.96,11.79,13.36,18.85,7.22,8.28,8.39,23.21,42.23,1018.30,47.20,N; Tset = 17.00; Ttrue = 016.8; T1 = 23.60; RH1 = 46.27; T2 = 23.51; RH2 = 46.20
2017.11.24_01:34:27,9.37,12.01,12.75,3.53,2.13,3.80,21.75,4.02,1011.08,11.14,14.94,18.52,6.99,8.24,8.19,23.21,43.70,1018.41,50.03,N; Tset = 18.00; Ttrue = 017.7; T1 = 23.58; RH1 = 49.41; T2 = 23.50; RH2 = 48.66
2017.11.24_01:35:35,8.49,10.59,12.27,2.22,1.76,4.45,21.74,4.01,1011.09,11.85,14.21,18.95,8.09,8.22,8.25,23.21,45.33,1018.42,52.60,N; Tset = 18.80; Ttrue = 018.6; T1 = 23.57; RH1 = 52.02; T2 = 23.50; RH2 = 51.16
