2017.11.22_20:12:49,14.43,15.56,15.83,4.15,2.76,6.25,22.67,3.37,976.76,25.41,24.09,26.52,9.29,10.43,11.94,24.02,60.00,984.01,70.21,N; Tset = 11.00; Ttrue = 017.4; T1 = 24.91; RH1 = 60.66; T2 = 24.50; RH2 = 69.59
2017.11.22_20:13:49,14.56,15.69,16.94,4.11,3.89,6.93,23.46,3.66,1010.45,19.33,17.78,20.11,8.29,9.35,9.93,24.84,50.91,1017.98,54.08,N; Tset = 11.00; Ttrue = 017.6; T1 = 25.72; RH1 = 49.59; T2 = 25.30; RH2 = 54.42
2017.11.22_20:14:57,12.87,15.24,14.92,2.93,2.86,5.26,23.46,3.84,1010.43,15.41,16.16,19.33,9.18,9.57,9.26,24.83,47.97,1017.90,51.65,N; Tset = 11.80; Ttrue = 017.7; T1 = 25.68; RH1 = 48.50; T2 = 25.29; RH2 = 50.86
2017.11.22_20:16:07,11.81,15.64,15.76,3.43,2.87,4.89,23.46,3.92,1010.45,16.84,18.93,18.68,9.66,9.77,9.45,24.83,46.66,1017.96,51.12,N; Tset = 12.80; Ttrue = 017.9; T1 = 25.65; RH1 = 48.43; T2 = 25.27; RH2 = 50.05
2017.11.22_20:17:17,12.65,12.34,16.83,3.14,2.29,5.07,23.46,3.99,1010.43,14.52,16.39,18.07,7.43,9.52,10.51,24.83,46.02,1017.93,51.11,N; Tset = 13.80; Ttrue = 018.0; T1 = 25.61; RH1 = 48.70; T2 = 25.26; RH2 = 49.91
2017.11.22_20:18:27,13.03,13.94,14.19,2.99,2.43,4.55,23.46,4.12,1010.36,12.61,13.92,17.48,7.71,12.70,9.42,24.83,45.63,1017.88,51.13,N; Tset = 14.80; Ttrue = 017.0; T1 = 25.57; RH1 = 48.87; T2 = 25.25; RH2 = 49.94
2017.11.22_20:19:37,13.25,13.74,15.76,2.76,2.62,3.86,23.45,4.22,1010.44,13.86,15.94,21.05,9.22,9.52,8.48,24.83,44.28,1017.94,49.39,N; Tset = 15.80; Ttrue = 016.2; T1 = 25.53; RH1 = 47.01; T2 = 25.23; RH2 = 48.58
2017.11.22_20:20:47,12.15,13.53,15.48,3.09,2.75,5.00,23.44,4.30,1010.43,13.50,17.19,17.36,8.27,9.63,9.67,24.82,42.51,1017.95,47.19,N; Tset = 16.80; Ttrue = 016.1; T1 = 25.48; RH1 = 45.01; T2 = 25.23; RH2 = 46.42
2017.11.22_20:21:57,11.40,13.78,14.33,2.83,2.09,4.69,23.43,4.33,1010.43,15.29,15.23,18.64,7.50,9.25,8.51,24.81,41.36,1017.91,46.15,N; Tset = 17.80; Ttrue = 017.5; T1 = 25.44; RH1 = 44.38; T2 = 25.22; RH2 = 45.11
2017.11.22_20:23:05,10.44,14.00,14.64,2.77,3.21,4.30,23.43,4.32,1010.49,14.48,17.75,18.66,7.83,10.03,8.40,24.81,42.19,1017.98,48.23,N; Tset = 18.60; Ttrue = 018.4; T1 = 25.42; RH1 = 46.96; T2 = 25.22; RH2 = 46.62
2017.11.22_20:24:13,11.52,13.16,14.09,3.28,2.83,4.15,23.43,4.29,1010.51,13.34,13.36,19.84,8.61,11.55,11.48,24.81,43.77,1018.00,50.84,N; Tset = 19.40; Ttrue = 019.1; T1 = 25.39; RH1 = 49.60; T2 = 25.22; RH2 = 49.14
2017.11.22_20:25:23,11.12,12.98,13.16,2.95,1.84,4.57,23.43,4.22,1010.55,12.86,16.02,21.61,7.82,9.40,9.39,24.81,45.13,1018.02,52.88,N; Tset = 20.40; Ttrue = 020.1; T1 = 25.38; RH1 = 51.67; T2 = 25.22; RH2 = 51.07
2017.11.22_20:26:31,10.04,11.85,11.87,2.91,1.87,4.19,23.43,4.15,1010.51,13.39,14.20,20.49,7.16,8.76,8.38,24.81,46.77,1018.00,55.32,N; Tset = 21.20; Ttrue = 020.9; T1 = 25.36; RH1 = 54.17; T2 = 25.22; RH2 = 53.32
