2017.11.22_22:05:13,9.70,11.25,12.97,2.50,2.18,4.08,22.54,3.04,977.16,17.74,18.42,23.11,9.11,10.19,10.09,23.93,59.47,984.42,69.38,N; Tset = 10.20; Ttrue = 016.4; T1 = 24.57; RH1 = 60.52; T2 = 24.42; RH2 = 69.05
2017.11.22_22:06:13,10.55,11.82,14.00,2.81,2.23,4.59,23.31,3.15,1010.95,15.50,18.22,22.17,7.91,9.61,9.54,24.74,49.25,1018.46,51.87,N; Tset = 10.20; Ttrue = 016.6; T1 = 25.38; RH1 = 48.02; T2 = 25.23; RH2 = 52.30
2017.11.22_22:07:13,10.54,11.76,13.22,2.75,1.96,4.63,23.31,3.15,1010.96,14.75,17.79,22.47,7.16,8.79,8.85,24.73,46.13,1018.48,49.17,N; Tset = 10.20; Ttrue = 016.8; T1 = 25.36; RH1 = 46.66; T2 = 25.21; RH2 = 48.46
2017.11.22_22:08:17,10.46,11.80,12.72,2.66,2.16,4.24,23.31,3.15,1010.99,15.59,16.25,22.32,7.90,8.85,9.24,24.71,44.83,1018.51,48.71,N; Tset = 10.60; Ttrue = 016.9; T1 = 25.35; RH1 = 46.55; T2 = 25.19; RH2 = 47.67
2017.11.22_22:09:25,8.95,11.06,12.95,2.57,1.54,4.00,23.31,3.14,1010.97,15.58,17.41,23.41,9.00,8.55,9.93,24.71,44.09,1018.49,48.66,N; Tset = 11.40; Ttrue = 017.0; T1 = 25.32; RH1 = 46.75; T2 = 25.17; RH2 = 47.50
2017.11.22_22:10:31,10.16,11.86,13.11,2.53,2.33,4.04,23.29,3.13,1010.94,14.65,17.22,24.86,7.97,10.31,8.93,24.71,43.67,1018.43,48.77,N; Tset = 12.00; Ttrue = 016.4; T1 = 25.29; RH1 = 47.06; T2 = 25.15; RH2 = 47.56
2017.11.22_22:11:39,10.17,11.74,12.34,3.17,1.90,4.31,23.29,3.13,1010.98,15.63,18.81,22.36,8.63,9.22,9.40,24.71,42.75,1018.47,47.73,N; Tset = 12.80; Ttrue = 015.5; T1 = 25.26; RH1 = 45.89; T2 = 25.13; RH2 = 46.86
2017.11.22_22:12:45,9.93,12.13,13.34,3.25,1.79,3.95,23.29,3.13,1010.97,16.30,18.05,24.41,7.36,8.99,9.67,24.71,41.08,1018.46,45.63,N; Tset = 13.40; Ttrue = 014.9; T1 = 25.22; RH1 = 43.90; T2 = 25.12; RH2 = 44.87
2017.11.22_22:13:51,9.82,12.55,13.28,3.14,1.98,4.39,23.29,3.13,1010.92,13.72,17.93,25.91,8.44,9.43,9.69,24.70,39.64,1018.42,43.94,N; Tset = 14.00; Ttrue = 014.3; T1 = 25.19; RH1 = 42.37; T2 = 25.12; RH2 = 43.18
2017.11.22_22:14:59,9.76,12.72,13.40,2.84,2.43,4.38,23.27,3.15,1010.95,13.29,17.24,21.23,7.66,9.29,9.20,24.69,38.32,1018.46,42.48,N; Tset = 14.80; Ttrue = 014.2; T1 = 25.15; RH1 = 41.04; T2 = 25.11; RH2 = 41.71
2017.11.22_22:16:05,10.21,12.51,12.74,2.61,2.73,4.44,23.27,3.13,1010.94,15.34,19.01,20.25,7.69,9.98,9.62,24.69,37.44,1018.44,41.75,N; Tset = 15.40; Ttrue = 015.2; T1 = 25.12; RH1 = 40.62; T2 = 25.11; RH2 = 40.78
