2017.11.11_05:36:40,11.86,12.06,13.56,3.66,2.33,3.81,24.24,4.45,979.01,14.20,16.23,20.26,13.43,15.01,25.81,25.08,70.94,986.29,77.31,N; Tset = 17.20; Ttrue = 017.6; T1 = 23.92; RH1 = 75.83; T2 = 24.86; RH2 = 79.85
2017.11.11_05:37:40,10.98,13.43,15.15,3.36,2.44,3.91,25.09,4.59,1012.74,11.78,12.96,18.85,4.53,7.36,8.36,25.94,56.77,1020.30,53.11,N; Tset = 17.20; Ttrue = 017.9; T1 = 24.67; RH1 = 54.50; T2 = 25.69; RH2 = 56.47
2017.11.11_05:38:40,13.69,14.59,15.92,2.84,1.84,4.23,25.09,4.57,1012.74,11.64,15.83,17.20,4.58,8.07,9.89,25.92,51.31,1020.28,47.87,N; Tset = 17.20; Ttrue = 018.0; T1 = 24.63; RH1 = 50.89; T2 = 25.69; RH2 = 49.29
2017.11.11_05:39:40,12.77,15.28,15.13,3.14,2.08,4.30,25.09,4.56,1012.71,11.33,14.22,18.14,5.23,7.33,8.31,25.92,48.94,1020.27,46.31,N; Tset = 17.20; Ttrue = 018.2; T1 = 24.58; RH1 = 49.46; T2 = 25.69; RH2 = 47.58
2017.11.11_05:40:42,14.30,13.79,14.16,2.26,2.29,4.33,25.09,4.55,1012.67,11.81,13.61,17.22,4.70,7.45,8.46,25.92,47.55,1020.23,45.74,N; Tset = 17.40; Ttrue = 018.3; T1 = 24.54; RH1 = 49.09; T2 = 25.70; RH2 = 46.88
2017.11.11_05:41:48,11.07,12.88,13.49,2.13,1.87,4.42,25.09,4.53,1012.61,19.38,16.06,17.70,5.12,7.88,8.09,25.92,46.54,1020.19,45.50,N; Tset = 18.00; Ttrue = 017.5; T1 = 24.51; RH1 = 49.04; T2 = 25.70; RH2 = 46.53
2017.11.11_05:42:52,13.45,13.16,14.40,3.29,1.96,4.62,25.09,4.52,1012.59,12.36,12.54,16.47,5.41,7.09,8.73,25.92,45.17,1020.15,44.38,N; Tset = 18.40; Ttrue = 018.2; T1 = 24.46; RH1 = 47.87; T2 = 25.70; RH2 = 45.50
2017.11.11_05:43:58,11.22,12.82,13.38,2.27,1.95,3.94,25.09,4.44,1012.60,14.30,14.86,17.67,5.20,7.56,8.63,25.92,44.27,1020.16,44.03,N; Tset = 19.00; Ttrue = 019.0; T1 = 24.39; RH1 = 48.03; T2 = 25.69; RH2 = 44.82
2017.11.11_05:45:04,11.35,13.49,14.95,2.39,1.98,4.77,25.09,4.37,1012.61,12.20,13.83,16.57,5.00,7.28,8.47,25.93,44.60,1020.16,45.37,N; Tset = 19.60; Ttrue = 019.4; T1 = 24.34; RH1 = 49.92; T2 = 25.69; RH2 = 45.95
2017.11.11_05:46:08,12.03,13.31,14.09,2.43,2.94,4.29,25.07,4.31,1012.61,13.76,15.78,17.16,4.37,8.10,8.28,25.92,45.10,1020.18,46.58,N; Tset = 20.00; Ttrue = 019.8; T1 = 24.29; RH1 = 51.41; T2 = 25.69; RH2 = 47.15
2017.11.11_05:47:14,13.03,14.66,15.45,2.23,2.35,4.61,25.07,4.28,1012.65,12.54,14.97,19.18,5.26,7.97,8.32,25.92,45.56,1020.17,47.61,N; Tset = 20.60; Ttrue = 020.4; T1 = 24.24; RH1 = 52.77; T2 = 25.69; RH2 = 48.12
