2017.11.07_10:46:52,120.55,141.23,156.61,22.08,19.79,23.35,23.03,8.17,970.32,156.13,179.86,186.06,32.92,33.01,33.52,24.24,71.63,977.40,77.56,N; Tset = 15.20; Ttrue = 015.7; T1 = 22.97; RH1 = 76.49; T2 = 23.98; RH2 = 80.39
2017.11.07_10:47:52,118.66,131.86,158.68,18.99,20.62,25.38,23.81,8.43,1003.74,126.40,133.75,149.45,23.37,23.85,26.46,25.07,56.89,1011.07,52.26,N; Tset = 15.20; Ttrue = 016.1; T1 = 23.63; RH1 = 54.00; T2 = 24.77; RH2 = 55.96
2017.11.07_10:48:52,116.82,125.00,145.34,21.25,21.48,21.30,23.79,8.38,1003.73,120.52,127.12,141.11,19.25,25.40,25.31,25.05,51.02,1011.05,46.63,N; Tset = 15.20; Ttrue = 016.2; T1 = 23.53; RH1 = 50.29; T2 = 24.75; RH2 = 48.18
2017.11.07_10:49:52,101.60,117.25,131.78,23.39,21.19,21.70,23.75,8.34,1003.72,114.54,126.67,136.03,18.78,24.43,23.59,25.03,48.46,1011.06,44.84,N; Tset = 15.20; Ttrue = 016.3; T1 = 23.46; RH1 = 48.56; T2 = 24.75; RH2 = 46.26
2017.11.07_10:50:52,100.99,111.59,130.28,20.01,18.63,19.37,23.74,8.30,1003.70,108.59,117.19,130.56,18.37,23.51,23.10,25.01,46.96,1011.04,44.19,N; Tset = 15.20; Ttrue = 016.4; T1 = 23.41; RH1 = 47.99; T2 = 24.74; RH2 = 45.53
2017.11.07_10:51:58,81.91,100.05,103.05,16.13,16.09,19.63,23.72,8.23,1003.69,92.17,102.60,110.93,15.69,19.90,22.08,24.99,45.85,1011.04,43.85,N; Tset = 15.80; Ttrue = 015.5; T1 = 23.35; RH1 = 47.76; T2 = 24.72; RH2 = 45.13
2017.11.07_10:53:04,84.10,91.30,98.10,17.30,17.00,20.94,23.72,8.05,1003.60,98.54,98.45,94.83,16.38,18.15,20.79,24.97,44.25,1010.91,42.50,N; Tset = 16.40; Ttrue = 016.1; T1 = 23.30; RH1 = 46.29; T2 = 24.71; RH2 = 43.81
2017.11.07_10:54:10,75.81,84.24,90.36,17.38,16.30,17.81,23.70,7.86,1003.63,87.63,84.43,88.82,17.15,23.24,23.57,24.95,43.24,1010.96,42.07,N; Tset = 17.00; Ttrue = 016.8; T1 = 23.24; RH1 = 46.28; T2 = 24.70; RH2 = 43.03
2017.11.07_10:55:14,74.99,82.72,88.90,18.10,16.39,16.28,23.70,7.75,1003.65,84.37,84.38,87.45,17.18,19.38,20.08,24.94,43.40,1011.02,43.26,N; Tset = 17.40; Ttrue = 017.2; T1 = 23.19; RH1 = 47.96; T2 = 24.69; RH2 = 43.96
2017.11.07_10:56:20,69.71,79.72,82.19,13.91,14.87,15.65,23.70,7.66,1003.65,80.02,82.99,83.62,15.01,17.75,19.51,24.93,43.75,1010.99,44.33,N; Tset = 18.00; Ttrue = 017.7; T1 = 23.15; RH1 = 49.29; T2 = 24.69; RH2 = 45.01
2017.11.07_10:57:24,67.36,70.44,78.26,18.00,14.78,14.97,23.70,7.53,1003.64,73.07,75.89,78.44,14.82,16.68,17.11,24.92,44.10,1010.99,45.25,N; Tset = 18.40; Ttrue = 018.2; T1 = 23.12; RH1 = 50.44; T2 = 24.69; RH2 = 45.84
2017.11.07_10:58:28,66.74,69.68,75.54,18.61,12.52,14.29,23.70,7.37,1003.57,78.51,72.37,66.99,13.18,17.10,16.85,24.91,44.60,1010.94,46.33,N; Tset = 18.80; Ttrue = 018.7; T1 = 23.11; RH1 = 51.79; T2 = 24.70; RH2 = 46.81
2017.11.07_10:59:32,74.86,83.93,79.05,13.67,13.85,16.02,23.70,7.23,1003.59,74.19,76.70,78.73,14.47,21.62,22.03,24.91,45.21,1010.96,47.44,N; Tset = 19.20; Ttrue = 019.1; T1 = 23.09; RH1 = 53.14; T2 = 24.71; RH2 = 47.85
2017.11.07_11:00:38,63.52,69.26,77.52,13.43,13.60,14.38,23.71,7.17,1003.61,69.99,76.58,74.87,15.28,17.04,16.10,24.93,45.84,1011.01,48.47,N; Tset = 19.80; Ttrue = 019.6; T1 = 23.08; RH1 = 54.41; T2 = 24.71; RH2 = 48.86
2017.11.07_11:01:42,71.00,67.54,71.41,11.06,12.37,14.27,23.72,7.04,1003.57,71.08,70.23,71.27,15.30,18.00,17.41,24.93,46.46,1010.97,49.44,N; Tset = 20.20; Ttrue = 020.0; T1 = 23.06; RH1 = 55.61; T2 = 24.73; RH2 = 49.78
2017.11.07_11:02:46,69.10,69.72,73.62,16.15,13.21,16.39,23.73,6.90,1003.58,79.52,70.43,65.99,15.23,17.48,16.93,24.94,47.07,1010.91,50.39,N; Tset = 20.60; Ttrue = 020.4; T1 = 23.04; RH1 = 56.80; T2 = 24.73; RH2 = 50.68
2017.11.07_11:03:50,69.21,69.58,68.76,18.75,15.12,15.78,23.74,6.77,1003.63,72.77,62.99,69.73,14.14,18.33,18.86,24.95,47.69,1010.89,51.27,N; Tset = 21.00; Ttrue = 020.8; T1 = 22.98; RH1 = 58.07; T2 = 24.74; RH2 = 51.61
2017.11.07_11:04:54,68.37,80.49,65.64,18.40,13.16,14.56,23.75,6.62,1003.67,73.03,65.32,65.80,14.38,17.51,19.39,24.96,48.31,1011.00,52.13,N; Tset = 21.40; Ttrue = 021.2; T1 = 22.90; RH1 = 59.36; T2 = 24.74; RH2 = 52.50
2017.11.07_11:05:56,67.41,68.93,68.66,13.10,13.20,13.84,23.76,6.52,1003.67,75.52,68.45,69.11,14.30,18.81,17.98,24.97,48.98,1010.92,53.08,N; Tset = 21.60; Ttrue = 021.6; T1 = 22.81; RH1 = 60.81; T2 = 24.74; RH2 = 53.46
2017.11.07_11:07:00,81.06,71.18,66.86,13.09,15.38,15.47,23.76,6.42,1003.59,70.21,67.80,66.95,13.66,17.76,18.69,24.95,49.73,1010.87,54.12,N; Tset = 22.00; Ttrue = 021.9; T1 = 22.70; RH1 = 62.33; T2 = 24.73; RH2 = 54.51
2017.11.07_11:08:04,71.22,62.39,68.20,16.59,13.92,16.26,23.74,6.37,1003.53,70.57,70.76,68.19,12.49,18.24,17.78,24.95,50.54,1010.82,55.21,N; Tset = 22.40; Ttrue = 022.3; T1 = 22.63; RH1 = 63.85; T2 = 24.72; RH2 = 55.62
2017.11.07_11:09:08,62.07,62.88,69.63,13.05,12.15,16.36,23.72,6.32,1003.56,66.70,63.00,63.77,12.01,15.82,16.86,24.93,51.40,1010.83,56.34,N; Tset = 22.80; Ttrue = 022.6; T1 = 22.56; RH1 = 65.37; T2 = 24.70; RH2 = 56.77
2017.11.07_11:10:12,67.27,62.72,62.42,17.08,13.10,15.99,23.71,6.29,1003.61,70.77,68.06,60.43,11.88,16.37,19.01,24.91,52.35,1010.86,57.53,N; Tset = 23.20; Ttrue = 023.0; T1 = 22.51; RH1 = 66.86; T2 = 24.68; RH2 = 57.97
2017.11.07_11:11:14,62.65,65.97,72.63,15.79,12.91,16.40,23.69,6.30,1003.57,71.66,68.76,64.10,14.30,16.29,19.61,24.89,53.29,1010.84,58.71,N; Tset = 23.40; Ttrue = 023.3; T1 = 22.49; RH1 = 68.23; T2 = 24.66; RH2 = 59.18
2017.11.07_11:12:18,63.44,65.58,64.85,12.64,11.40,13.42,23.67,6.30,1003.59,68.57,73.01,65.04,15.79,16.55,17.81,24.87,54.23,1010.88,59.83,N; Tset = 23.80; Ttrue = 023.6; T1 = 22.47; RH1 = 69.51; T2 = 24.64; RH2 = 60.34
2017.11.07_11:13:20,67.79,69.58,67.40,10.61,11.69,13.87,23.66,6.34,1003.61,58.89,62.45,73.52,14.28,18.30,17.72,24.85,55.16,1010.91,60.97,N; Tset = 24.00; Ttrue = 024.0; T1 = 22.48; RH1 = 70.69; T2 = 24.62; RH2 = 61.48
2017.11.07_11:14:24,74.66,67.76,71.58,15.25,13.51,14.47,23.65,6.43,1003.58,72.71,69.28,77.53,13.90,17.80,18.82,24.85,56.11,1010.86,62.07,N; Tset = 24.40; Ttrue = 024.3; T1 = 22.50; RH1 = 71.89; T2 = 24.61; RH2 = 62.61
2017.11.07_11:15:28,74.46,69.65,75.80,15.85,14.25,14.54,23.64,6.51,1003.55,79.27,72.34,73.36,16.59,17.82,21.43,24.83,57.05,1010.87,63.22,N; Tset = 24.80; Ttrue = 024.6; T1 = 22.53; RH1 = 73.00; T2 = 24.60; RH2 = 63.74
2017.11.07_11:16:30,74.58,70.07,74.26,13.08,13.42,18.77,23.64,6.52,1003.51,75.10,72.03,72.85,14.94,19.93,20.02,24.83,57.97,1010.81,64.30,N; Tset = 25.00; Ttrue = 024.9; T1 = 22.57; RH1 = 74.05; T2 = 24.60; RH2 = 64.84
2017.11.07_11:17:34,74.22,69.40,69.18,13.90,13.46,14.71,23.64,6.53,1003.52,68.84,85.14,79.38,17.93,19.42,21.16,24.83,58.89,1010.82,65.34,N; Tset = 25.40; Ttrue = 025.2; T1 = 22.62; RH1 = 75.02; T2 = 24.60; RH2 = 65.88
2017.11.07_11:18:36,70.52,73.44,76.27,13.39,14.59,14.42,23.64,6.54,1003.55,75.64,75.11,75.16,15.66,17.96,19.57,24.81,59.74,1010.88,66.38,N; Tset = 25.60; Ttrue = 025.5; T1 = 22.67; RH1 = 75.89; T2 = 24.61; RH2 = 66.86
2017.11.07_11:19:38,68.31,69.88,72.51,15.34,12.37,15.64,23.64,6.55,1003.55,79.52,74.73,77.39,17.15,18.74,18.86,24.81,60.54,1010.83,67.36,N; Tset = 25.80; Ttrue = 025.8; T1 = 22.72; RH1 = 76.72; T2 = 24.63; RH2 = 67.79
2017.11.07_11:20:42,59.06,67.06,68.87,13.05,12.42,15.16,23.64,6.49,1003.54,71.64,64.49,71.46,15.70,17.02,19.31,24.82,61.28,1010.84,68.19,N; Tset = 26.20; Ttrue = 026.1; T1 = 22.75; RH1 = 77.56; T2 = 24.64; RH2 = 68.67
2017.11.07_11:21:44,65.09,65.03,67.28,14.55,11.93,16.10,23.65,6.44,1003.57,65.59,64.62,75.17,13.19,17.53,21.02,24.83,61.98,1010.84,69.02,N; Tset = 26.40; Ttrue = 026.3; T1 = 22.76; RH1 = 78.47; T2 = 24.64; RH2 = 69.52
2017.11.07_11:22:48,70.21,69.12,75.41,14.87,13.40,16.07,23.65,6.44,1003.54,73.88,65.37,70.38,15.48,19.52,21.26,24.83,62.72,1010.82,69.88,N; Tset = 26.80; Ttrue = 026.6; T1 = 22.74; RH1 = 79.54; T2 = 24.63; RH2 = 70.42
2017.11.07_11:23:50,78.17,70.05,72.46,14.90,13.44,14.19,23.65,6.38,1003.53,69.45,70.58,75.31,16.24,18.55,18.36,24.83,63.49,1010.76,70.80,N; Tset = 27.00; Ttrue = 026.9; T1 = 22.70; RH1 = 80.76; T2 = 24.61; RH2 = 71.42
2017.11.07_11:24:52,75.08,77.82,75.84,18.97,14.04,14.71,23.64,6.36,1003.56,69.75,75.00,70.11,16.77,18.55,17.37,24.82,64.36,1010.77,71.81,N; Tset = 27.20; Ttrue = 027.1; T1 = 22.67; RH1 = 82.07; T2 = 24.59; RH2 = 72.51
2017.11.07_11:25:54,67.55,70.19,74.16,17.84,14.27,16.73,23.63,6.38,1003.56,78.40,74.06,70.66,18.15,21.07,17.99,24.81,65.27,1010.79,72.86,N; Tset = 27.40; Ttrue = 027.4; T1 = 22.64; RH1 = 83.32; T2 = 24.56; RH2 = 73.64
2017.11.07_11:26:58,67.05,68.38,66.10,14.36,12.59,18.28,23.61,6.37,1003.48,79.81,70.04,77.51,16.40,20.66,20.12,24.79,66.22,1010.73,73.95,N; Tset = 27.80; Ttrue = 027.6; T1 = 22.63; RH1 = 84.53; T2 = 24.53; RH2 = 74.78
2017.11.07_11:28:00,68.50,66.41,69.73,13.29,10.88,14.65,23.59,6.36,1003.52,76.83,71.25,73.05,15.79,17.52,20.60,24.77,67.19,1010.77,75.04,N; Tset = 28.00; Ttrue = 027.9; T1 = 22.63; RH1 = 85.64; T2 = 24.51; RH2 = 75.95
2017.11.07_11:29:02,69.93,67.77,71.14,17.20,12.83,14.60,23.57,6.39,1003.49,73.21,66.34,73.75,16.48,17.88,21.95,24.74,68.16,1010.74,76.19,N; Tset = 28.20; Ttrue = 028.1; T1 = 22.65; RH1 = 86.67; T2 = 24.49; RH2 = 77.09
