2017.11.23_19:19:33,9.70,11.24,11.63,3.42,1.93,3.71,23.93,3.66,975.78,13.96,15.03,18.57,7.84,9.80,8.38,24.88,49.37,983.05,66.78,P; Tset = 14.20; Ttrue = NaN; T1 = 26.18; RH1 = 59.83; T2 = 26.47; RH2 = 58.44
2017.11.23_19:20:33,10.15,12.40,14.00,2.91,2.25,4.11,24.72,3.78,1009.47,14.78,15.46,21.94,8.49,10.35,9.36,25.70,50.88,1017.01,66.29,P; Tset = 14.20; Ttrue = NaN; T1 = 26.98; RH1 = 61.69; T2 = 27.30; RH2 = 60.15
2017.11.23_19:21:33,9.83,11.61,12.36,3.40,2.73,4.24,24.67,3.80,1009.35,13.55,15.59,21.00,9.47,8.83,8.74,25.67,50.69,1016.93,65.90,P; Tset = 14.60; Ttrue = NaN; T1 = 26.90; RH1 = 61.51; T2 = 27.22; RH2 = 59.91
2017.11.23_19:22:33,10.07,13.28,12.67,3.08,2.09,3.86,24.62,3.80,1009.40,13.66,14.45,19.56,8.57,9.29,9.08,25.63,50.53,1017.00,65.60,P; Tset = 15.60; Ttrue = NaN; T1 = 26.81; RH1 = 61.40; T2 = 27.16; RH2 = 59.73
2017.11.23_19:23:33,9.71,11.70,13.02,2.80,1.72,4.07,24.59,3.80,1009.48,13.89,15.08,18.96,7.87,8.75,8.73,25.58,50.37,1017.00,65.38,P; Tset = 16.60; Ttrue = NaN; T1 = 26.73; RH1 = 61.27; T2 = 27.11; RH2 = 59.54
2017.11.23_19:24:33,9.94,12.39,13.14,3.28,1.74,4.67,24.56,3.81,1009.44,11.67,15.29,20.75,7.92,9.34,8.60,25.53,50.21,1016.99,65.17,P; Tset = 17.60; Ttrue = NaN; T1 = 26.65; RH1 = 61.16; T2 = 27.08; RH2 = 59.35
2017.11.23_19:25:33,9.72,11.87,12.71,3.08,2.22,4.48,24.53,3.82,1009.42,13.78,15.51,19.36,8.85,9.20,8.12,25.48,50.07,1016.97,65.02,P; Tset = 18.40; Ttrue = NaN; T1 = 26.59; RH1 = 61.08; T2 = 27.04; RH2 = 59.17
2017.11.23_19:26:33,9.87,11.56,13.27,2.97,2.03,3.91,24.51,3.82,1009.50,12.90,15.61,18.17,8.38,8.85,8.13,25.45,49.94,1017.00,64.85,P; Tset = 19.20; Ttrue = NaN; T1 = 26.52; RH1 = 61.02; T2 = 26.99; RH2 = 59.04
2017.11.23_19:27:33,9.92,12.06,12.04,2.49,2.36,4.10,24.47,3.82,1009.53,12.85,16.08,18.72,8.16,10.37,9.64,25.40,49.80,1017.04,64.63,P; Tset = 20.00; Ttrue = NaN; T1 = 26.45; RH1 = 60.94; T2 = 26.93; RH2 = 58.88
2017.11.23_19:28:33,9.56,11.85,12.23,2.26,2.02,3.98,24.42,3.84,1009.43,12.02,15.30,19.96,8.08,9.37,8.99,25.36,49.67,1016.96,64.41,P; Tset = 21.00; Ttrue = NaN; T1 = 26.37; RH1 = 60.87; T2 = 26.87; RH2 = 58.74
2017.11.23_19:29:33,14.05,11.45,12.03,2.54,2.46,4.12,24.37,3.84,1009.41,12.76,14.11,21.16,7.45,9.57,8.73,25.32,49.54,1016.95,64.25,P; Tset = 21.80; Ttrue = NaN; T1 = 26.30; RH1 = 60.81; T2 = 26.82; RH2 = 58.62
2017.11.23_19:30:33,10.27,11.23,12.04,3.06,2.34,4.55,24.33,3.84,1009.52,12.75,20.03,20.89,8.90,9.58,9.14,25.27,49.43,1017.00,64.13,P; Tset = 22.60; Ttrue = NaN; T1 = 26.23; RH1 = 60.75; T2 = 26.78; RH2 = 58.49
2017.11.23_19:31:33,9.71,11.79,13.25,2.24,1.59,5.39,24.29,3.86,1009.61,14.33,14.80,19.69,8.73,9.58,8.74,25.23,49.30,1017.08,63.99,P; Tset = 23.20; Ttrue = NaN; T1 = 26.17; RH1 = 60.69; T2 = 26.75; RH2 = 58.35
