2017.11.17_08:00:57,29.26,34.18,33.50,5.80,4.32,7.16,22.54,2.89,976.32,28.82,40.59,44.43,9.33,10.51,12.30,23.69,59.99,983.69,71.32,N; Tset = 10.00; Ttrue = 017.5; T1 = 24.20; RH1 = 63.63; T2 = 24.08; RH2 = 70.49
2017.11.17_08:01:57,32.07,33.92,39.87,8.85,5.03,7.76,23.32,2.99,1010.02,31.44,31.95,41.85,9.51,10.37,10.02,24.50,51.80,1017.64,56.49,N; Tset = 10.00; Ttrue = 017.7; T1 = 25.00; RH1 = 53.17; T2 = 24.90; RH2 = 56.82
2017.11.17_08:03:05,29.82,29.65,37.01,9.49,5.67,6.97,23.34,3.00,1010.07,28.69,30.98,37.86,8.54,9.83,12.04,24.49,49.09,1017.68,53.95,N; Tset = 10.80; Ttrue = 017.9; T1 = 24.99; RH1 = 51.83; T2 = 24.89; RH2 = 53.19
2017.11.17_08:04:17,30.46,32.72,36.08,5.48,5.51,7.20,23.34,3.01,1010.11,29.06,31.67,35.79,7.65,9.14,11.47,24.49,47.92,1017.73,53.46,N; Tset = 12.00; Ttrue = 018.0; T1 = 24.98; RH1 = 51.71; T2 = 24.89; RH2 = 52.40
2017.11.17_08:05:27,31.88,31.55,34.61,9.02,7.38,7.94,23.34,3.01,1010.15,33.91,32.91,36.12,7.59,12.13,11.48,24.49,47.39,1017.79,53.48,N; Tset = 13.00; Ttrue = 018.0; T1 = 24.97; RH1 = 51.92; T2 = 24.89; RH2 = 52.26
2017.11.17_08:06:37,28.04,31.91,32.03,6.11,5.16,7.93,23.34,3.01,1010.17,31.36,28.92,36.48,8.82,10.74,10.23,24.50,46.93,1017.83,53.21,N; Tset = 14.00; Ttrue = 016.9; T1 = 24.96; RH1 = 51.66; T2 = 24.88; RH2 = 52.12
2017.11.17_08:07:47,27.96,28.59,34.66,5.80,6.51,7.52,23.34,3.02,1010.21,27.40,30.28,36.79,7.78,9.87,10.13,24.51,45.41,1017.85,51.21,N; Tset = 15.00; Ttrue = 016.2; T1 = 24.96; RH1 = 49.54; T2 = 24.88; RH2 = 50.38
2017.11.17_08:08:57,29.57,32.83,33.51,7.68,6.16,7.10,23.34,3.04,1010.26,27.16,34.40,38.20,10.33,9.77,10.51,24.51,43.81,1017.87,49.27,N; Tset = 16.00; Ttrue = 015.6; T1 = 24.94; RH1 = 47.70; T2 = 24.88; RH2 = 48.47
2017.11.17_08:10:07,28.18,32.78,33.71,6.27,5.96,6.62,23.34,3.07,1010.26,29.01,35.54,33.53,8.69,9.17,13.82,24.51,42.41,1017.87,47.70,N; Tset = 17.00; Ttrue = 016.5; T1 = 24.93; RH1 = 46.31; T2 = 24.88; RH2 = 46.85
2017.11.17_08:11:17,28.60,31.30,38.15,6.34,5.82,7.32,23.34,3.08,1010.28,27.32,30.46,36.21,8.30,9.65,10.20,24.52,42.24,1017.90,48.19,N; Tset = 18.00; Ttrue = 017.8; T1 = 24.91; RH1 = 47.38; T2 = 24.88; RH2 = 46.85
2017.11.17_08:12:25,28.65,31.00,32.96,6.89,7.60,7.05,23.35,3.11,1010.35,34.64,31.41,39.43,7.61,11.63,11.08,24.53,43.79,1017.94,51.00,N; Tset = 18.80; Ttrue = 018.6; T1 = 24.90; RH1 = 50.47; T2 = 24.89; RH2 = 49.33
