2017.11.23_18:29:01,9.95,10.96,12.16,2.81,3.28,4.41,25.12,3.63,974.70,18.53,19.16,24.34,10.67,11.45,11.95,26.59,67.63,982.22,83.51,P; Tset = 15.60; Ttrue = NaN; T1 = 27.35; RH1 = 77.35; T2 = 26.95; RH2 = 78.76
2017.11.23_18:30:01,9.31,11.55,12.83,2.19,1.43,3.21,25.99,3.75,1008.25,17.31,18.15,19.48,10.96,10.61,12.08,27.50,69.21,1016.04,81.55,P; Tset = 15.60; Ttrue = NaN; T1 = 28.31; RH1 = 77.79; T2 = 27.86; RH2 = 79.83
2017.11.23_18:31:01,10.63,12.70,11.55,2.88,1.84,4.20,25.97,3.74,1008.39,17.40,15.84,21.22,10.33,10.61,11.75,27.48,68.36,1016.17,79.87,P; Tset = 15.80; Ttrue = NaN; T1 = 28.31; RH1 = 76.02; T2 = 27.85; RH2 = 78.22
2017.11.23_18:32:01,9.66,11.34,12.44,2.56,4.79,4.91,25.97,3.72,1008.25,16.18,16.75,22.95,8.62,12.02,13.15,27.47,67.48,1016.02,78.34,P; Tset = 16.80; Ttrue = NaN; T1 = 28.32; RH1 = 74.49; T2 = 27.83; RH2 = 76.75
2017.11.23_18:33:01,9.17,11.60,13.16,2.76,3.06,4.05,25.97,3.72,1008.40,15.84,18.63,24.07,8.97,10.16,10.10,27.45,66.74,1016.15,77.23,P; Tset = 17.80; Ttrue = NaN; T1 = 28.34; RH1 = 73.35; T2 = 27.83; RH2 = 75.58
2017.11.23_18:34:01,9.87,12.02,12.20,2.52,2.91,4.37,25.95,3.72,1008.40,16.61,18.23,21.65,9.13,9.53,9.61,27.44,66.14,1016.17,76.33,P; Tset = 18.60; Ttrue = NaN; T1 = 28.34; RH1 = 72.43; T2 = 27.81; RH2 = 74.70
2017.11.23_18:35:01,10.37,11.73,12.69,2.57,2.11,4.35,25.95,3.72,1008.46,16.27,17.50,23.13,8.47,10.17,10.05,27.42,65.53,1016.22,75.44,P; Tset = 19.40; Ttrue = NaN; T1 = 28.33; RH1 = 71.53; T2 = 27.79; RH2 = 73.89
2017.11.23_18:36:01,10.09,11.64,11.90,2.41,1.83,4.53,25.93,3.71,1008.50,18.00,20.33,21.56,9.24,9.58,10.11,27.41,64.88,1016.23,74.44,P; Tset = 20.40; Ttrue = NaN; T1 = 28.32; RH1 = 70.56; T2 = 27.76; RH2 = 72.98
2017.11.23_18:37:01,10.30,11.27,12.64,3.55,2.29,4.02,25.93,3.70,1008.51,15.56,19.39,23.68,8.37,10.35,10.32,27.40,64.22,1016.30,73.48,P; Tset = 21.20; Ttrue = NaN; T1 = 28.31; RH1 = 69.69; T2 = 27.73; RH2 = 72.07
2017.11.23_18:38:01,10.68,11.90,12.50,3.09,2.45,3.97,25.91,3.70,1008.54,17.01,17.73,24.80,8.45,9.43,11.46,27.38,63.53,1016.28,72.48,P; Tset = 22.00; Ttrue = NaN; T1 = 28.28; RH1 = 68.78; T2 = 27.70; RH2 = 71.16
2017.11.23_18:39:01,11.71,12.56,12.80,3.88,2.20,4.86,25.89,3.69,1008.60,17.15,20.38,22.12,8.13,9.59,11.67,27.36,62.86,1016.31,71.55,P; Tset = 22.60; Ttrue = NaN; T1 = 28.25; RH1 = 67.97; T2 = 27.66; RH2 = 70.29
