2017.11.24_19:30:27,78.81,109.34,141.50,16.68,20.54,23.97,25.88,4.15,970.80,163.54,219.91,277.04,33.98,36.98,42.07,27.25,67.37,978.38,83.17,P; Tset = 15.00; Ttrue = NaN; T1 = 28.10; RH1 = 76.62; T2 = 27.49; RH2 = 78.97
2017.11.24_19:31:27,77.18,114.00,145.60,16.74,19.50,23.97,26.77,4.31,1004.30,162.01,214.62,271.01,35.79,40.73,42.42,28.19,68.82,1012.13,81.02,P; Tset = 15.00; Ttrue = NaN; T1 = 29.09; RH1 = 76.90; T2 = 28.43; RH2 = 79.83
2017.11.24_19:32:27,81.74,114.04,147.04,17.12,19.26,25.02,26.77,4.31,1004.29,158.89,212.52,260.13,31.63,36.87,41.07,28.19,67.90,1012.10,79.22,P; Tset = 15.20; Ttrue = NaN; T1 = 29.11; RH1 = 75.09; T2 = 28.42; RH2 = 78.12
2017.11.24_19:33:27,82.70,117.73,155.59,17.78,19.84,25.98,26.77,4.32,1004.33,155.33,207.22,262.44,31.87,36.26,41.25,28.19,66.97,1012.14,77.61,P; Tset = 16.20; Ttrue = NaN; T1 = 29.13; RH1 = 73.48; T2 = 28.41; RH2 = 76.58
2017.11.24_19:34:27,82.87,115.78,151.46,17.43,19.72,24.84,26.77,4.31,1004.34,152.82,204.05,257.65,31.76,37.39,43.62,28.19,66.20,1012.13,76.42,P; Tset = 17.20; Ttrue = NaN; T1 = 29.15; RH1 = 72.36; T2 = 28.40; RH2 = 75.42
2017.11.24_19:35:27,81.15,118.22,150.04,17.52,21.35,24.88,26.77,4.31,1004.40,158.63,197.73,247.44,32.17,35.94,40.90,28.17,65.56,1012.17,75.55,P; Tset = 18.20; Ttrue = NaN; T1 = 29.16; RH1 = 71.46; T2 = 28.38; RH2 = 74.52
2017.11.24_19:36:27,83.15,119.30,155.49,18.18,20.79,26.24,26.77,4.31,1004.39,145.98,192.82,244.08,31.73,35.16,39.75,28.17,64.93,1012.18,74.63,P; Tset = 19.00; Ttrue = NaN; T1 = 29.16; RH1 = 70.54; T2 = 28.36; RH2 = 73.72
2017.11.24_19:37:27,83.13,121.64,153.20,18.52,20.82,25.40,26.77,4.31,1004.37,144.07,187.58,243.09,30.34,34.85,40.31,28.17,64.28,1012.18,73.68,P; Tset = 19.80; Ttrue = NaN; T1 = 29.15; RH1 = 69.66; T2 = 28.34; RH2 = 72.88
2017.11.24_19:38:27,83.24,118.21,154.38,19.07,20.89,25.82,26.75,4.31,1004.39,142.52,193.89,244.25,29.96,38.74,39.61,28.15,63.58,1012.18,72.71,P; Tset = 20.80; Ttrue = NaN; T1 = 29.14; RH1 = 68.72; T2 = 28.31; RH2 = 71.94
2017.11.24_19:39:27,85.68,119.61,152.68,19.14,20.48,26.50,26.75,4.31,1004.39,145.05,197.33,247.77,32.43,36.07,39.52,28.14,62.88,1012.17,71.72,P; Tset = 21.60; Ttrue = NaN; T1 = 29.12; RH1 = 67.87; T2 = 28.28; RH2 = 71.04
2017.11.24_19:40:27,83.49,119.47,153.03,19.90,20.23,26.10,26.75,4.31,1004.38,144.38,196.32,240.16,30.70,34.72,40.83,28.12,62.27,1012.16,70.98,P; Tset = 22.40; Ttrue = NaN; T1 = 29.10; RH1 = 67.21; T2 = 28.26; RH2 = 70.28
