2017.11.22_16:51:05,10.80,14.18,13.43,3.19,2.24,4.17,26.78,3.17,974.53,22.67,25.09,28.23,11.25,15.46,17.93,28.34,66.19,982.20,81.92,P; Tset = 16.20; Ttrue = NaN; T1 = 29.56; RH1 = 73.87; T2 = 28.79; RH2 = 76.91
2017.11.22_16:52:05,12.00,13.41,13.53,3.58,2.04,3.69,27.71,3.22,1008.08,24.86,25.29,26.86,9.82,11.63,12.29,29.32,67.57,1016.03,79.80,P; Tset = 16.20; Ttrue = NaN; T1 = 30.59; RH1 = 74.19; T2 = 29.77; RH2 = 77.72
2017.11.22_16:53:05,11.07,13.14,14.59,3.04,1.98,5.02,27.71,3.19,1008.10,26.30,22.86,30.88,10.97,11.74,10.91,29.32,66.66,1016.02,78.05,P; Tset = 16.40; Ttrue = NaN; T1 = 30.61; RH1 = 72.49; T2 = 29.76; RH2 = 76.07
2017.11.22_16:54:05,10.60,13.78,13.56,3.77,2.53,4.62,27.71,3.15,1008.02,27.43,25.64,27.62,10.22,11.15,10.97,29.31,65.76,1016.04,76.59,P; Tset = 17.40; Ttrue = NaN; T1 = 30.62; RH1 = 71.05; T2 = 29.76; RH2 = 74.64
2017.11.22_16:55:05,11.56,13.12,16.24,3.34,2.62,3.86,27.70,3.12,1008.10,23.02,22.84,29.18,9.61,10.48,11.45,29.30,65.04,1016.02,75.54,P; Tset = 18.20; Ttrue = NaN; T1 = 30.62; RH1 = 70.06; T2 = 29.75; RH2 = 73.57
2017.11.22_16:56:05,13.90,15.58,16.27,2.80,2.64,3.77,27.70,3.08,1008.15,23.75,29.82,30.45,9.91,11.71,11.63,29.30,64.41,1016.09,74.58,P; Tset = 19.00; Ttrue = NaN; T1 = 30.63; RH1 = 69.19; T2 = 29.73; RH2 = 72.68
2017.11.22_16:57:05,11.56,13.37,14.23,2.38,2.11,3.86,27.69,3.04,1008.20,23.61,23.32,27.89,9.66,11.29,13.48,29.28,63.75,1016.10,73.67,P; Tset = 20.00; Ttrue = NaN; T1 = 30.62; RH1 = 68.28; T2 = 29.71; RH2 = 71.80
2017.11.22_16:58:05,11.26,12.93,15.55,3.20,2.36,3.68,27.68,3.01,1008.19,24.10,24.11,34.89,9.86,14.22,13.53,29.28,63.05,1016.10,72.59,P; Tset = 20.80; Ttrue = NaN; T1 = 30.60; RH1 = 67.34; T2 = 29.69; RH2 = 70.83
2017.11.22_16:59:05,12.31,14.45,14.97,3.11,2.22,3.56,27.69,2.99,1008.19,19.11,24.74,27.15,9.65,10.57,11.83,29.27,62.34,1016.10,71.63,P; Tset = 21.60; Ttrue = NaN; T1 = 30.57; RH1 = 66.51; T2 = 29.67; RH2 = 69.94
2017.11.22_17:00:05,13.26,14.05,14.52,2.96,2.28,3.92,27.68,2.95,1008.12,27.12,25.84,28.50,8.54,10.27,10.67,29.25,61.70,1016.06,70.84,P; Tset = 22.40; Ttrue = NaN; T1 = 30.55; RH1 = 65.80; T2 = 29.66; RH2 = 69.13
2017.11.22_17:01:05,13.54,15.07,14.44,3.33,1.89,4.85,27.67,2.92,1008.18,25.64,25.84,27.52,8.87,11.40,11.67,29.22,61.03,1016.09,69.99,P; Tset = 23.00; Ttrue = NaN; T1 = 30.51; RH1 = 65.06; T2 = 29.63; RH2 = 68.29
2017.11.22_17:02:05,12.04,13.54,14.29,2.91,2.83,4.36,27.67,2.90,1008.20,25.26,26.21,28.74,8.89,11.49,13.07,29.20,60.42,1016.13,69.31,P; Tset = 23.80; Ttrue = NaN; T1 = 30.48; RH1 = 64.47; T2 = 29.61; RH2 = 67.57
2017.11.22_17:03:05,10.29,14.80,15.87,2.55,3.01,4.60,27.67,2.87,1008.25,31.27,28.65,30.13,9.72,10.76,12.32,29.18,59.96,1016.17,68.80,P; Tset = 24.60; Ttrue = NaN; T1 = 30.43; RH1 = 64.12; T2 = 29.60; RH2 = 67.04
2017.11.22_17:04:05,13.92,13.95,16.02,2.34,1.89,4.44,27.66,2.85,1008.32,22.68,21.76,27.24,9.73,12.30,12.24,29.16,59.56,1016.24,68.35,P; Tset = 25.20; Ttrue = NaN; T1 = 30.38; RH1 = 63.86; T2 = 29.58; RH2 = 66.60
2017.11.22_17:05:05,12.91,14.45,14.33,2.74,2.45,4.28,27.65,2.82,1008.29,22.06,21.60,25.46,8.72,11.38,10.10,29.15,59.23,1016.18,67.97,P; Tset = 26.00; Ttrue = NaN; T1 = 30.32; RH1 = 63.69; T2 = 29.54; RH2 = 66.27
2017.11.22_17:06:05,11.20,13.15,15.20,2.29,2.74,4.21,27.64,2.79,1008.17,19.83,24.11,27.49,8.49,9.38,9.26,29.12,58.91,1016.08,67.59,P; Tset = 26.60; Ttrue = NaN; T1 = 30.27; RH1 = 63.44; T2 = 29.51; RH2 = 65.93
2017.11.22_17:07:05,12.43,14.45,16.85,2.60,2.03,4.62,27.64,2.78,1008.29,18.60,19.96,23.82,8.30,9.42,9.92,29.10,58.54,1016.16,67.11,P; Tset = 27.20; Ttrue = NaN; T1 = 30.21; RH1 = 63.12; T2 = 29.47; RH2 = 65.52
2017.11.22_17:08:05,11.49,13.39,14.83,7.21,2.74,3.91,27.62,2.76,1008.29,25.34,23.74,25.59,9.30,10.24,9.59,29.08,58.16,1016.16,66.62,P; Tset = 28.00; Ttrue = NaN; T1 = 30.15; RH1 = 62.83; T2 = 29.44; RH2 = 65.09
2017.11.22_17:09:05,10.91,14.02,14.81,2.20,2.56,4.06,27.62,2.74,1008.34,21.31,24.29,23.11,8.56,9.66,11.63,29.06,57.76,1016.21,66.11,P; Tset = 28.60; Ttrue = NaN; T1 = 30.08; RH1 = 62.51; T2 = 29.41; RH2 = 64.63
2017.11.22_17:10:05,12.08,13.82,14.92,2.57,2.38,4.29,27.60,2.72,1008.27,21.06,21.77,21.84,9.08,10.17,10.48,29.03,57.37,1016.16,65.63,P; Tset = 29.20; Ttrue = NaN; T1 = 30.02; RH1 = 62.19; T2 = 29.38; RH2 = 64.18
2017.11.22_17:11:05,11.82,13.50,14.34,3.15,2.75,5.23,27.59,2.71,1008.37,20.33,25.28,24.09,8.94,13.07,10.33,29.00,57.00,1016.24,65.24,P; Tset = 29.80; Ttrue = NaN; T1 = 29.95; RH1 = 61.90; T2 = 29.35; RH2 = 63.78
2017.11.22_17:12:05,12.83,14.32,16.31,2.68,1.66,4.96,27.58,2.69,1008.36,21.98,22.00,35.05,9.01,9.61,9.02,28.96,56.62,1016.21,64.83,P; Tset = 30.40; Ttrue = NaN; T1 = 29.89; RH1 = 61.61; T2 = 29.32; RH2 = 63.34
2017.11.22_17:13:05,11.20,14.85,13.83,4.38,2.37,4.49,27.56,2.68,1008.35,18.33,19.56,33.37,8.57,10.02,10.37,28.93,56.24,1016.20,64.44,P; Tset = 30.80; Ttrue = NaN; T1 = 29.84; RH1 = 61.32; T2 = 29.29; RH2 = 62.92
2017.11.22_17:14:05,12.93,12.79,14.92,2.67,1.58,4.31,27.54,2.67,1008.41,21.17,18.91,22.46,10.28,9.48,10.60,28.89,55.90,1016.25,64.05,P; Tset = 31.40; Ttrue = NaN; T1 = 29.78; RH1 = 61.04; T2 = 29.25; RH2 = 62.53
2017.11.22_17:15:05,11.64,14.21,14.49,2.80,2.18,4.38,27.52,2.66,1008.40,17.51,19.81,23.12,8.64,11.02,10.71,28.87,55.55,1016.25,63.64,P; Tset = 32.00; Ttrue = NaN; T1 = 29.73; RH1 = 60.80; T2 = 29.21; RH2 = 62.15
2017.11.22_17:16:05,11.03,14.30,15.07,3.21,2.43,4.98,27.49,2.64,1008.47,17.85,22.80,24.81,9.20,9.60,10.16,28.84,55.22,1016.32,63.21,P; Tset = 32.60; Ttrue = NaN; T1 = 29.65; RH1 = 60.56; T2 = 29.17; RH2 = 61.82
2017.11.22_17:17:05,11.68,13.23,12.48,3.09,2.63,4.46,27.45,2.64,1008.47,17.55,20.25,22.51,8.39,10.86,11.63,28.81,54.89,1016.31,62.85,P; Tset = 33.00; Ttrue = NaN; T1 = 29.59; RH1 = 60.32; T2 = 29.12; RH2 = 61.46
2017.11.22_17:18:05,11.32,13.29,12.65,2.80,2.18,3.78,27.43,2.63,1008.50,18.97,19.96,22.43,8.75,10.32,10.54,28.78,54.58,1016.34,62.46,P; Tset = 33.60; Ttrue = NaN; T1 = 29.52; RH1 = 60.09; T2 = 29.08; RH2 = 61.11
