2017.11.06_02:49:08,500.56,704.16,881.05,80.31,88.15,100.45,23.09,11.99,970.22,927.52,1168.42,1364.84,109.21,119.14,138.70,24.27,74.67,977.38,84.30,P; Tset = 15.60; Ttrue = NaN; T1 = 23.18; RH1 = 85.57; T2 = 24.10; RH2 = 83.87
2017.11.06_02:50:08,523.64,730.75,916.09,83.84,90.01,103.59,23.90,12.26,1003.67,736.18,937.34,1111.95,87.95,99.21,116.85,25.12,69.89,1011.07,72.01,P; Tset = 15.60; Ttrue = NaN; T1 = 24.00; RH1 = 74.81; T2 = 24.93; RH2 = 74.92
2017.11.06_02:51:08,520.03,728.78,907.98,81.52,88.89,101.94,23.92,12.16,1003.66,655.75,845.57,1014.44,85.07,95.15,111.61,25.14,62.54,1011.05,61.71,P; Tset = 15.60; Ttrue = NaN; T1 = 24.05; RH1 = 64.01; T2 = 24.95; RH2 = 64.13
2017.11.06_02:52:08,521.64,725.80,909.28,80.44,90.54,103.40,23.94,12.05,1003.64,619.98,804.72,959.84,81.72,92.67,108.06,25.15,55.94,1011.04,53.26,P; Tset = 15.60; Ttrue = NaN; T1 = 24.10; RH1 = 55.25; T2 = 24.97; RH2 = 55.25
2017.11.06_02:53:08,525.39,724.74,912.85,80.69,90.18,108.05,23.97,11.99,1003.65,602.71,785.93,938.50,79.83,92.67,106.86,25.17,50.69,1011.03,46.91,P; Tset = 15.80; Ttrue = NaN; T1 = 24.15; RH1 = 48.36; T2 = 24.99; RH2 = 48.86
2017.11.06_02:54:08,522.70,726.95,909.93,82.55,89.67,103.65,23.99,11.94,1003.64,590.80,766.47,923.72,81.18,90.97,105.62,25.18,46.69,1011.04,42.56,P; Tset = 16.40; Ttrue = NaN; T1 = 24.18; RH1 = 43.79; T2 = 24.99; RH2 = 44.39
2017.11.06_02:55:08,520.16,723.15,912.50,80.60,89.82,104.65,24.00,11.93,1003.62,580.63,759.71,912.45,78.62,90.40,104.59,25.20,43.64,1011.04,39.54,P; Tset = 17.00; Ttrue = NaN; T1 = 24.21; RH1 = 40.69; T2 = 25.00; RH2 = 41.19
2017.11.06_02:56:08,520.47,722.86,910.41,81.94,91.00,103.82,24.04,11.95,1003.61,578.73,758.76,906.97,79.22,93.26,108.67,25.21,41.12,1011.02,37.15,P; Tset = 17.60; Ttrue = NaN; T1 = 24.24; RH1 = 38.24; T2 = 25.00; RH2 = 38.69
2017.11.06_02:57:08,521.75,738.07,907.12,83.02,88.63,103.00,24.07,11.92,1003.62,571.56,759.32,910.95,82.30,92.47,105.71,25.23,38.93,1011.02,35.16,P; Tset = 18.20; Ttrue = NaN; T1 = 24.27; RH1 = 36.17; T2 = 25.01; RH2 = 36.61
2017.11.06_02:58:08,522.09,721.88,907.41,81.48,88.83,104.38,24.09,11.87,1003.59,564.38,753.01,896.95,78.37,89.12,105.13,25.24,37.04,1011.01,33.51,P; Tset = 18.60; Ttrue = NaN; T1 = 24.29; RH1 = 34.52; T2 = 25.02; RH2 = 34.85
2017.11.06_02:59:08,517.85,728.06,904.29,80.71,90.30,103.30,24.12,11.88,1003.57,562.64,744.93,888.70,78.27,88.94,106.04,25.27,35.39,1011.00,32.04,P; Tset = 19.20; Ttrue = NaN; T1 = 24.31; RH1 = 33.02; T2 = 25.03; RH2 = 33.36
2017.11.06_03:00:08,517.97,723.16,904.89,87.04,88.89,104.47,24.15,11.91,1003.59,565.04,741.30,889.71,79.03,90.16,104.57,25.28,33.86,1010.99,30.67,P; Tset = 19.60; Ttrue = NaN; T1 = 24.32; RH1 = 31.65; T2 = 25.04; RH2 = 31.91
2017.11.06_03:01:08,522.19,718.97,904.51,81.27,87.93,104.23,24.18,11.94,1003.58,562.49,738.05,885.66,78.54,89.63,102.97,25.30,32.53,1010.97,29.55,P; Tset = 20.00; Ttrue = NaN; T1 = 24.33; RH1 = 30.55; T2 = 25.04; RH2 = 30.74
2017.11.06_03:02:08,518.49,721.85,906.87,80.85,88.22,104.79,24.19,11.95,1003.54,561.23,736.78,883.77,78.97,90.04,103.81,25.32,31.36,1010.96,28.58,P; Tset = 20.60; Ttrue = NaN; T1 = 24.34; RH1 = 29.61; T2 = 25.05; RH2 = 29.72
2017.11.06_03:03:08,520.20,719.21,904.89,82.73,89.30,102.31,24.21,11.95,1003.53,560.12,733.03,881.61,79.06,89.55,104.88,25.34,30.26,1010.95,27.64,P; Tset = 21.00; Ttrue = NaN; T1 = 24.34; RH1 = 28.67; T2 = 25.05; RH2 = 28.75
2017.11.06_03:04:08,518.18,720.98,900.07,81.06,89.07,103.10,24.22,11.96,1003.51,556.87,732.83,875.20,77.95,88.02,102.76,25.34,29.29,1010.94,26.84,P; Tset = 21.40; Ttrue = NaN; T1 = 24.35; RH1 = 27.89; T2 = 25.06; RH2 = 27.88
2017.11.06_03:05:08,515.11,719.64,902.29,80.55,90.60,102.66,24.23,11.97,1003.51,556.62,733.88,875.75,79.55,88.41,104.16,25.36,28.30,1010.92,25.97,P; Tset = 21.80; Ttrue = NaN; T1 = 24.34; RH1 = 27.00; T2 = 25.06; RH2 = 26.99
2017.11.06_03:06:08,517.37,720.06,904.11,80.73,89.25,102.04,24.25,11.97,1003.49,553.24,728.72,875.40,80.18,89.59,105.50,25.36,27.37,1010.90,25.15,P; Tset = 22.20; Ttrue = NaN; T1 = 24.33; RH1 = 26.18; T2 = 25.07; RH2 = 26.13
2017.11.06_03:07:08,516.10,716.89,902.41,82.69,88.12,101.66,24.25,11.97,1003.46,550.10,731.48,879.46,79.23,90.62,104.12,25.38,26.49,1010.88,24.35,P; Tset = 22.60; Ttrue = NaN; T1 = 24.33; RH1 = 25.39; T2 = 25.07; RH2 = 25.31
2017.11.06_03:08:08,513.57,722.66,903.81,79.76,88.52,104.24,24.26,11.97,1003.45,553.13,727.27,874.44,78.92,89.22,104.94,25.38,25.66,1010.87,23.62,P; Tset = 23.00; Ttrue = NaN; T1 = 24.32; RH1 = 24.64; T2 = 25.06; RH2 = 24.55
2017.11.06_03:09:08,518.51,720.81,906.98,79.21,88.46,103.02,24.27,11.96,1003.45,552.95,722.84,874.01,77.70,89.61,104.38,25.38,24.93,1010.87,23.02,P; Tset = 23.40; Ttrue = NaN; T1 = 24.31; RH1 = 24.06; T2 = 25.06; RH2 = 23.91
2017.11.06_03:10:08,517.52,714.36,896.60,77.54,87.22,102.38,24.27,11.95,1003.46,545.48,727.95,869.71,76.47,88.98,102.70,25.39,24.23,1010.85,22.39,P; Tset = 23.80; Ttrue = NaN; T1 = 24.30; RH1 = 23.43; T2 = 25.06; RH2 = 23.28
2017.11.06_03:11:08,521.05,719.43,902.65,81.05,90.58,101.85,24.29,11.95,1003.44,551.81,725.80,877.54,77.74,89.86,103.25,25.40,23.61,1010.82,21.89,P; Tset = 24.20; Ttrue = NaN; T1 = 24.28; RH1 = 22.96; T2 = 25.06; RH2 = 22.74
2017.11.06_03:12:08,520.02,718.73,903.06,82.67,89.89,103.30,24.29,11.97,1003.35,548.50,723.62,865.48,76.30,87.81,103.36,25.40,23.01,1010.79,21.37,P; Tset = 24.40; Ttrue = NaN; T1 = 24.26; RH1 = 22.46; T2 = 25.05; RH2 = 22.21
2017.11.06_03:13:08,519.46,716.25,904.62,82.01,89.22,103.12,24.29,11.97,1003.32,550.10,728.87,871.71,77.29,88.18,102.66,25.40,22.49,1010.74,20.97,P; Tset = 24.80; Ttrue = NaN; T1 = 24.24; RH1 = 22.07; T2 = 25.05; RH2 = 21.78
2017.11.06_03:14:08,518.76,723.38,905.50,77.97,87.41,102.54,24.29,11.97,1003.29,555.48,720.61,875.43,78.73,88.04,103.73,25.40,21.99,1010.71,20.56,P; Tset = 25.20; Ttrue = NaN; T1 = 24.23; RH1 = 21.67; T2 = 25.04; RH2 = 21.35
2017.11.06_03:15:08,516.35,727.46,909.31,80.04,91.08,106.46,24.29,11.96,1003.27,554.68,720.77,875.17,77.93,90.72,104.42,25.40,21.48,1010.71,20.13,P; Tset = 25.60; Ttrue = NaN; T1 = 24.21; RH1 = 21.24; T2 = 25.04; RH2 = 20.90
2017.11.06_03:16:08,518.46,726.12,906.29,79.71,87.21,101.67,24.30,11.94,1003.31,552.71,723.44,871.04,77.54,88.88,103.25,25.40,20.94,1010.71,19.67,P; Tset = 25.80; Ttrue = NaN; T1 = 24.19; RH1 = 20.82; T2 = 25.04; RH2 = 20.40
2017.11.06_03:17:08,521.65,722.15,909.30,82.08,88.73,100.97,24.31,11.94,1003.32,549.39,721.65,871.69,79.55,88.83,103.71,25.40,20.55,1010.72,19.37,P; Tset = 26.20; Ttrue = NaN; T1 = 24.17; RH1 = 20.55; T2 = 25.03; RH2 = 20.06
2017.11.06_03:18:08,514.11,717.50,904.04,80.34,88.55,101.13,24.31,11.93,1003.36,548.27,723.10,864.35,79.27,88.16,104.37,25.40,20.17,1010.75,19.07,P; Tset = 26.40; Ttrue = NaN; T1 = 24.14; RH1 = 20.28; T2 = 25.02; RH2 = 19.76
2017.11.06_03:19:08,516.21,715.14,903.09,80.06,86.36,102.85,24.31,11.93,1003.36,546.56,720.02,863.68,78.22,90.07,116.03,25.41,19.87,1010.76,18.85,P; Tset = 26.80; Ttrue = NaN; T1 = 24.12; RH1 = 20.12; T2 = 25.02; RH2 = 19.53
2017.11.06_03:20:08,513.19,719.83,898.34,79.88,88.60,104.38,24.31,11.94,1003.38,546.92,721.40,862.91,77.76,88.95,103.70,25.40,19.60,1010.79,18.70,P; Tset = 27.00; Ttrue = NaN; T1 = 24.10; RH1 = 20.00; T2 = 25.01; RH2 = 19.33
2017.11.06_03:21:08,517.63,718.72,905.66,79.41,89.22,103.55,24.31,11.95,1003.41,554.71,723.99,866.12,76.75,89.60,102.46,25.40,19.33,1010.81,18.52,P; Tset = 27.40; Ttrue = NaN; T1 = 24.07; RH1 = 19.83; T2 = 25.01; RH2 = 19.15
2017.11.06_03:22:08,519.83,722.66,908.37,79.09,86.74,101.88,24.31,11.91,1003.45,549.88,724.60,867.38,78.22,88.26,101.99,25.40,19.06,1010.82,18.32,P; Tset = 27.60; Ttrue = NaN; T1 = 24.04; RH1 = 19.65; T2 = 25.01; RH2 = 18.95
2017.11.06_03:23:08,519.28,719.96,908.05,82.06,89.01,102.18,24.29,11.80,1003.46,555.12,721.35,869.65,78.82,88.89,102.72,25.40,18.73,1010.83,18.02,P; Tset = 28.00; Ttrue = NaN; T1 = 24.02; RH1 = 19.34; T2 = 25.01; RH2 = 18.65
2017.11.06_03:24:08,517.86,720.46,908.25,82.44,89.91,103.01,24.29,11.69,1003.44,543.92,722.73,869.00,77.79,87.12,105.49,25.40,18.40,1010.83,17.71,P; Tset = 28.20; Ttrue = NaN; T1 = 23.99; RH1 = 19.05; T2 = 25.00; RH2 = 18.33
2017.11.06_03:25:08,515.41,724.64,902.31,79.47,87.75,102.47,24.29,11.58,1003.44,553.27,725.30,867.35,77.53,89.11,101.76,25.38,18.09,1010.82,17.46,P; Tset = 28.40; Ttrue = NaN; T1 = 23.96; RH1 = 18.82; T2 = 25.00; RH2 = 18.06
2017.11.06_03:26:08,522.23,729.28,905.91,79.88,87.94,101.92,24.29,11.50,1003.41,550.02,720.67,868.71,79.60,88.19,102.59,25.38,17.81,1010.78,17.25,P; Tset = 28.80; Ttrue = NaN; T1 = 23.93; RH1 = 18.62; T2 = 24.99; RH2 = 17.82
2017.11.06_03:27:08,516.21,719.18,900.23,79.24,88.17,101.43,24.29,11.50,1003.37,548.96,717.87,858.60,76.25,87.99,100.56,25.38,17.58,1010.74,17.06,P; Tset = 29.00; Ttrue = NaN; T1 = 23.89; RH1 = 18.46; T2 = 24.99; RH2 = 17.62
2017.11.06_03:28:08,518.26,716.62,900.75,79.54,88.01,100.56,24.29,11.56,1003.35,534.69,713.76,862.41,75.64,86.37,101.07,25.38,17.39,1010.70,16.95,P; Tset = 29.20; Ttrue = NaN; T1 = 23.86; RH1 = 18.41; T2 = 24.99; RH2 = 17.49
2017.11.06_03:29:08,513.67,718.70,894.73,78.08,88.24,101.13,24.29,11.65,1003.33,541.90,716.63,866.97,78.14,88.57,102.11,25.37,17.30,1010.70,16.96,P; Tset = 29.60; Ttrue = NaN; T1 = 23.84; RH1 = 18.47; T2 = 24.98; RH2 = 17.47
2017.11.06_03:30:08,513.65,717.17,899.14,81.25,85.70,101.39,24.28,11.70,1003.35,543.44,715.41,860.87,78.51,87.47,103.62,25.36,17.23,1010.70,17.00,P; Tset = 29.80; Ttrue = NaN; T1 = 23.81; RH1 = 18.53; T2 = 24.98; RH2 = 17.49
2017.11.06_03:31:08,512.67,710.95,894.24,77.99,85.78,99.95,24.27,11.77,1003.35,538.49,709.99,859.90,77.39,86.58,100.75,25.36,17.15,1010.72,17.00,P; Tset = 30.00; Ttrue = NaN; T1 = 23.77; RH1 = 18.58; T2 = 24.98; RH2 = 17.49
2017.11.06_03:32:08,505.24,710.97,892.40,76.99,87.29,100.72,24.27,11.81,1003.38,541.43,715.01,859.18,77.49,88.35,101.40,25.34,17.10,1010.73,17.03,P; Tset = 30.20; Ttrue = NaN; T1 = 23.75; RH1 = 18.63; T2 = 24.97; RH2 = 17.50
2017.11.06_03:33:08,512.35,713.56,892.05,78.43,86.91,99.41,24.26,11.84,1003.38,545.24,723.81,858.07,77.39,86.63,101.22,25.34,17.04,1010.74,17.04,P; Tset = 30.60; Ttrue = NaN; T1 = 23.72; RH1 = 18.68; T2 = 24.95; RH2 = 17.50
2017.11.06_03:34:08,518.53,722.90,899.68,79.92,87.43,100.63,24.25,11.87,1003.38,544.64,715.82,864.05,79.38,87.42,101.92,25.32,16.98,1010.74,17.05,P; Tset = 30.80; Ttrue = NaN; T1 = 23.70; RH1 = 18.71; T2 = 24.93; RH2 = 17.51
2017.11.06_03:35:08,513.86,715.01,894.22,80.00,87.81,100.84,24.25,11.89,1003.38,541.13,707.49,863.23,77.51,86.81,100.80,25.31,16.91,1010.72,17.04,P; Tset = 31.00; Ttrue = NaN; T1 = 23.67; RH1 = 18.73; T2 = 24.91; RH2 = 17.50
2017.11.06_03:36:08,510.59,715.04,895.22,78.97,88.20,101.41,24.24,11.92,1003.32,544.54,712.50,854.95,76.73,87.70,101.74,25.30,16.86,1010.70,17.04,P; Tset = 31.20; Ttrue = NaN; T1 = 23.64; RH1 = 18.76; T2 = 24.90; RH2 = 17.50
2017.11.06_03:37:08,518.08,711.32,898.93,79.16,86.57,101.29,24.23,11.95,1003.29,542.88,713.55,860.41,77.89,89.04,100.62,25.29,16.81,1010.67,17.03,P; Tset = 31.40; Ttrue = NaN; T1 = 23.60; RH1 = 18.78; T2 = 24.87; RH2 = 17.50
2017.11.06_03:38:08,516.11,717.00,896.83,79.99,87.36,104.11,24.23,11.95,1003.29,544.65,720.88,858.83,75.41,87.58,102.20,25.27,16.75,1010.64,17.01,P; Tset = 31.60; Ttrue = NaN; T1 = 23.57; RH1 = 18.79; T2 = 24.85; RH2 = 17.48
2017.11.06_03:39:08,512.47,710.90,892.07,79.37,85.36,101.86,24.22,11.96,1003.26,542.75,716.84,858.91,76.57,87.52,101.28,25.26,16.69,1010.62,17.00,P; Tset = 32.00; Ttrue = NaN; T1 = 23.54; RH1 = 18.80; T2 = 24.83; RH2 = 17.47
2017.11.06_03:40:08,507.16,716.67,890.96,80.91,85.60,100.98,24.21,11.99,1003.25,541.95,712.20,857.12,76.00,86.06,102.23,25.24,16.64,1010.60,17.00,P; Tset = 32.20; Ttrue = NaN; T1 = 23.51; RH1 = 18.82; T2 = 24.81; RH2 = 17.46
2017.11.06_03:41:08,513.71,713.98,900.25,81.11,87.44,101.65,24.20,12.02,1003.25,537.44,718.90,856.30,76.86,87.57,101.62,25.24,16.59,1010.60,16.99,P; Tset = 32.40; Ttrue = NaN; T1 = 23.48; RH1 = 18.85; T2 = 24.79; RH2 = 17.46
2017.11.06_03:42:08,513.45,717.90,891.92,80.63,88.80,101.75,24.19,12.03,1003.24,542.98,716.68,865.59,77.29,89.37,101.25,25.22,16.54,1010.60,16.99,P; Tset = 32.60; Ttrue = NaN; T1 = 23.45; RH1 = 18.86; T2 = 24.79; RH2 = 17.44
2017.11.06_03:43:08,521.28,717.87,897.28,82.12,87.56,100.36,24.17,12.04,1003.24,542.43,713.08,858.79,82.78,90.30,103.05,25.22,16.50,1010.58,16.97,P; Tset = 32.80; Ttrue = NaN; T1 = 23.42; RH1 = 18.89; T2 = 24.78; RH2 = 17.43
2017.11.06_03:44:08,514.29,717.56,895.69,78.88,86.23,102.52,24.16,12.05,1003.24,547.14,716.94,861.91,76.55,86.38,102.37,25.20,16.45,1010.57,16.96,P; Tset = 33.00; Ttrue = NaN; T1 = 23.39; RH1 = 18.89; T2 = 24.77; RH2 = 17.42
2017.11.06_03:45:08,514.88,715.14,896.05,78.26,85.76,100.99,24.14,12.05,1003.20,542.54,715.22,858.90,77.71,87.77,102.02,25.19,16.40,1010.56,16.94,P; Tset = 33.20; Ttrue = NaN; T1 = 23.35; RH1 = 18.89; T2 = 24.76; RH2 = 17.40
2017.11.06_03:46:08,512.43,714.35,895.05,86.32,86.65,100.35,24.12,12.05,1003.20,541.96,711.58,862.84,77.82,89.96,101.85,25.18,16.35,1010.55,16.92,P; Tset = 33.40; Ttrue = NaN; T1 = 23.32; RH1 = 18.89; T2 = 24.74; RH2 = 17.38
2017.11.06_03:47:08,512.66,717.47,893.22,81.07,86.84,101.61,24.11,12.05,1003.18,548.00,717.12,863.93,76.55,88.75,101.14,25.17,16.31,1010.53,16.90,P; Tset = 33.60; Ttrue = NaN; T1 = 23.30; RH1 = 18.90; T2 = 24.74; RH2 = 17.36
2017.11.06_03:48:08,509.85,719.59,898.94,80.10,88.40,102.79,24.09,12.05,1003.18,548.21,711.66,860.92,77.01,89.47,102.44,25.16,16.26,1010.53,16.88,P; Tset = 33.80; Ttrue = NaN; T1 = 23.27; RH1 = 18.89; T2 = 24.73; RH2 = 17.33
2017.11.06_03:49:08,510.94,714.09,897.40,80.14,88.51,101.24,24.08,12.05,1003.18,541.76,713.14,856.59,76.03,87.51,101.52,25.14,16.21,1010.52,16.87,P; Tset = 34.00; Ttrue = NaN; T1 = 23.24; RH1 = 18.90; T2 = 24.72; RH2 = 17.32
2017.11.06_03:50:08,509.64,713.00,896.72,78.32,86.88,101.10,24.05,12.06,1003.18,545.98,717.25,864.96,78.42,88.05,102.26,25.12,16.17,1010.50,16.87,P; Tset = 34.20; Ttrue = NaN; T1 = 23.21; RH1 = 18.90; T2 = 24.71; RH2 = 17.30
2017.11.06_03:51:08,514.66,719.42,895.24,79.36,86.16,100.43,24.04,12.06,1003.18,544.52,717.69,858.81,77.91,88.06,101.95,25.11,16.11,1010.49,16.84,P; Tset = 34.40; Ttrue = NaN; T1 = 23.18; RH1 = 18.89; T2 = 24.69; RH2 = 17.28
2017.11.06_03:52:08,511.63,715.75,892.27,76.83,86.16,102.73,24.02,12.07,1003.20,539.18,710.13,859.56,76.88,88.19,100.89,25.09,16.06,1010.51,16.81,P; Tset = 34.60; Ttrue = NaN; T1 = 23.15; RH1 = 18.88; T2 = 24.67; RH2 = 17.25
2017.11.06_03:53:08,507.69,716.82,897.24,78.01,87.18,101.28,24.00,12.06,1003.23,540.46,714.23,863.89,75.01,89.53,102.36,25.07,15.99,1010.53,16.75,P; Tset = 34.60; Ttrue = NaN; T1 = 23.12; RH1 = 18.82; T2 = 24.65; RH2 = 17.18
2017.11.06_03:54:08,517.12,718.49,903.86,80.76,87.00,101.42,24.00,12.05,1003.24,539.07,715.59,858.04,75.44,86.43,102.01,25.07,15.90,1010.54,16.66,P; Tset = 34.80; Ttrue = NaN; T1 = 23.09; RH1 = 18.74; T2 = 24.63; RH2 = 17.11
2017.11.06_03:55:08,513.63,711.24,900.49,80.86,87.58,102.60,23.98,12.05,1003.24,544.58,711.53,859.29,76.99,86.51,100.47,25.05,15.80,1010.53,16.56,P; Tset = 35.00; Ttrue = NaN; T1 = 23.07; RH1 = 18.64; T2 = 24.61; RH2 = 17.02
2017.11.06_03:56:08,509.13,716.74,893.06,79.60,86.03,103.36,23.98,12.04,1003.23,545.83,712.38,856.51,79.18,86.53,101.13,25.04,15.66,1010.52,16.41,P; Tset = 35.20; Ttrue = NaN; T1 = 23.04; RH1 = 18.47; T2 = 24.59; RH2 = 16.88
2017.11.06_03:57:08,509.56,712.20,890.69,77.55,85.87,99.92,23.97,12.05,1003.21,539.38,709.86,853.40,76.06,89.81,102.48,25.02,15.56,1010.52,16.30,P; Tset = 35.40; Ttrue = NaN; T1 = 23.01; RH1 = 18.38; T2 = 24.57; RH2 = 16.76
2017.11.06_03:58:08,511.48,704.88,888.39,78.09,88.84,99.91,23.96,12.05,1003.23,537.80,712.73,858.05,75.43,87.15,100.56,25.00,15.50,1010.52,16.28,P; Tset = 35.60; Ttrue = NaN; T1 = 22.98; RH1 = 18.37; T2 = 24.56; RH2 = 16.72
2017.11.06_03:59:08,512.35,711.71,897.64,79.78,88.88,99.74,23.95,12.07,1003.20,541.06,709.91,861.73,76.34,86.24,100.50,24.98,15.46,1010.52,16.28,P; Tset = 35.80; Ttrue = NaN; T1 = 22.95; RH1 = 18.38; T2 = 24.54; RH2 = 16.71
2017.11.06_04:00:08,512.67,712.04,894.79,77.96,87.34,102.53,23.94,12.07,1003.19,544.29,710.12,859.62,76.11,86.72,101.48,24.96,15.42,1010.50,16.28,P; Tset = 36.00; Ttrue = NaN; T1 = 22.92; RH1 = 18.39; T2 = 24.52; RH2 = 16.70
