2017.11.11_03:56:32,10.99,14.16,16.40,1.74,2.37,4.55,24.16,3.86,978.91,11.57,14.53,19.06,16.64,15.49,2373.56,24.98,71.60,986.22,77.78,N; Tset = 17.60; Ttrue = 018.0; T1 = 23.92; RH1 = 75.76; T2 = 24.79; RH2 = 80.26
2017.11.11_03:57:32,12.03,12.97,14.73,1.70,2.53,4.35,25.00,3.96,1012.65,15.72,14.67,17.40,5.15,7.65,8.64,25.83,57.50,1020.24,54.05,N; Tset = 17.60; Ttrue = 018.3; T1 = 24.67; RH1 = 55.06; T2 = 25.62; RH2 = 57.36
2017.11.11_03:58:32,13.36,12.21,15.28,1.79,1.85,4.34,25.01,3.93,1012.69,13.46,15.28,15.90,5.11,7.77,8.39,25.81,52.12,1020.27,48.81,N; Tset = 17.60; Ttrue = 018.4; T1 = 24.62; RH1 = 51.55; T2 = 25.63; RH2 = 50.11
2017.11.11_03:59:32,10.07,13.70,15.01,3.41,1.99,3.84,25.01,3.90,1012.69,9.84,14.19,17.43,4.75,7.50,8.09,25.80,49.73,1020.27,47.27,N; Tset = 17.60; Ttrue = 018.5; T1 = 24.59; RH1 = 50.06; T2 = 25.63; RH2 = 48.44
2017.11.11_04:00:34,11.19,13.50,13.81,5.21,2.21,4.13,25.01,3.88,1012.74,10.08,13.42,16.32,4.67,7.60,8.60,25.80,48.33,1020.30,46.70,N; Tset = 17.80; Ttrue = 018.6; T1 = 24.55; RH1 = 49.66; T2 = 25.64; RH2 = 47.75
2017.11.11_04:01:38,10.53,12.84,13.66,1.98,1.68,4.02,25.02,3.87,1012.72,10.42,13.31,16.49,5.39,7.37,8.51,25.81,47.34,1020.30,46.44,N; Tset = 18.20; Ttrue = 017.9; T1 = 24.52; RH1 = 49.63; T2 = 25.64; RH2 = 47.42
2017.11.11_04:02:44,10.37,10.59,11.88,1.79,1.72,3.80,25.03,3.84,1012.72,11.53,10.59,15.70,4.92,7.27,9.02,25.82,46.00,1020.28,45.35,N; Tset = 18.80; Ttrue = 018.5; T1 = 24.47; RH1 = 48.54; T2 = 25.64; RH2 = 46.40
2017.11.11_04:03:50,10.28,11.35,11.39,1.48,1.83,3.50,25.03,3.79,1012.73,10.32,14.30,14.15,4.83,7.30,8.32,25.82,45.07,1020.28,44.95,N; Tset = 19.40; Ttrue = 019.3; T1 = 24.41; RH1 = 48.64; T2 = 25.64; RH2 = 45.67
2017.11.11_04:04:54,10.60,12.48,12.91,1.76,1.85,3.23,25.03,3.76,1012.69,10.57,12.90,16.00,4.59,7.28,7.59,25.82,45.39,1020.24,46.31,N; Tset = 19.80; Ttrue = 019.7; T1 = 24.36; RH1 = 50.51; T2 = 25.64; RH2 = 46.81
2017.11.11_04:06:00,8.97,10.55,12.31,2.23,2.20,3.57,25.03,3.73,1012.70,9.09,11.78,15.60,4.89,7.62,7.53,25.82,45.89,1020.26,47.51,N; Tset = 20.40; Ttrue = 020.2; T1 = 24.31; RH1 = 52.02; T2 = 25.64; RH2 = 47.99
2017.11.11_04:07:04,8.80,11.65,12.42,1.91,2.18,3.29,25.03,3.72,1012.71,8.98,11.77,15.32,5.00,7.11,8.22,25.82,46.37,1020.28,48.58,N; Tset = 20.80; Ttrue = 020.7; T1 = 24.27; RH1 = 53.41; T2 = 25.64; RH2 = 49.00
2017.11.11_04:08:10,11.32,11.03,12.80,1.83,1.72,4.24,25.03,3.75,1012.76,9.70,11.20,13.64,6.05,7.12,7.43,25.82,47.05,1020.32,49.79,N; Tset = 21.40; Ttrue = 021.2; T1 = 24.22; RH1 = 55.00; T2 = 25.63; RH2 = 50.12
2017.11.11_04:09:14,10.69,12.13,13.79,1.57,1.93,4.12,25.03,3.81,1012.81,9.39,11.90,15.89,4.80,7.05,8.36,25.82,47.78,1020.38,51.00,N; Tset = 21.80; Ttrue = 021.6; T1 = 24.17; RH1 = 56.52; T2 = 25.63; RH2 = 51.34
2017.11.11_04:10:18,9.33,11.01,12.09,2.20,1.61,3.91,25.03,3.83,1012.86,10.17,11.78,16.09,4.94,7.07,8.14,25.82,48.56,1020.40,52.21,N; Tset = 22.20; Ttrue = 022.0; T1 = 24.14; RH1 = 58.02; T2 = 25.64; RH2 = 52.51
2017.11.11_04:11:22,10.41,12.72,13.75,2.49,2.17,4.03,25.03,3.86,1012.87,10.51,13.49,17.81,5.03,7.19,8.45,25.82,49.38,1020.43,53.41,N; Tset = 22.60; Ttrue = 022.5; T1 = 24.11; RH1 = 59.51; T2 = 25.63; RH2 = 53.69
2017.11.11_04:12:26,9.67,12.69,13.01,1.92,1.95,4.83,25.03,3.88,1012.88,10.64,12.48,17.03,5.30,7.53,8.76,25.82,50.22,1020.45,54.62,N; Tset = 23.00; Ttrue = 022.9; T1 = 24.08; RH1 = 60.98; T2 = 25.64; RH2 = 54.88
2017.11.11_04:13:30,9.13,11.71,11.77,1.79,1.36,4.17,25.03,3.91,1012.90,9.94,11.88,15.38,5.83,8.14,8.77,25.82,51.10,1020.46,55.82,N; Tset = 23.40; Ttrue = 023.3; T1 = 24.05; RH1 = 62.44; T2 = 25.64; RH2 = 56.08
2017.11.11_04:14:34,9.94,10.52,11.42,1.49,1.44,4.11,25.03,3.93,1012.90,8.55,11.02,16.24,5.31,8.10,9.29,25.82,52.00,1020.46,57.03,N; Tset = 23.80; Ttrue = 023.7; T1 = 24.03; RH1 = 63.88; T2 = 25.63; RH2 = 57.29
2017.11.11_04:15:38,9.33,10.30,11.90,1.86,1.73,4.64,25.03,3.89,1012.92,8.97,11.15,13.90,4.96,7.61,8.64,25.82,52.89,1020.47,58.20,N; Tset = 24.20; Ttrue = 024.1; T1 = 24.01; RH1 = 65.26; T2 = 25.63; RH2 = 58.46
2017.11.11_04:16:42,8.60,10.42,11.35,2.66,1.89,3.27,25.03,3.87,1012.93,9.09,11.23,14.98,4.68,7.61,8.34,25.82,53.82,1020.48,59.41,N; Tset = 24.60; Ttrue = 024.5; T1 = 24.00; RH1 = 66.64; T2 = 25.63; RH2 = 59.66
