2017.11.25_00:44:33,33.65,48.18,57.57,7.44,8.53,11.09,23.19,11.21,970.13,57.44,79.61,97.00,19.48,21.24,22.70,24.37,65.93,977.39,82.23,N; Tset = 10.20; Ttrue = 0011.1; T1 = 27.04; RH1 = 60.91; T2 = 25.99; RH2 = 79.09
2017.11.25_00:45:33,35.54,47.25,60.70,7.77,8.73,11.51,23.99,11.61,1003.57,49.11,62.86,74.97,14.57,17.82,18.00,25.21,48.91,1011.08,52.63,N; Tset = 10.20; Ttrue = 0011.6; T1 = 27.88; RH1 = 41.45; T2 = 26.83; RH2 = 51.60
2017.11.25_00:46:41,35.95,48.42,60.24,7.92,8.65,11.56,23.99,11.63,1003.53,48.63,63.05,76.69,14.58,17.03,18.36,25.20,43.06,1011.06,47.00,N; Tset = 11.00; Ttrue = 0011.9; T1 = 27.81; RH1 = 38.83; T2 = 26.81; RH2 = 44.25
2017.11.25_00:47:53,34.80,47.10,58.77,8.56,8.49,11.18,23.99,11.65,1003.51,49.06,62.90,77.85,14.61,16.39,17.49,25.20,40.15,1011.02,45.60,N; Tset = 12.20; Ttrue = 0012.2; T1 = 27.75; RH1 = 38.41; T2 = 26.81; RH2 = 42.32
2017.11.25_00:49:03,34.13,47.16,58.61,7.86,8.12,11.30,24.00,11.68,1003.46,49.49,63.58,78.97,14.84,16.57,16.99,25.20,38.54,1010.97,45.19,N; Tset = 13.20; Ttrue = 0012.6; T1 = 27.68; RH1 = 38.55; T2 = 26.79; RH2 = 41.68
2017.11.25_00:50:13,34.57,48.59,58.77,7.65,8.18,10.99,24.01,11.69,1003.46,49.54,66.65,77.81,14.90,16.92,17.29,25.22,37.70,1010.99,45.44,N; Tset = 14.20; Ttrue = 0013.9; T1 = 27.59; RH1 = 39.31; T2 = 26.78; RH2 = 41.65
2017.11.25_00:51:23,34.03,46.78,59.61,7.63,7.90,10.61,24.01,11.71,1003.50,50.90,67.56,80.46,14.79,16.03,18.32,25.22,37.98,1011.01,47.28,N; Tset = 15.20; Ttrue = 0014.9; T1 = 27.49; RH1 = 41.49; T2 = 26.78; RH2 = 42.97
2017.11.25_00:52:33,34.54,46.25,59.20,8.54,7.93,11.55,24.01,11.72,1003.51,49.84,66.45,79.54,14.55,16.58,18.18,25.22,38.80,1011.01,49.33,N; Tset = 16.20; Ttrue = 0015.4; T1 = 27.40; RH1 = 43.55; T2 = 26.77; RH2 = 44.83
2017.11.25_00:53:43,33.21,46.25,57.08,7.88,8.05,11.66,24.01,11.74,1003.52,50.81,64.81,79.63,14.33,16.35,17.83,25.23,39.27,1011.00,50.59,N; Tset = 17.20; Ttrue = 0017.2; T1 = 27.32; RH1 = 45.10; T2 = 26.76; RH2 = 45.85
2017.11.25_00:54:51,33.68,46.94,57.81,7.45,7.61,10.99,24.01,11.77,1003.49,51.85,65.76,80.35,15.10,16.72,17.97,25.24,41.18,1010.98,54.16,N; Tset = 18.00; Ttrue = 0017.8; T1 = 27.25; RH1 = 48.78; T2 = 26.76; RH2 = 48.80
2017.11.25_00:56:01,34.10,46.40,57.04,7.23,7.68,10.71,24.01,11.81,1003.50,52.08,68.28,82.41,13.95,16.49,18.51,25.24,42.69,1010.98,56.45,N; Tset = 19.00; Ttrue = 0018.5; T1 = 27.19; RH1 = 50.82; T2 = 26.75; RH2 = 51.11
