2017.11.26_20:54:53,40.64,55.23,69.89,9.33,9.66,14.69,21.44,4.80,978.75,76.46,102.77,129.12,23.23,26.63,26.31,22.41,66.98,985.86,85.98,N; Tset = 10.00; Ttrue = 0010.7; T1 = 25.72; RH1 = 61.78; T2 = 24.24; RH2 = 80.74
2017.11.26_20:55:53,42.52,58.17,75.27,10.42,11.17,15.67,22.19,4.96,1012.48,69.52,86.49,109.16,18.67,20.28,24.76,23.19,51.39,1019.86,57.09,N; Tset = 10.00; Ttrue = 0011.2; T1 = 26.52; RH1 = 43.27; T2 = 25.02; RH2 = 55.04
2017.11.26_20:56:53,41.06,58.90,74.13,10.01,10.80,14.10,22.20,4.94,1012.46,69.39,88.62,113.38,19.12,20.62,22.62,23.19,45.63,1019.81,51.01,N; Tset = 10.00; Ttrue = 0011.4; T1 = 26.44; RH1 = 40.54; T2 = 25.01; RH2 = 47.39
2017.11.26_20:57:53,43.08,60.94,75.89,10.33,10.90,14.70,22.21,4.93,1012.42,71.50,88.80,110.86,18.22,20.99,24.38,23.19,42.92,1019.81,49.42,N; Tset = 10.00; Ttrue = 0011.6; T1 = 26.36; RH1 = 39.98; T2 = 25.00; RH2 = 45.35
2017.11.26_20:58:55,42.71,59.00,75.96,10.34,10.54,15.05,22.22,4.92,1012.47,68.94,91.00,112.75,18.34,20.90,22.72,23.19,41.25,1019.81,48.77,N; Tset = 10.20; Ttrue = 0011.8; T1 = 26.29; RH1 = 39.92; T2 = 24.99; RH2 = 44.44
2017.11.26_21:00:01,43.47,61.14,76.77,10.48,11.04,14.58,22.23,4.92,1012.43,67.87,86.41,111.55,18.35,20.40,23.09,23.21,40.08,1019.80,48.47,N; Tset = 10.80; Ttrue = 0012.0; T1 = 26.19; RH1 = 40.16; T2 = 24.98; RH2 = 44.02
2017.11.26_21:01:05,43.00,61.00,76.87,10.62,11.03,15.00,22.23,4.91,1012.44,64.81,88.45,113.87,20.39,20.89,22.20,23.21,39.24,1019.83,48.42,N; Tset = 11.20; Ttrue = 0012.2; T1 = 26.08; RH1 = 40.51; T2 = 24.98; RH2 = 43.85
2017.11.26_21:02:11,44.77,60.17,77.89,9.89,11.20,14.67,22.23,4.90,1012.46,68.41,90.54,113.35,18.62,19.90,22.33,23.22,38.62,1019.83,48.41,N; Tset = 11.80; Ttrue = 0011.6; T1 = 25.97; RH1 = 40.88; T2 = 24.97; RH2 = 43.77
2017.11.26_21:03:17,44.92,60.69,79.94,10.18,11.25,14.96,22.24,4.88,1012.44,68.22,93.06,116.05,20.63,21.10,23.83,23.23,37.58,1019.81,47.38,N; Tset = 12.40; Ttrue = 0011.9; T1 = 25.87; RH1 = 40.14; T2 = 24.97; RH2 = 43.03
2017.11.26_21:04:21,43.08,60.84,78.84,10.41,10.97,14.70,22.25,4.88,1012.47,66.58,91.47,114.57,18.20,21.23,22.37,23.23,36.81,1019.84,46.96,N; Tset = 12.80; Ttrue = 0012.8; T1 = 25.78; RH1 = 40.27; T2 = 24.96; RH2 = 42.39
2017.11.26_21:05:27,43.80,61.53,81.47,9.98,11.31,14.54,22.25,4.89,1012.45,68.10,92.54,114.93,19.03,21.04,22.68,23.25,37.21,1019.83,48.37,N; Tset = 13.40; Ttrue = 0013.2; T1 = 25.70; RH1 = 42.00; T2 = 24.96; RH2 = 43.45
2017.11.26_21:06:31,46.12,62.23,79.19,11.85,11.05,15.76,22.25,4.96,1012.42,69.92,96.54,122.03,18.67,20.94,24.08,23.26,37.61,1019.82,49.44,N; Tset = 13.80; Ttrue = 0013.5; T1 = 25.61; RH1 = 43.12; T2 = 24.96; RH2 = 44.48
2017.11.26_21:07:35,45.53,62.85,81.46,11.08,11.65,15.29,22.25,5.11,1012.40,70.30,95.74,119.21,18.15,21.03,23.05,23.27,37.90,1019.80,50.23,N; Tset = 14.20; Ttrue = 0014.1; T1 = 25.54; RH1 = 44.09; T2 = 24.96; RH2 = 45.16
2017.11.26_21:08:39,44.44,65.44,80.71,10.59,11.44,15.13,22.25,5.25,1012.40,71.00,97.14,119.87,21.97,22.77,23.63,23.28,38.45,1019.78,51.36,N; Tset = 14.60; Ttrue = 0014.5; T1 = 25.46; RH1 = 45.39; T2 = 24.96; RH2 = 46.12
2017.11.26_21:09:43,45.33,63.56,81.92,10.30,11.38,16.20,22.25,5.36,1012.39,70.59,95.94,119.81,19.40,22.63,23.18,23.29,39.06,1019.76,52.50,N; Tset = 15.00; Ttrue = 0014.9; T1 = 25.40; RH1 = 46.61; T2 = 24.96; RH2 = 47.16
2017.11.26_21:10:49,44.61,64.33,80.17,10.50,11.61,15.61,22.25,5.42,1012.40,72.80,94.81,123.81,19.98,24.23,24.05,23.29,39.64,1019.77,53.53,N; Tset = 15.60; Ttrue = 0015.4; T1 = 25.34; RH1 = 47.69; T2 = 24.97; RH2 = 48.08
2017.11.26_21:11:53,44.86,63.75,81.01,10.83,11.57,15.55,22.25,5.49,1012.39,74.65,98.16,125.23,20.32,21.93,24.61,23.30,40.28,1019.78,54.61,N; Tset = 16.00; Ttrue = 0015.8; T1 = 25.30; RH1 = 48.84; T2 = 24.97; RH2 = 49.03
2017.11.26_21:12:57,45.61,63.56,82.08,10.65,11.33,15.31,22.25,5.59,1012.42,70.81,95.09,123.01,19.21,21.57,23.26,23.31,41.03,1019.79,55.77,N; Tset = 16.40; Ttrue = 0016.2; T1 = 25.26; RH1 = 50.06; T2 = 24.98; RH2 = 50.05
2017.11.26_21:14:01,47.05,64.81,85.34,10.91,11.66,15.84,22.27,5.69,1012.46,74.10,100.02,127.42,20.27,22.59,25.05,23.31,41.68,1019.83,56.82,N; Tset = 16.80; Ttrue = 0016.6; T1 = 25.23; RH1 = 51.09; T2 = 24.98; RH2 = 50.98
2017.11.26_21:15:03,47.82,65.33,83.71,10.75,11.67,15.30,22.27,5.68,1012.44,68.97,95.52,121.24,18.93,20.87,24.01,23.32,42.47,1019.82,58.00,N; Tset = 17.00; Ttrue = 0017.0; T1 = 25.19; RH1 = 52.34; T2 = 24.99; RH2 = 52.02
2017.11.26_21:16:07,46.49,64.10,83.31,10.75,11.78,15.52,22.27,5.61,1012.48,75.45,100.74,127.12,19.27,22.72,24.87,23.33,43.19,1019.85,59.05,N; Tset = 17.40; Ttrue = 0017.3; T1 = 25.16; RH1 = 53.37; T2 = 24.99; RH2 = 53.02
2017.11.26_21:17:11,46.28,65.41,85.47,10.56,11.46,15.94,22.27,5.54,1012.50,67.91,94.03,120.31,18.27,20.38,22.89,23.33,44.08,1019.84,60.39,N; Tset = 17.80; Ttrue = 0017.7; T1 = 25.14; RH1 = 54.67; T2 = 25.00; RH2 = 54.16
2017.11.26_21:18:15,47.18,65.83,86.27,11.21,11.83,15.76,22.27,5.47,1012.48,76.97,105.16,135.52,20.36,22.55,25.09,23.33,44.71,1019.84,61.25,N; Tset = 18.20; Ttrue = 0018.0; T1 = 25.13; RH1 = 55.47; T2 = 25.00; RH2 = 54.96
2017.11.26_21:19:19,47.84,67.53,86.43,11.23,11.77,15.74,22.27,5.41,1012.53,74.79,102.59,131.38,20.28,23.29,25.99,23.33,45.47,1019.89,62.36,N; Tset = 18.60; Ttrue = 0018.4; T1 = 25.12; RH1 = 56.55; T2 = 25.00; RH2 = 55.91
2017.11.26_21:20:21,48.36,67.53,87.10,11.24,12.76,16.64,22.27,5.36,1012.52,75.96,101.86,131.33,21.26,22.77,25.63,23.35,46.28,1019.87,63.44,N; Tset = 18.80; Ttrue = 0018.7; T1 = 25.11; RH1 = 57.56; T2 = 25.01; RH2 = 56.93
2017.11.26_21:21:25,48.83,67.61,88.98,11.32,12.51,16.93,22.27,5.30,1012.53,79.16,104.67,133.89,20.75,21.95,25.52,23.35,47.00,1019.88,64.41,N; Tset = 19.20; Ttrue = 0019.1; T1 = 25.11; RH1 = 58.48; T2 = 25.01; RH2 = 57.82
2017.11.26_21:22:27,48.06,67.60,88.14,11.17,12.60,16.50,22.27,5.25,1012.58,78.94,108.48,138.87,20.62,23.47,26.47,23.35,47.76,1019.91,65.46,N; Tset = 19.40; Ttrue = 0019.4; T1 = 25.12; RH1 = 59.40; T2 = 25.01; RH2 = 58.76
2017.11.26_21:23:31,49.80,67.73,88.95,10.82,12.37,16.93,22.27,5.22,1012.55,87.42,112.52,148.50,21.13,24.15,26.13,23.35,48.50,1019.92,66.46,N; Tset = 19.80; Ttrue = 0019.7; T1 = 25.13; RH1 = 60.27; T2 = 25.02; RH2 = 59.64
2017.11.26_21:24:35,48.70,69.90,90.67,11.99,12.84,16.87,22.28,5.18,1012.55,87.90,115.74,150.54,22.62,23.54,27.32,23.35,49.27,1019.90,67.55,N; Tset = 20.20; Ttrue = 0020.0; T1 = 25.14; RH1 = 61.20; T2 = 25.02; RH2 = 60.58
2017.11.26_21:25:37,49.12,69.57,90.06,11.71,12.67,17.33,22.29,5.13,1012.51,85.45,115.32,153.38,22.17,25.18,27.13,23.37,50.05,1019.89,68.51,N; Tset = 20.40; Ttrue = 0020.3; T1 = 25.16; RH1 = 62.07; T2 = 25.03; RH2 = 61.50
2017.11.26_21:26:41,49.70,68.98,89.19,11.99,12.89,16.85,22.29,5.11,1012.52,84.46,116.94,149.69,21.54,23.83,27.73,23.37,50.82,1019.88,69.56,N; Tset = 20.80; Ttrue = 0020.6; T1 = 25.19; RH1 = 62.93; T2 = 25.04; RH2 = 62.42
2017.11.26_21:27:43,49.43,72.26,91.69,11.56,13.41,20.12,22.29,5.08,1012.48,88.43,119.00,152.60,22.50,25.38,27.30,23.37,51.59,1019.85,70.62,N; Tset = 21.00; Ttrue = 0020.9; T1 = 25.22; RH1 = 63.79; T2 = 25.04; RH2 = 63.34
2017.11.26_21:28:45,50.26,70.27,92.31,11.88,12.56,17.72,22.29,5.05,1012.44,82.46,115.38,147.58,21.32,24.93,27.16,23.37,52.40,1019.81,71.74,N; Tset = 21.20; Ttrue = 0021.2; T1 = 25.25; RH1 = 64.69; T2 = 25.05; RH2 = 64.31
