2017.11.20_16:45:46,178.03,254.32,324.86,32.93,35.34,42.31,28.98,8.36,974.72,373.86,489.60,593.94,58.74,61.64,71.74,29.99,64.83,982.54,79.04,N; Tset = 15.80; Ttrue = 0016.4; T1 = 33.42; RH1 = 55.53; T2 = 31.53; RH2 = 77.64
2017.11.20_16:46:46,181.85,264.81,336.11,36.19,36.23,42.93,29.97,8.42,1008.32,296.66,399.21,485.01,50.05,57.10,62.76,31.01,47.70,1016.41,51.07,N; Tset = 15.80; Ttrue = 0016.9; T1 = 34.47; RH1 = 38.91; T2 = 32.57; RH2 = 50.25
2017.11.20_16:47:46,185.05,265.19,336.86,33.13,37.11,44.11,29.97,8.14,1008.33,310.15,414.00,504.40,50.66,56.22,64.14,30.98,42.30,1016.41,47.04,N; Tset = 15.80; Ttrue = 0017.2; T1 = 34.42; RH1 = 37.54; T2 = 32.56; RH2 = 44.42
2017.11.20_16:48:48,185.80,269.98,341.90,33.63,38.40,44.11,29.96,7.82,1008.33,316.67,418.81,517.73,51.09,58.34,66.47,30.98,39.74,1016.43,45.97,N; Tset = 16.00; Ttrue = 0017.5; T1 = 34.37; RH1 = 37.35; T2 = 32.55; RH2 = 42.79
2017.11.20_16:49:56,189.67,273.22,348.25,33.52,38.19,43.94,29.95,7.51,1008.31,311.70,419.12,513.87,52.45,59.31,66.58,30.98,38.12,1016.41,45.62,N; Tset = 16.80; Ttrue = 0017.8; T1 = 34.28; RH1 = 37.54; T2 = 32.55; RH2 = 42.15
2017.11.20_16:51:04,192.52,275.68,351.76,34.75,38.95,44.60,29.95,7.25,1008.28,321.89,432.32,524.49,57.88,59.83,65.77,30.98,37.09,1016.40,45.58,N; Tset = 17.60; Ttrue = 0018.0; T1 = 34.20; RH1 = 37.86; T2 = 32.56; RH2 = 41.88
2017.11.20_16:52:10,191.76,278.59,353.43,34.07,38.45,45.05,29.93,7.05,1008.27,333.79,446.44,537.85,53.67,60.97,68.78,31.00,36.42,1016.41,45.64,N; Tset = 18.20; Ttrue = 0018.2; T1 = 34.13; RH1 = 38.28; T2 = 32.57; RH2 = 41.79
2017.11.20_16:53:16,195.94,281.60,362.30,35.75,40.03,46.35,29.93,6.79,1008.27,333.79,449.30,540.80,54.48,60.44,67.98,31.00,35.97,1016.39,45.81,N; Tset = 18.80; Ttrue = 0018.5; T1 = 34.03; RH1 = 38.73; T2 = 32.58; RH2 = 41.83
2017.11.20_16:54:24,200.67,285.77,362.91,35.59,38.55,46.02,29.93,6.58,1008.26,333.36,440.67,534.06,52.99,59.93,66.07,31.02,35.74,1016.38,46.15,N; Tset = 19.60; Ttrue = 0019.3; T1 = 33.91; RH1 = 39.43; T2 = 32.58; RH2 = 42.03
2017.11.20_16:55:30,202.48,287.89,368.54,35.81,39.60,46.76,29.93,6.40,1008.28,334.94,445.62,536.89,52.64,60.26,68.34,31.02,36.01,1016.38,47.22,N; Tset = 20.20; Ttrue = 0019.6; T1 = 33.80; RH1 = 40.75; T2 = 32.59; RH2 = 42.83
2017.11.20_16:56:36,198.42,291.24,367.21,35.91,38.80,47.30,29.91,6.31,1008.24,327.98,438.95,533.07,51.49,58.88,66.12,31.03,36.30,1016.36,47.98,N; Tset = 20.80; Ttrue = 0020.6; T1 = 33.68; RH1 = 41.64; T2 = 32.59; RH2 = 43.56
2017.11.20_16:57:42,199.31,289.69,369.03,38.60,39.63,47.60,29.91,6.18,1008.22,345.95,456.61,554.09,54.75,60.52,69.05,31.04,37.01,1016.35,49.49,N; Tset = 21.40; Ttrue = 0021.2; T1 = 33.59; RH1 = 43.45; T2 = 32.60; RH2 = 44.74
2017.11.20_16:58:46,203.16,293.75,377.89,37.29,40.17,47.26,29.91,6.05,1008.24,357.60,482.18,574.22,57.21,62.59,74.24,31.04,37.99,1016.34,51.08,N; Tset = 21.80; Ttrue = 0021.6; T1 = 33.49; RH1 = 44.99; T2 = 32.60; RH2 = 46.26
2017.11.20_16:59:52,205.69,299.35,376.15,37.70,42.91,47.49,29.90,5.93,1008.20,357.33,475.06,576.93,55.97,62.45,71.44,31.04,38.56,1016.32,51.99,N; Tset = 22.40; Ttrue = 0022.2; T1 = 33.40; RH1 = 46.00; T2 = 32.61; RH2 = 47.09
