2017.11.23_05:33:13,8.90,8.62,9.53,2.48,1.54,3.15,21.29,2.89,975.20,12.21,12.59,16.78,8.50,9.46,9.24,22.41,61.19,982.28,72.21,N; Tset = 10.00; Ttrue = 016.6; T1 = 23.23; RH1 = 62.90; T2 = 22.78; RH2 = 71.76
2017.11.23_05:34:13,8.16,9.27,9.82,2.19,2.23,3.52,22.03,2.99,1008.79,10.04,12.09,16.40,8.04,9.18,8.66,23.17,52.17,1016.10,55.83,N; Tset = 10.00; Ttrue = 016.8; T1 = 23.99; RH1 = 51.35; T2 = 23.52; RH2 = 56.48
2017.11.23_05:35:21,7.93,9.27,9.61,2.52,2.14,3.34,22.03,2.99,1008.76,8.35,10.10,13.88,7.21,8.34,8.37,23.17,49.17,1016.07,52.98,N; Tset = 10.80; Ttrue = 016.9; T1 = 23.96; RH1 = 49.94; T2 = 23.51; RH2 = 52.50
2017.11.23_05:36:33,7.76,9.36,10.15,2.22,1.35,3.88,22.03,3.01,1008.74,9.52,11.06,15.37,7.22,8.39,8.20,23.15,47.88,1016.07,52.48,N; Tset = 12.00; Ttrue = 017.0; T1 = 23.93; RH1 = 49.86; T2 = 23.48; RH2 = 51.65
2017.11.23_05:37:43,8.06,8.88,10.14,2.82,1.57,3.78,22.03,3.02,1008.78,10.37,12.52,15.34,7.89,8.52,7.75,23.14,47.28,1016.09,52.50,N; Tset = 13.00; Ttrue = 016.9; T1 = 23.90; RH1 = 50.13; T2 = 23.46; RH2 = 51.55
2017.11.23_05:38:53,7.95,9.64,10.03,2.73,1.55,3.77,22.02,3.03,1008.81,10.09,10.29,13.39,6.46,7.64,8.19,23.13,46.68,1016.12,52.12,N; Tset = 14.00; Ttrue = 015.8; T1 = 23.87; RH1 = 49.73; T2 = 23.43; RH2 = 51.31
2017.11.23_05:40:03,7.55,9.50,10.25,2.05,1.83,3.60,22.01,3.01,1008.83,9.57,12.57,15.11,7.12,8.26,8.36,23.11,44.97,1016.14,49.91,N; Tset = 15.00; Ttrue = 015.1; T1 = 23.83; RH1 = 47.51; T2 = 23.40; RH2 = 49.35
2017.11.23_05:41:13,8.56,9.33,10.18,2.92,2.02,3.74,22.01,3.01,1008.86,9.87,11.69,14.37,7.19,8.20,8.06,23.11,43.31,1016.17,47.88,N; Tset = 16.00; Ttrue = 015.4; T1 = 23.79; RH1 = 45.70; T2 = 23.38; RH2 = 47.33
2017.11.23_05:42:23,7.50,9.15,10.11,2.59,1.65,4.19,22.01,3.01,1008.87,14.27,16.07,18.90,7.77,9.20,9.06,23.10,42.52,1016.18,47.43,N; Tset = 17.00; Ttrue = 016.8; T1 = 23.76; RH1 = 45.74; T2 = 23.37; RH2 = 46.50
2017.11.23_05:43:33,8.82,10.07,10.58,2.42,2.13,3.60,22.00,3.02,1008.88,10.85,12.46,16.47,7.81,8.63,8.71,23.09,43.76,1016.19,50.06,N; Tset = 18.00; Ttrue = 017.7; T1 = 23.73; RH1 = 48.76; T2 = 23.37; RH2 = 48.61
2017.11.23_05:44:41,8.57,9.75,10.80,1.97,1.91,4.26,21.99,3.03,1008.84,10.41,12.09,16.31,7.09,8.36,9.13,23.09,45.46,1016.15,52.81,N; Tset = 18.80; Ttrue = 018.6; T1 = 23.71; RH1 = 51.52; T2 = 23.37; RH2 = 51.27
2017.11.23_05:45:51,8.84,10.03,10.75,2.26,1.09,5.44,21.99,3.05,1008.83,11.79,11.95,15.46,6.98,9.19,9.17,23.09,47.12,1016.12,55.30,N; Tset = 19.80; Ttrue = 019.5; T1 = 23.70; RH1 = 54.03; T2 = 23.36; RH2 = 53.65
2017.11.23_05:46:59,9.02,10.46,10.22,2.36,1.61,3.83,21.99,3.05,1008.80,9.67,11.74,15.84,7.26,9.40,8.61,23.09,48.94,1016.08,57.94,N; Tset = 20.60; Ttrue = 020.3; T1 = 23.69; RH1 = 56.67; T2 = 23.36; RH2 = 56.18
2017.11.23_05:48:07,8.95,10.05,10.93,2.93,2.48,3.40,21.99,3.04,1008.81,10.63,13.98,15.61,7.33,9.20,8.13,23.09,50.88,1016.09,60.61,N; Tset = 21.40; Ttrue = 021.2; T1 = 23.68; RH1 = 59.33; T2 = 23.35; RH2 = 58.77
2017.11.23_05:49:15,8.33,9.60,10.88,1.91,2.30,3.86,21.99,3.03,1008.81,10.87,12.34,17.09,7.31,8.47,8.15,23.09,52.92,1016.12,63.39,N; Tset = 22.20; Ttrue = 022.0; T1 = 23.68; RH1 = 62.07; T2 = 23.35; RH2 = 61.44
2017.11.23_05:50:23,8.49,9.67,10.59,2.07,1.43,4.06,21.99,3.03,1008.81,12.71,14.16,19.65,7.68,9.10,8.49,23.09,55.10,1016.10,66.29,N; Tset = 23.00; Ttrue = 022.9; T1 = 23.69; RH1 = 64.93; T2 = 23.35; RH2 = 64.24
2017.11.23_05:51:31,7.61,9.40,10.12,3.01,1.67,3.53,21.99,3.05,1008.81,9.83,12.13,16.76,7.39,8.53,8.98,23.09,57.40,1016.11,69.32,N; Tset = 23.80; Ttrue = 023.6; T1 = 23.70; RH1 = 67.84; T2 = 23.35; RH2 = 67.17
2017.11.23_05:52:39,8.06,9.30,10.74,2.34,1.62,3.82,21.99,3.05,1008.82,9.44,11.04,18.07,7.09,8.71,8.86,23.08,59.68,1016.12,72.31,N; Tset = 24.60; Ttrue = 024.3; T1 = 23.72; RH1 = 70.60; T2 = 23.35; RH2 = 70.04
2017.11.23_05:53:47,8.51,9.49,10.84,2.42,1.74,4.00,21.99,3.03,1008.85,10.00,13.16,17.31,7.26,9.11,9.20,23.07,61.91,1016.14,75.23,N; Tset = 25.40; Ttrue = 025.1; T1 = 23.75; RH1 = 73.29; T2 = 23.35; RH2 = 72.81
2017.11.23_05:54:53,7.98,8.78,9.68,2.49,1.74,3.46,21.99,3.03,1008.83,9.38,13.03,17.62,7.69,9.47,9.79,23.07,64.27,1016.14,78.26,N; Tset = 26.00; Ttrue = 025.8; T1 = 23.77; RH1 = 76.14; T2 = 23.36; RH2 = 75.71
2017.11.23_05:56:01,8.11,9.91,10.08,2.01,1.87,3.40,21.97,3.01,1008.81,12.92,15.35,21.49,7.84,9.23,10.70,23.07,66.67,1016.12,81.36,N; Tset = 26.80; Ttrue = 026.6; T1 = 23.81; RH1 = 79.01; T2 = 23.36; RH2 = 78.71
2017.11.23_05:57:09,7.69,8.57,9.54,2.43,1.69,3.84,21.97,3.03,1008.78,17.44,17.13,23.03,9.11,10.48,11.06,23.07,69.13,1016.11,84.52,N; Tset = 27.60; Ttrue = 027.3; T1 = 23.84; RH1 = 81.91; T2 = 23.36; RH2 = 81.76
2017.11.23_05:58:15,7.87,9.73,10.00,2.40,1.84,3.64,21.97,3.03,1008.75,15.84,19.58,24.69,10.58,12.84,11.81,23.07,71.61,1016.06,87.74,N; Tset = 28.20; Ttrue = 028.0; T1 = 23.89; RH1 = 84.80; T2 = 23.36; RH2 = 84.84
2017.11.23_05:59:21,8.10,10.53,9.20,2.41,2.12,3.88,21.96,3.03,1008.74,14.40,19.70,26.18,14.83,14.83,15.36,23.07,74.01,1016.05,90.86,N; Tset = 28.80; Ttrue = 028.6; T1 = 23.96; RH1 = 87.51; T2 = 23.36; RH2 = 87.79
