2017.11.21_21:43:15,14.88,17.21,16.73,3.45,2.79,3.89,28.42,3.53,974.04,29.53,28.67,34.39,10.73,12.47,13.04,29.96,47.99,981.82,49.01,N; Tset = 18.60; Ttrue = 019.2; T1 = 31.00; RH1 = 40.38; T2 = 30.42; RH2 = 50.46
2017.11.21_21:44:15,16.77,17.79,17.03,3.31,2.38,4.04,29.38,3.66,1007.61,34.98,29.53,33.79,10.48,12.37,12.38,30.96,42.75,1015.64,42.64,N; Tset = 18.60; Ttrue = 019.4; T1 = 32.04; RH1 = 38.83; T2 = 31.45; RH2 = 42.82
2017.11.21_21:45:15,14.67,17.26,15.90,2.27,2.55,5.35,29.38,3.66,1007.64,30.05,29.55,36.47,9.06,11.84,12.28,30.95,40.50,1015.68,41.78,N; Tset = 18.60; Ttrue = 019.6; T1 = 32.01; RH1 = 38.65; T2 = 31.44; RH2 = 41.36
2017.11.21_21:46:23,15.45,18.65,16.60,2.70,2.08,4.97,29.38,3.66,1007.62,29.75,29.61,32.06,14.83,11.41,12.14,30.94,39.29,1015.66,41.65,N; Tset = 19.40; Ttrue = 019.7; T1 = 31.98; RH1 = 38.83; T2 = 31.42; RH2 = 40.98
2017.11.21_21:47:31,15.82,17.78,16.88,2.93,2.56,4.56,29.37,3.66,1007.60,31.87,35.51,34.86,11.31,12.99,11.95,30.94,38.54,1015.64,41.74,N; Tset = 20.20; Ttrue = 019.9; T1 = 31.94; RH1 = 39.18; T2 = 31.39; RH2 = 40.93
2017.11.21_21:48:39,13.83,16.08,16.91,3.99,2.42,5.11,29.36,3.67,1007.53,32.62,31.73,36.40,10.81,12.43,11.67,30.94,38.15,1015.63,42.01,N; Tset = 21.00; Ttrue = 020.7; T1 = 31.89; RH1 = 39.73; T2 = 31.36; RH2 = 41.12
2017.11.21_21:49:47,14.25,16.35,16.86,3.08,3.20,4.91,29.36,3.68,1007.55,28.15,33.50,40.69,9.97,11.07,12.27,30.93,38.41,1015.65,43.20,N; Tset = 21.80; Ttrue = 021.2; T1 = 31.83; RH1 = 41.24; T2 = 31.33; RH2 = 42.04
2017.11.21_21:50:55,14.14,15.28,15.79,3.07,2.55,4.90,29.35,3.68,1007.56,28.97,31.62,35.21,10.96,12.14,10.53,30.93,38.99,1015.62,44.36,N; Tset = 22.60; Ttrue = 022.4; T1 = 31.77; RH1 = 42.45; T2 = 31.31; RH2 = 43.24
2017.11.21_21:52:03,13.59,15.06,15.08,2.42,2.25,4.05,29.34,3.68,1007.57,34.16,35.71,35.84,11.99,12.37,11.46,30.92,40.02,1015.62,46.33,N; Tset = 23.40; Ttrue = 023.1; T1 = 31.73; RH1 = 44.74; T2 = 31.29; RH2 = 44.86
2017.11.21_21:53:09,14.89,14.98,17.65,3.52,2.41,4.50,29.34,3.69,1007.55,31.79,36.36,35.26,10.85,11.00,11.80,30.92,41.49,1015.60,48.45,N; Tset = 24.00; Ttrue = 023.8; T1 = 31.67; RH1 = 46.86; T2 = 31.28; RH2 = 47.01
2017.11.21_21:54:17,14.71,15.10,17.04,3.47,2.80,4.57,29.32,3.69,1007.56,32.69,31.69,34.51,11.08,11.14,12.16,30.92,42.63,1015.59,50.05,N; Tset = 24.80; Ttrue = 024.6; T1 = 31.64; RH1 = 48.50; T2 = 31.28; RH2 = 48.55
2017.11.21_21:55:23,13.72,20.20,17.23,3.77,2.23,5.11,29.30,3.70,1007.55,32.36,29.43,36.16,11.33,12.33,12.31,30.91,44.00,1015.58,51.91,N; Tset = 25.40; Ttrue = 025.2; T1 = 31.61; RH1 = 50.41; T2 = 31.28; RH2 = 50.30
2017.11.21_21:56:29,13.62,15.80,16.96,3.84,2.24,4.41,29.30,3.70,1007.54,29.78,30.36,34.67,10.96,14.54,11.42,30.90,45.42,1015.57,53.80,N; Tset = 26.00; Ttrue = 025.8; T1 = 31.60; RH1 = 52.26; T2 = 31.28; RH2 = 52.09
2017.11.21_21:57:37,14.81,17.56,18.08,3.15,3.50,4.48,29.28,3.70,1007.49,29.08,36.08,38.56,10.79,12.88,14.44,30.90,46.83,1015.55,55.64,N; Tset = 26.80; Ttrue = 026.5; T1 = 31.58; RH1 = 54.09; T2 = 31.28; RH2 = 53.87
2017.11.21_21:58:43,13.55,16.81,17.62,2.67,2.46,4.63,29.28,3.72,1007.50,33.59,34.13,35.77,11.56,12.31,12.25,30.89,48.36,1015.55,57.63,N; Tset = 27.40; Ttrue = 027.2; T1 = 31.58; RH1 = 56.02; T2 = 31.28; RH2 = 55.75
