2017.11.24_03:09:33,8.60,9.78,11.41,2.08,1.84,3.38,21.17,3.70,977.61,13.69,16.12,21.36,8.18,9.29,9.45,22.63,61.15,984.69,71.51,N; Tset = 10.00; Ttrue = 016.1; T1 = 23.34; RH1 = 62.42; T2 = 22.97; RH2 = 71.46
2017.11.24_03:10:33,8.51,10.63,11.40,2.16,2.02,3.61,21.90,3.83,1011.24,10.27,12.22,18.01,11.72,8.35,8.78,23.39,51.45,1018.57,54.40,N; Tset = 10.00; Ttrue = 016.3; T1 = 24.11; RH1 = 50.24; T2 = 23.73; RH2 = 55.22
2017.11.24_03:11:41,9.32,10.46,11.74,2.52,1.95,3.87,21.90,3.83,1011.22,10.59,14.33,19.00,7.05,8.51,8.51,23.39,48.31,1018.60,51.51,N; Tset = 10.80; Ttrue = 016.5; T1 = 24.08; RH1 = 48.82; T2 = 23.72; RH2 = 51.11
2017.11.24_03:12:53,8.93,11.22,12.52,2.56,1.74,3.37,21.91,3.83,1011.18,12.55,14.97,18.58,6.99,8.47,8.40,23.39,46.93,1018.53,50.96,N; Tset = 12.00; Ttrue = 016.6; T1 = 24.06; RH1 = 48.73; T2 = 23.71; RH2 = 50.24
2017.11.24_03:14:03,8.74,11.01,11.95,2.39,2.14,3.57,21.89,3.81,1011.17,10.67,13.90,20.29,6.86,8.05,8.15,23.39,46.26,1018.53,50.96,N; Tset = 13.00; Ttrue = 016.6; T1 = 24.03; RH1 = 49.00; T2 = 23.69; RH2 = 50.10
2017.11.24_03:15:13,8.76,10.95,12.15,2.31,2.34,3.76,21.89,3.80,1011.23,10.95,13.33,18.40,7.34,8.06,8.04,23.39,45.67,1018.57,50.64,N; Tset = 14.00; Ttrue = 015.5; T1 = 23.99; RH1 = 48.70; T2 = 23.67; RH2 = 49.93
2017.11.24_03:16:23,9.74,10.77,12.80,2.87,1.52,4.18,21.89,3.80,1011.29,10.30,13.80,18.20,6.86,7.74,8.19,23.39,43.95,1018.61,48.43,N; Tset = 15.00; Ttrue = 014.8; T1 = 23.95; RH1 = 46.47; T2 = 23.66; RH2 = 48.03
2017.11.24_03:17:33,9.13,10.61,12.45,2.51,1.86,3.97,21.89,3.80,1011.23,10.56,14.11,18.49,7.00,7.90,7.80,23.39,42.29,1018.57,46.47,N; Tset = 16.00; Ttrue = 015.4; T1 = 23.91; RH1 = 44.78; T2 = 23.65; RH2 = 46.04
2017.11.24_03:18:43,9.25,10.81,12.90,2.50,1.80,4.28,21.89,3.80,1011.18,12.14,14.59,19.32,6.99,8.90,8.15,23.38,41.85,1018.51,46.67,N; Tset = 17.00; Ttrue = 016.9; T1 = 23.87; RH1 = 45.50; T2 = 23.65; RH2 = 45.71
2017.11.24_03:19:53,8.65,10.91,12.48,2.63,2.02,4.60,21.89,3.80,1011.20,11.03,14.39,20.35,7.68,8.81,8.55,23.37,43.32,1018.52,49.52,N; Tset = 18.00; Ttrue = 017.7; T1 = 23.84; RH1 = 48.68; T2 = 23.65; RH2 = 48.17
2017.11.24_03:21:01,9.48,11.76,12.46,2.48,1.75,4.05,21.87,3.80,1011.19,11.21,13.20,19.16,7.14,8.26,8.97,23.37,44.96,1018.51,52.11,N; Tset = 18.80; Ttrue = 018.6; T1 = 23.82; RH1 = 51.29; T2 = 23.65; RH2 = 50.66
2017.11.24_03:22:11,9.22,10.90,12.18,2.77,1.91,3.51,21.87,3.80,1011.16,11.32,13.93,20.11,6.74,8.09,8.46,23.37,46.63,1018.48,54.60,N; Tset = 19.80; Ttrue = 019.5; T1 = 23.80; RH1 = 53.87; T2 = 23.65; RH2 = 53.04
2017.11.24_03:23:19,9.11,11.05,12.10,2.82,1.63,3.33,21.87,3.80,1011.18,10.84,14.45,21.40,7.60,8.21,8.61,23.37,48.43,1018.49,57.17,N; Tset = 20.60; Ttrue = 020.3; T1 = 23.79; RH1 = 56.46; T2 = 23.65; RH2 = 55.50
2017.11.24_03:24:27,8.32,10.70,12.44,2.30,1.20,3.38,21.86,3.80,1011.20,11.34,15.50,19.61,7.08,7.62,8.51,23.37,50.31,1018.54,59.73,N; Tset = 21.40; Ttrue = 021.2; T1 = 23.79; RH1 = 59.02; T2 = 23.65; RH2 = 57.96
2017.11.24_03:25:35,8.93,10.48,12.11,2.59,1.46,3.49,21.84,3.80,1011.20,12.24,15.47,20.70,7.14,8.77,8.41,23.37,52.34,1018.53,62.45,N; Tset = 22.20; Ttrue = 022.0; T1 = 23.79; RH1 = 61.74; T2 = 23.65; RH2 = 60.56
2017.11.24_03:26:43,8.77,10.81,12.68,2.68,1.83,3.81,21.84,3.80,1011.15,12.47,15.71,21.38,6.95,8.60,8.32,23.37,54.46,1018.47,65.33,N; Tset = 23.00; Ttrue = 022.9; T1 = 23.80; RH1 = 64.53; T2 = 23.65; RH2 = 63.29
2017.11.24_03:27:51,8.58,10.64,12.23,2.55,1.29,4.05,21.84,3.80,1011.15,11.30,16.42,21.39,7.58,8.35,8.80,23.35,56.71,1018.49,68.31,N; Tset = 23.80; Ttrue = 023.6; T1 = 23.82; RH1 = 67.35; T2 = 23.65; RH2 = 66.12
2017.11.24_03:28:59,8.47,10.74,12.15,2.33,1.78,3.73,21.82,3.80,1011.15,12.24,16.78,21.94,7.43,8.68,9.12,23.35,58.96,1018.48,71.17,N; Tset = 24.60; Ttrue = 024.3; T1 = 23.84; RH1 = 70.06; T2 = 23.66; RH2 = 68.93
2017.11.24_03:30:07,8.66,10.98,13.04,6.04,1.72,3.96,21.82,3.80,1011.19,12.46,17.72,23.33,8.00,8.75,9.38,23.35,61.19,1018.52,74.01,N; Tset = 25.40; Ttrue = 025.1; T1 = 23.87; RH1 = 72.72; T2 = 23.66; RH2 = 71.66
2017.11.24_03:31:13,9.83,10.67,13.15,2.15,1.84,3.95,21.82,3.80,1011.18,13.72,18.78,23.67,7.84,9.16,9.94,23.35,63.48,1018.49,76.99,N; Tset = 26.00; Ttrue = 025.8; T1 = 23.91; RH1 = 75.48; T2 = 23.66; RH2 = 74.51
2017.11.24_03:32:21,8.87,11.44,13.04,2.86,1.24,3.43,21.81,3.81,1011.10,15.66,19.77,24.69,7.42,9.66,9.41,23.35,65.88,1018.42,80.08,N; Tset = 26.80; Ttrue = 026.6; T1 = 23.96; RH1 = 78.33; T2 = 23.66; RH2 = 77.49
2017.11.24_03:33:29,8.39,11.63,12.99,2.78,1.93,3.87,21.80,3.83,1011.15,16.13,21.49,28.76,8.13,9.95,10.61,23.35,68.29,1018.46,83.24,N; Tset = 27.60; Ttrue = 027.3; T1 = 24.00; RH1 = 81.19; T2 = 23.66; RH2 = 80.52
2017.11.24_03:34:35,8.59,11.04,13.16,2.93,3.02,3.86,21.80,3.83,1011.12,18.66,24.44,32.17,10.48,11.61,12.40,23.35,70.72,1018.43,86.39,N; Tset = 28.20; Ttrue = 028.0; T1 = 24.05; RH1 = 84.02; T2 = 23.67; RH2 = 83.52
2017.11.24_03:35:41,8.71,11.15,13.60,2.82,1.96,3.68,21.78,3.83,1011.13,21.47,25.60,33.72,12.75,13.56,14.16,23.35,73.14,1018.45,89.48,N; Tset = 28.80; Ttrue = 028.6; T1 = 24.10; RH1 = 86.74; T2 = 23.67; RH2 = 86.49
