2017.11.21_01:46:04,231.68,329.86,415.94,42.32,46.56,53.84,25.10,6.14,974.23,359.30,471.71,568.06,56.70,60.85,70.89,25.74,57.00,981.50,61.79,N; Tset = 12.40; Ttrue = 012.8; T1 = 27.03; RH1 = 49.65; T2 = 26.00; RH2 = 64.74
2017.11.21_01:47:04,240.50,341.51,433.60,43.50,48.48,56.93,25.97,6.34,1007.80,317.72,430.24,521.69,55.48,60.39,67.89,26.61,43.50,1015.33,41.31,N; Tset = 12.40; Ttrue = 013.2; T1 = 27.89; RH1 = 35.96; T2 = 26.86; RH2 = 43.23
2017.11.21_01:48:04,239.90,343.14,434.01,44.86,48.16,56.83,25.97,6.34,1007.81,330.56,432.51,528.37,55.29,58.48,67.25,26.60,39.96,1015.33,39.12,N; Tset = 12.40; Ttrue = 013.4; T1 = 27.85; RH1 = 35.43; T2 = 26.85; RH2 = 39.56
2017.11.21_01:49:06,237.76,342.04,430.49,43.86,47.98,55.22,25.95,6.34,1007.81,325.83,432.56,524.64,53.72,57.99,66.84,26.59,38.22,1015.32,38.67,N; Tset = 12.60; Ttrue = 013.6; T1 = 27.81; RH1 = 35.45; T2 = 26.85; RH2 = 38.68
2017.11.21_01:50:12,237.21,340.41,432.14,44.58,47.72,55.89,25.95,6.34,1007.80,327.83,431.20,529.27,53.77,58.17,66.73,26.59,37.13,1015.31,38.60,N; Tset = 13.20; Ttrue = 013.7; T1 = 27.76; RH1 = 35.71; T2 = 26.85; RH2 = 38.37
2017.11.21_01:51:18,236.73,338.40,430.31,44.35,48.48,56.04,25.95,6.34,1007.79,325.17,431.60,525.85,54.12,60.58,67.18,26.59,36.42,1015.29,38.68,N; Tset = 13.80; Ttrue = 013.8; T1 = 27.69; RH1 = 36.08; T2 = 26.85; RH2 = 38.28
2017.11.21_01:52:26,237.40,336.01,428.14,44.47,47.64,55.23,25.94,6.34,1007.80,328.95,425.72,518.91,53.78,58.92,67.26,26.59,35.86,1015.30,38.65,N; Tset = 14.60; Ttrue = 014.0; T1 = 27.62; RH1 = 36.24; T2 = 26.86; RH2 = 38.21
2017.11.21_01:53:32,237.10,335.71,429.60,43.64,47.18,56.05,25.93,6.36,1007.82,325.55,427.11,519.11,52.32,58.68,68.79,26.59,35.25,1015.31,38.50,N; Tset = 15.20; Ttrue = 015.2; T1 = 27.56; RH1 = 36.41; T2 = 26.85; RH2 = 37.85
2017.11.21_01:54:38,233.80,338.74,425.52,42.84,46.38,55.88,25.93,6.36,1007.85,330.46,430.81,519.58,53.60,59.08,67.89,26.57,35.94,1015.33,40.26,N; Tset = 15.80; Ttrue = 015.6; T1 = 27.49; RH1 = 38.47; T2 = 26.85; RH2 = 39.25
2017.11.21_01:55:44,237.91,337.58,423.33,43.84,47.68,54.93,25.92,6.36,1007.84,329.44,437.59,522.81,52.58,58.61,66.52,26.57,36.65,1015.33,41.61,N; Tset = 16.40; Ttrue = 016.1; T1 = 27.44; RH1 = 39.83; T2 = 26.85; RH2 = 40.62
2017.11.21_01:56:50,238.17,337.12,423.21,43.20,47.19,54.73,25.91,6.37,1007.82,330.63,437.31,531.26,54.35,58.73,67.61,26.57,37.22,1015.31,42.64,N; Tset = 17.00; Ttrue = 016.8; T1 = 27.38; RH1 = 41.03; T2 = 26.83; RH2 = 41.60
2017.11.21_01:57:56,234.52,334.81,424.68,42.03,46.92,55.54,25.91,6.38,1007.83,335.59,439.27,538.85,53.36,58.50,67.50,26.57,38.03,1015.31,43.99,N; Tset = 17.60; Ttrue = 017.3; T1 = 27.33; RH1 = 42.54; T2 = 26.83; RH2 = 42.86
