2017.11.06_04:54:50,506.15,702.16,878.32,79.16,84.65,99.26,22.23,12.21,969.85,531.52,698.97,844.18,74.71,85.12,98.65,23.17,14.26,976.79,17.00,P; Tset = 15.60; Ttrue = NaN; T1 = 21.02; RH1 = 18.83; T2 = 22.91; RH2 = 16.66
2017.11.06_04:55:50,524.44,726.58,914.35,82.50,87.80,101.68,22.97,12.64,1003.32,555.86,726.44,875.02,79.11,91.86,103.27,23.95,14.77,1010.50,17.04,P; Tset = 15.60; Ttrue = NaN; T1 = 21.72; RH1 = 19.56; T2 = 23.67; RH2 = 17.27
2017.11.06_04:56:50,527.26,724.95,911.98,81.01,87.91,102.42,22.93,12.64,1003.32,555.64,725.06,869.87,78.70,89.98,104.97,23.93,14.79,1010.51,17.05,P; Tset = 15.60; Ttrue = NaN; T1 = 21.70; RH1 = 19.58; T2 = 23.64; RH2 = 17.29
2017.11.06_04:57:50,529.88,731.58,909.82,84.20,90.01,103.75,22.91,12.66,1003.30,549.94,728.94,874.48,77.73,88.82,105.53,23.91,14.77,1010.49,17.05,P; Tset = 15.60; Ttrue = NaN; T1 = 21.68; RH1 = 19.58; T2 = 23.60; RH2 = 17.29
2017.11.06_04:58:50,518.00,724.79,911.89,79.78,89.41,103.84,22.90,12.66,1003.31,553.73,727.06,880.50,78.11,89.08,103.21,23.89,14.77,1010.48,17.05,P; Tset = 15.80; Ttrue = NaN; T1 = 21.66; RH1 = 19.58; T2 = 23.58; RH2 = 17.31
2017.11.06_04:59:50,522.88,723.41,911.42,81.25,88.12,101.70,22.88,12.66,1003.30,552.85,730.04,875.82,77.70,87.62,102.41,23.86,14.77,1010.49,17.07,P; Tset = 16.40; Ttrue = NaN; T1 = 21.64; RH1 = 19.59; T2 = 23.56; RH2 = 17.30
2017.11.06_05:00:50,523.80,736.07,916.09,79.90,92.20,102.32,22.86,12.68,1003.30,555.30,726.41,869.18,78.34,89.30,102.76,23.83,14.77,1010.49,17.08,P; Tset = 17.00; Ttrue = NaN; T1 = 21.62; RH1 = 19.60; T2 = 23.54; RH2 = 17.31
2017.11.06_05:01:50,524.80,724.60,911.70,80.22,86.94,101.45,22.86,12.67,1003.31,555.89,732.39,873.46,77.03,88.36,103.48,23.81,14.75,1010.49,17.06,P; Tset = 17.60; Ttrue = NaN; T1 = 21.60; RH1 = 19.58; T2 = 23.52; RH2 = 17.29
2017.11.06_05:02:50,523.60,725.84,910.75,80.23,87.78,101.45,22.84,12.66,1003.31,548.46,730.28,871.27,77.81,87.63,100.91,23.80,14.75,1010.48,17.05,P; Tset = 18.20; Ttrue = NaN; T1 = 21.58; RH1 = 19.58; T2 = 23.51; RH2 = 17.29
2017.11.06_05:03:50,521.90,723.28,904.90,79.16,87.94,101.96,22.83,12.69,1003.32,551.01,722.09,865.36,77.50,89.84,102.01,23.78,14.76,1010.49,17.08,P; Tset = 18.60; Ttrue = NaN; T1 = 21.55; RH1 = 19.63; T2 = 23.50; RH2 = 17.30
2017.11.06_05:04:50,532.59,724.49,908.93,80.27,85.86,102.41,22.82,12.73,1003.31,557.11,726.93,867.35,78.33,89.25,102.66,23.76,14.78,1010.47,17.14,P; Tset = 19.20; Ttrue = NaN; T1 = 21.53; RH1 = 19.69; T2 = 23.48; RH2 = 17.35
