2017.11.06_22:07:48,674.97,909.16,1117.41,102.52,110.55,127.66,22.91,13.30,968.34,1202.02,1455.39,1668.60,136.03,147.22,171.48,24.10,74.18,975.44,83.86,P; Tset = 14.80; Ttrue = NaN; T1 = 22.91; RH1 = 85.64; T2 = 23.93; RH2 = 83.46
2017.11.06_22:08:48,694.10,949.72,1156.74,103.33,116.63,133.59,23.72,13.53,1001.74,933.33,1166.30,1357.66,111.19,127.04,146.09,24.95,68.71,1009.05,70.50,P; Tset = 14.80; Ttrue = NaN; T1 = 23.67; RH1 = 73.47; T2 = 24.74; RH2 = 73.83
2017.11.06_22:09:48,693.25,942.70,1157.31,106.59,117.83,132.15,23.72,13.39,1001.70,849.35,1066.81,1255.84,106.34,118.60,137.97,24.95,60.66,1009.01,59.62,P; Tset = 14.80; Ttrue = NaN; T1 = 23.64; RH1 = 62.80; T2 = 24.74; RH2 = 61.94
2017.11.06_22:10:48,696.69,941.51,1157.76,104.82,113.82,132.12,23.71,13.31,1001.69,814.49,1030.25,1211.78,104.81,115.50,135.83,24.95,55.13,1008.96,53.02,P; Tset = 14.80; Ttrue = NaN; T1 = 23.57; RH1 = 56.34; T2 = 24.72; RH2 = 54.89
2017.11.06_22:11:48,696.38,945.42,1161.00,106.11,115.21,131.60,23.69,13.29,1001.67,793.23,995.64,1188.73,101.91,115.83,135.23,24.94,50.63,1008.91,47.63,P; Tset = 15.00; Ttrue = NaN; T1 = 23.48; RH1 = 50.54; T2 = 24.71; RH2 = 49.59
2017.11.06_22:12:48,696.13,937.01,1151.61,102.13,114.66,132.15,23.67,13.29,1001.67,788.66,992.27,1161.66,102.40,116.35,136.32,24.92,46.95,1008.90,43.51,P; Tset = 15.60; Ttrue = NaN; T1 = 23.40; RH1 = 46.26; T2 = 24.68; RH2 = 45.42
2017.11.06_22:13:48,690.22,938.16,1152.81,102.80,117.12,131.95,23.64,13.30,1001.69,776.05,993.75,1153.75,103.57,115.89,132.71,24.90,44.03,1008.90,40.51,P; Tset = 16.20; Ttrue = NaN; T1 = 23.33; RH1 = 43.28; T2 = 24.62; RH2 = 42.32
2017.11.06_22:14:48,695.76,942.98,1149.48,102.92,113.27,132.40,23.60,13.35,1001.67,772.02,980.43,1141.87,104.03,114.31,132.97,24.87,41.62,1008.87,38.21,P; Tset = 16.80; Ttrue = NaN; T1 = 23.28; RH1 = 40.93; T2 = 24.56; RH2 = 39.94
2017.11.06_22:15:48,697.56,933.45,1158.86,104.37,115.82,130.18,23.55,13.41,1001.66,760.15,965.76,1140.85,103.01,114.20,132.78,24.84,39.54,1008.84,36.29,P; Tset = 17.40; Ttrue = NaN; T1 = 23.22; RH1 = 38.99; T2 = 24.51; RH2 = 37.95
2017.11.06_22:16:48,699.29,937.92,1153.12,104.27,113.01,130.58,23.48,13.48,1001.65,756.85,966.41,1131.40,102.84,116.53,132.00,24.81,37.87,1008.80,34.86,P; Tset = 17.80; Ttrue = NaN; T1 = 23.17; RH1 = 37.53; T2 = 24.46; RH2 = 36.45
2017.11.06_22:17:48,698.93,944.59,1145.77,106.57,113.25,131.76,23.43,13.59,1001.64,756.23,964.61,1125.74,102.32,114.42,130.97,24.78,36.31,1008.78,33.50,P; Tset = 18.40; Ttrue = NaN; T1 = 23.12; RH1 = 36.11; T2 = 24.41; RH2 = 35.04
