2017.11.21_21:11:49,14.71,17.24,17.95,3.54,2.95,5.39,28.62,3.51,973.74,29.64,33.33,35.19,10.68,13.59,15.49,30.07,33.95,981.58,45.63,N; Tset = 18.00; Ttrue = 0017.9; T1 = 32.08; RH1 = 39.01; T2 = 31.74; RH2 = 40.22
2017.11.21_21:12:49,15.12,19.16,18.03,2.79,4.10,5.42,29.60,3.63,1007.35,37.35,33.89,37.17,13.25,16.25,14.64,31.10,34.09,1015.41,44.40,N; Tset = 18.00; Ttrue = 0017.9; T1 = 33.12; RH1 = 39.46; T2 = 32.83; RH2 = 40.46
2017.11.21_21:13:49,17.02,16.73,17.12,2.49,2.41,6.25,29.60,3.62,1007.33,39.67,34.74,34.15,11.30,13.78,14.60,31.09,33.50,1015.43,43.97,N; Tset = 18.00; Ttrue = 0018.1; T1 = 33.04; RH1 = 39.35; T2 = 32.83; RH2 = 39.88
2017.11.21_21:14:57,17.40,20.28,16.60,3.11,3.50,5.04,29.58,3.61,1007.38,38.22,35.31,36.51,11.78,13.79,14.30,31.08,33.34,1015.48,44.12,N; Tset = 18.80; Ttrue = 0018.3; T1 = 32.98; RH1 = 39.69; T2 = 32.83; RH2 = 39.94
2017.11.21_21:16:05,13.77,16.31,16.71,2.86,3.21,4.52,29.58,3.61,1007.40,35.08,34.52,36.41,13.77,14.75,13.93,31.08,33.26,1015.48,44.43,N; Tset = 19.60; Ttrue = 0019.4; T1 = 32.92; RH1 = 40.23; T2 = 32.83; RH2 = 40.08
2017.11.21_21:17:15,18.12,17.10,17.93,3.04,3.93,4.90,29.56,3.60,1007.45,33.49,34.42,36.47,12.23,13.32,13.51,31.07,34.16,1015.55,46.32,N; Tset = 20.60; Ttrue = 0020.3; T1 = 32.85; RH1 = 42.32; T2 = 32.83; RH2 = 41.50
2017.11.21_21:18:23,16.18,16.08,18.57,4.57,3.15,5.17,29.56,3.60,1007.44,36.19,33.06,35.50,11.81,13.79,15.46,31.06,35.43,1015.55,48.36,N; Tset = 21.40; Ttrue = 0021.0; T1 = 32.79; RH1 = 44.28; T2 = 32.83; RH2 = 43.35
2017.11.21_21:19:31,14.89,15.86,18.58,3.36,2.77,5.27,29.55,3.60,1007.48,37.31,34.58,36.79,14.20,12.77,14.47,31.06,36.54,1015.60,50.06,N; Tset = 22.20; Ttrue = 0021.9; T1 = 32.75; RH1 = 45.97; T2 = 32.82; RH2 = 44.86
2017.11.21_21:20:37,15.95,17.19,19.47,2.55,2.94,4.87,29.54,3.59,1007.46,32.79,30.10,33.54,10.98,13.54,13.58,31.05,37.87,1015.58,52.07,N; Tset = 22.80; Ttrue = 0022.6; T1 = 32.72; RH1 = 47.94; T2 = 32.82; RH2 = 46.59
2017.11.21_21:21:45,14.30,18.04,17.89,3.87,2.44,5.68,29.53,3.60,1007.46,31.85,34.26,37.54,12.28,13.75,15.52,31.04,39.25,1015.59,54.02,N; Tset = 23.60; Ttrue = 0023.3; T1 = 32.69; RH1 = 49.74; T2 = 32.83; RH2 = 48.33
2017.11.21_21:22:53,17.94,17.01,15.87,4.39,3.48,5.18,29.52,3.60,1007.53,33.73,32.21,38.63,11.52,12.23,13.05,31.04,40.60,1015.62,55.89,N; Tset = 24.40; Ttrue = 0024.1; T1 = 32.68; RH1 = 51.52; T2 = 32.83; RH2 = 49.97
2017.11.21_21:23:59,16.93,17.15,21.02,3.29,3.15,4.74,29.52,3.60,1007.54,36.84,34.08,36.19,11.72,13.37,13.67,31.04,42.09,1015.62,57.94,N; Tset = 25.00; Ttrue = 0024.8; T1 = 32.67; RH1 = 53.46; T2 = 32.83; RH2 = 51.78
2017.11.21_21:25:05,17.20,16.95,18.35,3.23,3.02,5.83,29.50,3.59,1007.56,35.06,31.65,34.21,11.81,12.73,13.34,31.03,43.58,1015.62,59.99,N; Tset = 25.60; Ttrue = 0025.4; T1 = 32.66; RH1 = 55.28; T2 = 32.83; RH2 = 53.60
2017.11.21_21:26:13,16.81,18.34,17.47,3.98,4.48,5.70,29.49,3.60,1007.55,35.35,33.80,35.18,11.11,14.86,13.82,31.02,45.01,1015.64,61.91,N; Tset = 26.40; Ttrue = 0026.1; T1 = 32.67; RH1 = 56.99; T2 = 32.83; RH2 = 55.32
2017.11.21_21:27:19,16.52,18.68,18.67,2.86,3.43,5.38,29.48,3.60,1007.56,31.71,32.98,35.78,12.08,14.09,13.01,31.02,46.52,1015.66,63.94,N; Tset = 27.00; Ttrue = 0026.8; T1 = 32.68; RH1 = 58.81; T2 = 32.83; RH2 = 57.13
2017.11.21_21:28:25,14.80,17.56,18.66,2.96,3.07,5.15,29.48,3.60,1007.56,30.46,33.82,36.01,11.91,14.22,13.17,31.02,48.11,1015.63,66.08,N; Tset = 27.60; Ttrue = 0027.5; T1 = 32.70; RH1 = 60.70; T2 = 32.83; RH2 = 59.04
2017.11.21_21:29:31,15.43,17.35,16.87,2.69,3.12,5.07,29.47,3.61,1007.59,29.53,36.37,34.87,12.09,13.24,15.90,31.02,49.72,1015.65,68.19,N; Tset = 28.20; Ttrue = 0028.0; T1 = 32.73; RH1 = 62.52; T2 = 32.83; RH2 = 60.95
2017.11.21_21:30:37,14.55,15.85,17.61,2.98,2.98,4.79,29.46,3.62,1007.62,30.92,35.79,35.89,12.69,14.09,15.89,31.00,51.28,1015.67,70.30,N; Tset = 28.80; Ttrue = 0028.6; T1 = 32.77; RH1 = 64.22; T2 = 32.83; RH2 = 62.79
2017.11.21_21:31:43,15.61,16.50,17.10,3.47,3.89,5.48,29.44,3.61,1007.62,36.50,34.05,34.07,13.08,13.51,13.92,31.00,52.86,1015.69,72.36,N; Tset = 29.40; Ttrue = 0029.2; T1 = 32.81; RH1 = 65.95; T2 = 32.82; RH2 = 64.64
2017.11.21_21:32:49,15.17,17.44,17.50,3.14,3.33,5.08,29.44,3.61,1007.59,35.39,33.08,33.63,12.68,13.37,14.64,31.00,54.48,1015.63,74.49,N; Tset = 30.00; Ttrue = 0029.8; T1 = 32.85; RH1 = 67.71; T2 = 32.83; RH2 = 66.54
