2017.11.10_00:23:24,36.29,36.96,40.29,9.96,8.05,7.99,22.93,7.52,968.22,47.23,47.63,43.69,9.72,10.22,9.92,23.71,9.83,975.27,11.53,P; Tset = 14.60; Ttrue = NaN; T1 = 21.80; RH1 = 12.43; T2 = 23.66; RH2 = 11.28
2017.11.10_00:24:24,39.38,43.32,37.95,8.08,8.36,9.98,23.72,7.71,1001.60,46.57,40.87,41.29,9.80,10.32,10.59,24.53,10.12,1008.91,11.49,P; Tset = 14.60; Ttrue = NaN; T1 = 22.54; RH1 = 12.88; T2 = 24.46; RH2 = 11.61
2017.11.10_00:25:24,37.43,40.05,38.08,9.91,8.55,9.44,23.71,7.64,1001.56,49.69,43.94,44.92,8.44,11.10,11.64,24.52,10.06,1008.89,11.44,P; Tset = 14.60; Ttrue = NaN; T1 = 22.53; RH1 = 12.82; T2 = 24.45; RH2 = 11.57
2017.11.10_00:26:24,42.79,35.84,39.18,10.59,6.29,8.76,23.70,7.61,1001.60,43.67,38.96,39.80,9.00,9.24,10.84,24.51,10.01,1008.92,11.40,P; Tset = 14.60; Ttrue = NaN; T1 = 22.53; RH1 = 12.78; T2 = 24.44; RH2 = 11.51
2017.11.10_00:27:24,36.48,35.61,40.16,10.52,7.32,9.04,23.70,7.57,1001.55,40.13,43.20,41.19,10.52,10.52,13.83,24.51,9.95,1008.88,11.35,P; Tset = 14.80; Ttrue = NaN; T1 = 22.52; RH1 = 12.73; T2 = 24.44; RH2 = 11.46
2017.11.10_00:28:24,35.91,36.35,43.72,8.56,9.63,9.20,23.70,7.50,1001.53,37.90,33.34,32.41,8.90,9.50,13.42,24.51,9.88,1008.90,11.28,P; Tset = 15.40; Ttrue = NaN; T1 = 22.51; RH1 = 12.63; T2 = 24.43; RH2 = 11.40
2017.11.10_00:29:24,38.97,30.45,39.25,10.76,9.10,8.95,23.70,7.44,1001.63,42.35,36.13,37.68,7.97,8.75,11.97,24.50,9.81,1008.93,11.20,P; Tset = 15.80; Ttrue = NaN; T1 = 22.51; RH1 = 12.55; T2 = 24.43; RH2 = 11.32
2017.11.10_00:30:24,33.55,34.45,35.79,8.84,6.32,8.08,23.70,7.38,1001.66,42.70,34.89,34.39,8.16,10.17,9.55,24.49,9.75,1008.98,11.15,P; Tset = 16.40; Ttrue = NaN; T1 = 22.50; RH1 = 12.49; T2 = 24.42; RH2 = 11.26
2017.11.10_00:31:24,34.85,37.83,35.55,8.16,8.98,8.22,23.70,7.32,1001.63,36.25,34.52,33.30,10.17,10.60,11.50,24.49,9.67,1008.93,11.07,P; Tset = 17.00; Ttrue = NaN; T1 = 22.50; RH1 = 12.41; T2 = 24.42; RH2 = 11.17
2017.11.10_00:32:24,37.07,36.81,31.66,8.98,8.67,9.76,23.68,7.27,1001.59,37.47,39.37,40.25,9.77,10.46,11.63,24.47,9.61,1008.94,11.02,P; Tset = 17.40; Ttrue = NaN; T1 = 22.48; RH1 = 12.35; T2 = 24.41; RH2 = 11.12
2017.11.10_00:33:24,43.12,41.43,40.51,8.32,6.78,7.10,23.68,7.21,1001.67,46.62,40.10,34.21,11.25,9.70,11.30,24.47,9.55,1008.99,10.95,P; Tset = 18.00; Ttrue = NaN; T1 = 22.48; RH1 = 12.26; T2 = 24.40; RH2 = 11.07
