2017.11.24_00:31:13,11.03,13.54,15.57,2.68,2.20,4.19,21.27,4.04,977.27,17.44,20.69,28.86,8.52,10.53,11.61,22.71,61.13,984.37,71.56,N; Tset = 10.00; Ttrue = 016.2; T1 = 23.30; RH1 = 62.88; T2 = 23.08; RH2 = 71.47
2017.11.24_00:32:13,11.55,13.54,16.49,3.10,2.09,4.29,22.01,4.17,1010.89,14.48,18.68,21.58,8.25,9.40,9.47,23.49,51.37,1018.26,54.26,N; Tset = 10.00; Ttrue = 016.4; T1 = 24.08; RH1 = 50.42; T2 = 23.86; RH2 = 55.08
2017.11.24_00:33:21,11.44,14.27,16.08,3.24,1.94,4.37,22.01,4.17,1010.91,13.95,17.40,23.99,8.13,9.64,9.13,23.48,48.21,1018.25,51.39,N; Tset = 10.80; Ttrue = 016.6; T1 = 24.06; RH1 = 48.98; T2 = 23.84; RH2 = 50.95
2017.11.24_00:34:33,10.67,15.00,16.13,3.18,2.50,4.38,21.99,4.17,1010.89,14.84,18.74,24.64,7.38,9.12,10.18,23.47,46.81,1018.25,50.83,N; Tset = 12.00; Ttrue = 016.7; T1 = 24.04; RH1 = 48.84; T2 = 23.82; RH2 = 50.06
2017.11.24_00:35:43,11.25,14.02,16.25,3.05,2.43,4.64,21.99,4.16,1010.81,13.44,17.42,23.68,8.19,8.74,9.21,23.47,46.14,1018.19,50.84,N; Tset = 13.00; Ttrue = 016.6; T1 = 24.01; RH1 = 49.12; T2 = 23.80; RH2 = 49.93
2017.11.24_00:36:53,10.43,13.18,15.80,3.21,2.30,4.66,21.99,4.15,1010.83,14.64,17.41,22.32,7.81,9.10,9.32,23.47,45.50,1018.20,50.41,N; Tset = 14.00; Ttrue = 015.5; T1 = 23.97; RH1 = 48.70; T2 = 23.78; RH2 = 49.70
2017.11.24_00:38:03,10.97,13.70,15.72,3.01,2.07,4.65,21.99,4.17,1010.86,14.56,16.29,21.92,8.05,9.24,9.50,23.47,43.76,1018.23,48.20,N; Tset = 15.00; Ttrue = 014.7; T1 = 23.93; RH1 = 46.46; T2 = 23.76; RH2 = 47.77
2017.11.24_00:39:13,11.39,13.60,16.36,2.89,2.58,4.27,21.99,4.15,1010.87,13.57,16.23,21.65,7.89,9.75,9.91,23.45,42.10,1018.21,46.23,N; Tset = 16.00; Ttrue = 015.5; T1 = 23.89; RH1 = 44.72; T2 = 23.75; RH2 = 45.74
2017.11.24_00:40:23,11.81,14.48,15.69,2.99,3.93,4.50,21.98,4.15,1010.77,14.22,16.77,23.43,7.71,8.75,9.37,23.45,41.70,1018.14,46.45,N; Tset = 17.00; Ttrue = 016.9; T1 = 23.85; RH1 = 45.52; T2 = 23.74; RH2 = 45.48
2017.11.24_00:41:33,11.38,13.64,15.93,3.37,2.91,4.32,21.96,4.15,1010.86,13.53,17.11,20.35,7.69,9.27,8.48,23.45,43.20,1018.24,49.34,N; Tset = 18.00; Ttrue = 017.7; T1 = 23.83; RH1 = 48.73; T2 = 23.74; RH2 = 48.00
2017.11.24_00:42:41,10.54,14.01,16.88,2.91,2.60,4.69,21.97,4.15,1010.87,13.29,16.73,22.50,7.91,9.08,8.78,23.44,44.82,1018.20,51.92,N; Tset = 18.80; Ttrue = 018.6; T1 = 23.81; RH1 = 51.29; T2 = 23.73; RH2 = 50.47
2017.11.24_00:43:51,10.78,13.58,16.83,2.91,2.26,4.45,21.97,4.15,1010.91,13.35,16.82,23.18,7.46,8.66,9.32,23.43,46.46,1018.25,54.40,N; Tset = 19.80; Ttrue = 019.5; T1 = 23.80; RH1 = 53.85; T2 = 23.73; RH2 = 52.81
2017.11.24_00:44:59,10.26,14.66,16.28,2.99,2.29,4.48,21.96,4.15,1010.91,14.48,16.81,21.24,7.21,8.69,9.24,23.43,48.29,1018.26,57.00,N; Tset = 20.60; Ttrue = 020.3; T1 = 23.79; RH1 = 56.48; T2 = 23.73; RH2 = 55.29
