2017.11.23_04:40:45,7.88,9.96,9.74,2.07,2.20,3.67,21.18,3.06,975.68,11.21,14.78,18.47,8.53,9.57,9.66,22.44,60.55,982.76,71.07,N; Tset = 10.00; Ttrue = 015.9; T1 = 23.52; RH1 = 60.57; T2 = 22.87; RH2 = 70.66
2017.11.23_04:41:45,7.73,9.20,10.91,2.79,2.13,3.79,21.92,3.17,1009.32,11.24,14.74,16.53,7.60,8.83,8.63,23.21,50.99,1016.66,54.03,N; Tset = 10.00; Ttrue = 016.1; T1 = 24.32; RH1 = 48.71; T2 = 23.64; RH2 = 54.55
2017.11.23_04:42:53,8.30,9.53,11.28,2.37,1.65,3.90,21.92,3.17,1009.34,10.52,11.96,18.69,6.91,8.01,8.60,23.21,47.86,1016.68,51.21,N; Tset = 10.80; Ttrue = 016.3; T1 = 24.30; RH1 = 47.38; T2 = 23.65; RH2 = 50.47
2017.11.23_04:44:05,8.59,9.73,10.41,3.19,1.65,3.72,21.93,3.17,1009.35,9.25,12.18,17.69,7.37,8.46,8.33,23.21,46.48,1016.68,50.72,N; Tset = 12.00; Ttrue = 016.4; T1 = 24.30; RH1 = 47.30; T2 = 23.64; RH2 = 49.63
2017.11.23_04:45:15,8.95,9.97,10.72,3.20,1.83,3.29,21.94,3.16,1009.36,9.84,13.11,18.26,7.24,8.16,8.29,23.22,45.82,1016.70,50.75,N; Tset = 13.00; Ttrue = 016.5; T1 = 24.29; RH1 = 47.55; T2 = 23.64; RH2 = 49.53
2017.11.23_04:46:25,7.73,9.67,11.39,2.39,1.61,3.73,21.94,3.17,1009.37,11.87,14.05,17.43,7.03,8.37,8.86,23.23,45.41,1016.71,50.75,N; Tset = 14.00; Ttrue = 015.6; T1 = 24.27; RH1 = 47.66; T2 = 23.63; RH2 = 49.57
2017.11.23_04:47:35,8.42,9.82,10.68,2.64,1.53,3.53,21.94,3.16,1009.39,10.57,11.18,16.81,8.23,8.08,7.98,23.23,44.00,1016.73,48.98,N; Tset = 15.00; Ttrue = 014.8; T1 = 24.25; RH1 = 45.76; T2 = 23.62; RH2 = 48.15
2017.11.23_04:48:45,8.59,9.27,10.94,2.83,1.85,3.81,21.94,3.14,1009.41,10.82,11.26,16.74,7.26,8.24,8.13,23.24,42.33,1016.74,46.90,N; Tset = 16.00; Ttrue = 015.5; T1 = 24.22; RH1 = 43.98; T2 = 23.62; RH2 = 46.08
2017.11.23_04:49:55,9.70,9.89,11.52,2.51,1.80,3.89,21.96,3.13,1009.41,10.83,11.20,16.47,7.32,8.55,8.25,23.25,41.85,1016.76,46.97,N; Tset = 17.00; Ttrue = 016.8; T1 = 24.19; RH1 = 44.62; T2 = 23.62; RH2 = 45.70
2017.11.23_04:51:05,9.46,10.75,10.19,2.50,1.85,4.08,21.96,3.11,1009.47,10.52,13.11,17.57,7.01,7.90,7.54,23.25,43.29,1016.77,49.80,N; Tset = 18.00; Ttrue = 017.7; T1 = 24.17; RH1 = 47.71; T2 = 23.62; RH2 = 48.10
2017.11.23_04:52:13,8.49,9.53,10.74,2.65,1.64,4.13,21.97,3.10,1009.45,10.90,13.25,17.10,7.01,8.19,7.79,23.27,44.93,1016.78,52.34,N; Tset = 18.80; Ttrue = 018.6; T1 = 24.16; RH1 = 50.25; T2 = 23.63; RH2 = 50.57
2017.11.23_04:53:23,8.47,9.40,10.69,2.97,1.66,3.82,21.96,3.09,1009.43,10.61,12.55,15.90,7.40,8.52,7.99,23.27,46.59,1016.75,54.86,N; Tset = 19.80; Ttrue = 019.5; T1 = 24.15; RH1 = 52.75; T2 = 23.63; RH2 = 52.94
2017.11.23_04:54:31,7.54,8.87,11.34,2.11,1.08,2.95,21.96,3.09,1009.39,10.28,12.44,16.85,8.35,8.07,8.27,23.27,48.40,1016.72,57.47,N; Tset = 20.60; Ttrue = 020.3; T1 = 24.15; RH1 = 55.30; T2 = 23.64; RH2 = 55.40
2017.11.23_04:55:39,8.50,10.49,11.10,2.72,1.80,3.77,21.96,3.09,1009.35,10.38,12.87,18.18,7.54,8.42,8.66,23.27,50.31,1016.69,60.13,N; Tset = 21.40; Ttrue = 021.2; T1 = 24.15; RH1 = 57.89; T2 = 23.64; RH2 = 57.91
2017.11.23_04:56:47,8.25,9.29,11.15,2.36,1.99,3.97,21.98,3.09,1009.34,10.34,12.71,19.51,7.85,8.98,8.30,23.27,52.33,1016.68,62.89,N; Tset = 22.20; Ttrue = 022.0; T1 = 24.16; RH1 = 60.57; T2 = 23.65; RH2 = 60.55
2017.11.23_04:57:55,9.10,10.29,11.27,2.08,1.82,4.20,21.99,3.09,1009.31,15.29,14.36,18.77,7.68,8.14,8.18,23.29,54.48,1016.66,65.71,N; Tset = 23.00; Ttrue = 022.9; T1 = 24.17; RH1 = 63.31; T2 = 23.65; RH2 = 63.28
2017.11.23_04:59:03,8.55,10.39,11.32,2.21,1.92,3.85,21.99,3.11,1009.30,10.94,12.46,17.48,7.47,9.23,8.90,23.29,56.75,1016.64,68.68,N; Tset = 23.80; Ttrue = 023.6; T1 = 24.19; RH1 = 66.12; T2 = 23.65; RH2 = 66.12
2017.11.23_05:00:11,7.90,10.01,10.84,3.16,1.87,3.63,22.00,3.11,1009.29,12.87,14.74,21.88,8.06,9.45,9.31,23.29,58.98,1016.65,71.61,N; Tset = 24.60; Ttrue = 024.4; T1 = 24.22; RH1 = 68.78; T2 = 23.66; RH2 = 68.94
2017.11.23_05:01:19,8.26,10.85,11.53,2.40,2.10,3.47,22.01,3.11,1009.33,11.29,16.23,19.99,8.75,9.23,9.17,23.29,61.23,1016.68,74.47,N; Tset = 25.40; Ttrue = 025.1; T1 = 24.25; RH1 = 71.38; T2 = 23.66; RH2 = 71.68
2017.11.23_05:02:25,9.15,10.62,11.91,2.55,1.72,4.20,22.01,3.13,1009.37,12.89,15.67,19.81,7.29,8.87,9.56,23.29,63.53,1016.70,77.43,N; Tset = 26.00; Ttrue = 025.8; T1 = 24.29; RH1 = 74.07; T2 = 23.66; RH2 = 74.54
2017.11.23_05:03:33,8.66,9.87,11.10,2.47,2.10,4.19,22.01,3.13,1009.36,13.09,16.65,22.01,7.95,9.18,10.14,23.29,65.90,1016.70,80.53,N; Tset = 26.80; Ttrue = 026.6; T1 = 24.32; RH1 = 76.87; T2 = 23.66; RH2 = 77.48
2017.11.23_05:04:41,8.98,11.20,10.89,2.34,2.13,3.41,22.02,3.13,1009.33,12.77,17.76,22.82,9.11,10.57,10.68,23.29,68.31,1016.68,83.68,N; Tset = 27.60; Ttrue = 027.3; T1 = 24.37; RH1 = 79.68; T2 = 23.67; RH2 = 80.50
2017.11.23_05:05:47,8.72,9.74,11.54,2.45,2.16,3.75,22.03,3.13,1009.33,16.91,19.52,26.34,10.18,11.66,11.55,23.31,70.77,1016.67,86.82,N; Tset = 28.20; Ttrue = 028.0; T1 = 24.43; RH1 = 82.50; T2 = 23.67; RH2 = 83.54
2017.11.23_05:06:53,8.56,10.82,11.76,2.55,1.59,3.74,22.03,3.13,1009.31,15.82,19.96,27.68,13.14,13.21,13.60,23.31,73.13,1016.65,89.90,N; Tset = 28.80; Ttrue = 028.6; T1 = 24.49; RH1 = 85.15; T2 = 23.68; RH2 = 86.46
