2017.11.23_21:52:31,10.38,12.81,15.19,2.51,2.50,4.19,21.14,4.68,977.21,14.01,18.93,24.83,8.59,9.87,9.93,22.42,61.35,984.32,72.05,N; Tset = 10.00; Ttrue = 016.2; T1 = 23.05; RH1 = 63.32; T2 = 22.79; RH2 = 71.74
2017.11.23_21:53:31,10.51,13.44,15.14,2.93,2.19,4.41,21.87,4.84,1010.88,11.90,14.52,21.10,8.37,9.17,8.57,23.19,52.07,1018.26,55.22,N; Tset = 10.00; Ttrue = 016.5; T1 = 23.81; RH1 = 51.30; T2 = 23.55; RH2 = 55.95
2017.11.23_21:54:39,10.76,13.49,14.44,2.99,2.14,4.27,21.87,4.84,1010.91,12.08,15.01,19.78,8.62,8.56,9.12,23.17,48.98,1018.28,52.46,N; Tset = 10.80; Ttrue = 016.6; T1 = 23.80; RH1 = 49.83; T2 = 23.54; RH2 = 51.98
2017.11.23_21:55:51,11.32,13.25,15.05,3.28,2.21,4.54,21.87,4.83,1010.96,18.71,15.76,20.43,8.76,8.87,9.19,23.17,47.61,1018.33,51.87,N; Tset = 12.00; Ttrue = 016.7; T1 = 23.78; RH1 = 49.68; T2 = 23.52; RH2 = 51.09
2017.11.23_21:57:01,10.91,12.72,14.73,3.20,2.42,3.90,21.85,4.84,1010.93,14.38,15.30,19.62,7.17,8.25,9.05,23.17,46.92,1018.30,51.80,N; Tset = 13.00; Ttrue = 016.5; T1 = 23.76; RH1 = 49.86; T2 = 23.50; RH2 = 50.91
2017.11.23_21:58:11,11.24,12.70,14.52,3.07,2.05,4.31,21.84,4.82,1010.92,13.74,17.06,21.07,7.52,9.51,9.19,23.17,46.25,1018.29,51.34,N; Tset = 14.00; Ttrue = 015.5; T1 = 23.73; RH1 = 49.39; T2 = 23.49; RH2 = 50.61
2017.11.23_21:59:21,9.90,12.81,14.54,3.03,2.47,4.93,21.84,4.83,1010.95,13.34,15.14,21.68,7.88,8.40,9.46,23.18,44.50,1018.31,49.09,N; Tset = 15.00; Ttrue = 014.7; T1 = 23.71; RH1 = 47.17; T2 = 23.46; RH2 = 48.64
2017.11.23_22:00:31,10.34,12.80,15.50,3.32,2.51,4.53,21.84,4.83,1010.91,12.87,15.73,20.29,6.75,8.53,8.98,23.19,42.83,1018.28,47.07,N; Tset = 16.00; Ttrue = 015.5; T1 = 23.67; RH1 = 45.40; T2 = 23.45; RH2 = 46.62
2017.11.23_22:01:41,10.53,13.13,14.13,3.62,2.51,4.36,21.82,4.84,1010.94,14.63,14.92,20.69,7.29,8.46,8.86,23.17,42.39,1018.30,47.33,N; Tset = 17.00; Ttrue = 016.9; T1 = 23.65; RH1 = 46.17; T2 = 23.46; RH2 = 46.31
2017.11.23_22:02:51,10.16,12.59,15.31,3.19,2.41,4.76,21.82,4.84,1010.98,13.03,14.59,21.91,7.81,8.83,9.13,23.17,43.87,1018.31,50.16,N; Tset = 18.00; Ttrue = 017.7; T1 = 23.64; RH1 = 49.31; T2 = 23.46; RH2 = 48.77
2017.11.23_22:03:59,10.06,12.35,15.37,2.48,2.03,4.82,21.82,4.84,1010.95,13.01,16.10,21.11,7.88,8.16,9.03,23.17,45.42,1018.31,52.67,N; Tset = 18.80; Ttrue = 018.6; T1 = 23.62; RH1 = 51.84; T2 = 23.47; RH2 = 51.17
2017.11.23_22:05:09,10.65,12.49,14.56,2.82,2.32,4.38,21.80,4.84,1010.92,13.59,15.88,21.77,7.56,8.62,8.65,23.17,47.13,1018.30,55.26,N; Tset = 19.80; Ttrue = 019.5; T1 = 23.60; RH1 = 54.48; T2 = 23.48; RH2 = 53.57
2017.11.23_22:06:17,10.22,12.51,15.72,2.92,1.53,3.91,21.80,4.84,1010.90,12.38,16.13,20.68,7.45,8.59,8.85,23.17,48.97,1018.25,57.92,N; Tset = 20.60; Ttrue = 020.3; T1 = 23.59; RH1 = 57.16; T2 = 23.49; RH2 = 56.11
