2017.11.24_18:00:25,58.24,85.12,108.45,12.07,14.51,18.02,25.97,3.92,970.91,105.23,141.30,180.15,32.74,31.82,35.02,27.44,66.65,978.45,82.95,N; Tset = 15.20; Ttrue = 0016.6; T1 = 29.96; RH1 = 62.73; T2 = 29.01; RH2 = 79.70
2017.11.24_18:01:25,61.61,86.46,112.15,13.56,15.20,21.13,26.87,4.06,1004.38,87.45,113.76,142.14,22.68,26.12,29.65,28.38,50.83,1012.19,55.68,N; Tset = 15.20; Ttrue = 0017.1; T1 = 30.92; RH1 = 44.99; T2 = 29.96; RH2 = 54.11
2017.11.24_18:02:27,61.91,86.75,112.26,14.69,15.09,19.45,26.87,4.06,1004.36,92.33,118.83,143.59,22.78,26.65,31.08,28.37,45.57,1012.18,51.13,N; Tset = 15.40; Ttrue = 0017.3; T1 = 30.87; RH1 = 43.03; T2 = 29.94; RH2 = 48.02
2017.11.24_18:03:37,62.81,87.73,111.40,13.50,14.51,19.23,26.87,4.06,1004.39,95.81,125.90,154.21,23.87,28.25,34.97,28.35,43.07,1012.19,49.99,N; Tset = 16.40; Ttrue = 0017.6; T1 = 30.83; RH1 = 42.64; T2 = 29.93; RH2 = 46.40
2017.11.24_18:04:47,63.91,87.45,113.52,13.59,14.81,19.21,26.88,4.06,1004.35,101.30,133.91,161.65,25.46,28.08,31.69,28.36,41.61,1012.18,49.62,N; Tset = 17.40; Ttrue = 0017.8; T1 = 30.78; RH1 = 42.75; T2 = 29.91; RH2 = 45.82
2017.11.24_18:05:55,62.60,89.41,114.63,13.33,15.22,20.42,26.89,4.06,1004.36,104.53,133.01,166.33,24.12,29.04,33.34,28.37,40.74,1012.17,49.57,N; Tset = 18.20; Ttrue = 0018.0; T1 = 30.71; RH1 = 43.09; T2 = 29.90; RH2 = 45.67
2017.11.24_18:07:05,63.00,90.46,113.89,14.81,15.92,19.44,26.89,4.06,1004.39,98.35,135.21,160.77,23.72,28.60,32.02,28.38,40.21,1012.17,49.73,N; Tset = 19.20; Ttrue = 0018.7; T1 = 30.63; RH1 = 43.60; T2 = 29.88; RH2 = 45.71
2017.11.24_18:08:13,61.70,90.01,115.68,13.18,15.81,20.69,26.89,4.06,1004.38,91.40,121.08,152.67,24.11,28.35,31.33,28.39,40.34,1012.18,50.86,N; Tset = 20.00; Ttrue = 0019.8; T1 = 30.54; RH1 = 45.15; T2 = 29.86; RH2 = 46.53
2017.11.24_18:09:21,62.06,89.14,115.65,14.37,17.94,20.02,26.89,4.06,1004.36,102.62,129.32,157.48,24.20,28.38,31.65,28.40,41.21,1012.16,52.75,N; Tset = 20.80; Ttrue = 0020.3; T1 = 30.46; RH1 = 47.16; T2 = 29.84; RH2 = 48.25
2017.11.24_18:10:29,62.34,89.28,114.52,13.89,16.34,20.21,26.89,4.06,1004.37,99.66,134.47,162.21,24.89,28.75,32.29,28.41,41.76,1012.20,53.90,N; Tset = 21.60; Ttrue = 0021.7; T1 = 30.38; RH1 = 48.55; T2 = 29.82; RH2 = 49.28
2017.11.24_18:11:37,63.53,90.98,115.70,13.32,16.22,20.16,26.88,4.06,1004.38,103.42,133.80,165.82,25.27,30.10,32.58,28.41,43.54,1012.19,56.99,N; Tset = 22.40; Ttrue = 0022.1; T1 = 30.31; RH1 = 51.76; T2 = 29.81; RH2 = 51.89
2017.11.24_18:12:45,62.85,90.26,115.61,14.50,15.38,19.91,26.87,4.07,1004.35,99.80,132.88,161.91,26.11,29.11,33.38,28.41,44.88,1012.18,58.90,N; Tset = 23.20; Ttrue = 0022.8; T1 = 30.25; RH1 = 53.45; T2 = 29.80; RH2 = 53.87
2017.11.24_18:13:53,61.39,89.91,116.05,14.91,15.82,20.04,26.87,4.08,1004.38,99.12,132.61,161.27,24.50,27.79,31.59,28.41,46.05,1012.20,60.65,N; Tset = 24.00; Ttrue = 0023.7; T1 = 30.21; RH1 = 55.29; T2 = 29.80; RH2 = 55.36
2017.11.24_18:14:59,62.60,89.31,114.74,14.01,15.31,20.59,26.87,4.08,1004.37,102.28,141.38,167.27,25.60,29.07,32.89,28.41,47.70,1012.19,63.16,N; Tset = 24.60; Ttrue = 0024.4; T1 = 30.18; RH1 = 57.76; T2 = 29.80; RH2 = 57.57
2017.11.24_18:16:07,66.25,90.05,117.07,14.67,15.90,20.44,26.87,4.08,1004.35,99.87,131.38,160.41,23.37,28.20,31.30,28.41,49.40,1012.16,65.57,N; Tset = 25.40; Ttrue = 0025.1; T1 = 30.15; RH1 = 60.03; T2 = 29.80; RH2 = 59.79
2017.11.24_18:17:13,64.78,89.40,115.25,14.49,15.80,19.53,26.87,4.08,1004.35,103.23,136.98,174.67,24.79,28.23,32.17,28.40,51.02,1012.16,67.83,N; Tset = 26.00; Ttrue = 0025.8; T1 = 30.13; RH1 = 62.08; T2 = 29.80; RH2 = 61.85
2017.11.24_18:18:19,63.43,88.75,114.80,14.55,16.81,19.93,26.87,4.09,1004.35,108.27,144.08,179.47,25.50,31.77,35.67,28.39,52.71,1012.16,70.16,N; Tset = 26.60; Ttrue = 0026.4; T1 = 30.13; RH1 = 64.22; T2 = 29.80; RH2 = 63.94
2017.11.24_18:19:27,62.63,91.12,115.12,14.36,16.25,19.80,26.85,4.09,1004.39,107.25,144.19,184.71,26.14,30.08,34.97,28.39,54.39,1012.20,72.40,N; Tset = 27.40; Ttrue = 0027.1; T1 = 30.12; RH1 = 66.26; T2 = 29.80; RH2 = 65.98
2017.11.24_18:20:33,62.76,88.29,114.78,14.33,15.34,20.53,26.85,4.10,1004.35,104.04,141.95,176.21,27.37,31.04,32.30,28.39,56.15,1012.18,74.80,N; Tset = 28.00; Ttrue = 0027.8; T1 = 30.13; RH1 = 68.39; T2 = 29.81; RH2 = 68.12
2017.11.24_18:21:39,63.70,88.47,115.38,13.42,15.37,20.92,26.85,4.10,1004.34,112.88,150.76,185.80,27.21,31.39,35.36,28.37,57.96,1012.18,77.28,N; Tset = 28.60; Ttrue = 0028.4; T1 = 30.15; RH1 = 70.52; T2 = 29.82; RH2 = 70.31
2017.11.24_18:22:45,63.19,89.21,115.65,13.90,15.45,20.94,26.85,4.10,1004.36,112.57,151.18,187.83,27.63,31.70,33.43,28.37,59.84,1012.18,79.78,N; Tset = 29.20; Ttrue = 0029.0; T1 = 30.17; RH1 = 72.66; T2 = 29.83; RH2 = 72.57
2017.11.24_18:23:51,62.21,90.09,115.03,14.80,15.57,20.51,26.85,4.10,1004.37,112.22,150.62,191.71,27.37,32.06,33.21,28.37,61.63,1012.18,82.13,N; Tset = 29.80; Ttrue = 0029.6; T1 = 30.20; RH1 = 74.62; T2 = 29.83; RH2 = 74.74
2017.11.24_18:24:57,62.38,89.54,115.88,13.85,15.61,20.40,26.85,4.10,1004.36,111.87,154.98,193.73,24.85,29.98,33.10,28.37,63.45,1012.15,84.56,N; Tset = 30.40; Ttrue = 0030.2; T1 = 30.25; RH1 = 76.66; T2 = 29.84; RH2 = 76.92
2017.11.24_18:26:03,62.40,90.53,115.17,15.36,16.86,20.43,26.85,4.11,1004.37,115.55,160.38,202.01,27.25,33.48,33.71,28.37,65.35,1012.20,87.11,N; Tset = 31.00; Ttrue = 0030.8; T1 = 30.30; RH1 = 78.74; T2 = 29.84; RH2 = 79.20
