2017.11.12_05:07:08,115.04,152.21,191.68,23.37,27.06,31.10,21.59,6.72,968.41,118.66,154.88,190.46,27.74,31.35,34.91,22.47,8.91,975.29,11.00,P; Tset = 16.80; Ttrue = NaN; T1 = 20.25; RH1 = 12.17; T2 = 22.46; RH2 = 10.68
2017.11.12_05:08:08,119.34,156.09,198.90,25.10,26.21,31.80,22.31,6.99,1001.82,120.16,157.64,194.68,25.08,31.07,34.20,23.22,9.27,1008.93,10.97,P; Tset = 16.80; Ttrue = NaN; T1 = 20.88; RH1 = 12.62; T2 = 23.19; RH2 = 11.01
2017.11.12_05:09:08,116.87,157.31,201.67,25.13,26.68,33.22,22.29,7.03,1001.81,125.85,156.49,194.96,24.47,30.75,36.29,23.20,9.31,1008.91,11.00,P; Tset = 16.80; Ttrue = NaN; T1 = 20.84; RH1 = 12.67; T2 = 23.14; RH2 = 11.05
2017.11.12_05:10:08,114.95,158.98,197.21,26.14,26.68,31.70,22.27,7.06,1001.83,121.56,160.05,194.16,25.55,29.83,36.73,23.16,9.34,1008.92,11.02,P; Tset = 16.80; Ttrue = NaN; T1 = 20.82; RH1 = 12.70; T2 = 23.10; RH2 = 11.07
2017.11.12_05:11:08,116.13,156.75,199.04,26.29,27.40,32.72,22.25,7.09,1001.88,128.23,160.78,195.34,25.38,30.18,36.48,23.13,9.35,1008.97,11.03,P; Tset = 17.00; Ttrue = NaN; T1 = 20.79; RH1 = 12.71; T2 = 23.05; RH2 = 11.09
2017.11.12_05:12:08,117.73,161.06,203.14,26.33,28.07,31.88,22.23,7.13,1001.96,122.08,158.10,193.78,24.77,32.19,36.80,23.10,9.37,1009.04,11.05,P; Tset = 17.60; Ttrue = NaN; T1 = 20.76; RH1 = 12.75; T2 = 23.00; RH2 = 11.11
2017.11.12_05:13:08,118.01,160.59,202.18,33.25,28.15,32.67,22.20,7.15,1002.02,119.74,155.86,192.74,24.71,29.81,33.84,23.08,9.38,1009.11,11.06,P; Tset = 18.20; Ttrue = NaN; T1 = 20.72; RH1 = 12.77; T2 = 22.98; RH2 = 11.14
2017.11.12_05:14:08,121.97,164.13,207.55,26.91,27.47,32.46,22.17,7.19,1002.07,128.36,161.31,203.76,28.44,32.02,35.14,23.05,9.40,1009.17,11.10,P; Tset = 18.80; Ttrue = NaN; T1 = 20.69; RH1 = 12.82; T2 = 22.95; RH2 = 11.16
2017.11.12_05:15:08,119.13,169.30,208.79,26.45,29.73,35.21,22.13,7.24,1002.12,126.26,165.30,205.41,28.43,34.19,36.58,23.01,9.43,1009.19,11.16,P; Tset = 19.20; Ttrue = NaN; T1 = 20.66; RH1 = 12.88; T2 = 22.94; RH2 = 11.22
2017.11.12_05:16:08,123.83,165.80,212.53,25.78,27.23,34.70,22.09,7.25,1002.11,132.12,171.80,203.50,26.74,31.89,37.03,22.98,9.44,1009.18,11.19,P; Tset = 19.80; Ttrue = NaN; T1 = 20.63; RH1 = 12.89; T2 = 22.92; RH2 = 11.24
2017.11.12_05:17:08,130.34,169.31,211.89,28.53,30.23,36.53,22.05,7.24,1002.09,138.41,174.02,205.46,26.79,31.84,37.76,22.95,9.43,1009.16,11.18,P; Tset = 20.20; Ttrue = NaN; T1 = 20.59; RH1 = 12.88; T2 = 22.90; RH2 = 11.24
2017.11.12_05:18:08,129.56,167.02,211.66,25.52,29.32,34.58,22.04,7.24,1002.08,135.11,171.53,202.87,25.63,32.57,37.70,22.93,9.43,1009.15,11.15,P; Tset = 20.80; Ttrue = NaN; T1 = 20.56; RH1 = 12.86; T2 = 22.87; RH2 = 11.21
2017.11.12_05:19:08,125.54,169.26,207.54,27.14,29.66,35.92,22.02,7.22,1002.10,129.41,177.00,212.12,26.49,31.97,37.14,22.91,9.40,1009.18,11.12,P; Tset = 21.20; Ttrue = NaN; T1 = 20.54; RH1 = 12.84; T2 = 22.83; RH2 = 11.19
2017.11.12_05:20:08,127.93,172.17,212.61,26.99,29.89,35.21,22.00,7.24,1002.14,133.41,173.60,208.42,28.81,33.68,37.15,22.88,9.41,1009.21,11.14,P; Tset = 21.60; Ttrue = NaN; T1 = 20.51; RH1 = 12.88; T2 = 22.79; RH2 = 11.20
2017.11.12_05:21:08,129.81,175.32,212.27,26.28,28.66,36.03,21.98,7.31,1002.16,135.36,168.43,211.63,30.25,33.13,36.79,22.86,9.46,1009.22,11.21,P; Tset = 22.00; Ttrue = NaN; T1 = 20.48; RH1 = 12.97; T2 = 22.74; RH2 = 11.28
2017.11.12_05:22:08,133.16,171.26,214.66,27.99,29.00,33.51,21.95,7.38,1002.15,129.89,170.67,216.16,27.44,35.62,38.04,22.83,9.52,1009.22,11.29,P; Tset = 22.60; Ttrue = NaN; T1 = 20.46; RH1 = 13.07; T2 = 22.71; RH2 = 11.36
2017.11.12_05:23:08,130.02,177.21,215.81,28.88,33.18,35.57,21.93,7.45,1002.10,140.70,172.73,210.35,27.94,33.02,37.50,22.81,9.57,1009.18,11.37,P; Tset = 23.00; Ttrue = NaN; T1 = 20.42; RH1 = 13.17; T2 = 22.69; RH2 = 11.43
2017.11.12_05:24:08,129.97,176.51,217.57,28.99,28.76,39.38,21.89,7.50,1002.07,139.40,173.90,215.72,26.93,32.17,38.16,22.77,9.60,1009.13,11.44,P; Tset = 23.40; Ttrue = NaN; T1 = 20.38; RH1 = 13.25; T2 = 22.67; RH2 = 11.51
2017.11.12_05:25:08,132.49,168.21,214.68,29.70,32.85,36.01,21.85,7.50,1002.05,135.29,177.52,221.28,28.32,35.48,38.68,22.73,9.61,1009.10,11.45,P; Tset = 23.80; Ttrue = NaN; T1 = 20.35; RH1 = 13.22; T2 = 22.65; RH2 = 11.52
2017.11.12_05:26:08,131.51,173.04,217.72,27.64,30.64,35.59,21.83,7.46,1002.02,137.59,181.38,212.15,30.07,34.53,40.04,22.70,9.57,1009.07,11.40,P; Tset = 24.20; Ttrue = NaN; T1 = 20.32; RH1 = 13.16; T2 = 22.63; RH2 = 11.47
2017.11.12_05:27:08,127.50,171.27,214.39,30.41,31.58,34.50,21.79,7.42,1001.98,141.10,177.70,208.07,30.46,35.94,41.41,22.68,9.53,1009.02,11.34,P; Tset = 24.40; Ttrue = NaN; T1 = 20.30; RH1 = 13.09; T2 = 22.61; RH2 = 11.41
2017.11.12_05:28:08,132.30,172.69,216.14,28.11,30.38,33.99,21.76,7.38,1001.99,139.44,173.52,208.75,27.76,35.78,36.15,22.66,9.49,1009.02,11.29,P; Tset = 24.80; Ttrue = NaN; T1 = 20.28; RH1 = 13.04; T2 = 22.58; RH2 = 11.36
2017.11.12_05:29:08,131.00,167.14,216.83,26.84,28.74,35.33,21.75,7.41,1001.99,138.87,173.29,208.30,31.38,33.76,37.53,22.63,9.50,1009.03,11.32,P; Tset = 25.20; Ttrue = NaN; T1 = 20.26; RH1 = 13.09; T2 = 22.55; RH2 = 11.37
2017.11.12_05:30:08,126.65,169.57,215.85,26.66,30.49,36.24,21.72,7.46,1002.00,140.12,167.02,207.39,28.02,31.91,41.90,22.61,9.53,1009.03,11.36,P; Tset = 25.60; Ttrue = NaN; T1 = 20.23; RH1 = 13.16; T2 = 22.52; RH2 = 11.42
2017.11.12_05:31:08,132.33,173.82,215.39,25.32,33.64,36.41,21.70,7.51,1001.97,146.99,178.06,204.39,26.11,33.21,40.98,22.58,9.56,1009.02,11.42,P; Tset = 26.00; Ttrue = NaN; T1 = 20.19; RH1 = 13.22; T2 = 22.48; RH2 = 11.48
2017.11.12_05:32:08,128.78,174.62,214.45,30.02,32.98,34.40,21.69,7.53,1001.94,139.40,174.94,210.88,28.76,34.93,38.45,22.55,9.58,1008.97,11.45,P; Tset = 26.20; Ttrue = NaN; T1 = 20.16; RH1 = 13.26; T2 = 22.44; RH2 = 11.52
2017.11.12_05:33:08,123.47,166.42,206.95,26.28,30.06,36.14,21.66,7.59,1001.91,132.99,171.91,204.00,26.81,30.82,37.72,22.53,9.62,1008.94,11.52,P; Tset = 26.60; Ttrue = NaN; T1 = 20.13; RH1 = 13.35; T2 = 22.42; RH2 = 11.59
2017.11.12_05:34:08,126.10,164.56,212.79,28.16,29.95,37.06,21.64,7.66,1001.89,138.13,168.42,202.83,28.59,33.93,37.63,22.49,9.68,1008.91,11.62,P; Tset = 27.00; Ttrue = NaN; T1 = 20.10; RH1 = 13.45; T2 = 22.40; RH2 = 11.68
2017.11.12_05:35:08,128.96,164.33,205.70,27.36,29.53,35.05,21.61,7.72,1001.87,130.99,164.48,199.96,27.09,33.03,39.51,22.45,9.73,1008.86,11.68,P; Tset = 27.20; Ttrue = NaN; T1 = 20.07; RH1 = 13.51; T2 = 22.37; RH2 = 11.73
2017.11.12_05:36:08,121.00,164.41,203.07,26.71,27.23,33.65,21.57,7.71,1001.82,123.40,159.58,198.98,24.49,31.77,37.80,22.42,9.72,1008.84,11.67,P; Tset = 27.60; Ttrue = NaN; T1 = 20.05; RH1 = 13.49; T2 = 22.35; RH2 = 11.73
2017.11.12_05:37:08,120.82,160.68,203.53,25.94,29.05,33.97,21.53,7.71,1001.84,127.90,165.65,202.12,31.05,32.43,35.07,22.40,9.71,1008.86,11.65,P; Tset = 27.80; Ttrue = NaN; T1 = 20.03; RH1 = 13.46; T2 = 22.33; RH2 = 11.71
2017.11.12_05:38:08,123.45,164.27,204.28,29.43,30.69,34.19,21.50,7.73,1001.90,129.07,164.92,205.16,26.03,31.00,36.65,22.38,9.72,1008.90,11.68,P; Tset = 28.20; Ttrue = NaN; T1 = 20.01; RH1 = 13.53; T2 = 22.31; RH2 = 11.73
2017.11.12_05:39:08,119.85,162.54,203.43,25.40,30.65,34.02,21.48,7.77,1001.98,128.48,167.16,200.74,25.47,30.10,34.32,22.36,9.76,1008.97,11.72,P; Tset = 28.40; Ttrue = NaN; T1 = 19.98; RH1 = 13.57; T2 = 22.27; RH2 = 11.78
2017.11.12_05:40:08,128.05,169.83,219.07,27.68,28.51,35.43,21.47,7.81,1002.04,135.20,172.20,206.03,26.40,32.59,37.06,22.33,9.78,1009.04,11.76,P; Tset = 28.80; Ttrue = NaN; T1 = 19.95; RH1 = 13.62; T2 = 22.23; RH2 = 11.82
2017.11.12_05:41:08,132.34,171.48,211.10,35.86,30.19,35.54,21.44,7.86,1002.08,140.98,172.35,213.90,29.77,32.65,36.03,22.31,9.82,1009.07,11.83,P; Tset = 29.00; Ttrue = NaN; T1 = 19.93; RH1 = 13.71; T2 = 22.19; RH2 = 11.88
2017.11.12_05:42:08,126.11,168.74,204.70,27.15,29.06,35.18,21.42,7.86,1002.09,142.09,167.75,206.74,29.86,30.78,34.75,22.29,9.83,1009.08,11.83,P; Tset = 29.20; Ttrue = NaN; T1 = 19.90; RH1 = 13.69; T2 = 22.17; RH2 = 11.91
2017.11.12_05:43:08,128.97,171.60,208.80,29.77,31.08,33.87,21.40,7.82,1002.11,135.42,167.99,207.60,27.43,33.11,36.53,22.26,9.79,1009.10,11.78,P; Tset = 29.60; Ttrue = NaN; T1 = 19.87; RH1 = 13.63; T2 = 22.14; RH2 = 11.86
