2017.11.05_06:59:43,171.16,240.66,310.67,32.06,34.25,41.93,22.36,8.85,975.12,281.04,358.18,439.33,43.89,49.28,56.21,23.45,71.48,982.19,77.95,N; Tset = 16.20; Ttrue = 016.6; T1 = 22.23; RH1 = 77.36; T2 = 23.22; RH2 = 80.13
2017.11.05_07:00:43,175.89,247.88,321.91,32.38,34.58,42.15,23.13,9.16,1008.74,203.43,269.00,332.28,31.12,36.99,43.84,24.26,58.01,1016.07,54.41,N; Tset = 16.20; Ttrue = 016.9; T1 = 22.92; RH1 = 56.43; T2 = 23.97; RH2 = 57.77
2017.11.05_07:01:43,173.58,249.41,318.41,30.81,35.50,41.30,23.13,9.19,1008.75,200.22,268.11,331.83,32.29,38.15,45.91,24.24,52.73,1016.06,49.40,N; Tset = 16.20; Ttrue = 017.0; T1 = 22.88; RH1 = 53.03; T2 = 23.98; RH2 = 50.75
2017.11.05_07:02:43,175.48,246.28,317.99,31.24,34.36,40.83,23.13,9.20,1008.74,200.95,271.34,335.05,31.70,38.33,44.88,24.24,50.44,1016.05,47.85,N; Tset = 16.20; Ttrue = 017.1; T1 = 22.85; RH1 = 51.49; T2 = 23.99; RH2 = 49.09
2017.11.05_07:03:45,175.96,249.93,318.48,30.68,34.38,40.86,23.13,9.22,1008.73,201.74,271.42,336.22,31.80,37.04,43.02,24.23,49.08,1016.05,47.23,N; Tset = 16.40; Ttrue = 017.2; T1 = 22.80; RH1 = 50.96; T2 = 23.99; RH2 = 48.42
2017.11.05_07:04:49,176.21,248.33,318.42,30.91,35.91,42.89,23.13,9.23,1008.75,203.97,271.41,333.78,30.89,38.02,43.53,24.23,48.08,1016.05,46.90,N; Tset = 16.80; Ttrue = 016.5; T1 = 22.76; RH1 = 50.76; T2 = 23.98; RH2 = 48.03
2017.11.05_07:05:55,176.08,250.54,321.22,35.19,35.17,42.28,23.13,9.26,1008.79,197.36,270.05,333.82,33.58,38.07,43.94,24.22,46.65,1016.06,45.70,N; Tset = 17.40; Ttrue = 017.2; T1 = 22.70; RH1 = 49.59; T2 = 23.97; RH2 = 46.85
2017.11.05_07:07:01,173.91,251.45,321.53,33.22,34.41,42.64,23.13,9.29,1008.79,202.26,273.94,336.23,32.74,37.59,44.50,24.22,46.00,1016.06,45.69,N; Tset = 18.00; Ttrue = 017.9; T1 = 22.64; RH1 = 50.11; T2 = 23.97; RH2 = 46.52
2017.11.05_07:08:05,176.03,250.86,318.65,33.40,34.41,42.02,23.11,9.31,1008.80,206.53,273.05,338.75,33.08,38.68,44.66,24.23,46.39,1016.07,47.06,N; Tset = 18.40; Ttrue = 018.3; T1 = 22.59; RH1 = 51.99; T2 = 23.97; RH2 = 47.75
2017.11.05_07:09:11,180.25,248.79,318.76,31.74,34.26,41.55,23.11,9.33,1008.77,200.95,275.92,344.94,31.98,38.49,44.76,24.22,46.86,1016.06,48.23,N; Tset = 19.00; Ttrue = 018.8; T1 = 22.54; RH1 = 53.46; T2 = 23.96; RH2 = 48.91
2017.11.05_07:10:15,182.93,252.91,321.96,35.25,35.72,42.63,23.11,9.33,1008.81,208.52,281.13,346.40,33.50,39.41,44.28,24.22,47.36,1016.06,49.24,N; Tset = 19.40; Ttrue = 019.3; T1 = 22.49; RH1 = 54.84; T2 = 23.96; RH2 = 49.86
